dataset,example_id,partition,seed,node_id,selector,selected_facet,selected_scale,target_rank,R_at_1,R_at_2,R_at_4,R_at_8,target_used_during_selection
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,lowest_parent_entropy,39,2,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,validation_most_common_scale,5,1,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,validation_linear_scale,0,global,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,global,0,global,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,earliest,1,1,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,latest,20,1,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,highest_hidden_norm,5,1,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,highest_parent_margin,39,2,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,lowest_parent_entropy,39,2,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,validation_most_common_scale,5,1,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,1,validation_linear_scale,0,global,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,0,global,0,global,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,0,earliest,1,1,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,0,latest,20,1,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,37,0,highest_hidden_norm,5,1,7,0,0,0,1,0
