summary_type,partition,dataset,role,selector,rows,R_at_1,R_at_2,R_at_4,R_at_8,winning_scale,fraction,position_bin,annotated_hops,question_type,graph_type
winning_scale_distribution,test,musique,intermediate,,4,,,,,2,0.06666666666666667,,,,
winning_scale_distribution,test,musique,intermediate,,0,,,,,4,0.0,,,,
winning_scale_distribution,test,musique,intermediate,,0,,,,,8,0.0,,,,
winning_scale_distribution,test,musique,intermediate,,0,,,,,16,0.0,,,,
winning_position_distribution,test,musique,intermediate,,22,,,,,,0.36666666666666664,early,,,
winning_position_distribution,test,musique,intermediate,,17,,,,,,0.2833333333333333,middle,,,
winning_position_distribution,test,musique,intermediate,,21,,,,,,0.35,late,,,
winning_scale_distribution,test,musique,terminal,,13,,,,,global,0.14444444444444443,,,,
winning_scale_distribution,test,musique,terminal,,74,,,,,1,0.8222222222222222,,,,
winning_scale_distribution,test,musique,terminal,,2,,,,,2,0.022222222222222223,,,,
winning_scale_distribution,test,musique,terminal,,1,,,,,4,0.011111111111111112,,,,
winning_scale_distribution,test,musique,terminal,,0,,,,,8,0.0,,,,
winning_scale_distribution,test,musique,terminal,,0,,,,,16,0.0,,,,
winning_position_distribution,test,musique,terminal,,41,,,,,,0.45555555555555555,early,,,
winning_position_distribution,test,musique,terminal,,18,,,,,,0.2,middle,,,
winning_position_distribution,test,musique,terminal,,31,,,,,,0.34444444444444444,late,,,
winning_scale_distribution,test,2wikimultihopqa,root,,55,,,,,global,0.3055555555555556,,,,
winning_scale_distribution,test,2wikimultihopqa,root,,118,,,,,1,0.6555555555555556,,,,
winning_scale_distribution,test,2wikimultihopqa,root,,6,,,,,2,0.03333333333333333,,,,
winning_scale_distribution,test,2wikimultihopqa,root,,1,,,,,4,0.005555555555555556,,,,
winning_scale_distribution,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,,
winning_scale_distribution,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,,
winning_position_distribution,test,2wikimultihopqa,root,,42,,,,,,0.23333333333333334,early,,,
winning_position_distribution,test,2wikimultihopqa,root,,38,,,,,,0.2111111111111111,middle,,,
winning_position_distribution,test,2wikimultihopqa,root,,100,,,,,,0.5555555555555556,late,,,
winning_scale_distribution,test,2wikimultihopqa,terminal,,34,,,,,global,0.26153846153846155,,,,
winning_scale_distribution,test,2wikimultihopqa,terminal,,92,,,,,1,0.7076923076923077,,,,
winning_scale_distribution,test,2wikimultihopqa,terminal,,4,,,,,2,0.03076923076923077,,,,
winning_scale_distribution,test,2wikimultihopqa,terminal,,0,,,,,4,0.0,,,,
winning_scale_distribution,test,2wikimultihopqa,terminal,,0,,,,,8,0.0,,,,
winning_scale_distribution,test,2wikimultihopqa,terminal,,0,,,,,16,0.0,,,,
winning_position_distribution,test,2wikimultihopqa,terminal,,44,,,,,,0.3384615384615385,early,,,
winning_position_distribution,test,2wikimultihopqa,terminal,,19,,,,,,0.14615384615384616,middle,,,
winning_position_distribution,test,2wikimultihopqa,terminal,,67,,,,,,0.5153846153846153,late,,,
winning_scale_by_annotated_hops,test,musique,root,,8,,,,,global,0.26666666666666666,,2,,
winning_scale_by_annotated_hops,test,musique,root,,22,,,,,1,0.7333333333333333,,2,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,2,0.0,,2,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,4,0.0,,2,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,8,0.0,,2,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,16,0.0,,2,,
winning_scale_by_annotated_hops,test,musique,root,,11,,,,,global,0.24444444444444444,,3,,
winning_scale_by_annotated_hops,test,musique,root,,31,,,,,1,0.6888888888888889,,3,,
winning_scale_by_annotated_hops,test,musique,root,,3,,,,,2,0.06666666666666667,,3,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,4,0.0,,3,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,8,0.0,,3,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,16,0.0,,3,,
winning_scale_by_annotated_hops,test,musique,root,,10,,,,,global,0.2222222222222222,,4,,
winning_scale_by_annotated_hops,test,musique,root,,35,,,,,1,0.7777777777777778,,4,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,2,0.0,,4,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,4,0.0,,4,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,8,0.0,,4,,
winning_scale_by_annotated_hops,test,musique,root,,0,,,,,16,0.0,,4,,
winning_scale_by_question_type,test,2wikimultihopqa,root,,25,,,,,global,0.4166666666666667,,,bridge_comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,32,,,,,1,0.5333333333333333,,,bridge_comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,3,,,,,2,0.05,,,bridge_comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,4,0.0,,,bridge_comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,bridge_comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,bridge_comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,19,,,,,global,0.31666666666666665,,,comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,40,,,,,1,0.6666666666666666,,,comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,2,0.0,,,comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,1,,,,,4,0.016666666666666666,,,comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,comparison,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,comparison,
