dataset,example_id,partition,seed,selector,best_root_rank,R_at_1,R_at_2,R_at_4,R_at_8,target_used_during_selection,aggregation
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,highest_hidden_norm,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,highest_parent_margin,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,lowest_parent_entropy,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,validation_most_common_scale,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,53,validation_linear_scale,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,global,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,earliest,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,latest,2,0,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,highest_hidden_norm,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,71,highest_parent_margin,1,1,1,1,1,0,post-hoc best annotated root per example
