accepted_native_transitions,any_evidence,bridge_locality_score,budget_parents,candidate_fraction,candidate_local_regions,candidate_parents,candidate_parents_total,candidate_tokens,chain_budget_feasible,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_all_evidence_feasible,exact_evidence_identity,examples_x_seeds,fraction,kv_materializations_during_closure,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,native_qk_dot_products,parent_entropy,path_depth,proposed_native_transitions,repeated_parent_transitions,routing_seconds,semantic_gist_comparisons,unique_parents_selected
0.9375,0.6875,,2.375,0.2,37.25,4.7125,18.1875,1125.5125,1.0,0.6875,native_qk_top4_topk_p20,,qasper,0.63125,0.9375,0.575,80,0.1,0.0,,,,,0.13587626693421656,606.25,966201.6,966201.6,,,1.4375,,0.03833792875084328,388.0,2.375
0.0,0.7875,0.0,2.375,0.0,0.0,18.1875,18.1875,0.0,,0.7875,one_shot_parent,0.0,qasper,0.7375,,0.6875,80,0.1,0.0,0.0,0.0,0.0,0.0,0.13496905652304386,596.25,0.0,0.0,0.0,1.0,0.0,0.0,0.005695361251127906,18.1875,2.375
0.0,0.8,0.0,2.375,0.0,0.0,18.1875,18.1875,0.0,,0.8,parent_closure,0.0,qasper,0.7375,,0.675,80,0.1,0.0,0.0,0.0,0.0,0.0,0.13492453765021833,596.1125,0.0,0.0,0.0,1.875,0.0,0.0,0.00855910500031314,46.0625,2.375
0.0,0.925,0.20214051058671126,4.125,0.0,0.0,18.1875,18.1875,0.0,,0.925,local_gist_closure,6.25,qasper,0.82875,,0.7625,80,0.2,0.0,4.8771905268232025,1.0,397.85,1.2243117628514426,0.23172774999225684,1042.8625,0.0,0.0,2.8176832678417365,2.0,0.0,4.4,0.04626572999695781,540.0,4.125
1.725,0.9,,4.125,0.1,27.3625,3.4375,18.1875,873.8125,1.0,0.9,native_qk_max_threshold1_p10,,qasper,0.8099999999999999,0.9375,0.75,80,0.2,0.0,,,,,0.23190109129493255,1043.725,1198553.6,1198553.6,,,4.5875,,0.04918954874956398,540.0,4.125
1.7375,0.8625,,4.125,0.2,44.5375,5.625,18.1875,1421.65,1.0,0.8625,native_qk_max_threshold1_p20,,qasper,0.79375,0.9375,0.725,80,0.2,0.0,,,,,0.23116458142024512,1039.775,1949958.4,1949958.4,,,4.6375,,0.05330120874859858,540.0,4.125
1.725,0.9,,4.125,0.1,27.3625,3.4375,18.1875,873.8125,1.0,0.9,native_qk_max_topk_p10,,qasper,0.8099999999999999,0.9375,0.75,80,0.2,0.0,,,,,0.23190109129493255,1043.725,1198553.6,1198553.6,,,4.6875,,0.04669013749953592,540.0,4.125
1.7375,0.8625,,4.125,0.2,44.5375,5.625,18.1875,1421.65,1.0,0.8625,native_qk_max_topk_p20,,qasper,0.79375,0.9375,0.725,80,0.2,0.0,,,,,0.23116458142024512,1039.775,1949958.4,1949958.4,,,4.6875,,0.05418700124646421,540.0,4.125
1.75,0.875,,4.125,0.1,27.3625,3.4375,18.1875,873.8125,1.0,0.875,native_qk_top4_topk_p10,,qasper,0.79125,0.9375,0.7375,80,0.2,0.0,,,,,0.23176785146323547,1043.25,1198553.6,1198553.6,,,4.6875,,0.052546041249297556,540.0,4.125
1.75,0.8375,,4.125,0.2,44.5375,5.625,18.1875,1421.65,1.0,0.8375,native_qk_top4_topk_p20,,qasper,0.77,0.9375,0.7125,80,0.2,0.0,,,,,0.23112337785955384,1041.275,1949958.4,1949958.4,,,4.6875,,0.06235195874833153,540.0,4.125
