dataset,model_tier,position_mode,stage,layer_rankings,r_at_5pct,r_at_10pct,r_at_20pct,r_at_30pct,f80,f90,auc_0_30,recall_at_1,recall_at_3,kv_fraction_exact,endpoint_complete
qasper,small,absolute,offset,240,0.5708333333333333,0.5708333333333333,0.5708333333333333,0.7041666666666667,1.0,1.0,0.5724305555555556,0.5708333333333333,0.8375,True,True
qasper,small,absolute,offset_overlap,240,0.5708333333333333,0.5708333333333333,0.5708333333333333,0.7,1.0,1.0,0.5720833333333334,0.5708333333333333,0.8416666666666667,True,True
qasper,small,absolute,reset,240,0.4083333333333333,0.4083333333333333,0.4083333333333333,0.575,1.0,1.0,0.41541666666666666,0.4083333333333333,0.6791666666666667,True,True
qasper,small,rope,offset,240,0.37083333333333335,0.37083333333333335,0.37083333333333335,0.5458333333333333,1.0,1.0,0.37923611111111116,0.37083333333333335,0.7333333333333333,True,True
qasper,small,rope,offset_overlap,240,0.4083333333333333,0.4083333333333333,0.4083333333333333,0.5583333333333333,1.0,1.0,0.41402777777777783,0.4083333333333333,0.7458333333333333,True,True
qasper,small,rope,reset,240,0.525,0.525,0.525,0.7166666666666667,1.0,1.0,0.5322222222222222,0.525,0.8666666666666667,True,True
qasper,small,sinusoidal,offset,240,0.8208333333333333,0.8208333333333333,0.8208333333333333,0.875,0.25,1.0,0.8116666666666665,0.8208333333333333,0.8958333333333334,True,True
qasper,small,sinusoidal,offset_overlap,240,0.8,0.8,0.8,0.875,0.25,1.0,0.7929166666666667,0.8,0.8958333333333334,True,True
qasper,small,sinusoidal,reset,240,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.7375,1.0,1.0,0.6539583333333332,0.6583333333333333,0.8083333333333333,True,True
qasper,tiny,absolute,offset,120,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.7416666666666667,1.0,1.0,0.4818055555555556,0.4666666666666667,0.925,True,True
qasper,tiny,absolute,offset_overlap,120,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.75,1.0,1.0,0.4975,0.48333333333333334,0.9166666666666666,True,True
qasper,tiny,absolute,reset,120,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.5333333333333333,1.0,1.0,0.3219444444444445,0.30833333333333335,0.7166666666666667,True,True
qasper,tiny,rope,offset,120,0.275,0.275,0.275,0.4083333333333333,1.0,1.0,0.28152777777777777,0.275,0.6166666666666667,True,True
qasper,tiny,rope,offset_overlap,120,0.25833333333333336,0.25833333333333336,0.25833333333333336,0.4083333333333333,1.0,1.0,0.2665277777777778,0.25833333333333336,0.6416666666666667,True,True
qasper,tiny,rope,reset,120,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.6166666666666667,1.0,1.0,0.44138888888888894,0.43333333333333335,0.8,True,True
qasper,tiny,sinusoidal,offset,120,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.8,0.5,1.0,0.6366666666666666,0.6333333333333333,0.9166666666666666,True,True
qasper,tiny,sinusoidal,offset_overlap,120,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.8,0.5,1.0,0.6366666666666666,0.6333333333333333,0.9166666666666666,True,True
qasper,tiny,sinusoidal,reset,120,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.7166666666666667,1.0,1.0,0.4797222222222222,0.4666666666666667,0.85,True,True
