dataset,model_tier,split_count,kv_cache_residency,seeds,loss_mean,loss_stddev,token_accuracy_mean,token_accuracy_stddev,cached_kv_bytes_mean,cached_kv_bytes_stddev,gpu_cached_kv_bytes_mean,gpu_cached_kv_bytes_stddev,selected_kv_transfer_bytes_mean,selected_kv_transfer_bytes_stddev,selected_kv_transfer_ms_mean,selected_kv_transfer_ms_stddev,routing_ms_mean,routing_ms_stddev,materialization_ms_mean,materialization_ms_stddev,cold_request_ms_mean,cold_request_ms_stddev,warm_request_ms_mean,warm_request_ms_stddev,warm_peak_allocated_bytes_mean,warm_peak_allocated_bytes_stddev,warm_peak_reserved_bytes_mean,warm_peak_reserved_bytes_stddev,peak_allocated_bytes_mean,peak_allocated_bytes_stddev,peak_reserved_bytes_mean,peak_reserved_bytes_stddev,retrieved_physical_kv_tokens_mean,retrieved_physical_kv_tokens_stddev,loss_delta_vs_gpu_mean,loss_delta_vs_gpu_stddev
qasper,small,32,gpu,5,0.00027877331885974856,2.588006353044015e-05,1.0,0.0,346112.0,0.0,346112.0,0.0,0.0,0.0,0.0,0.0,16.71065500122495,1.936719779973344,2.005320002353983,0.42118715142055296,74.62276499936706,9.24854499805157,45.32830619812012,14.890108654281889,72439296.0,0.0,130862284.8,39054353.535180524,73208960.0,0.0,130862284.8,39054353.535180524,10.1125,0.571798150574134,0.0,0.0
qasper,small,64,cpu,5,0.00027181946788914504,1.8576126436370796e-05,1.0,0.0,751616.0,0.0,0.0,0.0,86937.6,6368.176881965513,8.599694997974439,0.6861262780206683,23.26918500039028,6.863613242042656,10.394959995755926,0.7401683418099083,282.52290500095114,14.572205492681672,45.34150085449219,1.4000536757462776,72537600.0,0.0,90177536.0,0.0,74146944.0,0.0,89653248.0,0.0,10.6125,0.7773653420368057,0.0,0.0
qasper,small,64,gpu,5,0.00027181946788914504,1.8576126436370796e-05,1.0,0.0,751616.0,0.0,751616.0,0.0,0.0,0.0,0.0,0.0,19.579905000864528,0.7324832879658683,2.1072899988212157,0.18158893400127546,102.13441500018234,1.8747181573322576,39.442012786865234,0.8694517019809016,73192960.0,0.0,90177536.0,0.0,74853504.0,0.0,90177536.0,0.0,10.6125,0.7773653420368057,0.0,0.0
qasper,small,128,cpu,5,0.00027718815981643276,2.933224224937208e-05,1.0,0.0,1503232.0,0.0,0.0,0.0,88371.2,7007.108619109597,9.169040001143003,0.5078450770728216,25.606924996100133,1.9160348833744971,11.343385001237039,1.040823345328301,511.0645399996429,26.603194404550887,48.11077651977539,5.184945305745134,73326080.0,0.0,94371840.0,0.0,77163136.0,0.0,92798976.0,0.0,10.7875,0.855359938856152,0.0,0.0
qasper,small,128,gpu,5,0.00027718815981643276,2.933224224937208e-05,1.0,0.0,1503232.0,0.0,1503232.0,0.0,0.0,0.0,0.0,0.0,23.610515001200838,1.1361138654322147,2.2786500041547697,0.12386726614738994,173.074955001357,21.478063329051384,38.61700592041016,0.884385209329003,74620416.0,0.0,96468992.0,0.0,78559872.0,0.0,94371840.0,0.0,10.7875,0.855359938856152,0.0,0.0
qasper,small,256,cpu,5,0.0002709434418648016,2.037088289249022e-05,1.0,0.0,3078144.0,0.0,0.0,0.0,87756.8,6256.045012625788,8.930475001398008,0.6969150119910998,31.92465000465745,1.029905696749988,10.756874996877741,0.8700892763075257,949.7746999993979,24.85747058647803,46.192403411865236,2.014302595095427,74903040.0,0.0,100663296.0,0.0,85151104.0,0.0,98041856.0,0.0,10.7125,0.7636773697052964,0.0,0.0
qasper,small,256,gpu,5,0.0002709434418648016,2.037088289249022e-05,1.0,0.0,3078144.0,0.0,3078144.0,0.0,0.0,0.0,0.0,0.0,30.962989998806734,1.9029271194997035,1.9989499960502144,0.37977953377110896,270.3059800005576,26.750746026515788,32.66911735534668,7.4228191072574505,77704704.0,0.0,102341017.6,937874.8862299278,88085888.0,0.0,99614720.0,0.0,10.7125,0.7636773697052964,0.0,0.0
qasper,tiny,32,cpu,5,0.002598241571104154,0.0003395514312913121,1.0,0.0,86528.0,0.0,0.0,0.0,21811.2,2106.3682489061594,3.920265001215739,0.5205584934065465,8.928134998859605,0.823870682123101,4.927365002367878,0.5814170838864833,86.28374999971129,9.605789229271561,23.622072601318358,3.8602909308237385,32698368.0,0.0,46976204.8,1148657.456917074,32986240.0,0.0,46976204.8,1148657.456917074,10.65,1.0285001215362106,0.0,0.0
qasper,tiny,32,gpu,5,0.002598241571104154,0.0003395514312913121,1.0,0.0,86528.0,0.0,86528.0,0.0,0.0,0.0,0.0,0.0,9.640770002442878,1.8123655011086486,1.2586100005137268,0.27547768014048535,54.01668499689549,16.44313240660964,19.475322341918947,2.6081872619419944,32772096.0,0.0,47395635.2,1148657.456917074,33131520.0,0.0,47395635.2,1148657.456917074,10.65,1.0285001215362106,0.0,0.0
qasper,tiny,64,cpu,5,0.0025643077329732477,0.00041414432755876106,1.0,0.0,187904.0,0.0,0.0,0.0,22988.8,2051.1975038986375,3.969984997820575,0.6714342212422009,9.650270000565797,0.7554766510121937,5.00367000058759,0.7232327560536171,139.2436199974327,9.579732418725678,21.767233276367186,1.5435601347097003,32796672.0,0.0,48234496.0,0.0,33521664.0,0.0,47710208.0,0.0,11.225,1.0015612812005066,0.0,0.0
qasper,tiny,64,gpu,5,0.0025643077329732477,0.00041414432755876106,1.0,0.0,187904.0,0.0,187904.0,0.0,0.0,0.0,0.0,0.0,9.813605002273107,0.6431065392709928,1.0384199995314702,0.11791027346099917,55.39773499767762,3.3161930311297882,18.994010543823244,0.6956455221358102,32960512.0,0.0,48234496.0,0.0,33698304.0,0.0,47710208.0,0.0,11.225,1.0015612812005066,0.0,0.0
qasper,tiny,128,cpu,5,0.00236636329209432,0.00035176537610641,1.0,0.0,375808.0,0.0,0.0,0.0,23961.6,3645.6413427543857,4.201525000098627,0.5811932063267857,11.783685001864797,0.6222651297636893,5.113029998756247,0.6440738597891044,249.84855000002426,17.498097418981448,21.434698486328124,1.2520478203164997,32994304.0,0.0,50331648.0,0.0,35054464.0,0.0,48758784.0,0.0,11.7,1.78009831189179,0.0,0.0
