dataset,layer,mean_out_degree,effective_branching_factor,unique_neighbor_count,duplicate_neighbor_rate,connected_component_count,giant_component_fraction,graph_density,reciprocal_edge_rate,mean_evidence_native_distance,shortcut_rate,unreachable_evidence_fraction,depth_contraction,complete_recovery,node_recall,examples
2wikimultihopqa,24,5.958333333333333,2.692727002987,8.083333333333334,0.8667416688250021,1.0,1.0,0.6553742417713005,0.6819644090477425,1.0520833333333333,0.0,0.08333333333333333,1.0869565217391304,0.9583333333333334,0.9791666666666666,24
2wikimultihopqa,27,5.958333333333333,2.6237467877679603,7.666666666666667,0.8729951761201762,1.0,1.0,0.6553742417713005,0.6841249028749029,1.03125,0.0,0.09722222222222222,1.0869565217391304,0.9583333333333334,0.9791666666666666,24
all,0,5.976190476190476,3.4281948641235545,14.428571428571429,0.8384782251047779,1.0,1.0,0.5091243015567093,0.5291363966281759,1.2333333333333332,0.17857142857142858,0.047619047619047616,1.25,0.9523809523809523,0.9821428571428571,42
all,4,5.976190476190476,2.7957487018806626,8.785714285714286,0.8917129030958802,1.0,1.0,0.5091243015567093,0.5367801683300709,1.1127450980392157,0.16666666666666666,0.07936507936507936,1.3076923076923077,0.9285714285714286,0.9761904761904762,42
all,8,5.976190476190476,2.859668060208002,9.119047619047619,0.8876910376156812,1.0,1.0,0.5091243015567093,0.5385139862167629,1.2205882352941178,0.15079365079365079,0.05952380952380952,1.2439024390243902,0.9761904761904762,0.9880952380952381,42
all,12,5.976190476190476,2.9591849505926504,10.5,0.8732881282277672,1.0,1.0,0.5091243015567093,0.5376593971428645,1.1568627450980393,0.1388888888888889,0.05555555555555556,1.3414634146341464,0.9761904761904762,0.9880952380952381,42
all,16,5.976190476190476,2.877279800664378,9.333333333333334,0.8856231432839794,1.0,1.0,0.5091243015567093,0.5347758565043306,1.161764705882353,0.11507936507936507,0.06746031746031747,1.2682926829268293,0.9761904761904762,0.9880952380952381,42
all,20,5.976190476190476,2.8566167171359718,9.095238095238095,0.8878924565671004,1.0,1.0,0.5091243015567093,0.5354657013194342,1.161764705882353,0.12301587301587302,0.05555555555555556,1.225,0.9523809523809523,0.9821428571428571,42
all,24,5.976190476190476,2.8443156013326196,9.0,0.8884683998707869,1.0,1.0,0.5091243015567093,0.5349879681386197,1.0858585858585859,0.13095238095238096,0.07142857142857142,1.35,0.9523809523809523,0.9761904761904762,42
all,27,5.976190476190476,2.7875347021402024,8.738095238095237,0.8922984377782057,1.0,1.0,0.5091243015567093,0.5385181933600214,1.0606060606060606,0.19047619047619047,0.07936507936507937,1.425,0.9523809523809523,0.9801587301587301,42
