dataset,example_id,partition,question_type,annotated_hops,graph_type,chunk_size,source_node,target_node,source_annotated_step,target_annotated_step,source_parent_group,target_parent_group,mapping_status,partial_parent_overlap,target_native_rank,reciprocal_rank,recovered_at_1,recovered_at_2,recovered_at_3,recovered_at_4,recovered_at_5,recovered_at_6,recovered_at_8,recovered_at_11,shortest_path_at_1,path_distortion_at_1,shortest_path_at_2,path_distortion_at_2,shortest_path_at_3,path_distortion_at_3,shortest_path_at_4,path_distortion_at_4,shortest_path_at_5,path_distortion_at_5,shortest_path_at_6,path_distortion_at_6,shortest_path_at_8,path_distortion_at_8,shortest_path_at_11,path_distortion_at_11,layer,lexical_overlap,lexical_group
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[2],[6],preserved,0,1,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8,0.12121212121212122,high
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[2],[6],preserved,0,3,0.3333333333333333,0,0,1,1,1,1,1,1,4,3,2,1,1,0,1,0,1,0,1,0,1,0,1,0,12,0.12121212121212122,high
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[2],[6],preserved,0,3,0.3333333333333333,0,0,1,1,1,1,1,1,3,2,2,1,1,0,1,0,1,0,1,0,1,0,1,0,16,0.12121212121212122,high
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[2],[6],preserved,0,3,0.3333333333333333,0,0,1,1,1,1,1,1,3,2,2,1,1,0,1,0,1,0,1,0,1,0,1,0,20,0.12121212121212122,high
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[2],[6],preserved,0,1,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,24,0.12121212121212122,high
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[2],[6],preserved,0,5,0.2,0,0,0,0,1,1,1,1,,,,,,,2,1,1,0,1,0,1,0,1,0,27,0.12121212121212122,high
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[9, 10]",[9],collapsed,1,,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0.12195121951219512,high
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[9, 10]",[9],collapsed,1,,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4,0.12195121951219512,high
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[9, 10]",[9],collapsed,1,,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8,0.12195121951219512,high
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[9, 10]",[9],collapsed,1,,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,12,0.12195121951219512,high
