layer,context_radius,examples,attention_contribution_ratio,attention_contribution_ratio_ci_low,attention_contribution_ratio_ci_high,post_attention_displacement,post_attention_displacement_ci_low,post_attention_displacement_ci_high,post_attention_rotation,post_attention_rotation_ci_low,post_attention_rotation_ci_high,ffn_contribution_ratio,ffn_contribution_ratio_ci_low,ffn_contribution_ratio_ci_high,attention_entropy,attention_entropy_ci_low,attention_entropy_ci_high,effective_attention_support,effective_attention_support_ci_low,effective_attention_support_ci_high,self_attention_fraction,self_attention_fraction_ci_low,self_attention_fraction_ci_high,local_attention_fraction,local_attention_fraction_ci_low,local_attention_fraction_ci_high,distant_attention_fraction,distant_attention_fraction_ci_low,distant_attention_fraction_ci_high,evidence_attention_fraction,evidence_attention_fraction_ci_low,evidence_attention_fraction_ci_high,intervention_displacement,intervention_displacement_ci_low,intervention_displacement_ci_high,intervention_rotation,intervention_rotation_ci_low,intervention_rotation_ci_high
8,16,42,0.2689245446097283,0.26390051274072557,0.2740601216043745,0.2689248280865805,0.26390077883288976,0.27406045439697446,0.03411047746028219,0.03313466884373199,0.03507521163140025,0.3507040483610971,0.3482307025364467,0.35339483476820444,1.6052465268543787,1.588911839893886,1.6203716368902297,9.346199387595767,9.156549703507196,9.531102838970366,0.08815590309954825,0.08782982737535522,0.08849985595969927,0.40068361943676356,0.39876199336279006,0.40238933903830393,0.5993163088957468,0.5976105602014632,0.601237993864786,0.10267465280014135,0.07735830733907365,0.13034822840598367,0.7990136558101291,0.7905540381159101,0.807478544257936,0.3129649595135734,0.30740896789800554,0.318481418348494
8,32,42,0.2689245446097283,0.26390051274072557,0.2740601216043745,0.2689248280865805,0.26390077883288976,0.27406045439697446,0.03411047746028219,0.03313466884373199,0.03507521163140025,0.3507040483610971,0.3482307025364467,0.35339483476820444,1.6052465268543787,1.588911839893886,1.6203716368902297,9.346199387595767,9.156549703507196,9.531102838970366,0.08815590309954825,0.08782982737535522,0.08849985595969927,0.40068361943676356,0.39876199336279006,0.40238933903830393,0.5993163088957468,0.5976105602014632,0.601237993864786,0.10267465280014135,0.07735830733907365,0.13034822840598367,0.6859923359893617,0.6794007150899797,0.6928316723732721,0.2501970696307364,0.2458688829626356,0.2546949670428321
12,full,42,0.2129498901111739,0.20980110658066614,0.21623260705243974,0.21295058549869628,0.20980194069090344,0.2162332595104263,0.01940174981774319,0.018953314583216394,0.01987872157423269,0.24784163314671742,0.24604316907269613,0.24968608965476355,2.117441552025931,2.099832120395842,2.134859153202602,12.639700321924119,12.383252121153332,12.890621821085611,0.050147232377812975,0.049745915368908926,0.0505423555594115,0.450907045177051,0.4475701940911157,0.45418988664944965,0.5490929995264325,0.5458101616019294,0.5524298350016276,0.1028939272897939,0.07930522467497558,0.1288391554816848,0.0,0.0,0.0,0.0,0.0,0.0
12,1,42,0.2129498901111739,0.20980110658066614,0.21623260705243974,0.21295058549869628,0.20980194069090344,0.2162332595104263,0.01940174981774319,0.018953314583216394,0.01987872157423269,0.24784163314671742,0.24604316907269613,0.24968608965476355,2.117441552025931,2.099832120395842,2.134859153202602,12.639700321924119,12.383252121153332,12.890621821085611,0.050147232377812975,0.049745915368908926,0.0505423555594115,0.450907045177051,0.4475701940911157,0.45418988664944965,0.5490929995264325,0.5458101616019294,0.5524298350016276,0.1028939272897939,0.07930522467497558,0.1288391554816848,1.075246947152274,1.0734578257515317,1.0770133989197868,0.9231312033675966,0.9193231137025923,0.9268749157587687
12,16,42,0.2129498901111739,0.20980110658066614,0.21623260705243974,0.21295058549869628,0.20980194069090344,0.2162332595104263,0.01940174981774319,0.018953314583216394,0.01987872157423269,0.24784163314671742,0.24604316907269613,0.24968608965476355,2.117441552025931,2.099832120395842,2.134859153202602,12.639700321924119,12.383252121153332,12.890621821085611,0.050147232377812975,0.049745915368908926,0.0505423555594115,0.450907045177051,0.4475701940911157,0.45418988664944965,0.5490929995264325,0.5458101616019294,0.5524298350016276,0.1028939272897939,0.07930522467497558,0.1288391554816848,0.9451946672939119,0.9392886431444258,0.9510861904848189,0.40949544523443493,0.4048663611922945,0.41417752844946726
12,32,42,0.2129498901111739,0.20980110658066614,0.21623260705243974,0.21295058549869628,0.20980194069090344,0.2162332595104263,0.01940174981774319,0.018953314583216394,0.01987872157423269,0.24784163314671742,0.24604316907269613,0.24968608965476355,2.117441552025931,2.099832120395842,2.134859153202602,12.639700321924119,12.383252121153332,12.890621821085611,0.050147232377812975,0.049745915368908926,0.0505423555594115,0.450907045177051,0.4475701940911157,0.45418988664944965,0.5490929995264325,0.5458101616019294,0.5524298350016276,0.1028939272897939,0.07930522467497558,0.1288391554816848,0.8155129935060229,0.8107647001743317,0.8203622159503755,0.33390834856600987,0.32993478221552713,0.3379098936205819
16,full,42,0.27424862838926767,0.2705596763463247,0.2781572469643184,0.2742489462807065,0.2705598367112024,0.27815772593021393,0.02693499123588914,0.02631541798334746,0.02761160728654691,0.3945938930625007,0.39326842554977964,0.39602171239398776,1.6828412441980272,1.6723569149062747,1.6948384784516835,9.586237657637824,9.439196359543573,9.74070508139474,0.07222035491750353,0.07163716639791216,0.07280047894233749,0.4394882803871518,0.4361274668148586,0.44281950734910513,0.5605119608697438,0.5571805522555396,0.5638731235549563,0.1011359517107762,0.07622555705408256,0.1280425670556724,0.0,0.0,0.0,0.0,0.0,0.0
16,1,42,0.27424862838926767,0.2705596763463247,0.2781572469643184,0.2742489462807065,0.2705598367112024,0.27815772593021393,0.02693499123588914,0.02631541798334746,0.02761160728654691,0.3945938930625007,0.39326842554977964,0.39602171239398776,1.6828412441980272,1.6723569149062747,1.6948384784516835,9.586237657637824,9.439196359543573,9.74070508139474,0.07222035491750353,0.07163716639791216,0.07280047894233749,0.4394882803871518,0.4361274668148586,0.44281950734910513,0.5605119608697438,0.5571805522555396,0.5638731235549563,0.1011359517107762,0.07622555705408256,0.1280425670556724,1.0399218258403597,1.0373456790333702,1.0424939223698206,0.8830439022609166,0.8766277219567981,0.8894621701467604
16,16,42,0.27424862838926767,0.2705596763463247,0.2781572469643184,0.2742489462807065,0.2705598367112024,0.27815772593021393,0.02693499123588914,0.02631541798334746,0.02761160728654691,0.3945938930625007,0.39326842554977964,0.39602171239398776,1.6828412441980272,1.6723569149062747,1.6948384784516835,9.586237657637824,9.439196359543573,9.74070508139474,0.07222035491750353,0.07163716639791216,0.07280047894233749,0.4394882803871518,0.4361274668148586,0.44281950734910513,0.5605119608697438,0.5571805522555396,0.5638731235549563,0.1011359517107762,0.07622555705408256,0.1280425670556724,0.9746978268736884,0.9701973455292838,0.9789685748872303,0.43227043605986093,0.4289391047897793,0.43548001987593515
16,32,42,0.27424862838926767,0.2705596763463247,0.2781572469643184,0.2742489462807065,0.2705598367112024,0.27815772593021393,0.02693499123588914,0.02631541798334746,0.02761160728654691,0.3945938930625007,0.39326842554977964,0.39602171239398776,1.6828412441980272,1.6723569149062747,1.6948384784516835,9.586237657637824,9.439196359543573,9.74070508139474,0.07222035491750353,0.07163716639791216,0.07280047894233749,0.4394882803871518,0.4361274668148586,0.44281950734910513,0.5605119608697438,0.5571805522555396,0.5638731235549563,0.1011359517107762,0.07622555705408256,0.1280425670556724,0.8416007501738412,0.8378126678012666,0.8455779268628075,0.35068276595501674,0.34749094929013935,0.3536306435153598
20,full,42,0.2623409348584357,0.25912743948754813,0.26587497620355516,0.2623409249243282,0.25912753031367347,0.26587510995921637,0.02879944368309918,0.028088915250485853,0.0295833588710853,0.3862167327176957,0.3826666140840167,0.38990206732636407,1.1587003157252358,1.1479240485600062,1.1697588648114885,4.7655554839542935,4.691640865235102,4.845001856486003,0.045104743646723885,0.044599710387133416,0.04562080305601869,0.3401427283173516,0.337703505442256,0.34248061052390505,0.6598571893714723,0.6575195207482293,0.6622966215724037,0.10237240181526258,0.0736920030654541,0.133696540524917,0.0,0.0,0.0,0.0,0.0,0.0
20,1,42,0.2623409348584357,0.25912743948754813,0.26587497620355516,0.2623409249243282,0.25912753031367347,0.26587510995921637,0.02879944368309918,0.028088915250485853,0.0295833588710853,0.3862167327176957,0.3826666140840167,0.38990206732636407,1.1587003157252358,1.1479240485600062,1.1697588648114885,4.7655554839542935,4.691640865235102,4.845001856486003,0.045104743646723885,0.044599710387133416,0.04562080305601869,0.3401427283173516,0.337703505442256,0.34248061052390505,0.6598571893714723,0.6575195207482293,0.6622966215724037,0.10237240181526258,0.0736920030654541,0.133696540524917,1.0111283858617146,1.0091134962581454,1.0131426425207228,0.8516535574481601,0.8456577090989976,0.8576953155653817
