dataset,example_id,partition,layer,annotated_hops,graph_type,parent_count,oracle_parent_count,minimum_native_recovery_depth,depth_contraction,complete_recovery,node_recall,mean_out_degree,effective_branching_factor,unique_neighbor_count,duplicate_neighbor_rate,connected_component_count,giant_component_fraction,graph_density,reciprocal_edge_rate,mean_evidence_native_distance,unreachable_evidence_fraction,shortcut_rate,shortcut_pairs,shortcut_eligible_pairs
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,27,2,chain,15,2,1,1,1,1.0,6.0,2.731000024116004,8.0,0.9111111111111111,1.0,1.0,0.42857142857142855,0.4666666666666667,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,0,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,4,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,8,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,12,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,16,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,20,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,24,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,27,2,chain,6,3,1,1,1,1.0,5.0,2.23606797749979,6.0,0.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,0,2,chain,16,3,1,1,1,1.0,6.0,3.7985149750415275,16.0,0.8333333333333334,1.0,1.0,0.4,0.4791666666666667,1.0,0.0,0.0,0,0
