dataset,example_id,partition,annotated_hops,layer,chunk_size,minimum_native_depth,complete_recovery,node_recall,parent_count
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,12,128,0,1,1.0,6
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,12,256,0,1,1.0,3
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,27,32,0,1,1.0,21
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,27,128,0,1,1.0,6
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,27,256,0,1,1.0,3
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,0,32,0,1,1.0,41
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,0,128,0,1,1.0,11
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,0,256,0,1,1.0,6
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,12,32,0,1,1.0,41
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,12,128,0,1,1.0,11
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,12,256,0,1,1.0,6
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,27,32,0,1,1.0,41
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,27,128,0,1,1.0,11
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,1,27,256,0,1,1.0,6
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,0,32,1,1,1.0,30
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,0,128,1,1,1.0,8
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,0,256,1,1,1.0,4
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,12,32,,0,0.8,30
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,12,128,1,1,1.0,8
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,12,256,1,1,1.0,4
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,27,32,2,1,1.0,30
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,27,128,1,1,1.0,8
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,2,27,256,1,1,1.0,4
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,0,32,,0,0.5,35
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,0,128,1,1,1.0,9
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,0,256,1,1,1.0,5
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,12,32,,0,0.5,35
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,12,128,1,1,1.0,9
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,12,256,1,1,1.0,5
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,27,32,,0,0.5,35
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,27,128,2,1,1.0,9
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,2,27,256,1,1,1.0,5
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,0,32,3,1,1.0,31
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,0,128,1,1,1.0,8
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,0,256,1,1,1.0,4
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,12,32,,0,0.5,31
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,12,128,1,1,1.0,8
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,12,256,1,1,1.0,4
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,27,32,3,1,1.0,31
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,27,128,1,1,1.0,8
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,2,27,256,1,1,1.0,4
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,0,32,0,1,1.0,26
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,0,128,0,1,1.0,7
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,0,256,0,1,1.0,4
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,12,32,0,1,1.0,26
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,12,128,0,1,1.0,7
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,12,256,0,1,1.0,4
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,27,32,0,1,1.0,26
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,27,128,0,1,1.0,7
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,1,27,256,0,1,1.0,4
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,0,32,,0,0.5,60
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,0,128,2,1,1.0,15
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,0,256,1,1,1.0,8
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,12,32,1,1,1.0,60
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,12,128,1,1,1.0,15
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,12,256,1,1,1.0,8
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,27,32,1,1,1.0,60
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,27,128,1,1,1.0,15
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,2,27,256,1,1,1.0,8
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,0,32,1,1,1.0,23
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,0,128,1,1,1.0,6
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,0,256,0,1,1.0,3
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,12,32,1,1,1.0,23
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,12,128,1,1,1.0,6
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,12,256,0,1,1.0,3
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,27,32,1,1,1.0,23
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,27,128,1,1,1.0,6
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,2,27,256,0,1,1.0,3
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,0,32,,0,0.5,64
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,0,128,1,1,1.0,16
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,0,256,1,1,1.0,8
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,12,32,,0,0.5,64
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,12,128,,0,0.5,16
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,12,256,1,1,1.0,8
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,27,32,,0,0.5,64
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,27,128,,0,0.5,16
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,2,27,256,1,1,1.0,8
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,0,32,,0,0.5,55
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,0,128,,0,0.5,14
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,0,256,1,1,1.0,7
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,12,32,,0,0.5,55
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,12,128,1,1,1.0,14
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,12,256,1,1,1.0,7
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,27,32,,0,0.5,55
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,27,128,1,1,1.0,14
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,2,27,256,1,1,1.0,7
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,0,32,,0,0.5,44
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,0,128,1,1,1.0,11
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,0,256,1,1,1.0,6
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,12,32,3,1,1.0,44
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,12,128,1,1,1.0,11
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,12,256,1,1,1.0,6
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,27,32,,0,0.5,44
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,27,128,1,1,1.0,11
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,2,27,256,1,1,1.0,6
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,0,32,0,1,1.0,51
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,0,128,0,1,1.0,13
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,0,256,0,1,1.0,7
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,12,32,0,1,1.0,51
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,12,128,0,1,1.0,13
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,12,256,0,1,1.0,7
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,27,32,0,1,1.0,51
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,27,128,0,1,1.0,13
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,1,27,256,0,1,1.0,7
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,0,32,0,1,1.0,13
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,0,128,0,1,1.0,4
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,0,256,0,1,1.0,2
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,12,32,0,1,1.0,13
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,12,128,0,1,1.0,4
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,12,256,0,1,1.0,2
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,27,32,0,1,1.0,13
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,27,128,0,1,1.0,4
2wikimultihopqa,0063e31f08eb11ebbda7ac1f6bf848b6,validation,1,27,256,0,1,1.0,2
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,0,32,,0,0.5,72
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,0,128,1,1,1.0,18
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,0,256,1,1,1.0,9
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,12,32,,0,0.5,72
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,12,128,,0,0.5,18
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,12,256,1,1,1.0,9
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,27,32,,0,0.5,72
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,27,128,,0,0.5,18
2wikimultihopqa,0069c0220bde11eba7f7acde48001122,validation,2,27,256,2,1,1.0,9
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,0,32,0,1,1.0,50
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,0,128,0,1,1.0,13
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,0,256,0,1,1.0,7
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,12,32,0,1,1.0,50
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,12,128,0,1,1.0,13
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,12,256,0,1,1.0,7
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,27,32,0,1,1.0,50
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,27,128,0,1,1.0,13
2wikimultihopqa,006b525c08e111ebbda2ac1f6bf848b6,test,1,27,256,0,1,1.0,7
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,0,32,1,1,1.0,57
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,0,128,1,1,1.0,15
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,0,256,1,1,1.0,8
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,12,32,,0,0.5,57
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,12,128,1,1,1.0,15
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,12,256,1,1,1.0,8
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,27,32,,0,0.5,57
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,27,128,1,1,1.0,15
2wikimultihopqa,006d81bc0bde11eba7f7acde48001122,test,2,27,256,1,1,1.0,8
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,0,32,2,0,0.5,31
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,0,128,1,1,1.0,8
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,0,256,0,1,1.0,4
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,12,32,3,1,1.0,31
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,12,128,1,1,1.0,8
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,12,256,0,1,1.0,4
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,27,32,,0,0.5,31
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,27,128,1,1,1.0,8
2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,validation,2,27,256,0,1,1.0,4
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,0,32,1,1,1.0,38
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,0,128,1,1,1.0,10
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,0,256,1,1,1.0,5
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,12,32,2,1,1.0,38
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,12,128,1,1,1.0,10
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,12,256,1,1,1.0,5
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,27,32,,0,0.5,38
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,27,128,1,1,1.0,10
2wikimultihopqa,0083038e0bde11eba7f7acde48001122,test,2,27,256,1,1,1.0,5
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,0,32,2,1,1.0,51
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,0,128,2,1,1.0,13
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,0,256,1,1,1.0,7
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,12,32,,0,0.5,51
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,12,128,,0,0.5,13
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,12,256,1,1,1.0,7
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,27,32,,0,0.5,51
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,27,128,,0,0.5,13
2wikimultihopqa,008af56e0bdc11eba7f7acde48001122,test,2,27,256,1,1,1.0,7
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,0,32,0,1,1.0,42
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,0,128,0,1,1.0,11
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,0,256,0,1,1.0,6
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,12,32,0,1,1.0,42
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,12,128,0,1,1.0,11
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,12,256,0,1,1.0,6
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,27,32,0,1,1.0,42
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,27,128,0,1,1.0,11
2wikimultihopqa,008b58060baf11ebab90acde48001122,test,2,27,256,0,1,1.0,6
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,0,32,1,1,1.0,24
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,0,128,0,1,1.0,6
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,0,256,0,1,1.0,3
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,12,32,,0,0.5,24
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,12,128,0,1,1.0,6
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,12,256,0,1,1.0,3
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,27,32,3,1,1.0,24
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,27,128,0,1,1.0,6
2wikimultihopqa,008c393e088411ebbd6dac1f6bf848b6,test,2,27,256,0,1,1.0,3
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,0,32,1,1,1.0,26
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,0,128,1,1,1.0,7
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,0,256,1,1,1.0,4
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,12,32,2,1,1.0,26
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,12,128,1,1,1.0,7
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,12,256,1,1,1.0,4
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,27,32,2,1,1.0,26
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,27,128,1,1,1.0,7
2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,validation,2,27,256,1,1,1.0,4
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,0,32,1,1,1.0,31
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,0,128,1,1,1.0,8
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,0,256,1,1,1.0,4
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,12,32,1,1,1.0,31
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,12,128,1,1,1.0,8
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,12,256,1,1,1.0,4
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,27,32,1,1,1.0,31
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,27,128,1,1,1.0,8
2wikimultihopqa,00a6129c085611ebbd59ac1f6bf848b6,test,2,27,256,1,1,1.0,4
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,0,32,1,1,1.0,24
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,0,128,1,1,1.0,6
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,0,256,1,1,1.0,3
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,12,32,2,1,1.0,24
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,12,128,1,1,1.0,6
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,12,256,1,1,1.0,3
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,27,32,1,1,1.0,24
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,27,128,1,1,1.0,6
2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,validation,2,27,256,1,1,1.0,3
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,0,32,0,1,1.0,21
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,0,128,0,1,1.0,6
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,0,256,0,1,1.0,3
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,12,32,0,1,1.0,21
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,12,128,0,1,1.0,6
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,12,256,0,1,1.0,3
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,27,32,0,1,1.0,21
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,27,128,0,1,1.0,6
2wikimultihopqa,00c2089e089911ebbd77ac1f6bf848b6,validation,1,27,256,0,1,1.0,3
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,0,32,0,1,1.0,30
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,0,128,0,1,1.0,8
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,0,256,0,1,1.0,4
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,12,32,0,1,1.0,30
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,12,128,0,1,1.0,8
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,12,256,0,1,1.0,4
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,27,32,0,1,1.0,30
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,27,128,0,1,1.0,8
2wikimultihopqa,00ce250d095f11ebbdafac1f6bf848b6,validation,1,27,256,0,1,1.0,4
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,0,32,,0,0.5,41
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,0,128,1,1,1.0,11
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,0,256,1,1,1.0,6
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,12,32,,0,0.75,41
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,12,128,1,1,1.0,11
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,12,256,1,1,1.0,6
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,27,32,2,1,1.0,41
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,27,128,1,1,1.0,11
2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,validation,2,27,256,1,1,1.0,6
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,0,32,1,1,1.0,46
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,0,128,1,1,1.0,12
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,0,256,1,1,1.0,6
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,12,32,,0,0.5,46
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,12,128,2,1,1.0,12
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,12,256,1,1,1.0,6
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,27,32,,0,0.5,46
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,27,128,2,1,1.0,12
2wikimultihopqa,00de046a0bb011ebab90acde48001122,validation,2,27,256,1,1,1.0,6
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,0,32,2,1,1.0,26
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,0,128,1,1,1.0,7
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,0,256,1,1,1.0,4
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,12,32,2,1,1.0,26
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,12,128,1,1,1.0,7
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,12,256,1,1,1.0,4
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,27,32,2,1,1.0,26
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,27,128,1,1,1.0,7
2wikimultihopqa,00efceca0bb011ebab90acde48001122,validation,2,27,256,1,1,1.0,4
2wikimultihopqa,00fc38720bb011ebab90acde48001122,test,2,0,32,2,1,1.0,43
2wikimultihopqa,00fc38720bb011ebab90acde48001122,test,2,0,128,1,1,1.0,11
