active_kv_bytes,all_evidence_recall,any_evidence_recall,dataset,examples,extra_routing_cache_fraction,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_representation,score_position_correlation,selected_fraction,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds
264704.0,0.5,0.875,hotpotqa,8,0.004107074927266919,0.07600824420677361,0.1875,64.625,0.5446426510651132,0.5511904761904762,0.0012490749977587257,0.375,1.0,0.75,0.875,128,pre_rope_key,0.3396875673431866,0.6080659536541889,0.7083333333333334,8,4.1428999829804524e-05,0.0018781850012601353
264704.0,1.0,1.0,hotpotqa,8,0.004107074927266919,0.07600824420677361,0.1875,64.625,0.5227395268568553,0.5511904761904762,0.0012490749977587257,0.375,1.0,0.75,0.875,128,pre_rope_key,0.3396875673431866,0.9926470588235294,1.0,16,4.769050021423027e-05,0.0016413599994848482
524288.0,0.0,0.125,qasper,8,0.00784811994819519,0.027422507824993572,0.0625,128.0,0.49944426296032274,0.21546922862712337,0.0019231499973102473,0.125,0.625,0.125,0.5,64,hidden_state,-0.048108462912678035,0.04113376173749035,0.0625,3,5.396699998527765e-05,0.0018209825000667478
524288.0,0.375,0.5,qasper,8,0.00784811994819519,0.027422507824993572,0.0625,128.0,0.45552230196323285,0.21546922862712337,0.0019231499973102473,0.125,0.625,0.125,0.5,64,hidden_state,-0.048108462912678035,0.10969003129997429,0.4375,8,5.631399995763786e-05,0.002003430001059314
524288.0,0.5,0.625,qasper,8,0.00784811994819519,0.027422507824993572,0.0625,128.0,0.46660884065326047,0.21546922862712337,0.0019231499973102473,0.125,0.625,0.125,0.5,64,hidden_state,-0.048108462912678035,0.21938006259994858,0.5625,16,4.575500017381273e-05,0.0020310550011345186
524288.0,0.125,0.25,qasper,8,0.0039445813120814925,0.027274783956498544,0.0625,128.0,0.445699072793935,0.23608630952380952,0.0016910250014916528,0.125,0.625,0.25,0.375,128,hidden_state,-0.06463451280637261,0.08182435186949563,0.1875,3,5.0827500090235844e-05,0.002143337500456255
524288.0,0.25,0.375,qasper,8,0.0039445813120814925,0.027274783956498544,0.0625,128.0,0.43899633758241047,0.23608630952380952,0.0016910250014916528,0.125,0.625,0.25,0.375,128,hidden_state,-0.06463451280637261,0.21819827165198835,0.3125,8,5.681549999280833e-05,0.0019466650002868846
524288.0,0.375,0.625,qasper,8,0.0039445813120814925,0.027274783956498544,0.0625,128.0,0.5043288300158005,0.23608630952380952,0.0016910250014916528,0.125,0.625,0.25,0.375,128,hidden_state,-0.06463451280637261,0.4363965433039767,0.5,16,4.363100029877387e-05,0.00203344249894144
524288.0,0.0,0.0,qasper,8,0.00784811994819519,0.027422507824993572,0.0,128.0,0.5488412438500647,0.08518668831168831,0.0021080124970467295,0.0,0.75,0.0,0.125,64,pre_rope_key,-0.025161311501855573,0.04113376173749035,0.0,3,5.3940000216243786e-05,0.002139662500121631
524288.0,0.125,0.125,qasper,8,0.00784811994819519,0.027422507824993572,0.0,128.0,0.5265372593618736,0.08518668831168831,0.0021080124970467295,0.0,0.75,0.0,0.125,64,pre_rope_key,-0.025161311501855573,0.10969003129997429,0.125,8,5.150099997990765e-05,0.002027997499681078
