active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_selected_normalized_position,median_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds
393216,0.0,1.0,3,39,3,393216,hotpotqa,4984832,5adc3aff5542996e685252eb,0.01602300739523418,1,0.07692307692307693,0.5,96,0.5302656806354423,0.5127362366474938,0.3333333333333333,0.0016033999854698777,0.0,1.0,1.0,1.0,32,79872,hidden_state,0.3207829379660632,20260811,3,0.07692307692307693,1217,0.5,3,5.4091999772936105e-05,0.0018625000026077031
524288,1.0,1.0,3,39,4,524288,hotpotqa,4984832,5adc3aff5542996e685252eb,0.01602300739523418,1,0.10256410256410256,0.5,128,0.562037797863599,0.49958915365653245,0.3333333333333333,0.0016033999854698777,0.0,1.0,1.0,1.0,32,79872,hidden_state,0.3207829379660632,20260811,8,0.20512820512820512,1217,1.0,8,4.415999981574714e-05,0.001929060003021732
524288,1.0,1.0,3,39,4,524288,hotpotqa,4984832,5adc3aff5542996e685252eb,0.01602300739523418,1,0.10256410256410256,0.5,128,0.6014790468364831,0.5653245686113393,0.3333333333333333,0.0016033999854698777,0.0,1.0,1.0,1.0,32,79872,hidden_state,0.3207829379660632,20260811,16,0.41025641025641024,1217,1.0,16,7.410399965010584e-05,0.001555979996919632
393216,0.0,1.0,1,40,3,393216,hotpotqa,5206016,5ab56db7554299494045efc6,0.015735641227380016,1,0.075,0.3333333333333333,96,0.5916601101494886,0.6420141620771046,1.0,0.0014415000041481107,1.0,1.0,1.0,1.0,32,81920,hidden_state,-0.0926557213104517,20260811,3,0.075,1271,0.3333333333333333,3,6.248399964533746e-05,0.0017999399977270513
524288,1.0,1.0,1,40,4,524288,hotpotqa,5206016,5ab56db7554299494045efc6,0.015735641227380016,1,0.1,0.3333333333333333,128,0.4752163650668765,0.5538945712037765,1.0,0.0014415000041481107,1.0,1.0,1.0,1.0,32,81920,hidden_state,-0.0926557213104517,20260811,8,0.2,1271,1.0,8,3.8151999469846486e-05,0.0016113399993628263
524288,1.0,1.0,1,40,4,524288,hotpotqa,5206016,5ab56db7554299494045efc6,0.015735641227380016,1,0.1,0.3333333333333333,128,0.4563335955940205,0.4154209284028324,1.0,0.0014415000041481107,1.0,1.0,1.0,1.0,32,81920,hidden_state,-0.0926557213104517,20260811,16,0.4,1271,1.0,16,3.904000041075051e-05,0.0021343800006434323
393216,0.0,1.0,1,48,3,393216,hotpotqa,6262784,5ab2b863554299295394685a,0.015696533682145193,1,0.0625,0.5,96,0.3104425550468716,0.2406801831262263,1.0,0.0013817000144626945,1.0,1.0,1.0,1.0,32,98304,hidden_state,0.0388458457299781,20260811,3,0.0625,1529,0.5,3,3.971599973738194e-05,0.0021362600033171474
524288,0.0,1.0,1,48,4,524288,hotpotqa,6262784,5ab2b863554299295394685a,0.015696533682145193,1,0.08333333333333333,0.5,128,0.5022890778286462,0.5232177894048398,1.0,0.0013817000144626945,1.0,1.0,1.0,1.0,32,98304,hidden_state,0.0388458457299781,20260811,8,0.16666666666666666,1529,0.5,8,4.060000064782798e-05,0.0020132999983616174
524288,0.0,1.0,1,48,4,524288,hotpotqa,6262784,5ab2b863554299295394685a,0.015696533682145193,1,0.08333333333333333,0.5,128,0.49313276651406146,0.4185742315238718,1.0,0.0013817000144626945,1.0,1.0,1.0,1.0,32,98304,hidden_state,0.0388458457299781,20260811,16,0.3333333333333333,1529,0.5,16,4.0216000052168965e-05,0.0020713399979285898
393216,0.0,1.0,3,36,3,393216,hotpotqa,4718592,5a710a915542994082a3e504,0.015625,1,0.08333333333333333,0.5,96,0.7361111111111112,0.7361111111111112,0.3333333333333333,0.0020708999945782125,0.0,1.0,1.0,1.0,32,73728,hidden_state,-0.2015007274074042,20260811,3,0.08333333333333333,1152,0.5,3,7.0611999835819e-05,0.002233659999910742
