case_id,seed,k,probe_breadth,required_action_rank,hypothesis_recall,address_recall,trigger_materialized,probe_count,expansion_count,false_positive_expansions,expansion_precision,materialized_bytes,search_latency_seconds
entity-custodian,23,16,16,8,1,1,1,16,16,15,0.0625,8732,0.0418183000292629
entity-custodian,37,4,1,2,0,0,0,1,1,1,0.0,521,0.0008187999483197927
entity-custodian,37,4,2,2,1,1,1,2,2,1,0.5,1323,0.0023165999446064234
entity-custodian,37,4,4,2,1,1,1,4,4,3,0.25,2365,0.00288940011523664
entity-custodian,37,8,1,4,0,0,0,1,1,1,0.0,523,0.002077799988910556
entity-custodian,37,8,2,4,0,0,0,2,2,2,0.0,1047,0.004134800052270293
entity-custodian,37,8,4,4,1,1,1,4,4,3,0.25,2369,0.006604100111871958
entity-custodian,37,8,8,4,1,1,1,8,8,7,0.125,4457,0.009405999910086393
entity-custodian,37,16,1,15,0,0,0,1,1,1,0.0,525,0.0027529001235961914
entity-custodian,37,16,2,15,0,0,0,2,2,2,0.0,1048,0.005983900045976043
entity-custodian,37,16,4,15,0,0,0,4,4,4,0.0,2088,0.011628999840468168
entity-custodian,37,16,16,15,1,1,1,16,16,15,0.0625,8732,0.044578999979421496
entity-custodian,53,4,1,1,1,1,1,1,1,0,1.0,802,0.0006986998487263918
entity-custodian,53,4,2,1,1,1,1,2,2,1,0.5,1322,0.0015102000907063484
entity-custodian,53,4,4,1,1,1,1,4,4,3,0.25,2365,0.002867500064894557
entity-custodian,53,8,1,4,0,0,0,1,1,1,0.0,521,0.0013506000395864248
entity-custodian,53,8,2,4,0,0,0,2,2,2,0.0,1044,0.0024799001403152943
entity-custodian,53,8,4,4,1,1,1,4,4,3,0.25,2368,0.00709509989246726
entity-custodian,53,8,8,4,1,1,1,8,8,7,0.125,4457,0.014338700100779533
entity-custodian,53,16,1,10,0,0,0,1,1,1,0.0,521,0.002885000081732869
entity-custodian,53,16,2,10,0,0,0,2,2,2,0.0,1041,0.004050000105053186
entity-custodian,53,16,4,10,0,0,0,4,4,4,0.0,2087,0.014343000017106533
entity-custodian,53,16,16,10,1,1,1,16,16,15,0.0625,8732,0.046369099989533424
entity-custodian,71,4,1,2,0,0,0,1,1,1,0.0,520,0.0010476999450474977
entity-custodian,71,4,2,2,1,1,1,2,2,1,0.5,1322,0.0014721001498401165
entity-custodian,71,4,4,2,1,1,1,4,4,3,0.25,2365,0.004729599924758077
entity-custodian,71,8,1,1,1,1,1,1,1,0,1.0,802,0.0015216998290270567
entity-custodian,71,8,2,1,1,1,1,2,2,1,0.5,1326,0.003205799963325262
entity-custodian,71,8,4,1,1,1,1,4,4,3,0.25,2371,0.006081799976527691
entity-custodian,71,8,8,1,1,1,1,8,8,7,0.125,4457,0.012284499825909734
entity-custodian,71,16,1,5,0,0,0,1,1,1,0.0,523,0.0025536001194268465
entity-custodian,71,16,2,5,0,0,0,2,2,2,0.0,1046,0.006057800026610494
entity-custodian,71,16,4,5,0,0,0,4,4,4,0.0,2089,0.012502099853008986
entity-custodian,71,16,16,5,1,1,1,16,16,15,0.0625,8732,0.0348662999458611
alias-bluebird,11,4,1,1,1,1,1,1,1,0,1.0,854,0.0007853000424802303
alias-bluebird,11,4,2,1,1,1,1,2,2,1,0.5,1374,0.002168599981814623
alias-bluebird,11,4,4,1,1,1,1,4,4,3,0.25,2411,0.004713899921625853
alias-bluebird,11,8,1,2,0,0,0,1,1,1,0.0,520,0.0015490001533180475
alias-bluebird,11,8,2,2,1,1,1,2,2,1,0.5,1374,0.002894100034609437
alias-bluebird,11,8,4,2,1,1,1,4,4,3,0.25,2414,0.007015000097453594
alias-bluebird,11,8,8,2,1,1,1,8,8,7,0.125,4495,0.009969700127840042
alias-bluebird,11,16,1,16,0,0,0,1,1,1,0.0,523,0.0024884999729692936
alias-bluebird,11,16,2,16,0,0,0,2,2,2,0.0,1042,0.005394899984821677
alias-bluebird,11,16,4,16,0,0,0,4,4,4,0.0,2087,0.011543700005859137
alias-bluebird,11,16,16,16,1,1,1,16,16,15,0.0625,8754,0.04277769988402724
alias-bluebird,23,4,1,2,0,0,0,1,1,1,0.0,519,0.0007003999780863523
alias-bluebird,23,4,2,2,1,1,1,2,2,1,0.5,1373,0.0021446000318974257
alias-bluebird,23,4,4,2,1,1,1,4,4,3,0.25,2411,0.002209099940955639
alias-bluebird,23,8,1,1,1,1,1,1,1,0,1.0,854,0.001270500011742115
alias-bluebird,23,8,2,1,1,1,1,2,2,1,0.5,1375,0.003279099939391017
alias-bluebird,23,8,4,1,1,1,1,4,4,3,0.25,2415,0.0037186001427471638
alias-bluebird,23,8,8,1,1,1,1,8,8,7,0.125,4495,0.011844400083646178
alias-bluebird,23,16,1,3,0,0,0,1,1,1,0.0,523,0.0028427999932318926
alias-bluebird,23,16,2,3,0,0,0,2,2,2,0.0,1040,0.005655399989336729
alias-bluebird,23,16,4,3,1,1,1,4,4,3,0.25,2413,0.011056300019845366
alias-bluebird,23,16,16,3,1,1,1,16,16,15,0.0625,8754,0.048765100073069334
alias-bluebird,37,4,1,1,1,1,1,1,1,0,1.0,854,0.0008978000842034817
alias-bluebird,37,4,2,1,1,1,1,2,2,1,0.5,1373,0.001596400048583746
alias-bluebird,37,4,4,1,1,1,1,4,4,3,0.25,2411,0.00235580001026392
alias-bluebird,37,8,1,3,0,0,0,1,1,1,0.0,522,0.0017554000951349735
alias-bluebird,37,8,2,3,0,0,0,2,2,2,0.0,1042,0.0026946000289171934
alias-bluebird,37,8,4,3,1,1,1,4,4,3,0.25,2414,0.004699900047853589
alias-bluebird,37,8,8,3,1,1,1,8,8,7,0.125,4495,0.010734600014984608
alias-bluebird,37,16,1,12,0,0,0,1,1,1,0.0,521,0.0023893998004496098
alias-bluebird,37,16,2,12,0,0,0,2,2,2,0.0,1044,0.006412300048395991
alias-bluebird,37,16,4,12,0,0,0,4,4,4,0.0,2084,0.011111199855804443
alias-bluebird,37,16,16,12,1,1,1,16,16,15,0.0625,8754,0.046387899899855256
alias-bluebird,53,4,1,4,0,0,0,1,1,1,0.0,520,0.0006812999490648508
alias-bluebird,53,4,2,4,0,0,0,2,2,2,0.0,1038,0.0015469000209122896
alias-bluebird,53,4,4,4,1,1,1,4,4,3,0.25,2411,0.003797299927100539
alias-bluebird,53,8,1,4,0,0,0,1,1,1,0.0,520,0.0015034000389277935
alias-bluebird,53,8,2,4,0,0,0,2,2,2,0.0,1038,0.002948800101876259
alias-bluebird,53,8,4,4,1,1,1,4,4,3,0.25,2411,0.005512300180271268
alias-bluebird,53,8,8,4,1,1,1,8,8,7,0.125,4495,0.010500299977138638
alias-bluebird,53,16,1,3,0,0,0,1,1,1,0.0,523,0.003016199916601181
alias-bluebird,53,16,2,3,0,0,0,2,2,2,0.0,1045,0.003219699952751398
alias-bluebird,53,16,4,3,1,1,1,4,4,3,0.25,2416,0.012645300012081861
alias-bluebird,53,16,16,3,1,1,1,16,16,15,0.0625,8754,0.04792560008354485
alias-bluebird,71,4,1,4,0,0,0,1,1,1,0.0,518,0.0007182001136243343
alias-bluebird,71,4,2,4,0,0,0,2,2,2,0.0,1037,0.0011289999820291996
alias-bluebird,71,4,4,4,1,1,1,4,4,3,0.25,2411,0.00419429992325604
alias-bluebird,71,8,1,1,1,1,1,1,1,0,1.0,854,0.0018920998554676771
alias-bluebird,71,8,2,1,1,1,1,2,2,1,0.5,1372,0.0029363001231104136
alias-bluebird,71,8,4,1,1,1,1,4,4,3,0.25,2413,0.006220499984920025
alias-bluebird,71,8,8,1,1,1,1,8,8,7,0.125,4495,0.011231300188228488
alias-bluebird,71,16,1,12,0,0,0,1,1,1,0.0,516,0.002738199895247817
alias-bluebird,71,16,2,12,0,0,0,2,2,2,0.0,1037,0.0044432999566197395
alias-bluebird,71,16,4,12,0,0,0,4,4,4,0.0,2076,0.007255599834024906
alias-bluebird,71,16,16,12,1,1,1,16,16,15,0.0625,8754,0.049038699828088284
date-certificate,11,4,1,2,0,0,0,1,1,1,0.0,522,0.0007663001306355
date-certificate,11,4,2,2,1,1,1,2,2,1,0.5,1922,0.0014301000628620386
date-certificate,11,4,4,2,1,1,1,4,4,3,0.25,2963,0.003914000000804663
date-certificate,11,8,1,5,0,0,0,1,1,1,0.0,520,0.0012197999749332666
date-certificate,11,8,2,5,0,0,0,2,2,2,0.0,1041,0.0025639000814408064
date-certificate,11,8,4,5,0,0,0,4,4,4,0.0,2089,0.0048819000367075205
date-certificate,11,8,8,5,1,1,1,8,8,7,0.125,5055,0.012312700040638447
date-certificate,11,16,1,2,0,0,0,1,1,1,0.0,523,0.0027267001569271088
date-certificate,11,16,2,2,1,1,1,2,2,1,0.5,1923,0.00625690002925694
date-certificate,11,16,4,2,1,1,1,4,4,3,0.25,2968,0.012447499902918935
date-certificate,11,16,16,2,1,1,1,16,16,15,0.0625,9330,0.04721180000342429
date-certificate,23,4,1,1,1,1,1,1,1,0,1.0,1400,0.0008227999787777662
date-certificate,23,4,2,1,1,1,1,2,2,1,0.5,1920,0.001497599994763732
date-certificate,23,4,4,1,1,1,1,4,4,3,0.25,2963,0.003459799801930785
date-certificate,23,8,1,6,0,0,0,1,1,1,0.0,523,0.002113899914547801
date-certificate,23,8,2,6,0,0,0,2,2,2,0.0,1043,0.004211399937048554
date-certificate,23,8,4,6,0,0,0,4,4,4,0.0,2089,0.006220299983397126
date-certificate,23,8,8,6,1,1,1,8,8,7,0.125,5055,0.017394099850207567
date-certificate,23,16,1,11,0,0,0,1,1,1,0.0,520,0.0032868001144379377
date-certificate,23,16,2,11,0,0,0,2,2,2,0.0,1042,0.006459499942138791
date-certificate,23,16,4,11,0,0,0,4,4,4,0.0,2085,0.00969720003195107
date-certificate,23,16,16,11,1,1,1,16,16,15,0.0625,9330,0.05305200000293553
date-certificate,37,4,1,1,1,1,1,1,1,0,1.0,1400,0.0009031000081449747
date-certificate,37,4,2,1,1,1,1,2,2,1,0.5,1922,0.0014553000219166279
date-certificate,37,4,4,1,1,1,1,4,4,3,0.25,2963,0.002914200071245432
date-certificate,37,8,1,7,0,0,0,1,1,1,0.0,522,0.0016703999135643244
date-certificate,37,8,2,7,0,0,0,2,2,2,0.0,1042,0.0030646000523120165
date-certificate,37,8,4,7,0,0,0,4,4,4,0.0,2089,0.006340699968859553
date-certificate,37,8,8,7,1,1,1,8,8,7,0.125,5055,0.01008349983021617
date-certificate,37,16,1,12,0,0,0,1,1,1,0.0,525,0.003090699901804328
date-certificate,37,16,2,12,0,0,0,2,2,2,0.0,1043,0.0069182999432086945
date-certificate,37,16,4,12,0,0,0,4,4,4,0.0,2087,0.012770700035616755
date-certificate,37,16,16,12,1,1,1,16,16,15,0.0625,9330,0.04083890002220869
date-certificate,53,4,1,3,0,0,0,1,1,1,0.0,521,0.0006321000400930643
date-certificate,53,4,2,3,0,0,0,2,2,2,0.0,1041,0.003813300048932433
date-certificate,53,4,4,3,1,1,1,4,4,3,0.25,2963,0.002601000014692545
date-certificate,53,8,1,7,0,0,0,1,1,1,0.0,522,0.0014454000629484653
date-certificate,53,8,2,7,0,0,0,2,2,2,0.0,1043,0.0032198999542742968
date-certificate,53,8,4,7,0,0,0,4,4,4,0.0,2088,0.004893200006335974
date-certificate,53,8,8,7,1,1,1,8,8,7,0.125,5055,0.009785300120711327
date-certificate,53,16,1,8,0,0,0,1,1,1,0.0,525,0.002947299974039197
date-certificate,53,16,2,8,0,0,0,2,2,2,0.0,1048,0.005070299841463566
date-certificate,53,16,4,8,0,0,0,4,4,4,0.0,2086,0.00910119991749525
date-certificate,53,16,16,8,1,1,1,16,16,15,0.0625,9330,0.048376600025221705
date-certificate,71,4,1,3,0,0,0,1,1,1,0.0,522,0.0007635001093149185
date-certificate,71,4,2,3,0,0,0,2,2,2,0.0,1043,0.001307999948039651
date-certificate,71,4,4,3,1,1,1,4,4,3,0.25,2963,0.0028827001806348562
date-certificate,71,8,1,4,0,0,0,1,1,1,0.0,520,0.001152699813246727
date-certificate,71,8,2,4,0,0,0,2,2,2,0.0,1040,0.0030406999867409468
date-certificate,71,8,4,4,1,1,1,4,4,3,0.25,2964,0.0056009001564234495
date-certificate,71,8,8,4,1,1,1,8,8,7,0.125,5055,0.011091100051999092
date-certificate,71,16,1,2,0,0,0,1,1,1,0.0,523,0.0035165001172572374
date-certificate,71,16,2,2,1,1,1,2,2,1,0.5,1923,0.006930199917405844
date-certificate,71,16,4,2,1,1,1,4,4,3,0.25,2969,0.013706499943509698
date-certificate,71,16,16,2,1,1,1,16,16,15,0.0625,9330,0.044571599923074245
rare-maintenance-token,11,4,1,1,1,1,1,1,1,0,1.0,705,0.0007517000194638968
rare-maintenance-token,11,4,2,1,1,1,1,2,2,1,0.5,1232,0.0017865998670458794
rare-maintenance-token,11,4,4,1,1,1,1,4,4,3,0.25,2286,0.003680699970573187
rare-maintenance-token,11,8,1,2,0,0,0,1,1,1,0.0,526,0.00130690005607903
rare-maintenance-token,11,8,2,2,1,1,1,2,2,1,0.5,1231,0.004307599971070886
rare-maintenance-token,11,8,4,2,1,1,1,4,4,3,0.25,2288,0.010336100123822689
rare-maintenance-token,11,8,8,2,1,1,1,8,8,7,0.125,4402,0.012832399923354387
rare-maintenance-token,11,16,1,15,0,0,0,1,1,1,0.0,529,0.0033686000388115644
rare-maintenance-token,11,16,2,15,0,0,0,2,2,2,0.0,1053,0.005359399830922484
rare-maintenance-token,11,16,4,15,0,0,0,4,4,4,0.0,2108,0.012319999979808927
rare-maintenance-token,11,16,16,15,1,1,1,16,16,15,0.0625,8725,0.04484939994290471
rare-maintenance-token,23,4,1,1,1,1,1,1,1,0,1.0,705,0.0009296000935137272
rare-maintenance-token,23,4,2,1,1,1,1,2,2,1,0.5,1231,0.0012612000573426485
rare-maintenance-token,23,4,4,1,1,1,1,4,4,3,0.25,2286,0.004622699925675988
rare-maintenance-token,23,8,1,6,0,0,0,1,1,1,0.0,526,0.0020592999644577503
rare-maintenance-token,23,8,2,6,0,0,0,2,2,2,0.0,1053,0.0034331001807004213
rare-maintenance-token,23,8,4,6,0,0,0,4,4,4,0.0,2113,0.004133600043132901
rare-maintenance-token,23,8,8,6,1,1,1,8,8,7,0.125,4402,0.016551399836316705
rare-maintenance-token,23,16,1,2,0,0,0,1,1,1,0.0,524,0.0025128000415861607
rare-maintenance-token,23,16,2,2,1,1,1,2,2,1,0.5,1229,0.005269899964332581
rare-maintenance-token,23,16,4,2,1,1,1,4,4,3,0.25,2280,0.014850499806925654
rare-maintenance-token,23,16,16,2,1,1,1,16,16,15,0.0625,8725,0.0497015998698771
rare-maintenance-token,37,4,1,1,1,1,1,1,1,0,1.0,705,0.0008585001341998577
rare-maintenance-token,37,4,2,1,1,1,1,2,2,1,0.5,1232,0.0019062000792473555
rare-maintenance-token,37,4,4,1,1,1,1,4,4,3,0.25,2286,0.003314899979159236
rare-maintenance-token,37,8,1,7,0,0,0,1,1,1,0.0,526,0.0016504998784512281
rare-maintenance-token,37,8,2,7,0,0,0,2,2,2,0.0,1053,0.0044963001273572445
rare-maintenance-token,37,8,4,7,0,0,0,4,4,4,0.0,2110,0.006772499997168779
rare-maintenance-token,37,8,8,7,1,1,1,8,8,7,0.125,4402,0.031670300057157874
rare-maintenance-token,37,16,1,6,0,0,0,1,1,1,0.0,529,0.0029843999072909355
rare-maintenance-token,37,16,2,6,0,0,0,2,2,2,0.0,1053,0.006043299799785018
rare-maintenance-token,37,16,4,6,0,0,0,4,4,4,0.0,2106,0.012797700008377433
rare-maintenance-token,37,16,16,6,1,1,1,16,16,15,0.0625,8725,0.04851230001077056
rare-maintenance-token,53,4,1,2,0,0,0,1,1,1,0.0,528,0.0007735998369753361
rare-maintenance-token,53,4,2,2,1,1,1,2,2,1,0.5,1233,0.0017966001760214567
rare-maintenance-token,53,4,4,2,1,1,1,4,4,3,0.25,2286,0.004661899991333485
rare-maintenance-token,53,8,1,1,1,1,1,1,1,0,1.0,705,0.0015656999312341213
rare-maintenance-token,53,8,2,1,1,1,1,2,2,1,0.5,1231,0.002750399988144636
rare-maintenance-token,53,8,4,1,1,1,1,4,4,3,0.25,2287,0.005384399788454175
rare-maintenance-token,53,8,8,1,1,1,1,8,8,7,0.125,4402,0.012337400112301111
rare-maintenance-token,53,16,1,13,0,0,0,1,1,1,0.0,527,0.002735199872404337
rare-maintenance-token,53,16,2,13,0,0,0,2,2,2,0.0,1056,0.004733500070869923
rare-maintenance-token,53,16,4,13,0,0,0,4,4,4,0.0,2108,0.012558000162243843
rare-maintenance-token,53,16,16,13,1,1,1,16,16,15,0.0625,8725,0.04431760008446872
rare-maintenance-token,71,4,1,3,0,0,0,1,1,1,0.0,526,0.0009160998743027449
rare-maintenance-token,71,4,2,3,0,0,0,2,2,2,0.0,1054,0.0015302000101655722
rare-maintenance-token,71,4,4,3,1,1,1,4,4,3,0.25,2286,0.0032593999058008194
rare-maintenance-token,71,8,1,6,0,0,0,1,1,1,0.0,528,0.001793599920347333
rare-maintenance-token,71,8,2,6,0,0,0,2,2,2,0.0,1057,0.0031609998550266027
rare-maintenance-token,71,8,4,6,0,0,0,4,4,4,0.0,2115,0.006146900122985244
rare-maintenance-token,71,8,8,6,1,1,1,8,8,7,0.125,4402,0.012167500099167228
rare-maintenance-token,71,16,1,2,0,0,0,1,1,1,0.0,524,0.002734699985012412
rare-maintenance-token,71,16,2,2,1,1,1,2,2,1,0.5,1229,0.0060050999745726585
rare-maintenance-token,71,16,4,2,1,1,1,4,4,3,0.25,2285,0.01085389987565577
rare-maintenance-token,71,16,16,2,1,1,1,16,16,15,0.0625,8725,0.05412480002269149
relation-atlas-vault,11,4,1,4,0,0,0,1,1,1,0.0,524,0.0007514001335948706
relation-atlas-vault,11,4,2,4,0,0,0,2,2,2,0.0,1050,0.0014659999869763851
relation-atlas-vault,11,4,4,4,1,1,1,4,4,3,0.25,2817,0.0032083000987768173
relation-atlas-vault,11,8,1,7,0,0,0,1,1,1,0.0,524,0.0013015000149607658
relation-atlas-vault,11,8,2,7,0,0,0,2,2,2,0.0,1053,0.002801300026476383
relation-atlas-vault,11,8,4,7,0,0,0,4,4,4,0.0,2105,0.0053981998935341835
relation-atlas-vault,11,8,8,7,1,1,1,8,8,7,0.125,4925,0.012877099914476275
relation-atlas-vault,11,16,1,4,0,0,0,1,1,1,0.0,522,0.0027077000122517347
relation-atlas-vault,11,16,2,4,0,0,0,2,2,2,0.0,1049,0.0066633999813348055
relation-atlas-vault,11,16,4,4,1,1,1,4,4,3,0.25,2818,0.009536399971693754
relation-atlas-vault,11,16,16,4,1,1,1,16,16,15,0.0625,9232,0.049702499993145466
relation-atlas-vault,23,4,1,1,1,1,1,1,1,0,1.0,1242,0.0006275998894125223
relation-atlas-vault,23,4,2,1,1,1,1,2,2,1,0.5,1766,0.001281999982893467
relation-atlas-vault,23,4,4,1,1,1,1,4,4,3,0.25,2817,0.0032172000501304865
relation-atlas-vault,23,8,1,3,0,0,0,1,1,1,0.0,524,0.0012884000316262245
relation-atlas-vault,23,8,2,3,0,0,0,2,2,2,0.0,1050,0.003079199930652976
relation-atlas-vault,23,8,4,3,1,1,1,4,4,3,0.25,2820,0.005820800084620714
relation-atlas-vault,23,8,8,3,1,1,1,8,8,7,0.125,4925,0.011772199999541044
relation-atlas-vault,23,16,1,7,0,0,0,1,1,1,0.0,525,0.004359700018540025
relation-atlas-vault,23,16,2,7,0,0,0,2,2,2,0.0,1047,0.003654200118035078
relation-atlas-vault,23,16,4,7,0,0,0,4,4,4,0.0,2101,0.0087075000628829
relation-atlas-vault,23,16,16,7,1,1,1,16,16,15,0.0625,9232,0.045388200087472796
relation-atlas-vault,37,4,1,3,0,0,0,1,1,1,0.0,525,0.0006898997817188501
relation-atlas-vault,37,4,2,3,0,0,0,2,2,2,0.0,1049,0.0012835999950766563
relation-atlas-vault,37,4,4,3,1,1,1,4,4,3,0.25,2817,0.0027256999164819717
relation-atlas-vault,37,8,1,2,0,0,0,1,1,1,0.0,524,0.0022160999942570925
relation-atlas-vault,37,8,2,2,1,1,1,2,2,1,0.5,1766,0.002473799977451563
relation-atlas-vault,37,8,4,2,1,1,1,4,4,3,0.25,2817,0.006724500097334385
relation-atlas-vault,37,8,8,2,1,1,1,8,8,7,0.125,4925,0.013158499961718917
relation-atlas-vault,37,16,1,6,0,0,0,1,1,1,0.0,529,0.0028341999277472496
relation-atlas-vault,37,16,2,6,0,0,0,2,2,2,0.0,1051,0.008012499893084168
relation-atlas-vault,37,16,4,6,0,0,0,4,4,4,0.0,2100,0.012866099830716848
relation-atlas-vault,37,16,16,6,1,1,1,16,16,15,0.0625,9232,0.04872810002416372
relation-atlas-vault,53,4,1,2,0,0,0,1,1,1,0.0,524,0.0005865001585334539
relation-atlas-vault,53,4,2,2,1,1,1,2,2,1,0.5,1766,0.0016201999969780445
relation-atlas-vault,53,4,4,2,1,1,1,4,4,3,0.25,2817,0.0027067000046372414
relation-atlas-vault,53,8,1,1,1,1,1,1,1,0,1.0,1242,0.0016151999589055777
relation-atlas-vault,53,8,2,1,1,1,1,2,2,1,0.5,1768,0.0037428000941872597
relation-atlas-vault,53,8,4,1,1,1,1,4,4,3,0.25,2820,0.0060993998777121305
relation-atlas-vault,53,8,8,1,1,1,1,8,8,7,0.125,4925,0.011435199994593859
relation-atlas-vault,53,16,1,6,0,0,0,1,1,1,0.0,523,0.00532169989310205
relation-atlas-vault,53,16,2,6,0,0,0,2,2,2,0.0,1052,0.00651289988309145
relation-atlas-vault,53,16,4,6,0,0,0,4,4,4,0.0,2104,0.011834600009024143
relation-atlas-vault,53,16,16,6,1,1,1,16,16,15,0.0625,9232,0.047007499961182475
relation-atlas-vault,71,4,1,2,0,0,0,1,1,1,0.0,526,0.0008000999223440886
relation-atlas-vault,71,4,2,2,1,1,1,2,2,1,0.5,1768,0.001608000136911869
relation-atlas-vault,71,4,4,2,1,1,1,4,4,3,0.25,2817,0.003208999987691641
relation-atlas-vault,71,8,1,7,0,0,0,1,1,1,0.0,525,0.001245700055733323
relation-atlas-vault,71,8,2,7,0,0,0,2,2,2,0.0,1052,0.0034024000633507967
relation-atlas-vault,71,8,4,7,0,0,0,4,4,4,0.0,2100,0.005007999949157238
relation-atlas-vault,71,8,8,7,1,1,1,8,8,7,0.125,4925,0.010103499982506037
relation-atlas-vault,71,16,1,9,0,0,0,1,1,1,0.0,524,0.003019200172275305
relation-atlas-vault,71,16,2,9,0,0,0,2,2,2,0.0,1046,0.006142300087958574
relation-atlas-vault,71,16,4,9,0,0,0,4,4,4,0.0,2098,0.011840100167319179
relation-atlas-vault,71,16,16,9,1,1,1,16,16,15,0.0625,9232,0.04693170008249581
action-quarantine,11,4,1,3,0,0,0,1,1,1,0.0,523,0.0008316999301314354
action-quarantine,11,4,2,3,0,0,0,2,2,2,0.0,1045,0.003428399795666337
action-quarantine,11,4,4,3,1,1,1,4,4,3,0.25,2579,0.0033463998697698116
action-quarantine,11,8,1,4,0,0,0,1,1,1,0.0,525,0.001445600064471364
action-quarantine,11,8,2,4,0,0,0,2,2,2,0.0,1046,0.0025217998772859573
action-quarantine,11,8,4,4,1,1,1,4,4,3,0.25,2580,0.005862700054422021
action-quarantine,11,8,8,4,1,1,1,8,8,7,0.125,4675,0.009694700129330158
action-quarantine,11,16,1,11,0,0,0,1,1,1,0.0,524,0.0029153001960366964
action-quarantine,11,16,2,11,0,0,0,2,2,2,0.0,1045,0.007245199987664819
action-quarantine,11,16,4,11,0,0,0,4,4,4,0.0,2089,0.012121800100430846
action-quarantine,11,16,16,11,1,1,1,16,16,15,0.0625,8958,0.04604499996639788
action-quarantine,23,4,1,1,1,1,1,1,1,0,1.0,1013,0.0007686999160796404
action-quarantine,23,4,2,1,1,1,1,2,2,1,0.5,1536,0.00202669994905591
action-quarantine,23,4,4,1,1,1,1,4,4,3,0.25,2579,0.005925399949774146
action-quarantine,23,8,1,8,0,0,0,1,1,1,0.0,525,0.001916100038215518
action-quarantine,23,8,2,8,0,0,0,2,2,2,0.0,1049,0.0028327000327408314
action-quarantine,23,8,4,8,0,0,0,4,4,4,0.0,2093,0.006594500038772821
action-quarantine,23,8,8,8,1,1,1,8,8,7,0.125,4675,0.012419099919497967
action-quarantine,23,16,1,1,1,1,1,1,1,0,1.0,1013,0.003050300059840083
action-quarantine,23,16,2,1,1,1,1,2,2,1,0.5,1539,0.005733700003474951
action-quarantine,23,16,4,1,1,1,1,4,4,3,0.25,2587,0.011440000031143427
action-quarantine,23,16,16,1,1,1,1,16,16,15,0.0625,8958,0.05123120010830462
action-quarantine,37,4,1,2,0,0,0,1,1,1,0.0,522,0.0006315000355243683
action-quarantine,37,4,2,2,1,1,1,2,2,1,0.5,1535,0.0012835001107305288
action-quarantine,37,4,4,2,1,1,1,4,4,3,0.25,2579,0.003995600156486034
action-quarantine,37,8,1,6,0,0,0,1,1,1,0.0,526,0.0014152999501675367
action-quarantine,37,8,2,6,0,0,0,2,2,2,0.0,1049,0.0032462000381201506
action-quarantine,37,8,4,6,0,0,0,4,4,4,0.0,2096,0.006527400109916925
action-quarantine,37,8,8,6,1,1,1,8,8,7,0.125,4675,0.011213000165298581
action-quarantine,37,16,1,5,0,0,0,1,1,1,0.0,524,0.0023372999858111143
action-quarantine,37,16,2,5,0,0,0,2,2,2,0.0,1049,0.0052294000051915646
action-quarantine,37,16,4,5,0,0,0,4,4,4,0.0,2090,0.010489000007510185
action-quarantine,37,16,16,5,1,1,1,16,16,15,0.0625,8958,0.04052929999306798
action-quarantine,53,4,1,3,0,0,0,1,1,1,0.0,523,0.0010858001187443733
action-quarantine,53,4,2,3,0,0,0,2,2,2,0.0,1044,0.001932899933308363
action-quarantine,53,4,4,3,1,1,1,4,4,3,0.25,2579,0.0032741001341491938
action-quarantine,53,8,1,5,0,0,0,1,1,1,0.0,523,0.0028915998991578817
