case_id,family,query_kind,address_view,recovered,latency_seconds
dependency-libcrypto,dependency,explicit,entity_rare,1,0.0006631000433117151
dependency-libcrypto,dependency,explicit,schema,0,0.00011830008588731289
dependency-libcrypto,dependency,explicit,lexical_entity,1,0.0009520999155938625
dependency-libcrypto,dependency,explicit,all_deterministic,1,0.0009108998347073793
dependency-libcrypto,dependency,action_probe,lexical,1,0.0004846001975238323
dependency-libcrypto,dependency,action_probe,entity_rare,1,0.0004900000058114529
dependency-libcrypto,dependency,action_probe,schema,0,0.00014270003885030746
dependency-libcrypto,dependency,action_probe,lexical_entity,1,0.0007199998944997787
dependency-libcrypto,dependency,action_probe,all_deterministic,1,0.0007633001077920198
error-e7312,error_code,explicit,lexical,1,0.0003766000736504793
error-e7312,error_code,explicit,entity_rare,1,0.00037489994429051876
error-e7312,error_code,explicit,schema,0,0.00017830007709562778
error-e7312,error_code,explicit,lexical_entity,1,0.0007388999219983816
error-e7312,error_code,explicit,all_deterministic,1,0.0007133998442441225
error-e7312,error_code,action_probe,lexical,1,0.0005580999422818422
error-e7312,error_code,action_probe,entity_rare,1,0.0004509000573307276
error-e7312,error_code,action_probe,schema,1,0.0002934001386165619
error-e7312,error_code,action_probe,lexical_entity,1,0.0008483000565320253
error-e7312,error_code,action_probe,all_deterministic,1,0.0008656999561935663
backend-glacier,backend_type,explicit,lexical,1,0.00046660006046295166
backend-glacier,backend_type,explicit,entity_rare,1,0.00046559982001781464
backend-glacier,backend_type,explicit,schema,0,0.00010659988038241863
backend-glacier,backend_type,explicit,lexical_entity,1,0.0006267998833209276
backend-glacier,backend_type,explicit,all_deterministic,1,0.0008968999609351158
backend-glacier,backend_type,action_probe,lexical,1,0.00037819985300302505
backend-glacier,backend_type,action_probe,entity_rare,1,0.00041280011646449566
backend-glacier,backend_type,action_probe,schema,0,0.00011650007218122482
backend-glacier,backend_type,action_probe,lexical_entity,1,0.0008370999712496996
backend-glacier,backend_type,action_probe,all_deterministic,1,0.000677900156006217
schema-decimal-string,schema_type,explicit,lexical,1,0.00043569994159042835
schema-decimal-string,schema_type,explicit,entity_rare,1,0.0003806999884545803
schema-decimal-string,schema_type,explicit,schema,0,0.00011230004020035267
schema-decimal-string,schema_type,explicit,lexical_entity,1,0.0007164999842643738
schema-decimal-string,schema_type,explicit,all_deterministic,1,0.0007499998901039362
schema-decimal-string,schema_type,action_probe,lexical,1,0.00035699992440640926
schema-decimal-string,schema_type,action_probe,entity_rare,1,0.00046209990978240967
schema-decimal-string,schema_type,action_probe,schema,0,0.00013870000839233398
schema-decimal-string,schema_type,action_probe,lexical_entity,1,0.0006208999548107386
schema-decimal-string,schema_type,action_probe,all_deterministic,1,0.0007012998685240746
threshold-latency,threshold_anomaly,explicit,lexical,1,0.0008551001083105803
threshold-latency,threshold_anomaly,explicit,entity_rare,1,0.0003992000129073858
threshold-latency,threshold_anomaly,explicit,schema,0,8.539995178580284e-05
threshold-latency,threshold_anomaly,explicit,lexical_entity,1,0.0006395999807864428
threshold-latency,threshold_anomaly,explicit,all_deterministic,1,0.0007729001808911562
threshold-latency,threshold_anomaly,action_probe,lexical,1,0.0004950999282300472
threshold-latency,threshold_anomaly,action_probe,entity_rare,1,0.0006883000023663044
threshold-latency,threshold_anomaly,action_probe,schema,0,0.0003823000006377697
threshold-latency,threshold_anomaly,action_probe,lexical_entity,1,0.0007221999112516642
threshold-latency,threshold_anomaly,action_probe,all_deterministic,1,0.0010226999875158072
