catalog_size,policy,stratum,examples,top1_accuracy,outcome_accuracy,false_act_rate,mean_confidence,mean_stages
32,user_hint,typo,90,1.0,1.0,0.0,0.9316288070783869,1.0666666666666667
128,adaptive,alias,90,1.0,1.0,0.0,0.9296722689075629,2.0
128,adaptive,ambiguous,5,,1.0,0.0,0.9296722689075629,5.0
128,adaptive,description,90,1.0,1.0,0.0,0.9888739495798319,3.0
128,adaptive,exact_name,90,1.0,1.0,0.0,0.9439270152505446,2.066666666666667
128,adaptive,explicit_uri,90,1.0,1.0,0.0,0.9888739495798319,1.0
128,adaptive,nonexistent,5,,1.0,0.0,0.9296722689075629,5.0
128,adaptive,semantic_paraphrase,90,1.0,1.0,0.0,0.9888739495798319,4.0
128,adaptive,typo,90,1.0,1.0,0.0,0.9302966075319016,2.011111111111111
128,auto,alias,90,1.0,0.4,0.0,0.7428571428571429,1.0
128,auto,ambiguous,5,,1.0,0.0,0.7428571428571429,1.0
128,auto,description,90,1.0,0.4,0.0,0.7428571428571429,1.0
128,auto,exact_name,90,1.0,0.4,0.0,0.7428571428571429,1.0
128,auto,explicit_uri,90,1.0,0.4,0.0,0.7428571428571429,1.0
128,auto,nonexistent,5,,1.0,0.0,0.7428571428571429,1.0
128,auto,semantic_paraphrase,90,0.6222222222222222,0.2777777777777778,0.0,0.7428571428571429,1.0
128,auto,typo,90,1.0,0.4,0.0,0.7428571428571429,1.0
128,fixed_explicit,alias,90,0.0,0.0,0.0,0.0,1.0
128,fixed_explicit,ambiguous,5,,1.0,0.0,0.0,1.0
128,fixed_explicit,description,90,0.0,0.0,0.0,0.0,1.0
128,fixed_explicit,exact_name,90,0.0,0.0,0.0,0.0,1.0
128,fixed_explicit,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
128,fixed_explicit,nonexistent,5,,1.0,0.0,0.0,1.0
128,fixed_explicit,semantic_paraphrase,90,0.0,0.0,0.0,0.0,1.0
128,fixed_explicit,typo,90,0.0,0.0,0.0,0.0,1.0
128,fixed_hybrid,alias,90,1.0,0.9888888888888889,0.0,0.8429265911163909,1.0
128,fixed_hybrid,ambiguous,5,,1.0,0.0,0.8200564360588717,1.0
128,fixed_hybrid,description,90,1.0,1.0,0.0,0.90769970791176,1.0
128,fixed_hybrid,exact_name,90,1.0,0.32222222222222224,0.0,0.653566063843352,1.0
128,fixed_hybrid,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
128,fixed_hybrid,nonexistent,5,,1.0,0.0,0.8357284869138039,1.0
128,fixed_hybrid,semantic_paraphrase,90,0.7666666666666667,0.6555555555555556,0.0,0.7846147983039866,1.0
128,fixed_hybrid,typo,90,1.0,0.8888888888888888,0.0,0.8322691611269094,1.0
128,fixed_index,alias,90,1.0,0.4,0.0,0.38857142857142857,1.0
128,fixed_index,ambiguous,5,,1.0,0.0,0.38857142857142857,1.0
128,fixed_index,description,90,1.0,0.4,0.0,0.38857142857142857,1.0
128,fixed_index,exact_name,90,1.0,0.4,0.0,0.38857142857142857,1.0
128,fixed_index,explicit_uri,90,1.0,0.4,0.0,0.38857142857142857,1.0
128,fixed_index,nonexistent,5,,1.0,0.0,0.38857142857142857,1.0
128,fixed_index,semantic_paraphrase,90,0.011111111111111112,0.0,0.0,0.15746031746031747,1.0
128,fixed_index,typo,90,1.0,0.4,0.0,0.38857142857142857,1.0
128,fixed_semantic,alias,90,0.0,0.0,0.0,0.0,1.0
128,fixed_semantic,ambiguous,5,,1.0,0.0,0.19999999999999998,1.0
128,fixed_semantic,description,90,1.0,0.0,0.0,0.19999999999999998,1.0
128,fixed_semantic,exact_name,90,0.0,0.0,0.0,0.0,1.0
128,fixed_semantic,explicit_uri,90,0.0,0.0,0.0,0.0,1.0
128,fixed_semantic,nonexistent,5,,1.0,0.0,0.0,1.0
128,fixed_semantic,semantic_paraphrase,90,1.0,0.0,0.0,0.19999999999999998,1.0
128,fixed_semantic,typo,90,0.0,0.0,0.0,0.0,1.0
128,fixed_token,alias,90,1.0,0.6444444444444445,0.0,0.7982564262130354,1.0
128,fixed_token,ambiguous,5,,1.0,0.0,0.10718881524459181,1.0
128,fixed_token,description,90,0.6444444444444445,0.0,0.0,0.5347230882611602,1.0
128,fixed_token,exact_name,90,1.0,0.9333333333333333,0.0,0.9021281553557094,1.0
128,fixed_token,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
128,fixed_token,nonexistent,5,,1.0,0.0,0.7885557106739418,1.0
128,fixed_token,semantic_paraphrase,90,0.0,0.0,0.0,0.11739006874980863,1.0
128,fixed_token,typo,90,0.9888888888888889,0.9555555555555556,0.0,0.8712918212003505,1.0
128,user_hint,alias,90,1.0,1.0,0.0,0.9296722689075629,1.0
128,user_hint,ambiguous,5,,1.0,0.0,0.9296722689075629,5.0
128,user_hint,description,90,1.0,1.0,0.0,0.9888739495798319,1.0
128,user_hint,exact_name,90,1.0,1.0,0.0,0.9439270152505446,1.1333333333333333
128,user_hint,explicit_uri,90,1.0,1.0,0.0,0.9888739495798319,1.0
128,user_hint,nonexistent,5,,1.0,0.0,0.9296722689075629,5.0
128,user_hint,semantic_paraphrase,90,1.0,1.0,0.0,0.9888739495798319,1.0
128,user_hint,typo,90,1.0,1.0,0.0,0.9302966075319016,1.0222222222222221
512,adaptive,alias,90,1.0,1.0,0.0,0.9306358543417367,2.0
512,adaptive,ambiguous,5,,1.0,0.0,0.9306358543417367,5.0
512,adaptive,description,90,1.0,1.0,0.0,0.9865574229691877,3.0
512,adaptive,exact_name,90,1.0,1.0,0.0,0.9393741051976345,2.0555555555555554
512,adaptive,explicit_uri,90,1.0,1.0,0.0,0.9865574229691877,1.0
512,adaptive,nonexistent,5,,1.0,0.0,0.9306358543417367,5.0
512,adaptive,semantic_paraphrase,90,1.0,1.0,0.0,0.9865574229691877,4.0
512,adaptive,typo,90,1.0,1.0,0.0,0.9306358543417367,2.0
512,auto,alias,90,1.0,0.4,0.0,0.7428571428571429,1.0
512,auto,ambiguous,5,,1.0,0.0,0.7428571428571429,1.0
512,auto,description,90,1.0,0.4,0.0,0.7428571428571429,1.0
512,auto,exact_name,90,1.0,0.4,0.0,0.7428571428571429,1.0
512,auto,explicit_uri,90,1.0,0.4,0.0,0.7428571428571429,1.0
512,auto,nonexistent,5,,1.0,0.0,0.7428571428571429,1.0
512,auto,semantic_paraphrase,90,0.6333333333333333,0.23333333333333334,0.0,0.7428571428571429,1.0
512,auto,typo,90,1.0,0.4,0.0,0.7428571428571429,1.0
512,fixed_explicit,alias,90,0.0,0.0,0.0,0.0,1.0
512,fixed_explicit,ambiguous,5,,1.0,0.0,0.0,1.0
512,fixed_explicit,description,90,0.0,0.0,0.0,0.0,1.0
512,fixed_explicit,exact_name,90,0.0,0.0,0.0,0.0,1.0
512,fixed_explicit,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
512,fixed_explicit,nonexistent,5,,1.0,0.0,0.0,1.0
512,fixed_explicit,semantic_paraphrase,90,0.0,0.0,0.0,0.0,1.0
512,fixed_explicit,typo,90,0.0,0.0,0.0,0.0,1.0
512,fixed_hybrid,alias,90,1.0,0.9777777777777777,0.0,0.8410861642919735,1.0
512,fixed_hybrid,ambiguous,5,,1.0,0.0,0.8513218089340999,1.0
512,fixed_hybrid,description,90,1.0,1.0,0.0,0.9124749179235359,1.0
512,fixed_hybrid,exact_name,90,1.0,0.4777777777777778,0.0,0.7102043249274115,1.0
512,fixed_hybrid,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
512,fixed_hybrid,nonexistent,5,,1.0,0.0,0.8325046026360806,1.0
512,fixed_hybrid,semantic_paraphrase,90,0.7111111111111111,0.6555555555555556,0.0,0.8036161122204811,1.0
512,fixed_hybrid,typo,90,1.0,0.9111111111111111,0.0,0.8295809648964602,1.0
512,fixed_index,alias,90,1.0,0.4,0.0,0.38857142857142857,1.0
512,fixed_index,ambiguous,5,,1.0,0.0,0.38857142857142857,1.0
512,fixed_index,description,90,1.0,0.4,0.0,0.38857142857142857,1.0
512,fixed_index,exact_name,90,1.0,0.4,0.0,0.38857142857142857,1.0
512,fixed_index,explicit_uri,90,1.0,0.4,0.0,0.38857142857142857,1.0
512,fixed_index,nonexistent,5,,1.0,0.0,0.38857142857142857,1.0
512,fixed_index,semantic_paraphrase,90,0.0,0.0,0.0,0.1949206349206349,1.0
512,fixed_index,typo,90,1.0,0.4,0.0,0.38857142857142857,1.0
512,fixed_semantic,alias,90,0.0,0.0,0.0,0.0,1.0
512,fixed_semantic,ambiguous,5,,1.0,0.0,0.19999999999999998,1.0
512,fixed_semantic,description,90,1.0,0.0,0.0,0.19999999999999998,1.0
512,fixed_semantic,exact_name,90,0.0,0.0,0.0,0.0,1.0
512,fixed_semantic,explicit_uri,90,0.0,0.0,0.0,0.0,1.0
512,fixed_semantic,nonexistent,5,,1.0,0.0,0.0,1.0
512,fixed_semantic,semantic_paraphrase,90,1.0,0.0,0.0,0.19999999999999998,1.0
512,fixed_semantic,typo,90,0.0,0.0,0.0,0.0,1.0
512,fixed_token,alias,90,1.0,0.6888888888888889,0.0,0.8081210193602514,1.0
512,fixed_token,ambiguous,5,,1.0,0.0,0.10484244867152553,1.0
512,fixed_token,description,90,0.37777777777777777,0.0,0.0,0.43368962473740136,1.0
512,fixed_token,exact_name,90,1.0,0.9444444444444444,0.0,0.9124214031811555,1.0
512,fixed_token,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
512,fixed_token,nonexistent,5,,1.0,0.0,0.7882525359490976,1.0
512,fixed_token,semantic_paraphrase,90,0.0,0.0,0.0,0.14597751069305792,1.0
512,fixed_token,typo,90,1.0,1.0,0.0,0.8919751466401845,1.0
512,user_hint,alias,90,1.0,1.0,0.0,0.9306358543417367,1.0
512,user_hint,ambiguous,5,,1.0,0.0,0.9306358543417367,5.0
512,user_hint,description,90,1.0,1.0,0.0,0.9865574229691877,1.0
512,user_hint,exact_name,90,1.0,1.0,0.0,0.9393741051976345,1.1111111111111112
512,user_hint,explicit_uri,90,1.0,1.0,0.0,0.9865574229691877,1.0
512,user_hint,nonexistent,5,,1.0,0.0,0.9306358543417367,5.0
512,user_hint,semantic_paraphrase,90,1.0,1.0,0.0,0.9865574229691877,1.0
512,user_hint,typo,90,1.0,1.0,0.0,0.9306358543417367,1.0
2048,adaptive,alias,90,1.0,1.0,0.0,0.9298739495798318,2.0
2048,adaptive,ambiguous,5,,1.0,0.0,0.9298739495798318,5.0
2048,adaptive,description,90,1.0,1.0,0.0,0.9891120448179271,3.0
2048,adaptive,exact_name,90,1.0,1.0,0.0,0.93927093059446,2.033333333333333
2048,adaptive,explicit_uri,90,1.0,1.0,0.0,0.9891120448179271,1.0
2048,adaptive,nonexistent,5,,1.0,0.0,0.9298739495798318,5.0
2048,adaptive,semantic_paraphrase,90,1.0,1.0,0.0,0.9891120448179271,4.0
2048,adaptive,typo,90,1.0,1.0,0.0,0.9314347961406784,2.022222222222222
2048,auto,alias,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,auto,ambiguous,5,,1.0,0.0,0.2857142857142857,1.0
2048,auto,description,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,auto,exact_name,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,auto,explicit_uri,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,auto,nonexistent,5,,1.0,0.0,0.2857142857142857,1.0
2048,auto,semantic_paraphrase,90,0.011111111111111112,0.0,0.0,0.2857142857142857,1.0
2048,auto,typo,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,fixed_explicit,alias,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_explicit,ambiguous,5,,1.0,0.0,0.0,1.0
2048,fixed_explicit,description,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_explicit,exact_name,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_explicit,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
2048,fixed_explicit,nonexistent,5,,1.0,0.0,0.0,1.0
2048,fixed_explicit,semantic_paraphrase,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_explicit,typo,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_hybrid,alias,90,1.0,1.0,0.0,0.8493402521008404,1.0
2048,fixed_hybrid,ambiguous,5,,1.0,0.0,0.8515633613445378,1.0
2048,fixed_hybrid,description,90,1.0,1.0,0.0,0.9160904897127328,1.0
2048,fixed_hybrid,exact_name,90,1.0,1.0,0.0,0.8629995327081,1.0
2048,fixed_hybrid,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
2048,fixed_hybrid,nonexistent,5,,1.0,0.0,0.8486016806722689,1.0
2048,fixed_hybrid,semantic_paraphrase,90,0.9888888888888889,0.9444444444444444,0.0,0.8843744423810747,1.0
2048,fixed_hybrid,typo,90,1.0,1.0,0.0,0.8528268857512474,1.0
2048,fixed_index,alias,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,fixed_index,ambiguous,5,,1.0,0.0,0.2857142857142857,1.0
2048,fixed_index,description,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,fixed_index,exact_name,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,fixed_index,explicit_uri,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,fixed_index,nonexistent,5,,1.0,0.0,0.2857142857142857,1.0
2048,fixed_index,semantic_paraphrase,90,0.011111111111111112,0.0,0.0,0.2857142857142857,1.0
2048,fixed_index,typo,90,1.0,0.0,0.0,0.2857142857142857,1.0
2048,fixed_semantic,alias,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_semantic,ambiguous,5,,1.0,0.0,0.19999999999999998,1.0
2048,fixed_semantic,description,90,1.0,0.0,0.0,0.19999999999999998,1.0
2048,fixed_semantic,exact_name,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_semantic,explicit_uri,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_semantic,nonexistent,5,,1.0,0.0,0.0,1.0
2048,fixed_semantic,semantic_paraphrase,90,1.0,0.0,0.0,0.19999999999999998,1.0
2048,fixed_semantic,typo,90,0.0,0.0,0.0,0.0,1.0
2048,fixed_token,alias,90,1.0,0.13333333333333333,0.0,0.6707830975909632,1.0
2048,fixed_token,ambiguous,5,,1.0,0.0,0.10506944102788984,1.0
2048,fixed_token,description,90,0.4888888888888889,0.0,0.0,0.4635265888797576,1.0
2048,fixed_token,exact_name,90,1.0,0.9666666666666667,0.0,0.8885880264386457,1.0
2048,fixed_token,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
2048,fixed_token,nonexistent,5,,1.0,0.0,0.6453737356258912,1.0
2048,fixed_token,semantic_paraphrase,90,0.0,0.0,0.0,0.13237200843855093,1.0
2048,fixed_token,typo,90,0.9888888888888889,0.9777777777777777,0.0,0.8799141726866185,1.0
2048,user_hint,alias,90,1.0,1.0,0.0,0.9298739495798318,1.0
2048,user_hint,ambiguous,5,,1.0,0.0,0.9298739495798318,5.0
2048,user_hint,description,90,1.0,1.0,0.0,0.9891120448179271,1.0
2048,user_hint,exact_name,90,1.0,1.0,0.0,0.93927093059446,1.0666666666666667
2048,user_hint,explicit_uri,90,1.0,1.0,0.0,0.9891120448179271,1.0
2048,user_hint,nonexistent,5,,1.0,0.0,0.9298739495798318,5.0
2048,user_hint,semantic_paraphrase,90,1.0,1.0,0.0,0.9891120448179271,1.0
2048,user_hint,typo,90,1.0,1.0,0.0,0.9314347961406784,1.0444444444444445
8192,adaptive,alias,90,1.0,1.0,0.0,0.9304929971988795,2.0
8192,adaptive,ambiguous,5,,1.0,0.0,0.9304929971988795,5.0
8192,adaptive,description,90,1.0,1.0,0.0,0.9867142857142857,3.0
8192,adaptive,exact_name,90,1.0,1.0,0.0,0.9336226268285092,2.022222222222222
8192,adaptive,explicit_uri,90,1.0,1.0,0.0,0.9867142857142857,1.0
8192,adaptive,nonexistent,5,,1.0,0.0,0.9304929971988795,5.0
8192,adaptive,semantic_paraphrase,90,1.0,1.0,0.0,0.9867142857142857,4.0
8192,adaptive,typo,90,1.0,1.0,0.0,0.9304929971988795,2.0
8192,auto,alias,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,auto,ambiguous,5,,1.0,0.0,0.2857142857142857,1.0
8192,auto,description,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,auto,exact_name,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,auto,explicit_uri,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,auto,nonexistent,5,,1.0,0.0,0.2857142857142857,1.0
8192,auto,semantic_paraphrase,90,0.0,0.0,0.0,0.2857142857142857,1.0
8192,auto,typo,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,fixed_explicit,alias,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_explicit,ambiguous,5,,1.0,0.0,0.0,1.0
8192,fixed_explicit,description,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_explicit,exact_name,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_explicit,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
8192,fixed_explicit,nonexistent,5,,1.0,0.0,0.0,1.0
8192,fixed_explicit,semantic_paraphrase,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_explicit,typo,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_hybrid,alias,90,1.0,1.0,0.0,0.8487189598997494,1.0
8192,fixed_hybrid,ambiguous,5,,1.0,0.0,0.8516703383458647,1.0
8192,fixed_hybrid,description,90,1.0,1.0,0.0,0.9071253285847454,1.0
8192,fixed_hybrid,exact_name,90,1.0,1.0,0.0,0.8622714916839077,1.0
8192,fixed_hybrid,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
8192,fixed_hybrid,nonexistent,5,,1.0,0.0,0.8486659663865547,1.0
8192,fixed_hybrid,semantic_paraphrase,90,1.0,0.9,0.0,0.884842647157455,1.0
8192,fixed_hybrid,typo,90,1.0,1.0,0.0,0.8532646251615408,1.0
8192,fixed_index,alias,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,fixed_index,ambiguous,5,,1.0,0.0,0.2857142857142857,1.0
