catalog_size,seed,mode,build_ms,mutation_fraction,mutation_rebuild_ms,source_fingerprint_changed,index_bytes,logical_definition_tokens,active_materialized_tokens,active_fraction,warm_query_mean_ms,warm_query_median_ms,mean_candidates_scored,latency_samples
8192,37,hybrid,1686.6844,0.010009765625,1806.8998,1,5529689,147456,18,0.0001220703125,1368.0416833333334,1352.0378500000002,8192,6
8192,53,explicit,1808.7539,0.010009765625,1716.9971,1,5530585,147456,18,0.0001220703125,5.134066666666667,5.21115,0.16666666666666666,6
8192,53,token,1808.7539,0.010009765625,1716.9971,1,5530585,147456,18,0.0001220703125,1167.5286833333334,1187.0423,8192,6
8192,53,index,1808.7539,0.010009765625,1716.9971,1,5530585,147456,18,0.0001220703125,25.5715,26.162100000000002,919.8333333333334,6
8192,53,semantic,1808.7539,0.010009765625,1716.9971,1,5530585,147456,18,0.0001220703125,343.55185,316.64545,8192,6
8192,53,hybrid,1808.7539,0.010009765625,1716.9971,1,5530585,147456,18,0.0001220703125,1451.0182166666666,1487.36125,8192,6
8192,71,explicit,1667.3197,0.010009765625,1815.2266,1,5529617,147456,18,0.0001220703125,5.8647833333333335,5.82245,0.16666666666666666,6
8192,71,token,1667.3197,0.010009765625,1815.2266,1,5529617,147456,18,0.0001220703125,1243.5032666666666,1225.0434500000001,8192,6
8192,71,index,1667.3197,0.010009765625,1815.2266,1,5529617,147456,18,0.0001220703125,27.67778333333333,28.8853,947.3333333333334,6
8192,71,semantic,1667.3197,0.010009765625,1815.2266,1,5529617,147456,18,0.0001220703125,340.1304666666667,317.6698,8192,6
8192,71,hybrid,1667.3197,0.010009765625,1815.2266,1,5529617,147456,18,0.0001220703125,1415.3331,1382.72275,8192,6
