dataset,split,budget_chunks,condition,identities,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,teacher_top4_overlap,spearman,kl,index_bytes_per_chunk,routing_setup_plus_score_ms,materialized_native_kv_tokens,active_memory_fraction,transfer_bytes
2wikimultihopqa,validation,4,best_lexical,20,0.36208333333333337,0.45,0.95,0.25,0.0,0.6958333333333333,0.1125,0.11399769794079476,0.18878392428159713,0.0,15.15606000320986,126.3,0.11837538248214854,517324.8
2wikimultihopqa,validation,4,bm25,20,0.2970833333333333,0.375,0.9,0.3,0.0,0.6916666666666667,0.15,0.15812887251377106,0.1818302970379591,0.0,15.15606000320986,126.95,0.11828195501623635,519987.2
2wikimultihopqa,validation,4,exact,20,0.36208333333333337,0.45,0.95,0.25,0.0,0.6958333333333333,0.1125,0.11399769794079476,0.18878392428159713,0.0,15.15606000320986,126.3,0.11837538248214854,517324.8
2wikimultihopqa,validation,4,inherited_hybrid,20,0.17666666666666667,0.2125,0.55,0.15,0.0,0.32916666666666666,0.5,0.7398358419537544,0.11086590681225061,0.0,15.15606000320986,122.35,0.11525010719084312,501145.6
2wikimultihopqa,validation,4,lexical_lowrank_mixed,20,0.4804166666666666,0.6,1.0,0.6,0.0,0.8166666666666667,0.2625,0.33956706840544937,0.15127237923443318,2048.0,0.0,128.0,0.11940999625727193,524288.0
2wikimultihopqa,validation,4,lexical_lowrank_retrained,20,0.7179166666666668,0.9,1.0,0.95,0.05,1.0,0.2,0.37544029820710423,0.14217361472547055,2048.0,0.0,127.9,0.1192737564752556,523878.4
2wikimultihopqa,validation,4,lexical_lowrank_zero_shot,20,0.3145833333333333,0.4,0.9,0.35,0.0,0.6833333333333333,0.2875,0.4100968599319458,0.139219219237566,2048.0,0.0,127.65,0.11904915582152513,522854.4
2wikimultihopqa,validation,4,native_farthest_m2,20,0.11791666666666667,0.15,0.5,0.1,0.0,0.325,0.775,0.5366241753101348,0.5036309376358986,8192.0,0.0,127.75,0.11861634546362114,523264.0
2wikimultihopqa,validation,4,native_mean,20,0.13625,0.175,0.55,0.1,0.0,0.26666666666666666,0.65,0.7632804155349732,0.08715900555253028,4096.0,0.0,123.9,0.11608439417387942,507494.4
2wikimultihopqa,validation,4,rank16_mixed,20,0.5216666666666667,0.65,1.0,0.7,0.0,0.8541666666666666,0.275,0.32373800659552215,0.22160087004303933,2048.0,0.0,128.0,0.11940999625727193,524288.0
2wikimultihopqa,validation,4,rank16_retrained,20,0.7658333333333334,0.9625,1.0,0.9,0.15,0.975,0.1875,0.3785929886624217,0.3660625457763672,2048.0,0.0,127.9,0.1192737564752556,523878.4
