candidate_precision_at_4,case_id,channel,complete_evidence_available,dataset,evidence_eligible,mrr,query_latency_ms,recall_at_1,recall_at_4,recall_at_8,selected_units
1.0,aws_ec2_001,typed,1,tool_outputs,1,1.0,0.08869986049830914,1,1,1,1
1.0,aws_ec2_001,bm25,1,tool_outputs,1,1.0,0.16930000856518745,1,1,1,1
1.0,aws_ec2_001,embedding,1,tool_outputs,1,1.0,0.2973999362438917,1,1,1,1
1.0,aws_ec2_001,hybrid,1,tool_outputs,1,1.0,0.32350001856684685,1,1,1,1
0.0,complex_api_001,typed,0,tool_outputs,1,0.0,0.07270020432770252,0,0,0,0
0.0,complex_api_001,bm25,0,tool_outputs,1,0.0,0.0629001297056675,0,0,0,0
1.0,complex_api_001,embedding,1,tool_outputs,1,1.0,0.43569994159042835,1,1,1,1
1.0,complex_api_001,hybrid,1,tool_outputs,1,1.0,0.6387999746948481,1,1,1,1
1.0,ccr_0,typed,1,ccr_needle,1,1.0,0.17850007861852646,1,1,1,1
1.0,ccr_0,bm25,1,ccr_needle,1,1.0,0.18159998580813408,1,1,1,1
0.3333333333333333,ccr_0,embedding,1,ccr_needle,1,1.0,2.510800026357174,1,1,1,3
0.3333333333333333,ccr_0,hybrid,1,ccr_needle,1,1.0,2.2127998527139425,1,1,1,3
1.0,ccr_1,typed,1,ccr_needle,1,1.0,0.09289989247918129,1,1,1,1
1.0,ccr_1,bm25,1,ccr_needle,1,1.0,0.16249995678663254,1,1,1,1
1.0,ccr_1,embedding,1,ccr_needle,1,1.0,2.7620000764727592,1,1,1,1
1.0,ccr_1,hybrid,1,ccr_needle,1,1.0,3.12480004504323,1,1,1,1
1.0,ccr_2,typed,1,ccr_needle,1,1.0,0.0971001572906971,1,1,1,1
1.0,ccr_2,bm25,1,ccr_needle,1,1.0,0.10180007666349411,1,1,1,1
0.5,ccr_2,embedding,1,ccr_needle,1,1.0,1.7395999748259783,1,1,1,2
0.5,ccr_2,hybrid,1,ccr_needle,1,1.0,2.3489000741392374,1,1,1,2
1.0,ccr_3,typed,1,ccr_needle,1,1.0,0.08359993807971478,1,1,1,1
1.0,ccr_3,bm25,1,ccr_needle,1,1.0,0.11559994891285896,1,1,1,1
0.5,ccr_3,embedding,1,ccr_needle,1,1.0,1.9312999211251736,1,1,1,2
0.5,ccr_3,hybrid,1,ccr_needle,1,1.0,2.1231998689472675,1,1,1,2
1.0,ccr_4,typed,1,ccr_needle,1,1.0,0.05479995161294937,1,1,1,1
1.0,ccr_4,bm25,1,ccr_needle,1,1.0,0.08479994721710682,1,1,1,1
0.5,ccr_4,embedding,1,ccr_needle,1,1.0,1.3593998737633228,1,1,1,2
0.5,ccr_4,hybrid,1,ccr_needle,1,1.0,2.098600147292018,1,1,1,2
1.0,ccr_5,typed,1,ccr_needle,1,1.0,0.08819997310638428,1,1,1,1
1.0,ccr_5,bm25,1,ccr_needle,1,1.0,0.1308000646531582,1,1,1,1
0.25,ccr_5,embedding,1,ccr_needle,1,1.0,2.197599969804287,1,1,1,8
0.25,ccr_5,hybrid,1,ccr_needle,1,1.0,2.4119000881910324,1,1,1,8
1.0,ccr_6,typed,1,ccr_needle,1,1.0,0.10980013757944107,1,1,1,1
1.0,ccr_6,bm25,1,ccr_needle,1,1.0,0.11790008284151554,1,1,1,1
0.5,ccr_6,embedding,1,ccr_needle,1,1.0,2.2187998984009027,1,1,1,2
0.5,ccr_6,hybrid,1,ccr_needle,1,1.0,2.274000085890293,1,1,1,2
1.0,ccr_7,typed,1,ccr_needle,1,1.0,0.08919998072087765,1,1,1,1
1.0,ccr_7,bm25,1,ccr_needle,1,1.0,0.11160015128552914,1,1,1,1
0.5,ccr_7,embedding,1,ccr_needle,1,1.0,1.9561999943107367,1,1,1,2
0.5,ccr_7,hybrid,1,ccr_needle,1,1.0,2.1095999982208014,1,1,1,2
0.0,hotpot_0,typed,0,hotpotqa,0,0.0,0.354300020262599,0,0,0,8
0.0,hotpot_0,bm25,0,hotpotqa,0,0.0,2.089899964630604,0,0,0,8
0.0,hotpot_0,embedding,0,hotpotqa,0,0.0,7.747600087895989,0,0,0,8
0.0,hotpot_0,hybrid,0,hotpotqa,0,0.0,7.917699869722128,0,0,0,8
0.0,hotpot_1,typed,0,hotpotqa,0,0.0,0.5062997806817293,0,0,0,8
0.0,hotpot_1,bm25,0,hotpotqa,0,0.0,1.043299911543727,0,0,0,8
0.0,hotpot_1,embedding,0,hotpotqa,0,0.0,4.454199923202395,0,0,0,8
0.0,hotpot_1,hybrid,0,hotpotqa,0,0.0,6.12789997830987,0,0,0,8
0.25,hotpot_2,typed,0,hotpotqa,1,1.0,0.2589002251625061,1,1,1,8
0.25,hotpot_2,bm25,0,hotpotqa,1,0.25,0.9469999931752682,0,1,1,8
0.25,hotpot_2,embedding,0,hotpotqa,1,1.0,3.5264999605715275,1,1,1,8
0.25,hotpot_2,hybrid,0,hotpotqa,1,1.0,8.047300158068538,1,1,1,8
0.0,hotpot_3,typed,0,hotpotqa,1,0.0,0.41830004192888737,0,0,0,8
0.0,hotpot_3,bm25,0,hotpotqa,1,0.0,0.3784999717026949,0,0,0,8
0.0,hotpot_3,embedding,0,hotpotqa,1,0.0,7.693900028243661,0,0,0,8
0.0,hotpot_3,hybrid,0,hotpotqa,1,0.0,5.74460020288825,0,0,0,8
0.0,hotpot_4,typed,0,hotpotqa,0,0.0,1.195700140669942,0,0,0,8
0.0,hotpot_4,bm25,0,hotpotqa,0,0.0,1.1847000569105148,0,0,0,8
0.0,hotpot_4,embedding,0,hotpotqa,0,0.0,6.291900062933564,0,0,0,8
0.0,hotpot_4,hybrid,0,hotpotqa,0,0.0,10.169600136578083,0,0,0,8
0.0,hotpot_5,typed,0,hotpotqa,0,0.0,0.4633998032659292,0,0,0,8
0.0,hotpot_5,bm25,0,hotpotqa,0,0.0,0.9664001408964396,0,0,0,8
0.0,hotpot_5,embedding,0,hotpotqa,0,0.0,5.66249992698431,0,0,0,8
0.0,hotpot_5,hybrid,0,hotpotqa,0,0.0,11.307500069960952,0,0,0,8
0.25,hotpot_6,typed,0,hotpotqa,1,0.3333333333333333,0.9689999278634787,0,1,1,8
0.25,hotpot_6,bm25,0,hotpotqa,1,1.0,1.1255999561399221,1,1,1,8
0.25,hotpot_6,embedding,0,hotpotqa,1,0.25,7.705199997872114,0,1,1,8
0.25,hotpot_6,hybrid,0,hotpotqa,1,0.5,8.884099777787924,0,1,1,8
0.0,hotpot_7,typed,0,hotpotqa,0,0.0,0.2997999545186758,0,0,0,8
0.0,hotpot_7,bm25,0,hotpotqa,0,0.0,0.5248000379651785,0,0,0,8
0.0,hotpot_7,embedding,0,hotpotqa,0,0.0,9.398699970915914,0,0,0,8
0.0,hotpot_7,hybrid,0,hotpotqa,0,0.0,10.911300079897046,0,0,0,8
0.25,msmarco_0,typed,1,msmarco,1,1.0,0.18780003301799297,1,1,1,8
0.25,msmarco_0,bm25,1,msmarco,1,1.0,0.2655999269336462,1,1,1,8
0.25,msmarco_0,embedding,1,msmarco,1,1.0,2.063099993392825,1,1,1,8
0.25,msmarco_0,hybrid,1,msmarco,1,1.0,2.223899820819497,1,1,1,8
0.25,msmarco_1,typed,1,msmarco,1,0.25,0.2527001779526472,0,1,1,8
0.25,msmarco_1,bm25,1,msmarco,1,1.0,0.33459998667240143,1,1,1,8
0.25,msmarco_1,embedding,1,msmarco,1,0.3333333333333333,1.950399950146675,0,1,1,8
0.25,msmarco_1,hybrid,1,msmarco,1,0.5,1.7827001865953207,0,1,1,8
0.0,msmarco_2,typed,0,msmarco,0,0.0,0.22689998149871826,0,0,0,8
0.0,msmarco_2,bm25,0,msmarco,0,0.0,0.33920002169907093,0,0,0,8
0.0,msmarco_2,embedding,0,msmarco,0,0.0,3.4984999801963568,0,0,0,8
0.0,msmarco_2,hybrid,0,msmarco,0,0.0,2.062699990347028,0,0,0,8
0.0,msmarco_3,typed,0,msmarco,0,0.0,0.13800011947751045,0,0,0,8
0.0,msmarco_3,bm25,0,msmarco,0,0.0,0.22360007278621197,0,0,0,8
0.0,msmarco_3,embedding,0,msmarco,0,0.0,1.6955998726189137,0,0,0,8
0.0,msmarco_3,hybrid,0,msmarco,0,0.0,3.170900046825409,0,0,0,8
0.0,msmarco_4,typed,0,msmarco,0,0.0,0.09300000965595245,0,0,0,8
0.0,msmarco_4,bm25,0,msmarco,0,0.0,0.11380016803741455,0,0,0,8
0.0,msmarco_4,embedding,0,msmarco,0,0.0,1.1102999560534954,0,0,0,8
0.0,msmarco_4,hybrid,0,msmarco,0,0.0,1.4497998636215925,0,0,0,8
0.25,msmarco_5,typed,1,msmarco,1,1.0,0.17159990966320038,1,1,1,8
0.25,msmarco_5,bm25,1,msmarco,1,0.3333333333333333,0.24359999224543571,0,1,1,8
0.0,msmarco_5,embedding,1,msmarco,1,0.2,2.0282999612390995,0,0,1,8
0.25,msmarco_5,hybrid,1,msmarco,1,0.5,2.5758000556379557,0,1,1,8
0.25,msmarco_6,typed,1,msmarco,1,0.5,0.19440008327364922,0,1,1,8
0.0,msmarco_6,bm25,1,msmarco,1,0.16666666666666666,0.2894999925047159,0,0,1,8
0.25,msmarco_6,embedding,1,msmarco,1,0.5,2.0222000312060118,0,1,1,8
0.25,msmarco_6,hybrid,1,msmarco,1,0.3333333333333333,2.994899870827794,0,1,1,8
0.25,msmarco_7,typed,1,msmarco,1,0.25,0.10899989865720272,0,1,1,8
0.25,msmarco_7,bm25,1,msmarco,1,0.25,0.13439985923469067,0,1,1,8
0.25,msmarco_7,embedding,1,msmarco,1,0.3333333333333333,1.2413000222295523,0,1,1,8
0.25,msmarco_7,hybrid,1,msmarco,1,0.25,1.6836998984217644,0,1,1,8
