anomaly_retention,answer_key_retention,case_id,condition,dataset,exact_id_retention,query_relevant_item_retention,rare_item_retention,schema_key_retention
0,0,hotpot_6,PRA_TYPE_AWARE,hotpotqa,0,1,0.05714285714285714,0.0
0,0,hotpot_7,PRA_CURRENT_COMPACTOR,hotpotqa,1,1,0.11386138613861387,0.0
0,0,hotpot_7,PRA_TYPE_AWARE,hotpotqa,0,1,0.017326732673267328,0.0
0,1,msmarco_0,PRA_CURRENT_COMPACTOR,msmarco,0,1,0.45774647887323944,0.0
0,0,msmarco_0,PRA_TYPE_AWARE,msmarco,0,1,0.14084507042253522,0.0
0,1,msmarco_1,PRA_CURRENT_COMPACTOR,msmarco,1,1,0.39215686274509803,0.0
0,0,msmarco_1,PRA_TYPE_AWARE,msmarco,0,1,0.13071895424836602,0.0
0,0,msmarco_2,PRA_CURRENT_COMPACTOR,msmarco,0,1,0.5283018867924528,0.0
0,0,msmarco_2,PRA_TYPE_AWARE,msmarco,0,1,0.1509433962264151,0.0
0,0,msmarco_3,PRA_CURRENT_COMPACTOR,msmarco,0,1,0.3270440251572327,0.0
0,0,msmarco_3,PRA_TYPE_AWARE,msmarco,0,1,0.10062893081761007,0.0
0,0,msmarco_4,PRA_CURRENT_COMPACTOR,msmarco,0,1,0.503030303030303,0.0
0,0,msmarco_4,PRA_TYPE_AWARE,msmarco,0,0,0.0,0.0
0,1,msmarco_5,PRA_CURRENT_COMPACTOR,msmarco,0,1,0.6052631578947368,0.0
0,0,msmarco_5,PRA_TYPE_AWARE,msmarco,0,1,0.34210526315789475,0.0
0,1,msmarco_6,PRA_CURRENT_COMPACTOR,msmarco,1,1,0.5728155339805825,0.0
0,0,msmarco_6,PRA_TYPE_AWARE,msmarco,0,1,0.18446601941747573,0.0
0,0,msmarco_7,PRA_CURRENT_COMPACTOR,msmarco,0,1,0.4090909090909091,0.0
0,0,msmarco_7,PRA_TYPE_AWARE,msmarco,0,1,0.08333333333333333,0.0
