catalog_size,seed,workflow_id,step,query_id,policy,max_candidates,target_in_palette,conditional_choice_correct,tool_call_acceptance,wrong_tool_proposal,unsafe_tool_proposal,host_rejection,step_success,workflow_success,mean_steps,replans,retries,capability_tokens,full_schemas_materialized,resolver_latency_seconds,model_latency_seconds
8192,71,document_delivery,1,search_document-h1-en-1,A1_fused,8,0,0,0,1,0,1,0,0,2,0,0,1231,1,0.00024159997701644897,5.166653600055724
8192,71,document_delivery,2,export_document-h2-en-1,A1_fused,8,1,0,1,1,0,0,0,0,2,0,0,1534,1,0.0017766999080777168,12.12139549991116
8192,71,account_repair,1,get_user-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,936,1,0.0028822000604122877,9.657947200117633
8192,71,account_repair,2,update_user-h4-en-1,A2_raw_union,4,0,0,0,1,0,1,0,0,2,0,0,886,1,0.002320899860933423,8.70661439979449
8192,71,document_delivery,1,search_document-h1-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,891,1,0.0033561999443918467,8.463322599884123
8192,71,document_delivery,2,export_document-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,888,1,0.002493299776688218,9.882415999658406
8192,71,account_repair,1,get_user-h2-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1546,1,0.0072969000320881605,11.4389127001632
8192,71,account_repair,2,update_user-h4-en-1,A2_raw_union,8,0,0,0,1,0,1,0,0,2,0,0,1492,1,0.0015541000757366419,10.504841800080612
8192,71,document_delivery,1,search_document-h1-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1449,1,0.0031513997819274664,10.412817899836227
8192,71,document_delivery,2,export_document-h2-en-1,A2_raw_union,8,1,0,0,1,0,1,0,0,2,0,0,1141,1,0.0002413000911474228,4.3626206000335515
8192,71,account_repair,1,get_user-h2-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,607,1,0.00021860003471374512,2.719276800053194
8192,71,account_repair,2,update_user-h4-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,824,1,0.0022454001009464264,7.059141600038856
8192,71,document_delivery,1,search_document-h1-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,561,1,0.0002919000107795,2.274441699963063
8192,71,document_delivery,2,export_document-h2-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,559,1,0.00018869992345571518,2.552255199989304
8192,71,account_repair,1,get_user-h2-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1213,1,0.0002590999938547611,4.524327700026333
8192,71,account_repair,2,update_user-h4-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1492,1,0.002469899831339717,10.959876499837264
8192,71,document_delivery,1,search_document-h1-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1117,1,0.00022950000129640102,4.243047500029206
8192,71,document_delivery,2,export_document-h2-en-1,A3_diversity_union,8,1,1,1,0,0,0,1,0,2,0,0,1445,1,0.0022211000323295593,9.001370900077745
