catalog_size,max_candidates,policy,candidate_view,examples,catalog_seeds,target_in_palette_count,correct_choice_count,retrieval_recall,conditional_choice_accuracy,end_to_end_choice_accuracy,unsafe_exposure,unsafe_choice_rate,selection_view_tokens,all_candidate_full_tokens,model_choice_seconds
2048,4,A2_raw_union,full_all,4,1,1,0,0.25,0.0,0.0,0.0,0.0,561.5,1257.25,20.981471699953545
2048,4,A3_diversity_union,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,570.25,1268.5,5.448135224927682
2048,6,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,865.25,1916.25,6.314947837527143
2048,6,A1_fused,compact,8,1,3,0,0.375,0.0,0.0,0.25,0.125,892.75,1952.375,6.288226887467317
2048,6,A2_raw_union,compact,8,1,3,0,0.375,0.0,0.0,0.125,0.0,874.5,1928.875,6.340489062509732
2048,6,A3_diversity_union,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.125,0.0,863.125,1913.75,6.136580949969357
2048,8,A0_bm25,compact,8,1,3,1,0.375,0.3333333333333333,0.125,0.0,0.0,1170.5,2574.75,7.138382375007495
2048,8,A1_fused,compact,8,1,3,0,0.375,0.0,0.0,0.25,0.0,1200.375,2613.0,7.299621624988504
2048,8,A1_fused,full_all,4,1,2,0,0.5,0.0,0.0,0.0,0.0,1187.25,2590.5,29.24367572501069
2048,8,A2_raw_union,compact,8,1,3,0,0.375,0.0,0.0,0.125,0.0,1166.125,2571.875,6.914959412504686
2048,8,A2_raw_union,full_all,4,1,1,0,0.25,0.0,0.0,0.0,0.0,1153.0,2553.0,29.002105674997438
2048,8,A3_diversity_union,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.125,0.0,1167.0,2571.875,7.141278937488096
2048,10,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,1475.625,3234.625,8.070333837502403
2048,10,A1_fused,compact,8,1,3,1,0.375,0.3333333333333333,0.125,0.25,0.0,1508.25,3279.0,8.259914449998178
2048,10,A1_fused,full_all,4,1,2,0,0.5,0.0,0.0,0.0,0.0,1496.0,3257.0,19.403649275016505
2048,10,A2_raw_union,compact,8,1,3,0,0.375,0.0,0.0,0.125,0.0,1470.25,3229.375,8.040042574953986
2048,10,A2_raw_union,full_all,4,1,1,0,0.25,0.0,0.0,0.0,0.0,1455.0,3206.25,18.85099117498612
2048,10,A3_diversity_union,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.125,0.0,1471.25,3231.75,8.047204000002239
8192,2,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,254.5,596.625,4.362981074984418
8192,2,A1_fused,compact,8,1,1,0,0.125,0.0,0.0,0.125,0.125,294.0,645.0,4.502100812474964
8192,2,A2_raw_union,compact,8,1,2,0,0.25,0.0,0.0,0.0,0.0,268.875,612.5,4.088834687543567
8192,2,A3_diversity_union,compact,8,1,2,2,0.25,1.0,0.25,0.0,0.0,269.375,614.25,4.092534449999221
8192,4,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,551.375,1247.125,5.400689737522043
8192,4,A1_fused,compact,8,1,1,0,0.125,0.0,0.0,0.125,0.125,599.875,1305.0,5.698257412499515
8192,4,A1_fused,full_all,4,1,0,0,0.0,0.0,0.0,0.0,0.0,595.75,1294.5,22.12993195001036
8192,4,A2_raw_union,compact,8,1,2,1,0.25,0.5,0.125,0.125,0.125,573.25,1272.75,5.577127099968493
8192,4,A2_raw_union,full_all,4,1,0,0,0.0,0.0,0.0,0.0,0.0,580.5,1277.75,21.49857824994251
8192,4,A3_diversity_union,compact,8,1,2,2,0.25,1.0,0.25,0.125,0.0,573.625,1272.5,5.588684412447037
8192,6,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,856.375,1907.125,6.302934437553631
8192,6,A1_fused,compact,8,1,2,0,0.25,0.0,0.0,0.125,0.125,902.875,1963.125,6.44910601247102
8192,6,A2_raw_union,compact,8,1,3,1,0.375,0.3333333333333333,0.125,0.125,0.0,872.5,1927.25,6.259147399949143
8192,6,A3_diversity_union,compact,8,1,3,1,0.375,0.3333333333333333,0.125,0.125,0.0,861.5,1913.25,6.0320351875561755
8192,8,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,1161.375,2567.0,7.116476925002644
8192,8,A1_fused,compact,8,1,2,0,0.25,0.0,0.0,0.125,0.125,1209.125,2626.0,7.334559925016947
8192,8,A1_fused,full_all,20,5,6,1,0.3,0.16666666666666666,0.05,0.0,0.0,1196.4,2608.1,46.68028056999901
8192,8,A2_raw_union,compact,8,1,3,0,0.375,0.0,0.0,0.125,0.0,1158.5,2563.625,6.836156899982598
8192,8,A2_raw_union,full_all,20,5,5,0,0.25,0.0,0.0,0.0,0.0,1156.1,2553.55,45.199320465011986
8192,8,A3_diversity_union,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.125,0.0,1159.125,2564.5,7.002138137468137
8192,10,A0_bm25,compact,40,5,15,9,0.375,0.6,0.225,0.0,0.0,1465.025,3222.55,23.566927097470035
8192,10,A1_fused,compact,40,5,12,1,0.3,0.08333333333333333,0.025,0.15,0.075,1513.75,3286.875,24.08825406500255
8192,10,A1_fused,full_all,20,5,7,1,0.35,0.14285714285714285,0.05,0.0,0.0,1498.3,3263.4,19.286773310042918
8192,10,A2_raw_union,compact,40,5,15,0,0.375,0.0,0.0,0.125,0.0,1463.65,3221.4,23.236950857489138
8192,10,A2_raw_union,full_all,20,5,5,0,0.25,0.0,0.0,0.0,0.0,1457.7,3207.35,19.055298960010987
8192,10,A3_diversity_union,compact,40,5,15,10,0.375,0.6666666666666666,0.25,0.125,0.0,1464.725,3223.1,23.147060620022238
8192,10,A4_agreement_union,compact,40,5,15,7,0.375,0.4666666666666667,0.175,0.125,0.05,1463.65,3221.4,26.332196272525472
