dataset,model_tier,split_count,candidate_references,k,selected_reference_fraction,target_coverage,all_targets_hit,artifact,encoding
hotpotqa,tiny,64,63,2,0.031746031746031744,0.371875,0.04375,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,64,63,4,0.06349206349206349,0.434375,0.15625,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,64,63,8,0.12698412698412698,0.559375,0.3,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,64,63,16,0.25396825396825395,0.609375,0.31875,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,64,63,32,0.5079365079365079,0.759375,0.58125,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,128,127,1,0.007874015748031496,0.3,0.0,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,128,127,2,0.015748031496062992,0.346875,0.00625,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,128,127,4,0.031496062992125984,0.384375,0.06875,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,128,127,8,0.06299212598425197,0.45625,0.18125,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,128,127,16,0.12598425196850394,0.584375,0.3,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,128,127,32,0.25196850393700787,0.634375,0.36875,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,256,255,1,0.00392156862745098,0.278125,0.0,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,256,255,2,0.00784313725490196,0.325,0.0,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,256,255,4,0.01568627450980392,0.34375,0.0,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,256,255,8,0.03137254901960784,0.378125,0.05625,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,256,255,16,0.06274509803921569,0.446875,0.16875,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,256,255,32,0.12549019607843137,0.584375,0.29375,pra_scale_sensitivity.json,native historical slice
qasper,small,64,63,1,0.015873015873015872,0.615625,0.2625,pra_scale_sensitivity.json,native historical slice
qasper,small,64,63,2,0.031746031746031744,0.725,0.46875,pra_scale_sensitivity.json,native historical slice
qasper,small,64,63,4,0.06349206349206349,0.790625,0.59375,pra_scale_sensitivity.json,native historical slice
qasper,small,64,63,8,0.12698412698412698,0.79375,0.6,pra_scale_sensitivity.json,native historical slice
qasper,small,64,63,16,0.25396825396825395,0.809375,0.625,pra_scale_sensitivity.json,native historical slice
qasper,small,64,63,32,0.5079365079365079,0.91875,0.8375,pra_scale_sensitivity.json,native historical slice
qasper,small,128,127,1,0.007874015748031496,0.58125,0.18125,pra_scale_sensitivity.json,native historical slice
qasper,small,128,127,2,0.015748031496062992,0.66875,0.35,pra_scale_sensitivity.json,native historical slice
qasper,small,128,127,4,0.031496062992125984,0.790625,0.58125,pra_scale_sensitivity.json,native historical slice
qasper,small,128,127,8,0.06299212598425197,0.8,0.6,pra_scale_sensitivity.json,native historical slice
qasper,small,128,127,16,0.12598425196850394,0.803125,0.60625,pra_scale_sensitivity.json,native historical slice
qasper,small,128,127,32,0.25196850393700787,0.815625,0.63125,pra_scale_sensitivity.json,native historical slice
qasper,small,256,255,1,0.00392156862745098,0.515625,0.09375,pra_scale_sensitivity.json,native historical slice
qasper,small,256,255,2,0.00784313725490196,0.58125,0.19375,pra_scale_sensitivity.json,native historical slice
qasper,small,256,255,4,0.01568627450980392,0.715625,0.43125,pra_scale_sensitivity.json,native historical slice
qasper,small,256,255,8,0.03137254901960784,0.759375,0.51875,pra_scale_sensitivity.json,native historical slice
qasper,small,256,255,16,0.06274509803921569,0.796875,0.59375,pra_scale_sensitivity.json,native historical slice
qasper,small,256,255,32,0.12549019607843137,0.8,0.6,pra_scale_sensitivity.json,native historical slice
qasper,tiny,64,63,1,0.015873015873015872,0.25,0.0,pra_scale_sensitivity.json,native historical slice
qasper,tiny,64,63,2,0.031746031746031744,0.328125,0.025,pra_scale_sensitivity.json,native historical slice
qasper,tiny,64,63,4,0.06349206349206349,0.465625,0.1125,pra_scale_sensitivity.json,native historical slice
qasper,tiny,64,63,8,0.12698412698412698,0.6375,0.375,pra_scale_sensitivity.json,native historical slice
qasper,tiny,64,63,16,0.25396825396825395,0.7125,0.525,pra_scale_sensitivity.json,native historical slice
qasper,tiny,64,63,32,0.5079365079365079,0.8875,0.775,pra_scale_sensitivity.json,native historical slice
qasper,tiny,128,127,1,0.007874015748031496,0.20625,0.0,pra_scale_sensitivity.json,native historical slice
qasper,tiny,128,127,2,0.015748031496062992,0.259375,0.0,pra_scale_sensitivity.json,native historical slice
qasper,tiny,128,127,4,0.031496062992125984,0.353125,0.00625,pra_scale_sensitivity.json,native historical slice
qasper,tiny,128,127,8,0.06299212598425197,0.4875,0.13125,pra_scale_sensitivity.json,native historical slice
qasper,tiny,128,127,16,0.12598425196850394,0.64375,0.3875,pra_scale_sensitivity.json,native historical slice
qasper,tiny,128,127,32,0.25196850393700787,0.721875,0.54375,pra_scale_sensitivity.json,native historical slice
qasper,tiny,256,255,1,0.00392156862745098,0.159375,0.0,pra_scale_sensitivity.json,native historical slice
qasper,tiny,256,255,2,0.00784313725490196,0.178125,0.0,pra_scale_sensitivity.json,native historical slice
qasper,tiny,256,255,4,0.01568627450980392,0.278125,0.0,pra_scale_sensitivity.json,native historical slice
qasper,tiny,256,255,8,0.03137254901960784,0.3875,0.00625,pra_scale_sensitivity.json,native historical slice
qasper,tiny,256,255,16,0.06274509803921569,0.490625,0.15625,pra_scale_sensitivity.json,native historical slice
qasper,tiny,256,255,32,0.12549019607843137,0.653125,0.40625,pra_scale_sensitivity.json,native historical slice
