all_evidence_recall,any_evidence_recall,cohort,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.9375,0.9375,segment-confirmation-64,0.5,Hidden-state segment mean G=2,0.9375,0.5032014970341919,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=2,1.0,1.0,
0.15625,0.15625,segment-confirmation-64,0.01,Hidden-state segment mean G=4,0.15625,0.017551347102741935,
0.15625,0.15625,segment-confirmation-64,0.02,Hidden-state segment mean G=4,0.15625,0.02537324268778541,
0.28125,0.28125,segment-confirmation-64,0.05,Hidden-state segment mean G=4,0.28125,0.056037980455366954,
0.375,0.375,segment-confirmation-64,0.1,Hidden-state segment mean G=4,0.375,0.10546581828858144,
0.59375,0.59375,segment-confirmation-64,0.15,Hidden-state segment mean G=4,0.59375,0.156048083187021,
0.78125,0.78125,segment-confirmation-64,0.2,Hidden-state segment mean G=4,0.78125,0.20550265609264584,
0.875,0.875,segment-confirmation-64,0.25,Hidden-state segment mean G=4,0.875,0.2547751782489024,
0.90625,0.90625,segment-confirmation-64,0.3,Hidden-state segment mean G=4,0.90625,0.30594284089500695,
1.0,1.0,segment-confirmation-64,0.5,Hidden-state segment mean G=4,1.0,0.5032014970341919,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=4,1.0,1.0,
0.125,0.125,segment-confirmation-64,0.01,Hidden-state segment mean G=8,0.125,0.017551347102741935,
0.1875,0.1875,segment-confirmation-64,0.02,Hidden-state segment mean G=8,0.1875,0.02537324268778541,
0.4375,0.4375,segment-confirmation-64,0.05,Hidden-state segment mean G=8,0.4375,0.056037980455366954,
0.6875,0.6875,segment-confirmation-64,0.1,Hidden-state segment mean G=8,0.6875,0.10546581828858144,
0.78125,0.78125,segment-confirmation-64,0.15,Hidden-state segment mean G=8,0.78125,0.156048083187021,
0.8125,0.8125,segment-confirmation-64,0.2,Hidden-state segment mean G=8,0.8125,0.20550265609264584,
0.90625,0.90625,segment-confirmation-64,0.25,Hidden-state segment mean G=8,0.90625,0.2547751782489024,
0.9375,0.9375,segment-confirmation-64,0.3,Hidden-state segment mean G=8,0.9375,0.30594284089500695,
1.0,1.0,segment-confirmation-64,0.5,Hidden-state segment mean G=8,1.0,0.5032014970341919,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=8,1.0,1.0,
0.1875,0.1875,token-diagnostic-16,0.01,Hidden-state token maximum,0.1875,0.01676829779533607,
0.4375,0.4375,token-diagnostic-16,0.02,Hidden-state token maximum,0.4375,0.025647839986935407,
0.5625,0.5625,token-diagnostic-16,0.05,Hidden-state token maximum,0.5625,0.05795980769819558,
0.5625,0.5625,token-diagnostic-16,0.1,Hidden-state token maximum,0.5625,0.10687690898298668,
0.875,0.875,token-diagnostic-16,0.15,Hidden-state token maximum,0.875,0.15536755178540887,
0.875,0.875,token-diagnostic-16,0.2,Hidden-state token maximum,0.875,0.2056433487223739,
0.875,0.875,token-diagnostic-16,0.25,Hidden-state token maximum,0.875,0.25611016737821746,
0.9375,0.9375,token-diagnostic-16,0.3,Hidden-state token maximum,0.9375,0.3060024816984761,
1.0,1.0,token-diagnostic-16,0.5,Hidden-state token maximum,1.0,0.5035053885289237,
1.0,1.0,token-diagnostic-16,1.0,Hidden-state token maximum,1.0,1.0,
0.3125,0.3125,query-confirmation-32,0.01,Last-state query,0.3125,0.01808635851662008,
0.3125,0.3125,query-confirmation-32,0.02,Last-state query,0.3125,0.025929640667164567,
0.53125,0.53125,query-confirmation-32,0.05,Last-state query,0.53125,0.0558751799351895,
0.71875,0.71875,query-confirmation-32,0.1,Last-state query,0.71875,0.10475949143098322,
0.8125,0.8125,query-confirmation-32,0.15,Last-state query,0.8125,0.15773540318371077,
0.875,0.875,query-confirmation-32,0.2,Last-state query,0.875,0.20555061913677228,
0.875,0.875,query-confirmation-32,0.25,Last-state query,0.875,0.2542282055143855,
0.90625,0.90625,query-confirmation-32,0.3,Last-state query,0.90625,0.3063652300115562,
1.0,1.0,query-confirmation-32,0.5,Last-state query,1.0,0.5035634403611889,
1.0,1.0,query-confirmation-32,1.0,Last-state query,1.0,1.0,
0.25,0.25,query-confirmation-32,0.01,Uniform query W=32,0.25,0.01808635851662008,
0.28125,0.28125,query-confirmation-32,0.02,Uniform query W=32,0.28125,0.025929640667164567,
0.375,0.375,query-confirmation-32,0.05,Uniform query W=32,0.375,0.0558751799351895,
0.625,0.625,query-confirmation-32,0.1,Uniform query W=32,0.625,0.10475949143098322,
0.78125,0.78125,query-confirmation-32,0.15,Uniform query W=32,0.78125,0.15773540318371077,
0.90625,0.90625,query-confirmation-32,0.2,Uniform query W=32,0.90625,0.20555061913677228,
0.96875,0.96875,query-confirmation-32,0.25,Uniform query W=32,0.96875,0.2542282055143855,
0.96875,0.96875,query-confirmation-32,0.3,Uniform query W=32,0.96875,0.3063652300115562,
0.96875,0.96875,query-confirmation-32,0.5,Uniform query W=32,0.96875,0.5035634403611889,
1.0,1.0,query-confirmation-32,1.0,Uniform query W=32,1.0,1.0,
0.125,0.125,query-confirmation-32,0.01,Question decay H=2,0.125,0.01808635851662008,
0.1875,0.1875,query-confirmation-32,0.02,Question decay H=2,0.1875,0.025929640667164567,
0.375,0.375,query-confirmation-32,0.05,Question decay H=2,0.375,0.0558751799351895,
0.71875,0.71875,query-confirmation-32,0.1,Question decay H=2,0.71875,0.10475949143098322,
0.875,0.875,query-confirmation-32,0.15,Question decay H=2,0.875,0.15773540318371077,
0.875,0.875,query-confirmation-32,0.2,Question decay H=2,0.875,0.20555061913677228,
0.9375,0.9375,query-confirmation-32,0.25,Question decay H=2,0.9375,0.2542282055143855,
0.9375,0.9375,query-confirmation-32,0.3,Question decay H=2,0.9375,0.3063652300115562,
1.0,1.0,query-confirmation-32,0.5,Question decay H=2,1.0,0.5035634403611889,
1.0,1.0,query-confirmation-32,1.0,Question decay H=2,1.0,1.0,
0.36875,0.36875,learned-test-32x5-seeds,0.01,Learned margin adapter,0.36875,0.01808635851662008,
0.50625,0.50625,learned-test-32x5-seeds,0.02,Learned margin adapter,0.50625,0.025929640667164567,
0.675,0.675,learned-test-32x5-seeds,0.05,Learned margin adapter,0.675,0.0558751799351895,
0.83125,0.83125,learned-test-32x5-seeds,0.1,Learned margin adapter,0.83125,0.10475949143098322,
0.9125,0.9125,learned-test-32x5-seeds,0.15,Learned margin adapter,0.9125,0.15773540318371077,
0.95625,0.95625,learned-test-32x5-seeds,0.2,Learned margin adapter,0.95625,0.20555061913677228,
0.99375,0.99375,learned-test-32x5-seeds,0.25,Learned margin adapter,0.99375,0.2542282055143855,
1.0,1.0,learned-test-32x5-seeds,0.3,Learned margin adapter,1.0,0.30636523001155613,
1.0,1.0,learned-test-32x5-seeds,0.5,Learned margin adapter,1.0,0.5035634403611889,
1.0,1.0,learned-test-32x5-seeds,1.0,Learned margin adapter,1.0,1.0,
