all_evidence_recall,any_evidence_recall,cohort,fraction,mechanism,recall,selected_chunk_fraction,selected_kv_token_fraction
0.0,0.0,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=1,0.0,0.05379848023377664,
0.0,0.0,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=1,0.0,0.10393513104587061,
0.0,0.0,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=1,0.0,0.15321886489322675,
0.0,0.0,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=1,0.0,0.20335551570532073,
0.0,0.0,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=1,0.0,0.2518907465586649,
0.0,0.0,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=1,0.0,0.30397782344169394,
0.125,0.125,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=1,0.125,0.5011576810074581,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=1,1.0,1.0,
0.0,0.0,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=2,0.0,0.013740205168002,
0.0,0.0,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=2,0.0,0.023394518639052713,
0.0,0.0,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=2,0.0,0.05379848023377664,
0.0,0.0,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=2,0.0,0.10393513104587061,
0.125,0.125,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=2,0.125,0.15321886489322675,
0.125,0.125,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=2,0.125,0.20335551570532073,
0.125,0.125,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=2,0.125,0.2518907465586649,
0.25,0.25,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=2,0.25,0.30397782344169394,
0.625,0.625,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=2,0.625,0.5011576810074581,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=2,1.0,1.0,
0.0,0.0,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=4,0.0,0.013740205168002,
0.125,0.125,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=4,0.125,0.023394518639052713,
0.125,0.125,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=4,0.125,0.05379848023377664,
0.125,0.125,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=4,0.125,0.10393513104587061,
0.125,0.125,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=4,0.125,0.15321886489322675,
0.25,0.25,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=4,0.25,0.20335551570532073,
0.25,0.25,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=4,0.25,0.2518907465586649,
0.25,0.25,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=4,0.25,0.30397782344169394,
0.75,0.75,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=4,0.75,0.5011576810074581,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=4,1.0,1.0,
0.0,0.0,centered-rope-stage1-16,0.01,Centered-RoPE segment mean G=8,0.0,0.013740205168002,
0.0,0.0,centered-rope-stage1-16,0.02,Centered-RoPE segment mean G=8,0.0,0.023394518639052713,
0.0,0.0,centered-rope-stage1-16,0.05,Centered-RoPE segment mean G=8,0.0,0.05379848023377664,
0.125,0.125,centered-rope-stage1-16,0.1,Centered-RoPE segment mean G=8,0.125,0.10393513104587061,
0.125,0.125,centered-rope-stage1-16,0.15,Centered-RoPE segment mean G=8,0.125,0.15321886489322675,
0.25,0.25,centered-rope-stage1-16,0.2,Centered-RoPE segment mean G=8,0.25,0.20335551570532073,
0.375,0.375,centered-rope-stage1-16,0.25,Centered-RoPE segment mean G=8,0.375,0.2518907465586649,
0.5,0.5,centered-rope-stage1-16,0.3,Centered-RoPE segment mean G=8,0.5,0.30397782344169394,
0.875,0.875,centered-rope-stage1-16,0.5,Centered-RoPE segment mean G=8,0.875,0.5011576810074581,
1.0,1.0,centered-rope-stage1-16,1.0,Centered-RoPE segment mean G=8,1.0,1.0,
0.0625,0.0625,segment-confirmation-64,0.01,Hidden-state segment mean G=2,0.0625,0.013625512374043757,
0.125,0.125,segment-confirmation-64,0.02,Hidden-state segment mean G=2,0.125,0.023584522705661342,
0.25,0.25,segment-confirmation-64,0.05,Hidden-state segment mean G=2,0.25,0.05393087788142435,
0.4375,0.4375,segment-confirmation-64,0.1,Hidden-state segment mean G=2,0.4375,0.103651377300472,
0.625,0.625,segment-confirmation-64,0.15,Hidden-state segment mean G=2,0.625,0.15437864751663644,
0.625,0.625,segment-confirmation-64,0.2,Hidden-state segment mean G=2,0.625,0.2034342533186628,
0.8125,0.8125,segment-confirmation-64,0.25,Hidden-state segment mean G=2,0.8125,0.25222980514447835,
0.8125,0.8125,segment-confirmation-64,0.3,Hidden-state segment mean G=2,0.8125,0.30412787085597276,
0.875,0.875,segment-confirmation-64,0.5,Hidden-state segment mean G=2,0.875,0.5013057001224435,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=2,1.0,1.0,
0.0625,0.0625,segment-confirmation-64,0.01,Hidden-state segment mean G=4,0.0625,0.013625512374043757,
0.0625,0.0625,segment-confirmation-64,0.02,Hidden-state segment mean G=4,0.0625,0.023584522705661342,
0.1875,0.1875,segment-confirmation-64,0.05,Hidden-state segment mean G=4,0.1875,0.05393087788142435,
0.25,0.25,segment-confirmation-64,0.1,Hidden-state segment mean G=4,0.25,0.103651377300472,
0.5625,0.5625,segment-confirmation-64,0.15,Hidden-state segment mean G=4,0.5625,0.15437864751663644,
0.8125,0.8125,segment-confirmation-64,0.2,Hidden-state segment mean G=4,0.8125,0.2034342533186628,
0.875,0.875,segment-confirmation-64,0.25,Hidden-state segment mean G=4,0.875,0.25222980514447835,
0.875,0.875,segment-confirmation-64,0.3,Hidden-state segment mean G=4,0.875,0.30412787085597276,
1.0,1.0,segment-confirmation-64,0.5,Hidden-state segment mean G=4,1.0,0.5013057001224435,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=4,1.0,1.0,
0.0625,0.0625,segment-confirmation-64,0.01,Hidden-state segment mean G=8,0.0625,0.013625512374043757,
0.125,0.125,segment-confirmation-64,0.02,Hidden-state segment mean G=8,0.125,0.023584522705661342,
0.4375,0.4375,segment-confirmation-64,0.05,Hidden-state segment mean G=8,0.4375,0.05393087788142435,
0.6875,0.6875,segment-confirmation-64,0.1,Hidden-state segment mean G=8,0.6875,0.103651377300472,
0.75,0.75,segment-confirmation-64,0.15,Hidden-state segment mean G=8,0.75,0.15437864751663644,
0.75,0.75,segment-confirmation-64,0.2,Hidden-state segment mean G=8,0.75,0.2034342533186628,
0.9375,0.9375,segment-confirmation-64,0.25,Hidden-state segment mean G=8,0.9375,0.25222980514447835,
0.9375,0.9375,segment-confirmation-64,0.3,Hidden-state segment mean G=8,0.9375,0.30412787085597276,
1.0,1.0,segment-confirmation-64,0.5,Hidden-state segment mean G=8,1.0,0.5013057001224435,
1.0,1.0,segment-confirmation-64,1.0,Hidden-state segment mean G=8,1.0,1.0,
0.125,0.125,token-diagnostic-16,0.01,Hidden-state token maximum,0.125,0.013740205168002,
0.25,0.25,token-diagnostic-16,0.02,Hidden-state token maximum,0.25,0.023394518639052713,
0.5,0.5,token-diagnostic-16,0.05,Hidden-state token maximum,0.5,0.05379848023377664,
0.5,0.5,token-diagnostic-16,0.1,Hidden-state token maximum,0.5,0.10393513104587061,
1.0,1.0,token-diagnostic-16,0.15,Hidden-state token maximum,1.0,0.15321886489322675,
1.0,1.0,token-diagnostic-16,0.2,Hidden-state token maximum,1.0,0.20335551570532073,
1.0,1.0,token-diagnostic-16,0.25,Hidden-state token maximum,1.0,0.2518907465586649,
1.0,1.0,token-diagnostic-16,0.3,Hidden-state token maximum,1.0,0.30397782344169394,
1.0,1.0,token-diagnostic-16,0.5,Hidden-state token maximum,1.0,0.5011576810074581,
1.0,1.0,token-diagnostic-16,1.0,Hidden-state token maximum,1.0,1.0,
0.125,0.125,query-confirmation-32,0.01,Last-state query,0.125,0.013596565182685809,
0.125,0.125,query-confirmation-32,0.02,Last-state query,0.125,0.024280815752808303,
0.375,0.375,query-confirmation-32,0.05,Last-state query,0.375,0.05438395662869285,
0.625,0.625,query-confirmation-32,0.1,Last-state query,0.625,0.10365710285596645,
0.6875,0.6875,query-confirmation-32,0.15,Last-state query,0.6875,0.1549721095779746,
0.75,0.75,query-confirmation-32,0.2,Last-state query,0.75,0.20388376024647936,
0.75,0.75,query-confirmation-32,0.25,Last-state query,0.75,0.2522998851307885,
0.8125,0.8125,query-confirmation-32,0.3,Last-state query,0.8125,0.30411679955939747,
1.0,1.0,query-confirmation-32,0.5,Last-state query,1.0,0.5013678344444719,
1.0,1.0,query-confirmation-32,1.0,Last-state query,1.0,1.0,
0.0625,0.0625,query-confirmation-32,0.01,Uniform query W=32,0.0625,0.013596565182685809,
0.125,0.125,query-confirmation-32,0.02,Uniform query W=32,0.125,0.024280815752808303,
0.1875,0.1875,query-confirmation-32,0.05,Uniform query W=32,0.1875,0.05438395662869285,
0.625,0.625,query-confirmation-32,0.1,Uniform query W=32,0.625,0.10365710285596645,
0.625,0.625,query-confirmation-32,0.15,Uniform query W=32,0.625,0.1549721095779746,
0.875,0.875,query-confirmation-32,0.2,Uniform query W=32,0.875,0.20388376024647936,
0.9375,0.9375,query-confirmation-32,0.25,Uniform query W=32,0.9375,0.2522998851307885,
0.9375,0.9375,query-confirmation-32,0.3,Uniform query W=32,0.9375,0.30411679955939747,
0.9375,0.9375,query-confirmation-32,0.5,Uniform query W=32,0.9375,0.5013678344444719,
1.0,1.0,query-confirmation-32,1.0,Uniform query W=32,1.0,1.0,
0.0625,0.0625,query-confirmation-32,0.01,Question decay H=2,0.0625,0.013596565182685809,
0.1875,0.1875,query-confirmation-32,0.02,Question decay H=2,0.1875,0.024280815752808303,
0.4375,0.4375,query-confirmation-32,0.05,Question decay H=2,0.4375,0.05438395662869285,
0.75,0.75,query-confirmation-32,0.1,Question decay H=2,0.75,0.10365710285596645,
0.75,0.75,query-confirmation-32,0.15,Question decay H=2,0.75,0.1549721095779746,
0.75,0.75,query-confirmation-32,0.2,Question decay H=2,0.75,0.20388376024647936,
0.875,0.875,query-confirmation-32,0.25,Question decay H=2,0.875,0.2522998851307885,
0.875,0.875,query-confirmation-32,0.3,Question decay H=2,0.875,0.30411679955939747,
1.0,1.0,query-confirmation-32,0.5,Question decay H=2,1.0,0.5013678344444719,
1.0,1.0,query-confirmation-32,1.0,Question decay H=2,1.0,1.0,
0.4875,0.4875,learned-test-32x5-seeds,0.01,Learned margin adapter,0.4875,0.013596565182685807,
0.7,0.7,learned-test-32x5-seeds,0.02,Learned margin adapter,0.7,0.024280815752808303,
0.8625,0.8625,learned-test-32x5-seeds,0.05,Learned margin adapter,0.8625,0.05438395662869285,
0.9625,0.9625,learned-test-32x5-seeds,0.1,Learned margin adapter,0.9625,0.10365710285596645,
0.9875,0.9875,learned-test-32x5-seeds,0.15,Learned margin adapter,0.9875,0.1549721095779746,
0.9875,0.9875,learned-test-32x5-seeds,0.2,Learned margin adapter,0.9875,0.20388376024647936,
1.0,1.0,learned-test-32x5-seeds,0.25,Learned margin adapter,1.0,0.2522998851307885,
1.0,1.0,learned-test-32x5-seeds,0.3,Learned margin adapter,1.0,0.30411679955939747,
1.0,1.0,learned-test-32x5-seeds,0.5,Learned margin adapter,1.0,0.5013678344444719,
1.0,1.0,learned-test-32x5-seeds,1.0,Learned margin adapter,1.0,1.0,
