candidate_count,depth,example_id,graph_density_at_4,layer_id,recall_at_1,recall_at_2,recall_at_4,recall_at_6,recall_at_8,reciprocal_rank,seed,shortcut,source_hop,target_hop,target_rank,target_reachable,target_within_direct_window,target_within_effective_receptive_field,window
11,4,chain-414190-d4,0.36363636363636365,0,0,0,0,0,0,0.09090909090909091,17,1,1,2,11,1,1,1,w16
11,4,chain-414190-d4,0.36363636363636365,0,0,0,0,1,1,0.2,17,0,2,3,5,1,0,0,w16
11,4,chain-414190-d4,0.36363636363636365,1,0,0,1,1,1,0.25,17,1,0,1,4,1,0,0,w16
11,4,chain-414190-d4,0.36363636363636365,1,0,0,1,1,1,0.3333333333333333,17,0,1,2,3,1,1,1,w16
11,4,chain-414190-d4,0.36363636363636365,1,1,1,1,1,1,1.0,17,0,2,3,1,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,2,0,0,1,1,1,0.25,17,1,0,1,4,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,2,0,0,1,1,1,0.3333333333333333,17,0,1,2,3,1,1,1,w16
11,4,chain-414190-d4,0.36363636363636365,2,0,0,0,1,1,0.2,17,0,2,3,5,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,3,0,0,0,0,0,0.09090909090909091,17,1,0,1,11,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,3,0,0,1,1,1,0.3333333333333333,17,0,1,2,3,1,1,1,w16
11,4,chain-414190-d4,0.36363636363636365,3,0,0,0,1,1,0.2,17,0,2,3,5,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,4,0,0,0,0,0,0.1111111111111111,17,1,0,1,9,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,4,0,1,1,1,1,0.5,17,0,1,2,2,1,1,1,w16
11,4,chain-414190-d4,0.36363636363636365,4,0,0,0,1,1,0.16666666666666666,17,0,2,3,6,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,5,0,0,0,0,0,0.1,17,1,0,1,10,1,0,1,w16
11,4,chain-414190-d4,0.36363636363636365,5,0,1,1,1,1,0.5,17,0,1,2,2,1,1,1,w16
11,4,chain-414190-d4,0.36363636363636365,5,0,0,1,1,1,0.25,17,0,2,3,4,1,0,1,w16
15,8,chain-518919-d8,0.26666666666666666,0,0,0,0,0,0,0.07142857142857142,17,1,0,1,14,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,0,0,0,0,0,0,0.07692307692307693,17,1,1,2,13,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,0,0,0,0,0,0,0.06666666666666667,17,1,2,3,15,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,0,0,0,0,0,0,0.06666666666666667,17,1,3,4,15,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,0,0,0,1,1,1,0.25,17,0,4,5,4,1,0,0,w16
15,8,chain-518919-d8,0.26666666666666666,0,0,0,0,0,0,0.06666666666666667,17,1,5,6,15,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,0,0,0,0,0,0,0.06666666666666667,17,0,6,7,15,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,1,0,0,1,1,1,0.3333333333333333,17,1,0,1,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,1,0,0,1,1,1,0.3333333333333333,17,1,1,2,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,1,0,0,1,1,1,0.3333333333333333,17,1,2,3,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,1,0,0,0,1,1,0.2,17,1,3,4,5,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,1,0,0,0,1,1,0.2,17,0,4,5,5,1,0,0,w16
15,8,chain-518919-d8,0.26666666666666666,1,1,1,1,1,1,1.0,17,0,5,6,1,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,1,0,0,1,1,1,0.25,17,0,6,7,4,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,2,1,1,1,1,1,1.0,17,0,0,1,1,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,2,1,1,1,1,1,1.0,17,0,1,2,1,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,2,0,0,1,1,1,0.25,17,1,2,3,4,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,2,0,0,0,0,0,0.1111111111111111,17,1,3,4,9,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,2,0,0,1,1,1,0.3333333333333333,17,0,4,5,3,1,0,1,w16
15,8,chain-518919-d8,0.26666666666666666,2,0,1,1,1,1,0.5,17,0,5,6,2,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,2,0,0,0,1,1,0.2,17,0,6,7,5,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,3,0,1,1,1,1,0.5,17,0,0,1,2,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,3,0,0,1,1,1,0.3333333333333333,17,1,1,2,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,3,0,0,1,1,1,0.3333333333333333,17,1,2,3,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,3,0,0,0,1,1,0.2,17,1,3,4,5,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,3,0,0,1,1,1,0.3333333333333333,17,0,4,5,3,1,0,1,w16
