window,seed,example_id,policy,evidence_condition,best_immediate_margin_gain,final_margin_gain,positive_immediate_gain,erased_by_final_layer,retained_fraction
w16,17,chain-728378-d2,one_shot,shuffle,-0.8175768852233887,-1.8165826797485352,0,0,0.0
w16,17,chain-833107-d1,one_shot,shuffle,-1.2783617973327637,-2.762775421142578,0,0,0.0
w16,17,chain-937836-d1,one_shot,shuffle,0.23247754573822021,-1.0300650596618652,1,1,-4.430815270313302
w16,17,chain-1042565-d1,one_shot,shuffle,2.299791097640991,8.160658836364746,1,0,3.5484348316399412
w16,17,chain-1147294-d2,one_shot,shuffle,0.38145720958709717,-1.739389419555664,1,1,-4.559854620229726
w16,17,chain-1252023-d4,one_shot,shuffle,-0.9800326824188232,-2.5506653785705566,0,0,0.0
w16,17,chain-1356752-d1,one_shot,shuffle,-0.030675649642944336,2.267488479614258,0,0,0.0
w16,17,chain-1461481-d2,one_shot,shuffle,0.28441596031188965,0.5131649971008301,1,0,1.8042763723178368
w16,17,chain-1566210-d2,one_shot,shuffle,0.0681455135345459,-1.0971438884735107,1,1,-16.100016443743154
w16,17,chain-1670939-d1,one_shot,shuffle,0.7057030200958252,1.755805492401123,1,0,2.4880232086334386
w16,17,chain-100004-d1,iterative_matched,selected,2.8296632766723633,2.8802809715270996,1,0,1.0178882396615974
w16,17,chain-204733-d3,iterative_matched,selected,2.651134490966797,2.8732845783233643,1,0,1.0837943484623276
w16,17,chain-309462-d4,iterative_matched,selected,0.16739940643310547,0.35421276092529297,1,0,2.1159738165908015
w16,17,chain-414191-d2,iterative_matched,selected,-0.6163209676742554,-3.171365737915039,0,0,0.0
w16,17,chain-518920-d1,iterative_matched,selected,2.048433780670166,2.0646374225616455,1,0,1.0079102590693356
w16,17,chain-623649-d1,iterative_matched,selected,2.358344793319702,2.381635904312134,1,0,1.0098760414755326
w16,17,chain-728378-d2,iterative_matched,selected,-0.11105060577392578,-0.14319086074829102,0,0,0.0
w16,17,chain-833107-d1,iterative_matched,selected,-1.2961084842681885,-5.349977493286133,0,0,0.0
w16,17,chain-937836-d1,iterative_matched,selected,-0.6908141374588013,-2.7164173126220703,0,0,0.0
w16,17,chain-1042565-d1,iterative_matched,selected,7.56257176399231,7.705356597900391,1,0,1.018880460029209
w16,17,chain-1147294-d2,iterative_matched,selected,0.1115572452545166,-2.1952896118164062,1,1,-19.678592876759172
w16,17,chain-1252023-d4,iterative_matched,selected,-0.932060956954956,-2.3810458183288574,0,0,0.0
w16,17,chain-1356752-d1,iterative_matched,selected,4.9755096435546875,5.020270347595215,1,0,1.008996204860845
w16,17,chain-1461481-d2,iterative_matched,selected,6.048882961273193,6.1504645347595215,1,0,1.0167934433740387
w16,17,chain-1566210-d2,iterative_matched,selected,0.34099042415618896,-3.2632532119750977,1,1,-9.569926252475584
w16,17,chain-1670939-d1,iterative_matched,selected,-0.7177133560180664,-3.7358546257019043,0,0,0.0
w16,17,chain-100004-d1,iterative_matched,oracle,3.4817371368408203,3.485346794128418,1,0,1.0010367403240765
w16,17,chain-204733-d3,iterative_matched,oracle,2.875148296356201,3.153515338897705,1,0,1.0968183251257997
w16,17,chain-309462-d4,iterative_matched,oracle,1.6374576091766357,1.979994773864746,1,0,1.2091884167067681
w16,17,chain-414191-d2,iterative_matched,oracle,0.7333920001983643,-1.82338285446167,1,1,-2.4862322659212133
w16,17,chain-518920-d1,iterative_matched,oracle,4.314686298370361,4.306933879852295,1,0,0.998203248629919
w16,17,chain-623649-d1,iterative_matched,oracle,4.858816623687744,4.9272589683532715,1,0,1.0140862168643814
w16,17,chain-728378-d2,iterative_matched,oracle,1.949897289276123,1.226705551147461,1,0,0.6291129065587149
w16,17,chain-833107-d1,iterative_matched,oracle,1.481271505355835,-3.3229994773864746,1,1,-2.2433426048982255
w16,17,chain-937836-d1,iterative_matched,oracle,0.4090214967727661,-1.530794620513916,1,1,-3.7425774258616937
w16,17,chain-1042565-d1,iterative_matched,oracle,7.638331651687622,7.761939525604248,1,0,1.0161825748806437
w16,17,chain-1147294-d2,iterative_matched,oracle,0.5581464767456055,-1.271235704421997,1,1,-2.277602309404896
w16,17,chain-1252023-d4,iterative_matched,oracle,0.7915668487548828,0.19043493270874023,1,0,0.24057972236746672
w16,17,chain-1356752-d1,iterative_matched,oracle,4.636017799377441,4.005199432373047,1,0,0.8639309868290184
w16,17,chain-1461481-d2,iterative_matched,oracle,6.109799385070801,6.410653591156006,1,0,1.0492412577113968
w16,17,chain-1566210-d2,iterative_matched,oracle,0.13634157180786133,-1.8659567832946777,1,1,-13.685897547992683
w16,17,chain-1670939-d1,iterative_matched,oracle,0.4097750186920166,-2.737966775894165,1,1,-6.6816341919369115
w16,17,chain-100004-d1,iterative_matched,wrong,3.3016767501831055,3.3661484718322754,1,0,1.0195269635786104
w16,17,chain-204733-d3,iterative_matched,wrong,2.4326834678649902,2.658682346343994,1,0,1.0929010623307063
w16,17,chain-309462-d4,iterative_matched,wrong,1.2334232330322266,1.4440340995788574,1,0,1.1707531209938933
w16,17,chain-414191-d2,iterative_matched,wrong,-0.28017234802246094,-2.492936611175537,0,0,0.0
w16,17,chain-518920-d1,iterative_matched,wrong,3.0868165493011475,3.0556843280792236,1,0,0.9899144569414169
w16,17,chain-623649-d1,iterative_matched,wrong,3.9995617866516113,4.147071838378906,1,0,1.0368815534290792
w16,17,chain-728378-d2,iterative_matched,wrong,1.4783508777618408,0.45081520080566406,1,0,0.3049446566353576
w16,17,chain-833107-d1,iterative_matched,wrong,-0.01384890079498291,-5.1847522258758545,0,0,0.0
w16,17,chain-937836-d1,iterative_matched,wrong,-0.17013776302337646,-2.3556714057922363,0,0,0.0
w16,17,chain-1042565-d1,iterative_matched,wrong,5.043631076812744,5.354179382324219,1,0,1.061572367364292
w16,17,chain-1147294-d2,iterative_matched,wrong,0.06520748138427734,-2.473662853240967,1,1,-37.93526142595978
w16,17,chain-1252023-d4,iterative_matched,wrong,1.3514058589935303,0.8368396759033203,1,0,0.6192363828632229
w16,17,chain-1356752-d1,iterative_matched,wrong,1.8739643096923828,0.9106998443603516,1,0,0.48597502078886756
w16,17,chain-1461481-d2,iterative_matched,wrong,6.304872751235962,6.7417261600494385,1,0,1.0692882197706273
w16,17,chain-1566210-d2,iterative_matched,wrong,0.37628209590911865,-3.5767250061035156,1,1,-9.50543500471886
w16,17,chain-1670939-d1,iterative_matched,wrong,-0.7177133560180664,-3.3876218795776367,0,0,0.0
w16,17,chain-100004-d1,iterative_matched,shuffle,3.464414596557617,3.545656681060791,1,0,1.0234504509315656
w16,17,chain-204733-d3,iterative_matched,shuffle,2.476382255554199,2.563765525817871,1,0,1.0352866646769425
w16,17,chain-309462-d4,iterative_matched,shuffle,1.8531622886657715,1.7795519828796387,1,0,0.9602785432035041
w16,17,chain-414191-d2,iterative_matched,shuffle,-0.438093900680542,-2.4312057495117188,0,0,0.0
w16,17,chain-518920-d1,iterative_matched,shuffle,3.964606285095215,3.916520118713379,1,0,0.9878711370249768
w16,17,chain-623649-d1,iterative_matched,shuffle,4.07951021194458,4.208603858947754,1,0,1.031644398542059
w16,17,chain-728378-d2,iterative_matched,shuffle,1.0932338237762451,0.0832061767578125,1,0,0.07611013760112358
