window,seed,example_id,depth,policy,evidence_condition,stage_type,layer,margin_delta_vs_no_memory,probability_delta_vs_no_memory
w16,17,chain-518920-d1,1,one_shot,selected,after_layer,5,1.422560214996338,0.016612079925835133
w16,17,chain-623649-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-623649-d1,1,one_shot,selected,after_pra,0,0.5242598056793213,0.10693290829658508
w16,17,chain-623649-d1,1,one_shot,selected,after_layer,0,1.0106446743011475,0.12662602961063385
w16,17,chain-623649-d1,1,one_shot,selected,after_layer,1,0.70653235912323,0.0994231179356575
w16,17,chain-623649-d1,1,one_shot,selected,after_layer,2,1.4171767234802246,0.09797384589910507
w16,17,chain-623649-d1,1,one_shot,selected,after_layer,3,1.7143030166625977,0.09462324157357216
w16,17,chain-623649-d1,1,one_shot,selected,after_layer,4,1.7607102394104004,0.06984367594122887
w16,17,chain-623649-d1,1,one_shot,selected,after_layer,5,2.4609758853912354,0.0562735921703279
w16,17,chain-728378-d2,2,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-728378-d2,2,one_shot,selected,after_pra,0,-1.0317342281341553,-0.13381344079971313
w16,17,chain-728378-d2,2,one_shot,selected,after_layer,0,-1.6593399047851562,-0.15232408046722412
w16,17,chain-728378-d2,2,one_shot,selected,after_layer,1,-2.605621337890625,-0.3276888057589531
w16,17,chain-728378-d2,2,one_shot,selected,after_layer,2,-2.4507195949554443,-0.22943327948451042
w16,17,chain-728378-d2,2,one_shot,selected,after_layer,3,-1.8906211853027344,-0.024705367628484964
w16,17,chain-728378-d2,2,one_shot,selected,after_layer,4,-2.1053247451782227,-0.004872984776739031
w16,17,chain-728378-d2,2,one_shot,selected,after_layer,5,-1.9491338729858398,-0.0013060238270554692
w16,17,chain-833107-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-833107-d1,1,one_shot,selected,after_pra,0,0.14371037483215332,-0.005184456706047058
w16,17,chain-833107-d1,1,one_shot,selected,after_layer,0,-0.17025995254516602,-0.027522295713424683
w16,17,chain-833107-d1,1,one_shot,selected,after_layer,1,-1.0677592754364014,-0.0690142810344696
w16,17,chain-833107-d1,1,one_shot,selected,after_layer,2,-1.1955678462982178,-0.11347435414791107
w16,17,chain-833107-d1,1,one_shot,selected,after_layer,3,-0.5028080940246582,-0.08287909626960754
w16,17,chain-833107-d1,1,one_shot,selected,after_layer,4,-0.6841118335723877,-0.20536082983016968
w16,17,chain-833107-d1,1,one_shot,selected,after_layer,5,-1.846449375152588,-0.34123629331588745
w16,17,chain-937836-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-937836-d1,1,one_shot,selected,after_pra,0,-0.5625556707382202,-0.008455315604805946
w16,17,chain-937836-d1,1,one_shot,selected,after_layer,0,-0.6267029047012329,-0.0103354062885046
w16,17,chain-937836-d1,1,one_shot,selected,after_layer,1,-2.071406841278076,-0.03394416440278292
w16,17,chain-937836-d1,1,one_shot,selected,after_layer,2,-2.2739415168762207,-0.09703460335731506
w16,17,chain-937836-d1,1,one_shot,selected,after_layer,3,-2.727813959121704,-0.14708621241152287
w16,17,chain-937836-d1,1,one_shot,selected,after_layer,4,-2.8333828449249268,-0.09928743122145534
w16,17,chain-937836-d1,1,one_shot,selected,after_layer,5,-2.3073883056640625,-0.04101791325956583
w16,17,chain-1042565-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-1042565-d1,1,one_shot,selected,after_pra,0,2.3079230785369873,0.212387565523386
w16,17,chain-1042565-d1,1,one_shot,selected,after_layer,0,2.841495156288147,0.30084947124123573
w16,17,chain-1042565-d1,1,one_shot,selected,after_layer,1,3.2577364444732666,0.5328838378190994
w16,17,chain-1042565-d1,1,one_shot,selected,after_layer,2,3.6325695514678955,0.5405893623828888
w16,17,chain-1042565-d1,1,one_shot,selected,after_layer,3,4.571284294128418,0.7259882278740406
w16,17,chain-1042565-d1,1,one_shot,selected,after_layer,4,6.269432783126831,0.8627499435096979
w16,17,chain-1042565-d1,1,one_shot,selected,after_layer,5,8.281849145889282,0.9289241610094905
w16,17,chain-1147294-d2,2,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-1147294-d2,2,one_shot,selected,after_pra,0,1.050248384475708,0.05817563459277153
w16,17,chain-1147294-d2,2,one_shot,selected,after_layer,0,1.0526320934295654,0.07742217555642128
w16,17,chain-1147294-d2,2,one_shot,selected,after_layer,1,0.8286254405975342,0.030762597918510437
w16,17,chain-1147294-d2,2,one_shot,selected,after_layer,2,-0.24077343940734863,-0.032723814249038696
w16,17,chain-1147294-d2,2,one_shot,selected,after_layer,3,-1.2382078170776367,-0.11641955375671387
w16,17,chain-1147294-d2,2,one_shot,selected,after_layer,4,-1.065187931060791,-0.08329610899090767
w16,17,chain-1147294-d2,2,one_shot,selected,after_layer,5,-0.5300383567810059,-0.03648652136325836
w16,17,chain-1252023-d4,4,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-1252023-d4,4,one_shot,selected,after_pra,0,-0.8233296871185303,-0.044108955189585686
w16,17,chain-1252023-d4,4,one_shot,selected,after_layer,0,-1.4789471626281738,-0.04884672351181507
w16,17,chain-1252023-d4,4,one_shot,selected,after_layer,1,-2.7474610805511475,-0.1734865866601467
w16,17,chain-1252023-d4,4,one_shot,selected,after_layer,2,-1.5393435955047607,-0.034186674281954765
w16,17,chain-1252023-d4,4,one_shot,selected,after_layer,3,-1.8453998565673828,-0.020953914616256952
w16,17,chain-1252023-d4,4,one_shot,selected,after_layer,4,-2.660551071166992,-0.015214738668873906
w16,17,chain-1252023-d4,4,one_shot,selected,after_layer,5,-2.2121758460998535,-0.005688008153811097
w16,17,chain-1356752-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-1356752-d1,1,one_shot,selected,after_pra,0,0.10576796531677246,0.010053187608718872
w16,17,chain-1356752-d1,1,one_shot,selected,after_layer,0,0.0060045719146728516,-0.005881547927856445
w16,17,chain-1356752-d1,1,one_shot,selected,after_layer,1,1.1134390830993652,0.03090793639421463
w16,17,chain-1356752-d1,1,one_shot,selected,after_layer,2,1.5393259525299072,0.07605223916471004
w16,17,chain-1356752-d1,1,one_shot,selected,after_layer,3,1.361518383026123,0.022531398572027683
w16,17,chain-1356752-d1,1,one_shot,selected,after_layer,4,1.5939350128173828,0.01419504638761282
w16,17,chain-1356752-d1,1,one_shot,selected,after_layer,5,2.1636104583740234,0.01587468944489956
w16,17,chain-1461481-d2,2,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-1461481-d2,2,one_shot,selected,after_pra,0,0.5570194721221924,0.1663084775209427
w16,17,chain-1461481-d2,2,one_shot,selected,after_layer,0,0.7953991889953613,0.17077131569385529
w16,17,chain-1461481-d2,2,one_shot,selected,after_layer,1,1.468152403831482,0.08373764157295227
w16,17,chain-1461481-d2,2,one_shot,selected,after_layer,2,0.7469055652618408,0.023412378504872322
w16,17,chain-1461481-d2,2,one_shot,selected,after_layer,3,1.2619876861572266,0.018468457274138927
w16,17,chain-1461481-d2,2,one_shot,selected,after_layer,4,2.112980604171753,0.025266194716095924
w16,17,chain-1461481-d2,2,one_shot,selected,after_layer,5,2.1631178855895996,0.01802205527201295
w16,17,chain-1566210-d2,2,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-1566210-d2,2,one_shot,selected,after_pra,0,0.6131643056869507,0.02176130935549736
w16,17,chain-1566210-d2,2,one_shot,selected,after_layer,0,0.32058167457580566,0.022817052900791168
w16,17,chain-1566210-d2,2,one_shot,selected,after_layer,1,-1.17093825340271,-0.07952342927455902
w16,17,chain-1566210-d2,2,one_shot,selected,after_layer,2,-1.5230088233947754,-0.18192734569311142
w16,17,chain-1566210-d2,2,one_shot,selected,after_layer,3,-1.922684669494629,-0.33301549404859543
w16,17,chain-1566210-d2,2,one_shot,selected,after_layer,4,-2.499504804611206,-0.29917781241238117
w16,17,chain-1566210-d2,2,one_shot,selected,after_layer,5,-2.0839946269989014,-0.1792648583650589
w16,17,chain-1670939-d1,1,one_shot,selected,input,-1,0.0,0.0
w16,17,chain-1670939-d1,1,one_shot,selected,after_pra,0,0.5817023515701294,0.01516420766711235
w16,17,chain-1670939-d1,1,one_shot,selected,after_layer,0,-0.1256176233291626,0.006363000720739365
w16,17,chain-1670939-d1,1,one_shot,selected,after_layer,1,-0.5941457748413086,-0.02967032790184021
w16,17,chain-1670939-d1,1,one_shot,selected,after_layer,2,-1.1680569648742676,-0.1420179009437561
w16,17,chain-1670939-d1,1,one_shot,selected,after_layer,3,-1.1785025596618652,-0.2760702073574066
w16,17,chain-1670939-d1,1,one_shot,selected,after_layer,4,-0.923612117767334,-0.27429327368736267
w16,17,chain-1670939-d1,1,one_shot,selected,after_layer,5,0.07408380508422852,-0.12087097764015198
w16,17,chain-100004-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-100004-d1,1,one_shot,oracle,after_pra,0,0.5584515333175659,0.06525219976902008
w16,17,chain-100004-d1,1,one_shot,oracle,after_layer,0,0.6771969795227051,0.05285702645778656
w16,17,chain-100004-d1,1,one_shot,oracle,after_layer,1,0.6331584453582764,0.043782129883766174
w16,17,chain-100004-d1,1,one_shot,oracle,after_layer,2,0.8946449756622314,0.0597328320145607
w16,17,chain-100004-d1,1,one_shot,oracle,after_layer,3,1.2636666297912598,0.05349403992295265
w16,17,chain-100004-d1,1,one_shot,oracle,after_layer,4,1.0967679023742676,0.034475432708859444
w16,17,chain-100004-d1,1,one_shot,oracle,after_layer,5,1.4496440887451172,0.025480257347226143
w16,17,chain-204733-d3,3,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-204733-d3,3,one_shot,oracle,after_pra,0,0.646775484085083,0.042821966111660004
w16,17,chain-204733-d3,3,one_shot,oracle,after_layer,0,0.7972426414489746,0.08506905287504196
w16,17,chain-204733-d3,3,one_shot,oracle,after_layer,1,0.8470621109008789,0.07524146139621735
w16,17,chain-204733-d3,3,one_shot,oracle,after_layer,2,0.776113748550415,0.03365053981542587
w16,17,chain-204733-d3,3,one_shot,oracle,after_layer,3,0.8874545097351074,0.019484886899590492
w16,17,chain-204733-d3,3,one_shot,oracle,after_layer,4,1.922452449798584,0.020638889633119106
w16,17,chain-204733-d3,3,one_shot,oracle,after_layer,5,3.0252034664154053,0.05756649188697338
w16,17,chain-309462-d4,4,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-309462-d4,4,one_shot,oracle,after_pra,0,0.6688159704208374,0.04953154921531677
w16,17,chain-309462-d4,4,one_shot,oracle,after_layer,0,1.0738475322723389,0.06220168620347977
w16,17,chain-309462-d4,4,one_shot,oracle,after_layer,1,0.15401506423950195,0.05283604562282562
w16,17,chain-309462-d4,4,one_shot,oracle,after_layer,2,0.418670654296875,0.05189403146505356
w16,17,chain-309462-d4,4,one_shot,oracle,after_layer,3,0.7951695919036865,0.0123809315264225
w16,17,chain-309462-d4,4,one_shot,oracle,after_layer,4,0.6609644889831543,0.0070910826325416565
w16,17,chain-309462-d4,4,one_shot,oracle,after_layer,5,1.9975099563598633,0.012148769106715918
w16,17,chain-414191-d2,2,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-414191-d2,2,one_shot,oracle,after_pra,0,0.28127551078796387,0.0030918270349502563
w16,17,chain-414191-d2,2,one_shot,oracle,after_layer,0,-0.1048431396484375,-0.04427915811538696
w16,17,chain-414191-d2,2,one_shot,oracle,after_layer,1,0.05804777145385742,-0.0857524573802948
w16,17,chain-414191-d2,2,one_shot,oracle,after_layer,2,0.09993314743041992,0.04208779335021973
w16,17,chain-414191-d2,2,one_shot,oracle,after_layer,3,0.4957451820373535,0.09538179636001587
w16,17,chain-414191-d2,2,one_shot,oracle,after_layer,4,-0.7060756683349609,-0.1704212725162506
w16,17,chain-414191-d2,2,one_shot,oracle,after_layer,5,-2.0556297302246094,-0.4659207761287689
w16,17,chain-518920-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-518920-d1,1,one_shot,oracle,after_pra,0,0.30691254138946533,0.06715764105319977
w16,17,chain-518920-d1,1,one_shot,oracle,after_layer,0,-0.12447834014892578,0.054529398679733276
w16,17,chain-518920-d1,1,one_shot,oracle,after_layer,1,-0.15575313568115234,0.042128704488277435
w16,17,chain-518920-d1,1,one_shot,oracle,after_layer,2,0.33245396614074707,0.04020882770419121
w16,17,chain-518920-d1,1,one_shot,oracle,after_layer,3,0.7924602031707764,0.041127197444438934
w16,17,chain-518920-d1,1,one_shot,oracle,after_layer,4,1.0184986591339111,0.03292674385011196
w16,17,chain-518920-d1,1,one_shot,oracle,after_layer,5,1.7473108768463135,0.02693308610469103
w16,17,chain-623649-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-623649-d1,1,one_shot,oracle,after_pra,0,0.5538785457611084,0.09486719965934753
w16,17,chain-623649-d1,1,one_shot,oracle,after_layer,0,0.6590652465820312,0.10935591161251068
w16,17,chain-623649-d1,1,one_shot,oracle,after_layer,1,1.616970181465149,0.1230546310544014
w16,17,chain-623649-d1,1,one_shot,oracle,after_layer,2,1.8656494617462158,0.10397615283727646
w16,17,chain-623649-d1,1,one_shot,oracle,after_layer,3,1.9353790283203125,0.10111022368073463
w16,17,chain-623649-d1,1,one_shot,oracle,after_layer,4,2.3053526878356934,0.08550256863236427
w16,17,chain-623649-d1,1,one_shot,oracle,after_layer,5,3.070385694503784,0.07389003550633788
w16,17,chain-728378-d2,2,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-728378-d2,2,one_shot,oracle,after_pra,0,-0.7339760065078735,-0.09797149896621704
w16,17,chain-728378-d2,2,one_shot,oracle,after_layer,0,-0.8691191673278809,-0.11315823346376419
w16,17,chain-728378-d2,2,one_shot,oracle,after_layer,1,-1.5714881420135498,-0.2614666372537613
w16,17,chain-728378-d2,2,one_shot,oracle,after_layer,2,-1.1321008205413818,-0.2079651840031147
w16,17,chain-728378-d2,2,one_shot,oracle,after_layer,3,-1.0153512954711914,-0.02219277247786522
w16,17,chain-728378-d2,2,one_shot,oracle,after_layer,4,-1.4299302101135254,-0.004682335595134646
w16,17,chain-728378-d2,2,one_shot,oracle,after_layer,5,-1.5817928314208984,-0.0012821309792343527
w16,17,chain-833107-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-833107-d1,1,one_shot,oracle,after_pra,0,0.7766609191894531,0.08197076618671417
w16,17,chain-833107-d1,1,one_shot,oracle,after_layer,0,0.5905711650848389,0.08988900482654572
w16,17,chain-833107-d1,1,one_shot,oracle,after_layer,1,-0.5371866226196289,-0.010106682777404785
w16,17,chain-833107-d1,1,one_shot,oracle,after_layer,2,-0.8790161609649658,-0.060725003480911255
w16,17,chain-833107-d1,1,one_shot,oracle,after_layer,3,-0.1542832851409912,-0.01437830924987793
w16,17,chain-833107-d1,1,one_shot,oracle,after_layer,4,-0.633887529373169,-0.14980459213256836
w16,17,chain-833107-d1,1,one_shot,oracle,after_layer,5,-1.836329460144043,-0.25919729471206665
w16,17,chain-937836-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-937836-d1,1,one_shot,oracle,after_pra,0,0.7518337965011597,0.04817128926515579
w16,17,chain-937836-d1,1,one_shot,oracle,after_layer,0,0.9625421762466431,0.06435691937804222
w16,17,chain-937836-d1,1,one_shot,oracle,after_layer,1,0.2886006832122803,-0.002569057047367096
w16,17,chain-937836-d1,1,one_shot,oracle,after_layer,2,0.2215893268585205,-0.029866285622119904
w16,17,chain-937836-d1,1,one_shot,oracle,after_layer,3,-0.4895598888397217,-0.09985890984535217
w16,17,chain-937836-d1,1,one_shot,oracle,after_layer,4,-0.9130051136016846,-0.07865074276924133
w16,17,chain-937836-d1,1,one_shot,oracle,after_layer,5,-0.6692450046539307,-0.029336079955101013
w16,17,chain-1042565-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-1042565-d1,1,one_shot,oracle,after_pra,0,2.487398147583008,0.2592860497534275
w16,17,chain-1042565-d1,1,one_shot,oracle,after_layer,0,2.7985156774520874,0.3823351599276066
w16,17,chain-1042565-d1,1,one_shot,oracle,after_layer,1,3.5531718730926514,0.6158611327409744
w16,17,chain-1042565-d1,1,one_shot,oracle,after_layer,2,4.06754994392395,0.6369894444942474
w16,17,chain-1042565-d1,1,one_shot,oracle,after_layer,3,4.5626890659332275,0.7504868693649769
w16,17,chain-1042565-d1,1,one_shot,oracle,after_layer,4,5.944740056991577,0.8543937895447016
w16,17,chain-1042565-d1,1,one_shot,oracle,after_layer,5,7.714741230010986,0.9221536694094539
w16,17,chain-1147294-d2,2,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-1147294-d2,2,one_shot,oracle,after_pra,0,1.0874629020690918,0.0637483187019825
w16,17,chain-1147294-d2,2,one_shot,oracle,after_layer,0,1.2318308353424072,0.08332405611872673
w16,17,chain-1147294-d2,2,one_shot,oracle,after_layer,1,0.741403341293335,0.025632351636886597
w16,17,chain-1147294-d2,2,one_shot,oracle,after_layer,2,-0.4754042625427246,-0.04798165708780289
w16,17,chain-1147294-d2,2,one_shot,oracle,after_layer,3,-1.5247852802276611,-0.1302950195968151
w16,17,chain-1147294-d2,2,one_shot,oracle,after_layer,4,-1.307403564453125,-0.09333871677517891
w16,17,chain-1147294-d2,2,one_shot,oracle,after_layer,5,-0.7750284671783447,-0.047000037506222725
w16,17,chain-1252023-d4,4,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-1252023-d4,4,one_shot,oracle,after_pra,0,1.2398955821990967,0.05220392346382141
w16,17,chain-1252023-d4,4,one_shot,oracle,after_layer,0,1.573706865310669,0.06708459556102753
w16,17,chain-1252023-d4,4,one_shot,oracle,after_layer,1,-0.40122079849243164,0.0037444382905960083
w16,17,chain-1252023-d4,4,one_shot,oracle,after_layer,2,1.075261116027832,0.04542219266295433
w16,17,chain-1252023-d4,4,one_shot,oracle,after_layer,3,0.402324914932251,0.007208980619907379
w16,17,chain-1252023-d4,4,one_shot,oracle,after_layer,4,0.0014903545379638672,0.0016901418566703796
w16,17,chain-1252023-d4,4,one_shot,oracle,after_layer,5,0.5625066757202148,0.004535642918199301
w16,17,chain-1356752-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-1356752-d1,1,one_shot,oracle,after_pra,0,0.15898489952087402,0.02808159589767456
w16,17,chain-1356752-d1,1,one_shot,oracle,after_layer,0,0.04748225212097168,0.005557343363761902
w16,17,chain-1356752-d1,1,one_shot,oracle,after_layer,1,1.471200704574585,0.03321900591254234
w16,17,chain-1356752-d1,1,one_shot,oracle,after_layer,2,1.3513243198394775,0.06742931716144085
w16,17,chain-1356752-d1,1,one_shot,oracle,after_layer,3,1.1654644012451172,0.015298980288207531
w16,17,chain-1356752-d1,1,one_shot,oracle,after_layer,4,1.2453820705413818,0.009247933514416218
w16,17,chain-1356752-d1,1,one_shot,oracle,after_layer,5,1.7358591556549072,0.010468678548932076
w16,17,chain-1461481-d2,2,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-1461481-d2,2,one_shot,oracle,after_pra,0,0.5070397853851318,0.1351528912782669
w16,17,chain-1461481-d2,2,one_shot,oracle,after_layer,0,0.7974693775177002,0.1381426304578781
w16,17,chain-1461481-d2,2,one_shot,oracle,after_layer,1,0.9515694379806519,0.044490233063697815
w16,17,chain-1461481-d2,2,one_shot,oracle,after_layer,2,0.1287841796875,0.007779009640216827
w16,17,chain-1461481-d2,2,one_shot,oracle,after_layer,3,0.5355768203735352,0.0061001284047961235
w16,17,chain-1461481-d2,2,one_shot,oracle,after_layer,4,1.2073585987091064,0.009959456510841846
w16,17,chain-1461481-d2,2,one_shot,oracle,after_layer,5,1.045145034790039,0.005916915368288755
w16,17,chain-1566210-d2,2,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-1566210-d2,2,one_shot,oracle,after_pra,0,0.7425833940505981,0.03760107234120369
w16,17,chain-1566210-d2,2,one_shot,oracle,after_layer,0,0.7489898204803467,0.05040081590414047
w16,17,chain-1566210-d2,2,one_shot,oracle,after_layer,1,1.1139380931854248,0.04648327827453613
w16,17,chain-1566210-d2,2,one_shot,oracle,after_layer,2,0.08828210830688477,-0.07011005282402039
w16,17,chain-1566210-d2,2,one_shot,oracle,after_layer,3,-0.42861080169677734,-0.1772298663854599
w16,17,chain-1566210-d2,2,one_shot,oracle,after_layer,4,-0.7745106220245361,-0.21625655889511108
w16,17,chain-1566210-d2,2,one_shot,oracle,after_layer,5,-0.30600976943969727,-0.09427354484796524
w16,17,chain-1670939-d1,1,one_shot,oracle,input,-1,0.0,0.0
w16,17,chain-1670939-d1,1,one_shot,oracle,after_pra,0,0.6044325828552246,0.016788873821496964
w16,17,chain-1670939-d1,1,one_shot,oracle,after_layer,0,-0.14870071411132812,0.0074487850069999695
w16,17,chain-1670939-d1,1,one_shot,oracle,after_layer,1,-0.4845445156097412,-0.019240006804466248
w16,17,chain-1670939-d1,1,one_shot,oracle,after_layer,2,-0.9323620796203613,-0.1026524156332016
w16,17,chain-1670939-d1,1,one_shot,oracle,after_layer,3,-0.8202128410339355,-0.19125762581825256
w16,17,chain-1670939-d1,1,one_shot,oracle,after_layer,4,-0.5318012237548828,-0.184614896774292
w16,17,chain-1670939-d1,1,one_shot,oracle,after_layer,5,0.4307403564453125,-0.010245203971862793
w16,17,chain-100004-d1,1,one_shot,wrong,input,-1,0.0,0.0
w16,17,chain-100004-d1,1,one_shot,wrong,after_pra,0,0.8169993162155151,0.08977895975112915
w16,17,chain-100004-d1,1,one_shot,wrong,after_layer,0,0.2857081890106201,0.06243877112865448
w16,17,chain-100004-d1,1,one_shot,wrong,after_layer,1,0.9523038864135742,0.09093138575553894
w16,17,chain-100004-d1,1,one_shot,wrong,after_layer,2,1.042557954788208,0.0571524053812027
w16,17,chain-100004-d1,1,one_shot,wrong,after_layer,3,1.156294822692871,0.04495502635836601
w16,17,chain-100004-d1,1,one_shot,wrong,after_layer,4,0.8256702423095703,0.021672965958714485
w16,17,chain-100004-d1,1,one_shot,wrong,after_layer,5,1.0368430614471436,0.014433354139328003
w16,17,chain-204733-d3,3,one_shot,wrong,input,-1,0.0,0.0
w16,17,chain-204733-d3,3,one_shot,wrong,after_pra,0,0.21163296699523926,0.01658322662115097
w16,17,chain-204733-d3,3,one_shot,wrong,after_layer,0,0.5061964988708496,0.0353262796998024
w16,17,chain-204733-d3,3,one_shot,wrong,after_layer,1,0.6186418533325195,0.03142748773097992
w16,17,chain-204733-d3,3,one_shot,wrong,after_layer,2,0.40637755393981934,0.013132154941558838
w16,17,chain-204733-d3,3,one_shot,wrong,after_layer,3,0.5261416435241699,0.00967070460319519
w16,17,chain-204733-d3,3,one_shot,wrong,after_layer,4,1.4471821784973145,0.011206396855413914
w16,17,chain-204733-d3,3,one_shot,wrong,after_layer,5,2.3500356674194336,0.028267035260796547
w16,17,chain-309462-d4,4,one_shot,wrong,input,-1,0.0,0.0
w16,17,chain-309462-d4,4,one_shot,wrong,after_pra,0,-0.30574214458465576,-0.01288054883480072
w16,17,chain-309462-d4,4,one_shot,wrong,after_layer,0,-0.416532039642334,-0.01718076691031456
w16,17,chain-309462-d4,4,one_shot,wrong,after_layer,1,-0.3041658401489258,-0.05466380715370178
w16,17,chain-309462-d4,4,one_shot,wrong,after_layer,2,-0.993840217590332,-0.025154173374176025
w16,17,chain-309462-d4,4,one_shot,wrong,after_layer,3,-0.6072125434875488,-0.018138816580176353
w16,17,chain-309462-d4,4,one_shot,wrong,after_layer,4,-0.5831284523010254,-0.011995137203484774
w16,17,chain-309462-d4,4,one_shot,wrong,after_layer,5,0.7006263732910156,0.000861478503793478
w16,17,chain-414191-d2,2,one_shot,wrong,input,-1,0.0,0.0
w16,17,chain-414191-d2,2,one_shot,wrong,after_pra,0,0.22259163856506348,-0.0028944462537765503
w16,17,chain-414191-d2,2,one_shot,wrong,after_layer,0,-0.1925642490386963,-0.05462947487831116
