window,seed,example_id,depth,one_shot_path_recovery,iterative_path_recovery,path_gain,one_shot_correct,iterative_correct,answer_gain,one_shot_margin,iterative_margin,margin_gain,oracle_margin_gain
global,67,chain-623649-d1,1,1,1,0.0,0,0,0.0,-2.5571022033691406,-1.4932236671447754,1.0638785362243652,3.176706314086914
global,67,chain-728378-d2,2,0,0,0.0,0,0,0.0,-2.6207098960876465,-2.8938283920288086,-0.2731184959411621,5.195039749145508
global,67,chain-833107-d1,1,1,1,0.0,0,1,1.0,-2.9931960105895996,0.23496389389038086,3.2281599044799805,-0.20915651321411133
global,67,chain-937836-d1,1,1,0,-1.0,1,0,-1.0,1.2091951370239258,-5.720935344696045,-6.930130481719971,6.352627754211426
w128,17,chain-100004-d1,1,1,0,-1.0,0,0,0.0,-4.399635314941406,-5.824671745300293,-1.4250364303588867,2.431257724761963
w128,17,chain-1042565-d1,1,1,1,0.0,1,1,0.0,4.595667839050293,3.8266139030456543,-0.7690539360046387,2.758035182952881
w128,17,chain-1147294-d2,2,1,1,0.0,0,0,0.0,-2.6317262649536133,-1.6495733261108398,0.9821529388427734,3.4381656646728516
w128,17,chain-1252023-d4,4,0,0,0.0,0,0,0.0,-6.030797958374023,-5.977492809295654,0.05330514907836914,2.5977938175201416
w128,17,chain-1356752-d1,1,1,1,0.0,0,0,0.0,-8.379148483276367,-3.5781116485595703,4.801036834716797,1.6143169403076172
w128,17,chain-1461481-d2,2,1,0,-1.0,1,1,0.0,2.261763095855713,3.9213335514068604,1.6595704555511475,-1.7659366130828857
w128,17,chain-1566210-d2,2,0,0,0.0,0,0,0.0,-5.320091247558594,-0.1292724609375,5.190818786621094,5.418858528137207
w128,17,chain-1670939-d1,1,1,1,0.0,0,1,1.0,-4.928360939025879,2.615115165710449,7.543476104736328,-2.7247743606567383
w128,17,chain-204733-d3,3,0,0,0.0,0,0,0.0,-2.244180202484131,-0.8227996826171875,1.4213805198669434,-0.05704498291015625
w128,17,chain-309462-d4,4,0,0,0.0,0,0,0.0,-3.6915206909179688,-5.281078338623047,-1.5895576477050781,3.2733917236328125
w128,17,chain-414191-d2,2,0,0,0.0,0,0,0.0,-0.2328939437866211,-7.052680015563965,-6.819786071777344,5.856382369995117
w128,17,chain-518920-d1,1,0,1,1.0,0,1,1.0,-6.669782638549805,2.225430488586426,8.89521312713623,-3.2439045906066895
w128,17,chain-623649-d1,1,1,1,0.0,0,0,0.0,-7.040149688720703,-7.023153781890869,0.016995906829833984,1.1632370948791504
w128,17,chain-728378-d2,2,0,0,0.0,0,0,0.0,-5.587130546569824,-0.1208944320678711,5.466236114501953,-0.6091809272766113
w128,17,chain-833107-d1,1,0,0,0.0,1,0,-1.0,0.732297420501709,-3.6623353958129883,-4.394632816314697,8.015960693359375
w128,17,chain-937836-d1,1,0,1,1.0,0,1,1.0,-4.774518966674805,1.946237564086914,6.720756530761719,-1.7840914726257324
w128,29,chain-100004-d1,1,1,1,0.0,1,0,-1.0,2.2434892654418945,-0.6071805953979492,-2.8506698608398438,3.452638626098633
w128,29,chain-1042565-d1,1,1,1,0.0,0,0,0.0,-8.429852485656738,-5.752915382385254,2.6769371032714844,-2.3364877700805664
w128,29,chain-1147294-d2,2,1,1,0.0,0,0,0.0,-4.662222385406494,-2.6866374015808105,1.9755849838256836,5.716934680938721
w128,29,chain-1252023-d4,4,0,0,0.0,1,0,-1.0,3.618316650390625,-2.1712427139282227,-5.789559364318848,3.373363494873047
w128,29,chain-1356752-d1,1,0,1,1.0,0,0,0.0,-2.9835026264190674,-5.220882415771484,-2.237379789352417,1.2796742916107178
w128,29,chain-1461481-d2,2,0,0,0.0,1,1,0.0,4.774068832397461,0.7318668365478516,-4.042201995849609,-0.34948062896728516
w128,29,chain-1566210-d2,2,0,0,0.0,0,0,0.0,-3.700436592102051,-4.190231800079346,-0.4897952079772949,6.964139938354492
w128,29,chain-1670939-d1,1,1,1,0.0,0,0,0.0,-3.0651192665100098,-0.9263534545898438,2.138765811920166,-1.0512523651123047
w128,29,chain-204733-d3,3,1,0,-1.0,0,0,0.0,-3.83508038520813,-1.295945167541504,2.539135217666626,-0.4750709533691406
w128,29,chain-309462-d4,4,0,0,0.0,1,1,0.0,2.851553440093994,0.9314651489257812,-1.920088291168213,-1.2300806045532227
w128,29,chain-414191-d2,2,0,0,0.0,0,1,1.0,-5.2422661781311035,0.14257335662841797,5.3848395347595215,0.4641132354736328
w128,29,chain-518920-d1,1,1,1,0.0,1,1,0.0,4.555824279785156,0.2940835952758789,-4.261740684509277,4.40120792388916
w128,29,chain-623649-d1,1,1,1,0.0,1,1,0.0,3.1160173416137695,0.4058833122253418,-2.7101340293884277,0.0
w128,29,chain-728378-d2,2,1,1,0.0,0,0,0.0,-3.579418659210205,-1.2828397750854492,2.296578884124756,4.294172763824463
w128,29,chain-833107-d1,1,0,1,1.0,0,0,0.0,-4.742654800415039,-4.1384100914001465,0.6042447090148926,-2.0205421447753906
w128,29,chain-937836-d1,1,1,1,0.0,0,0,0.0,-4.56406307220459,-5.949625015258789,-1.3855619430541992,1.8061647415161133
w128,41,chain-100004-d1,1,1,1,0.0,1,1,0.0,2.451356887817383,2.1133079528808594,-0.33804893493652344,0.8151717185974121
w128,41,chain-1042565-d1,1,0,1,1.0,0,0,0.0,-6.047500133514404,-0.5296330451965332,5.517867088317871,0.027131080627441406
w128,41,chain-1147294-d2,2,0,0,0.0,0,0,0.0,-5.88346004486084,-2.2682952880859375,3.6151647567749023,1.739159107208252
w128,41,chain-1252023-d4,4,0,0,0.0,0,0,0.0,-4.931209564208984,-5.762358665466309,-0.8311491012573242,1.5763940811157227
