window,policy,evidence_condition,n,evidence_attention_mass,distractor_attention_mass,native_attention_mass,attention_entropy,effective_support,attention_mass_sum
w16,oracle_layer_1,oracle,5,0.35996153110619933,0.4268315894902961,0.2132068794035046,2.384384334087372,10.964376440879382,1.0
w16,oracle_layer_2,oracle,5,0.33329156110618097,0.45805690704478313,0.2086515318490358,2.275903245806694,10.02606248846671,1.0
w16,oracle_layer_3,oracle,5,0.30069075955300484,0.4312643947803688,0.26804484566662634,2.3837496399879456,11.215957684063794,1.0
w16,oracle_layer_4,oracle,5,0.3138216840725921,0.44519240970958834,0.2409859062178196,2.6558937430381775,14.417192495300005,1.0
w16,oracle_layer_5,oracle,5,0.27885909653438645,0.3560317380372055,0.36510916542840804,2.732600152492523,15.613594080990108,1.0
w16,spacing_1,selected,5,0.10264053937840507,0.4282878023161502,0.4690716583054447,1.5110575585315627,4.645682750498734,1.0
w16,spacing_2,selected,5,0.09843047558073062,0.4798406135106637,0.42172891090860565,1.5412804022431374,4.790174249964619,1.0
w16,spacing_4,selected,5,0.06686643407445851,0.5090940450812391,0.4240395208443024,1.647489996254444,5.2523220532817145,1.0
w32,iterative_matched,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w32,iterative_matched,oracle,5,0.27716713547533833,0.2883793945578542,0.4344534699668074,1.502835139632225,4.623087395426998,1.0
w32,iterative_matched,selected,5,0.11886824855837066,0.5203443100872303,0.3607874413543991,1.467007035948336,4.459521959050328,1.0
w32,iterative_matched,shuffle,5,0.10654159388433156,0.45067799872592645,0.442780407389742,1.5265166316181422,4.715899365424025,1.0
w32,iterative_matched,wrong,5,0.0,0.5609067643042344,0.43909323569576564,1.5139284513890743,4.65069553902889,1.0
w32,one_shot,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w32,one_shot,oracle,5,0.3832875672423393,0.4766314488747813,0.14008098388287935,2.627712866663933,13.979845296720313,1.0
w32,one_shot,selected,5,0.15686961068646996,0.729945100384959,0.11318528892857112,2.61276518702507,13.774942699171621,1.0
w32,one_shot,shuffle,5,0.1464722094756421,0.7062733133951798,0.147254477129178,2.6426228910684584,14.168380607425295,1.0
w32,one_shot,wrong,5,0.0,0.8626362349222788,0.13736376507772113,2.6460898131132127,14.209745548174684,1.0
w32,oracle_layer_0,oracle,5,0.3832875672423393,0.4766314488747813,0.14008098388287935,2.627712866663933,13.979845296720313,1.0
w32,oracle_layer_1,oracle,5,0.33424374968628123,0.4429893163593814,0.22276693395433736,2.4820081397891043,12.283994851219852,1.0
w32,oracle_layer_2,oracle,5,0.37381972650786155,0.4589463457295556,0.1672339277625828,2.4394721552729606,11.613312815397512,1.0
w32,oracle_layer_3,oracle,5,0.4241364715184641,0.5074624319680943,0.06840109651344158,2.280262638628483,10.167787804143048,1.0
w32,oracle_layer_4,oracle,5,0.38878965045166447,0.4906011638720994,0.12060918567623613,2.3820984050631524,11.148334474553511,1.0
w32,oracle_layer_5,oracle,5,0.39949107680017515,0.4517939009155903,0.14871502228423455,2.142208267748356,9.402936660236925,1.0
w32,spacing_1,selected,5,0.12381151221064823,0.4506094908892657,0.4255789969000861,1.4168215508883197,4.297280075944672,1.0
w32,spacing_2,selected,5,0.11218131237272626,0.5624626437176544,0.32535604390961936,1.5020499010880788,4.607608925197872,1.0
w32,spacing_4,selected,5,0.08610391490744841,0.605042820388724,0.30885326470382757,1.5303087014704944,4.746504745237103,1.0
w64,iterative_matched,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w64,iterative_matched,oracle,5,0.28062859754173053,0.35582145453279335,0.3635499479254761,1.622266088426113,5.172266239205142,1.0
w64,iterative_matched,selected,5,0.1734033046821537,0.5420783313868955,0.2845183639309508,1.561881910637021,4.870649619029137,1.0
w64,iterative_matched,shuffle,5,0.14985860770443957,0.47564373277564737,0.3744976595199131,1.6365987891331315,5.231583981983499,1.0
w64,iterative_matched,wrong,5,0.0,0.623322981607238,0.376677018392762,1.6301424726843834,5.2018607146622795,1.0
w64,one_shot,e0,5,0.0,0.0,1.0,0.0,1.0,1.0
w64,one_shot,oracle,5,0.3688461950496339,0.4731790957197564,0.15797470923060972,2.6900140553712846,14.905962461025728,1.0
w64,one_shot,selected,5,0.18227632540440056,0.7002584087978816,0.11746526579771781,2.6549988597631455,14.358005708574385,1.0
w64,one_shot,shuffle,5,0.16721848505676812,0.6646348692697929,0.168146645673439,2.7136755675077437,15.25191075214435,1.0
w64,one_shot,wrong,5,0.0,0.8434118554933189,0.15658814450668102,2.7046914875507353,15.073002747317688,1.0
w64,oracle_layer_0,oracle,5,0.3688461950496339,0.4731790957197564,0.15797470923060972,2.6900140553712846,14.905962461025728,1.0
w64,oracle_layer_1,oracle,5,0.3503367372007,0.4898022521437774,0.15986101065552258,2.201087345182896,9.731064729581835,1.0
w64,oracle_layer_2,oracle,5,0.4266150042356228,0.5034473313267311,0.06993766443764612,2.4970646113157273,12.338037817823821,1.0
w64,oracle_layer_3,oracle,5,0.4073643894548139,0.4816575891774454,0.11097802136774071,2.4429078817367555,11.662899575139374,1.0
w64,oracle_layer_4,oracle,5,0.3854141023462936,0.4929530830214441,0.12163281463226232,2.444683049619198,11.866169645699582,1.0
w64,oracle_layer_5,oracle,5,0.3446524594795079,0.4340865288141142,0.22126101170637785,2.1888907968997957,9.512237468272659,1.0
w64,spacing_1,selected,5,0.1395057992784073,0.49472748134356037,0.3657667193780323,1.4793040237079063,4.569790375960908,1.0
w64,spacing_2,selected,5,0.17801324890289058,0.579833809550872,0.24215294154623734,1.561049891014894,4.873875813212651,1.0
w64,spacing_4,selected,5,0.18149566285968938,0.5513086852102801,0.2671956519300306,1.6279152646660804,5.186793752259281,1.0
