window,policy,evidence_condition,n,correct,full_vocabulary_correct,correct_margin,correct_probability,reference_recall,complete_path_recovery,layer_token_kv_states,brier_score
w16,oracle_layer_3,oracle,5,0.15,0.15,-1.9582862198352813,0.15269680223427712,1.0,1.0,20.0,1.1021653060335665
w16,oracle_layer_4,oracle,5,0.1125,0.1125,-2.2677101105451585,0.13178932243172312,1.0,1.0,20.0,1.1791612986009568
w16,oracle_layer_5,oracle,5,0.0875,0.0875,-2.1882954359054567,0.13547015277727043,1.0,1.0,20.0,1.1737995932111516
w16,spacing_1,selected,5,0.1875,0.1875,-2.1263812363147734,0.18378248869994424,0.7333333333333333,0.5875,29.6875,1.0454996805929113
w16,spacing_2,selected,5,0.1125,0.1125,-2.2075576782226562,0.1425446185123292,0.3416666666666667,0.225,15.0,1.1038321232132149
w16,spacing_4,selected,5,0.1125,0.1125,-2.6036065816879272,0.11518196119723143,0.16145833333333334,0.0875,10.0,1.2106656443444082
w32,iterative_matched,e0,5,0.1375,0.1375,-3.0782187640666963,0.11401767284005473,0.0,0.0,0.0,1.2796711773378775
w32,iterative_matched,oracle,5,0.3625,0.3625,-0.7277279645204544,0.3357868434337433,1.0,1.0,20.0,0.8335191675520036
w32,iterative_matched,selected,5,0.2125,0.2125,-2.7067254394292832,0.18553501391070312,0.496875,0.375,20.0,1.1683919923612849
w32,iterative_matched,shuffle,5,0.1625,0.1625,-2.40859195291996,0.18325956566550303,0.496875,0.375,20.0,1.1427411221888177
w32,iterative_matched,wrong,5,0.0875,0.0875,-3.4529602855443953,0.0921200789129216,0.0,0.0,20.0,1.3117859343998135
w32,one_shot,e0,5,0.1375,0.1375,-3.0782187640666963,0.11401767284005473,0.0,0.0,0.0,1.2796711773378775
w32,one_shot,oracle,5,0.4125,0.4125,-0.7887613534927368,0.38068891078328304,1.0,1.0,20.0,0.8157065899322333
w32,one_shot,selected,5,0.25,0.25,-2.4592863112688064,0.22976265821234848,0.4239583333333333,0.2875,20.0,1.1489779137416918
w32,one_shot,shuffle,5,0.2625,0.2625,-2.550741156935692,0.22765791425808857,0.4239583333333333,0.2875,20.0,1.1301324800078874
w32,one_shot,wrong,5,0.0875,0.0875,-3.8651039198040964,0.08656872842539087,0.0,0.0,20.0,1.4077094505541026
w32,oracle_layer_0,oracle,5,0.4125,0.4125,-0.7887613534927368,0.38068891078328304,1.0,1.0,20.0,0.8157065899322333
w32,oracle_layer_1,oracle,5,0.3125,0.3125,-1.6554272830486298,0.2780385686157388,1.0,1.0,20.0,1.0550028624595142
w32,oracle_layer_2,oracle,5,0.2625,0.2625,-2.118516781926155,0.22698467802438244,1.0,1.0,20.0,1.1050917231586936
w32,oracle_layer_3,oracle,5,0.2125,0.2125,-1.8837484389543533,0.21202003984944895,1.0,1.0,20.0,1.1247465227468638
w32,oracle_layer_4,oracle,5,0.1875,0.1875,-2.3433171659708023,0.1572566510803881,1.0,1.0,20.0,1.1707778287818655
w32,oracle_layer_5,oracle,5,0.1,0.1,-2.39575032889843,0.14848101187380963,1.0,1.0,20.0,1.1982579809962772
w32,spacing_1,selected,5,0.2375,0.2375,-1.8796905636787415,0.2429197236248001,0.7489583333333333,0.6,29.6875,1.012243752402719
w32,spacing_2,selected,5,0.2125,0.2125,-2.9719269275665283,0.17799606612061325,0.33125,0.225,15.0,1.2252168177976273
w32,spacing_4,selected,5,0.1625,0.1625,-3.250659149885178,0.14668103495478135,0.14895833333333336,0.075,10.0,1.2912216787117359
w64,iterative_matched,e0,5,0.125,0.125,-3.47275867164135,0.12786590662617528,0.0,0.0,0.0,1.355204321682686
w64,iterative_matched,oracle,5,0.425,0.425,-0.712228062748909,0.3693256230755651,1.0,1.0,20.0,0.8225759224954345
w64,iterative_matched,selected,5,0.2375,0.2375,-2.099220630526543,0.23360178354014352,0.615625,0.425,20.0,1.1127081301034196
w64,iterative_matched,shuffle,5,0.225,0.225,-2.2313277393579485,0.20845758671566728,0.6125,0.425,20.0,1.1008302287838887
w64,iterative_matched,wrong,5,0.0625,0.0625,-3.571912458539009,0.08633712946721062,0.0,0.0,20.0,1.3683240023907275
w64,one_shot,e0,5,0.125,0.125,-3.47275867164135,0.12786590662617528,0.0,0.0,0.0,1.355204321682686
w64,one_shot,oracle,5,0.35,0.35,-1.3462929040193559,0.3300683307330473,1.0,1.0,20.0,0.9946297510057776
w64,one_shot,selected,5,0.25,0.25,-2.738149270415306,0.23360858347641625,0.5020833333333333,0.3625,20.0,1.2361802873155283
w64,one_shot,shuffle,5,0.2125,0.2125,-2.5220215260982513,0.22398579209429953,0.5020833333333333,0.3625,20.0,1.1776259869227943
w64,one_shot,wrong,5,0.1,0.1,-3.917194405198097,0.10988466012267964,0.0,0.0,20.0,1.411918153964507
w64,oracle_layer_0,oracle,5,0.35,0.35,-1.3462929040193559,0.3300683307330473,1.0,1.0,20.0,0.9946297510057776
w64,oracle_layer_1,oracle,5,0.375,0.375,-0.9657201290130615,0.33726577554116377,1.0,1.0,20.0,0.8746762144931381
w64,oracle_layer_2,oracle,5,0.3,0.3,-1.3839635491371154,0.3000398181997298,1.0,1.0,20.0,0.9755809885682538
w64,oracle_layer_3,oracle,5,0.2875,0.2875,-1.8814579606056214,0.23802517822332447,1.0,1.0,20.0,1.052252228960424
w64,oracle_layer_4,oracle,5,0.2,0.2,-2.25190355181694,0.17221651093568652,1.0,1.0,20.0,1.1306440138083418
w64,oracle_layer_5,oracle,5,0.1125,0.1125,-2.9042105242609977,0.137648932967204,1.0,1.0,20.0,1.28207451440976
w64,spacing_1,selected,5,0.275,0.275,-1.713694405555725,0.2557604278183135,0.7760416666666666,0.6,29.6875,1.0673118933009391
w64,spacing_2,selected,5,0.25,0.25,-2.4149053782224654,0.22621939215023304,0.4583333333333333,0.3,15.0,1.1775710064222948
w64,spacing_4,selected,5,0.3,0.3,-2.3715520054101944,0.24341119507444092,0.3145833333333333,0.2125,10.0,1.1649397922830758
