stage,config_id,method,edge_family,top_k,threshold,policy,split,seed,example_id,facets,units,edges,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,graph_ms,cluster_ms,iterations,converged
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e009,4,16,34,0,1,0.8926174496644296,0.946028574656212,0.9130434782608696,0.7499999999999999,1,0.9602999780327082,0.4267001058906317,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e010,5,20,50,1,1,0.9614604462474645,0.97074680436967,0.967741935483871,1.0,1,0.8956999517977238,0.4781999159604311,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e011,6,24,46,1,1,0.8842281879194631,0.9470572590473137,0.898550724637681,0.9473684210526316,2,0.906999921426177,0.5152998492121696,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e012,1,4,8,0,0,0.0,0.0,1.0,0.0,0,1.5807000454515219,0.6903000175952911,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e013,2,8,18,0,0,0.8549222797927462,0.8471700184992593,0.9166666666666666,0.6666666666666666,1,1.4233000110834837,0.5238000303506851,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e014,3,12,32,1,0,1.0,1.0,1.0,1.0,0,1.73810007981956,0.5868000444024801,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e015,4,16,38,1,1,0.9479392624728851,0.9582756106582235,0.9583333333333334,1.0,1,1.354800071567297,0.7124999538064003,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e016,5,21,50,0,1,0.8895705521472392,0.9381445225950775,0.90625,0.7272727272727273,2,1.0746000334620476,0.5989999044686556,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e017,6,24,62,0,1,1.0,1.0,1.0,1.0,0,0.9178000036627054,0.5393000319600105,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e018,1,4,8,1,0,0.0,0.0,1.0,0.0,0,1.0242999996989965,0.42949989438056946,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e019,2,8,18,1,0,1.0,1.0,1.0,1.0,0,1.3898001052439213,0.5200998857617378,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e020,3,13,40,0,0,1.0,1.0,1.0,1.0,0,1.827700063586235,0.8600000292062759,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e021,4,16,32,0,1,0.8926174496644296,0.9460285746562119,0.9130434782608696,0.8571428571428571,1,1.4088999014347792,0.7593999616801739,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e022,5,20,48,1,1,0.9614604462474645,0.9707468043696699,0.967741935483871,1.0,1,1.4393001329153776,0.9240000508725643,3,1
