seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,no_pra_gold_logprob_delta_vs_frozen,no_pra_first_token_rank_delta_vs_frozen,no_pra_first_token_margin_delta_vs_frozen,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes,trainable_memory_bytes_fp32
23,final_norm_lm_head,hotpotqa,none,4,-7.995045006275177,0.0,888.5,0.0,-11.89453125,0.0,0.007771879434585571,1.75,-0.078125,0.05555555555555556,0.0,0.0,0.15764077499625273,0.6853705499961507,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
23,final_norm_lm_head,hotpotqa,oracle,4,-7.0083534717559814,0.9866915345191956,239.0,-649.5,-10.380859375,1.513671875,0.007771879434585571,1.75,-0.078125,0.05555555555555556,0.0,0.0,0.16359514999203384,0.73406202501792,449.0,155583488.0,26.10242578339747,311166976.0,622333952.0
23,final_norm_lm_head,hotpotqa,routed,4,-7.89100193977356,0.10404306650161743,443.25,-445.25,-11.736328125,0.158203125,0.007771879434585571,1.75,-0.078125,0.05555555555555556,0.0,0.0,0.16310910000174772,0.7336943999835057,384.0,155583488.0,26.10242578339747,311166976.0,622333952.0
23,final_norm_lm_head,qasper,direct_text,4,-9.136109709739685,-1.9629855155944824,21.25,10.0,-8.763671875,-2.064453125,0.0073778629302978516,0.25,0.07421875,0.0,0.0,0.0,0.5055992500128923,1.0066896750067826,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
23,final_norm_lm_head,qasper,none,4,-7.173124194145203,0.0,11.25,0.0,-6.69921875,0.0,0.0073778629302978516,0.25,0.07421875,0.1875,0.0,0.75,0.1477526249800576,0.7055085000174586,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
23,final_norm_lm_head,qasper,oracle,4,-7.278454899787903,-0.1053307056427002,10.25,-1.0,-6.71875,-0.01953125,0.0073778629302978516,0.25,0.07421875,0.1875,0.0,0.75,0.15602850000141189,0.8855459000042174,960.0,155583488.0,26.10242578339747,311166976.0,622333952.0
23,final_norm_lm_head,qasper,routed,4,-7.559559226036072,-0.38643503189086914,14.5,3.25,-6.96875,-0.26953125,0.0073778629302978516,0.25,0.07421875,0.1875,0.0,0.75,0.1548176750075072,0.7550865500088548,384.0,155583488.0,26.10242578339747,311166976.0,622333952.0
23,fixed,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.0,0.0,0.0,0.125,0.0,0.25,0.26035340000817087,0.7393749500333797,0.0,0.0,0.0,0.0,0.0
23,fixed,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.16037100000539795,0.6896407250023913,0.0,0.0,0.0,0.0,0.0
23,fixed,hotpotqa,oracle,4,-6.999312579631805,1.0035043060779572,236.75,-650.0,-10.423828125,1.392578125,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.16279217500414234,0.7330071750184288,449.0,0.0,0.0,0.0,0.0
