partition,omission_stratum,policy,k,n,recall,routing_seconds,query_seconds
test,semantic_omission,PRA_COMPACT,1,8,0.0,0.009112137486226857,0.9180268500058446
test,semantic_omission,PRA_COMPACT,2,8,0.0,0.009112137486226857,0.9180268500058446
test,semantic_omission,PRA_COMPACT,4,8,0.0,0.009112137486226857,0.9180268500058446
test,semantic_omission,PRA_COMPACT,8,8,0.0,0.009112137486226857,0.9180268500058446
test,semantic_omission,PRA_FALLBACK,1,8,0.25,0.0,0.0
test,semantic_omission,PRA_FALLBACK,2,8,0.25,0.0,0.0
test,semantic_omission,PRA_FALLBACK,4,8,0.375,0.0,0.0
test,semantic_omission,PRA_FALLBACK,8,8,0.375,0.0,0.0
test,semantic_omission,PRA_NATIVE_HYBRID,1,8,0.375,0.1465611125167925,0.9282672750123311
test,semantic_omission,PRA_NATIVE_HYBRID,2,8,0.375,0.1465611125167925,0.9282672750123311
test,semantic_omission,PRA_NATIVE_HYBRID,4,8,0.875,0.1465611125167925,0.9282672750123311
test,semantic_omission,PRA_NATIVE_HYBRID,8,8,0.875,0.1465611125167925,0.9282672750123311
test,semantic_omission,PRA_NATIVE_SEMANTIC,1,8,0.25,0.015116849972400814,0.898656862496864
test,semantic_omission,PRA_NATIVE_SEMANTIC,2,8,0.375,0.015116849972400814,0.898656862496864
test,semantic_omission,PRA_NATIVE_SEMANTIC,4,8,0.375,0.015116849972400814,0.898656862496864
test,semantic_omission,PRA_NATIVE_SEMANTIC,8,8,0.375,0.015116849972400814,0.898656862496864
validation,absent_from_backing,PRA_COMPACT,1,2,0.0,0.0038958501536399126,1.0762204000493512
validation,absent_from_backing,PRA_COMPACT,2,2,0.0,0.0038958501536399126,1.0762204000493512
validation,absent_from_backing,PRA_COMPACT,4,2,0.0,0.0038958501536399126,1.0762204000493512
validation,absent_from_backing,PRA_COMPACT,8,2,0.0,0.0038958501536399126,1.0762204000493512
validation,absent_from_backing,PRA_FALLBACK,1,2,0.0,0.0,0.0
validation,absent_from_backing,PRA_FALLBACK,2,2,0.0,0.0,0.0
validation,absent_from_backing,PRA_FALLBACK,4,2,0.0,0.0,0.0
validation,absent_from_backing,PRA_FALLBACK,8,2,0.0,0.0,0.0
validation,absent_from_backing,PRA_NATIVE_HYBRID,1,2,0.0,0.017692500026896596,0.9239616999402642
validation,absent_from_backing,PRA_NATIVE_HYBRID,2,2,0.0,0.017692500026896596,0.9239616999402642
validation,absent_from_backing,PRA_NATIVE_HYBRID,4,2,0.0,0.017692500026896596,0.9239616999402642
validation,absent_from_backing,PRA_NATIVE_HYBRID,8,2,0.0,0.017692500026896596,0.9239616999402642
validation,absent_from_backing,PRA_NATIVE_SEMANTIC,1,2,0.0,0.0032303499756380916,0.9314777000108734
validation,absent_from_backing,PRA_NATIVE_SEMANTIC,2,2,0.0,0.0032303499756380916,0.9314777000108734
validation,absent_from_backing,PRA_NATIVE_SEMANTIC,4,2,0.0,0.0032303499756380916,0.9314777000108734
validation,absent_from_backing,PRA_NATIVE_SEMANTIC,8,2,0.0,0.0032303499756380916,0.9314777000108734
validation,compact_explicit,PRA_COMPACT,1,2,0.0,0.007170749944634736,1.3567812500987202
validation,compact_explicit,PRA_COMPACT,2,2,0.0,0.007170749944634736,1.3567812500987202
validation,compact_explicit,PRA_COMPACT,4,2,0.5,0.007170749944634736,1.3567812500987202
validation,compact_explicit,PRA_COMPACT,8,2,1.0,0.007170749944634736,1.3567812500987202
validation,compact_explicit,PRA_FALLBACK,1,2,0.0,0.0,0.0
validation,compact_explicit,PRA_FALLBACK,2,2,0.0,0.0,0.0
validation,compact_explicit,PRA_FALLBACK,4,2,0.5,0.0,0.0
validation,compact_explicit,PRA_FALLBACK,8,2,1.0,0.0,0.0
validation,compact_explicit,PRA_NATIVE_HYBRID,1,2,0.0,0.1835294000338763,0.7761894001159817
validation,compact_explicit,PRA_NATIVE_HYBRID,2,2,0.0,0.1835294000338763,0.7761894001159817
validation,compact_explicit,PRA_NATIVE_HYBRID,4,2,0.5,0.1835294000338763,0.7761894001159817
validation,compact_explicit,PRA_NATIVE_HYBRID,8,2,1.0,0.1835294000338763,0.7761894001159817
validation,compact_explicit,PRA_NATIVE_SEMANTIC,1,2,0.0,0.0057893500197678804,0.8635455999756232
validation,compact_explicit,PRA_NATIVE_SEMANTIC,2,2,0.0,0.0057893500197678804,0.8635455999756232
validation,compact_explicit,PRA_NATIVE_SEMANTIC,4,2,0.0,0.0057893500197678804,0.8635455999756232
validation,compact_explicit,PRA_NATIVE_SEMANTIC,8,2,0.0,0.0057893500197678804,0.8635455999756232
validation,opaque_hidden,PRA_COMPACT,1,4,0.0,0.0026922000106424093,0.9092815750045702
validation,opaque_hidden,PRA_COMPACT,2,4,0.0,0.0026922000106424093,0.9092815750045702
validation,opaque_hidden,PRA_COMPACT,4,4,0.0,0.0026922000106424093,0.9092815750045702
validation,opaque_hidden,PRA_COMPACT,8,4,0.0,0.0026922000106424093,0.9092815750045702
validation,opaque_hidden,PRA_FALLBACK,1,4,0.5,0.0,0.0
validation,opaque_hidden,PRA_FALLBACK,2,4,1.0,0.0,0.0
validation,opaque_hidden,PRA_FALLBACK,4,4,1.0,0.0,0.0
validation,opaque_hidden,PRA_FALLBACK,8,4,1.0,0.0,0.0
validation,opaque_hidden,PRA_NATIVE_HYBRID,1,4,0.5,0.16900885006180033,0.8258610750199296
validation,opaque_hidden,PRA_NATIVE_HYBRID,2,4,1.0,0.16900885006180033,0.8258610750199296
validation,opaque_hidden,PRA_NATIVE_HYBRID,4,4,1.0,0.16900885006180033,0.8258610750199296
validation,opaque_hidden,PRA_NATIVE_HYBRID,8,4,1.0,0.16900885006180033,0.8258610750199296
validation,opaque_hidden,PRA_NATIVE_SEMANTIC,1,4,0.5,0.0052825499442406,0.9166297999909148
validation,opaque_hidden,PRA_NATIVE_SEMANTIC,2,4,0.5,0.0052825499442406,0.9166297999909148
validation,opaque_hidden,PRA_NATIVE_SEMANTIC,4,4,0.5,0.0052825499442406,0.9166297999909148
validation,opaque_hidden,PRA_NATIVE_SEMANTIC,8,4,0.5,0.0052825499442406,0.9166297999909148
validation,semantic_omission,PRA_COMPACT,1,4,0.0,0.004707349988166243,0.7145095249870792
validation,semantic_omission,PRA_COMPACT,2,4,0.0,0.004707349988166243,0.7145095249870792
validation,semantic_omission,PRA_COMPACT,4,4,0.0,0.004707349988166243,0.7145095249870792
validation,semantic_omission,PRA_COMPACT,8,4,0.0,0.004707349988166243,0.7145095249870792
validation,semantic_omission,PRA_FALLBACK,1,4,0.25,0.0,0.0
validation,semantic_omission,PRA_FALLBACK,2,4,0.25,0.0,0.0
validation,semantic_omission,PRA_FALLBACK,4,4,0.25,0.0,0.0
validation,semantic_omission,PRA_FALLBACK,8,4,0.25,0.0,0.0
validation,semantic_omission,PRA_NATIVE_HYBRID,1,4,0.25,0.1651942249154672,0.9324565749266185
validation,semantic_omission,PRA_NATIVE_HYBRID,2,4,0.5,0.1651942249154672,0.9324565749266185
validation,semantic_omission,PRA_NATIVE_HYBRID,4,4,0.75,0.1651942249154672,0.9324565749266185
validation,semantic_omission,PRA_NATIVE_HYBRID,8,4,0.75,0.1651942249154672,0.9324565749266185
validation,semantic_omission,PRA_NATIVE_SEMANTIC,1,4,0.25,0.0067078249412588775,0.7563765499508008
validation,semantic_omission,PRA_NATIVE_SEMANTIC,2,4,0.25,0.0067078249412588775,0.7563765499508008
validation,semantic_omission,PRA_NATIVE_SEMANTIC,4,4,0.25,0.0067078249412588775,0.7563765499508008
validation,semantic_omission,PRA_NATIVE_SEMANTIC,8,4,0.25,0.0067078249412588775,0.7563765499508008
