condition,examples,gold_answer_log_probability,gold_answer_mean_nll,ingestion_ms,native_reuse,ordinary_prefix_cache_hit,physical_context_tokens,regime,seed,selected_native_kv_tokens,selector_profile,supporting_document_coverage,token_f1,total_latency_ms,ttft_ms,visible_prompt_tokens
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-7.1375,4.226597222222222,0.02616093261167407,0.0,1.0,2024.1,PREFIX_WARM,11,0.0,pra_generic,0.5805555555555556,0.12133144633144634,164.34240413364023,70.01844849437475,2108.7
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-7.1375,4.226597222222222,940.907184605021,0.0,0.0,2024.1,WARM,11,0.0,pra_generic,0.5805555555555556,0.12133144633144634,1114.2356679697211,1017.1069457971802,2108.7
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-6.666666666666667,4.566006944444444,944.7722376013795,0.0,0.0,2021.5333333333333,COLD,11,0.0,pra_strong_reranker,0.5361111111111111,0.14594553594553597,1114.172902930295,1018.914951471379,2106.7
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-6.666666666666667,4.566006944444444,0.039087464877714716,0.0,1.0,2021.5333333333333,PREFIX_WARM,11,0.0,pra_strong_reranker,0.5361111111111111,0.14594553594553597,167.00440137259042,72.58415966837977,2106.7
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-6.666666666666667,4.566006944444444,943.7298139324412,0.0,0.0,2021.5333333333333,WARM,11,0.0,pra_strong_reranker,0.5361111111111111,0.14594553594553597,1112.920148697837,1017.9416695687299,2106.7
NO_PRA_STANDARD_RAG,30,-9.839583333333334,5.957673611111111,946.8267555367978,0.0,0.0,2022.2666666666667,COLD,23,0.0,standard_bm25,0.3555555555555555,0.1018028268028268,1119.901134733421,1026.8648055711917,2108.633333333333
NO_PRA_STANDARD_RAG,30,-9.839583333333334,5.957673611111111,0.019897169355923932,0.0,1.0,2022.2666666666667,PREFIX_WARM,23,0.0,standard_bm25,0.3555555555555555,0.1018028268028268,163.24476943312524,70.51831239562792,2108.633333333333
NO_PRA_STANDARD_RAG,30,-9.839583333333334,5.957673611111111,941.3561624358408,0.0,0.0,2022.2666666666667,WARM,23,0.0,standard_bm25,0.3555555555555555,0.1018028268028268,1111.5694486749514,1016.111354106882,2108.633333333333
NO_PRA_STANDARD_RAG,30,-10.441666666666666,6.746284722222223,953.2568554646181,0.0,0.0,2029.7666666666667,COLD,23,0.0,strong_conventional_reranker,0.4888888888888889,0.11574462574462574,1129.690380433264,1033.9189443640255,2116.4666666666667
NO_PRA_STANDARD_RAG,30,-10.441666666666666,6.746284722222223,0.019527797121554613,0.0,1.0,2029.7666666666667,PREFIX_WARM,23,0.0,strong_conventional_reranker,0.4888888888888889,0.11574462574462574,164.10543469634527,70.94825836247765,2116.4666666666667
NO_PRA_STANDARD_RAG,30,-10.441666666666666,6.746284722222223,955.8281320321839,0.0,0.0,2029.7666666666667,WARM,23,0.0,strong_conventional_reranker,0.4888888888888889,0.11574462574462574,1126.5617847985898,1031.7273388946585,2116.4666666666667
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.329166666666667,6.610347222222222,946.6996944645265,0.0,0.0,2026.7,COLD,23,2031.7,pra_generic,0.4805555555555555,0.1259129759129759,1152.8317125999213,1028.087998633661,81.93333333333334
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.329166666666667,6.610347222222222,0.027429099039485056,1.0,0.0,2026.7,WARM,23,2031.7,pra_generic,0.4805555555555555,0.1259129759129759,201.33230542996898,77.35427492880262,81.93333333333334
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.441666666666666,6.746284722222223,951.6839971358422,0.0,0.0,2029.7666666666667,COLD,23,2034.5333333333333,pra_strong_reranker,0.4888888888888889,0.11574462574462574,1165.1735179611326,1034.2152179665088,81.93333333333334
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-10.441666666666666,6.746284722222223,0.02779742741646866,1.0,0.0,2029.7666666666667,WARM,23,2034.5333333333333,pra_strong_reranker,0.4888888888888889,0.11574462574462574,207.71186282120956,78.86283915722743,81.93333333333334
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.329166666666667,6.610347222222222,942.0298166728268,0.0,0.0,2026.7,COLD,23,0.0,pra_generic,0.4805555555555555,0.1259129759129759,1112.0645583801281,1018.3162305387668,2113.633333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.329166666666667,6.610347222222222,0.022352739082028467,0.0,1.0,2026.7,PREFIX_WARM,23,0.0,pra_generic,0.4805555555555555,0.1259129759129759,163.48588607506827,71.32424437246907,2113.633333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.329166666666667,6.610347222222222,938.4917875383204,0.0,0.0,2026.7,WARM,23,0.0,pra_generic,0.4805555555555555,0.1259129759129759,1112.2630805689066,1015.5651890692146,2113.633333333333
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.441666666666666,6.746284722222223,952.7796430959521,0.0,0.0,2029.7666666666667,COLD,23,0.0,pra_strong_reranker,0.4888888888888889,0.11574462574462574,1127.7765305577002,1029.3233165633865,2116.4666666666667
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.441666666666666,6.746284722222223,0.026526333143313725,0.0,1.0,2029.7666666666667,PREFIX_WARM,23,0.0,pra_strong_reranker,0.4888888888888889,0.11574462574462574,168.70730969628008,74.08601390197873,2116.4666666666667
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-10.441666666666666,6.746284722222223,948.5387681032686,0.0,0.0,2029.7666666666667,WARM,23,0.0,pra_strong_reranker,0.4888888888888889,0.11574462574462574,1122.226656965601,1025.0043499322298,2116.4666666666667
NO_PRA_STANDARD_RAG,30,-9.8,5.352083333333334,936.2455110958157,0.0,0.0,2021.0,COLD,37,0.0,standard_bm25,0.3,0.0997979797979798,1106.943545799004,1013.1346624635626,2106.733333333333
NO_PRA_STANDARD_RAG,30,-9.8,5.352083333333334,0.020368009184797604,0.0,1.0,2021.0,PREFIX_WARM,37,0.0,standard_bm25,0.3,0.0997979797979798,161.14951251462722,68.86782638224152,2106.733333333333
NO_PRA_STANDARD_RAG,30,-9.8,5.352083333333334,920.6132625695318,0.0,0.0,2021.0,WARM,37,0.0,standard_bm25,0.3,0.0997979797979798,1085.9302847432748,992.6264250321159,2106.733333333333
NO_PRA_STANDARD_RAG,30,-9.595833333333333,5.735347222222222,932.2786734303614,0.0,0.0,2017.5666666666666,COLD,37,0.0,strong_conventional_reranker,0.5194444444444445,0.1241051541051541,1104.94394559452,1010.3261595979953,2103.4
NO_PRA_STANDARD_RAG,30,-9.595833333333333,5.735347222222222,0.019358261488378048,0.0,1.0,2017.5666666666666,PREFIX_WARM,37,0.0,strong_conventional_reranker,0.5194444444444445,0.1241051541051541,161.3786082540173,68.84801659422617,2103.4
NO_PRA_STANDARD_RAG,30,-9.595833333333333,5.735347222222222,924.2502942642508,0.0,0.0,2017.5666666666666,WARM,37,0.0,strong_conventional_reranker,0.5194444444444445,0.1241051541051541,1089.4565595333308,995.965969300596,2103.4
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-9.78125,5.717395833333333,920.9047485957853,0.0,0.0,2024.1,COLD,37,2029.2333333333333,pra_generic,0.5555555555555556,0.12973905723905724,1124.8627499929473,1000.5189749994315,80.86666666666666
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-9.78125,5.717395833333333,0.027311067484940093,1.0,0.0,2024.1,WARM,37,2029.2333333333333,pra_generic,0.5555555555555556,0.12973905723905724,200.70490690025812,76.57258473142672,80.86666666666666
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-9.595833333333333,5.735347222222222,921.4926278315639,0.0,0.0,2017.5666666666666,COLD,37,2022.5333333333333,pra_strong_reranker,0.5194444444444445,0.1241051541051541,1125.1511029646888,1000.4764597668933,80.86666666666666
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-9.595833333333333,5.735347222222222,0.027359634016950924,1.0,0.0,2017.5666666666666,WARM,37,2022.5333333333333,pra_strong_reranker,0.5194444444444445,0.1241051541051541,200.89814712797912,75.99369307087424,80.86666666666666
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-9.78125,5.717395833333333,924.059755570488,0.0,0.0,2024.1,COLD,37,0.0,pra_generic,0.5555555555555556,0.12973905723905724,1092.331897209321,998.4289971723532,2110.1
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-9.78125,5.717395833333333,0.02455703215673566,0.0,1.0,2024.1,PREFIX_WARM,37,0.0,pra_generic,0.5555555555555556,0.12973905723905724,161.62681399922198,69.67164046751957,2110.1
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-9.78125,5.717395833333333,918.022551437995,0.0,0.0,2024.1,WARM,37,0.0,pra_generic,0.5555555555555556,0.12973905723905724,1085.4751221719198,991.5799528011121,2110.1
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-9.595833333333333,5.735347222222222,917.970468030156,0.0,0.0,2017.5666666666666,COLD,37,0.0,pra_strong_reranker,0.5194444444444445,0.1241051541051541,1083.5279082627192,989.5400388554359,2103.4
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-9.595833333333333,5.735347222222222,0.019772170344367623,0.0,1.0,2017.5666666666666,PREFIX_WARM,37,0.0,pra_strong_reranker,0.5194444444444445,0.1241051541051541,161.61227640113793,69.8276735667605,2103.4
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-9.595833333333333,5.735347222222222,917.4408986330187,0.0,0.0,2017.5666666666666,WARM,37,0.0,pra_strong_reranker,0.5194444444444445,0.1241051541051541,1081.2179457667905,988.7949014334785,2103.4
NO_PRA_STANDARD_RAG,30,-12.68125,5.984340277777777,936.0020373928515,0.0,0.0,2021.6,COLD,71,0.0,standard_bm25,0.4277777777777778,0.07808080808080807,1108.0986152209032,1014.0875220919648,2105.733333333333
NO_PRA_STANDARD_RAG,30,-12.68125,5.984340277777777,0.020268037527178723,0.0,1.0,2021.6,PREFIX_WARM,71,0.0,standard_bm25,0.4277777777777778,0.07808080808080807,160.13200977079882,68.49837920550878,2105.733333333333
NO_PRA_STANDARD_RAG,30,-12.68125,5.984340277777777,919.5896859959854,0.0,0.0,2021.6,WARM,71,0.0,standard_bm25,0.4277777777777778,0.07808080808080807,1086.1987513625838,991.995215365508,2105.733333333333
NO_PRA_STANDARD_RAG,30,-12.3,6.367152777777777,938.1452653964516,0.0,0.0,2029.1666666666667,COLD,71,0.0,strong_conventional_reranker,0.6,0.0965060865060865,1109.2394668337267,1015.3996598324738,2113.5666666666666
NO_PRA_STANDARD_RAG,30,-12.3,6.367152777777777,0.023077796989430983,0.0,1.0,2029.1666666666667,PREFIX_WARM,71,0.0,strong_conventional_reranker,0.6,0.0965060865060865,161.54867373018837,68.99796673096716,2113.5666666666666
NO_PRA_STANDARD_RAG,30,-12.3,6.367152777777777,925.230852898676,0.0,0.0,2029.1666666666667,WARM,71,0.0,strong_conventional_reranker,0.6,0.0965060865060865,1089.1079598669119,995.5757322274925,2113.5666666666666
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-12.7125,6.555659722222222,921.5934846065162,0.0,0.0,2028.2333333333333,COLD,71,2032.9333333333334,pra_generic,0.5583333333333333,0.10566692566692566,1125.1726540348802,1000.4953263346882,79.5
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-12.7125,6.555659722222222,0.029268028447404504,1.0,0.0,2028.2333333333333,WARM,71,2032.9333333333334,pra_generic,0.5583333333333333,0.10566692566692566,201.8335986630215,76.80636392712283,79.5
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-12.3,6.367152777777777,923.9623819788297,0.0,0.0,2029.1666666666667,COLD,71,2034.0666666666666,pra_strong_reranker,0.6,0.0965060865060865,1128.7369556142949,1001.9434346448785,79.5
PRA_NATIVE_MEMORY_NO_ADAPTOR,30,-12.3,6.367152777777777,0.030247133690863848,1.0,0.0,2029.1666666666667,WARM,71,2034.0666666666666,pra_strong_reranker,0.6,0.0965060865060865,200.95884023273052,75.83676383752997,79.5
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.7125,6.555659722222222,922.8546041704249,0.0,0.0,2028.2333333333333,COLD,71,0.0,pra_generic,0.5583333333333333,0.10566692566692566,1090.3643444684956,997.0713541357933,2112.4333333333334
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.7125,6.555659722222222,0.024755398044362664,0.0,1.0,2028.2333333333333,PREFIX_WARM,71,0.0,pra_generic,0.5583333333333333,0.10566692566692566,161.27426222665235,69.50150399740475,2112.4333333333334
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.7125,6.555659722222222,918.4075054615581,0.0,0.0,2028.2333333333333,WARM,71,0.0,pra_generic,0.5583333333333333,0.10566692566692566,1084.0438652259763,990.7630860611486,2112.4333333333334
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.3,6.367152777777777,924.5100888675855,0.0,0.0,2029.1666666666667,COLD,71,0.0,pra_strong_reranker,0.6,0.0965060865060865,1090.6257305391289,996.8330624978989,2113.5666666666666
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.3,6.367152777777777,0.02736106786566476,0.0,1.0,2029.1666666666667,PREFIX_WARM,71,0.0,pra_strong_reranker,0.6,0.0965060865060865,162.5154221430421,70.62936940734896,2113.5666666666666
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30,-12.3,6.367152777777777,922.654479064901,0.0,0.0,2029.1666666666667,WARM,71,0.0,pra_strong_reranker,0.6,0.0965060865060865,1087.4704138065379,995.2455721329898,2113.5666666666666
