baseline,router_seed,dataset,examples,recall,precision,mrr,routing_ms
B2_graph_facet_choice,87,qasper,6,0.03333333333333333,0.041666666666666664,0.041666666666666664,6.198833347298205
B3_facet_root_matched_successor,1,2wikimultihopqa,10,0.22972222222222222,0.275,0.6083333333333333,26.11399998422712
B3_facet_root_matched_successor,1,all,29,0.18058560213732627,0.3017241379310345,0.5833333333333334,30.884479292957433
B3_facet_root_matched_successor,1,hotpotqa,6,0.2857142857142857,0.4166666666666667,0.75,26.352033329506714
B3_facet_root_matched_successor,1,musique,7,0.12149636078207506,0.39285714285714285,0.7619047619047619,44.31559996945517
B3_facet_root_matched_successor,1,qasper,6,0.0625,0.125,0.16666666666666666,27.69808331504464
B3_facet_root_matched_successor,7,2wikimultihopqa,10,0.19222222222222224,0.225,0.4583333333333333,25.565019925124943
B3_facet_root_matched_successor,7,all,29,0.15538034762172695,0.2672413793103448,0.4396551724137931,28.758496487641644
B3_facet_root_matched_successor,7,hotpotqa,6,0.3,0.4583333333333333,0.5833333333333334,21.440666595784325
B3_facet_root_matched_successor,7,musique,7,0.11197255125826554,0.39285714285714285,0.6666666666666667,48.94212852897389
B3_facet_root_matched_successor,7,qasper,6,0.0,0.0,0.0,17.851216602139175
B3_facet_root_matched_successor,21,2wikimultihopqa,10,0.18388888888888888,0.25,0.4916666666666667,26.176599971950054
B3_facet_root_matched_successor,21,all,29,0.15299939524077455,0.27586206896551724,0.5114942528735632,31.5377206605827
B3_facet_root_matched_successor,21,hotpotqa,6,0.2857142857142857,0.4166666666666667,0.7083333333333334,27.557749999687076
B3_facet_root_matched_successor,21,musique,7,0.12625826554397984,0.42857142857142855,0.8095238095238095,53.52691424611424
B3_facet_root_matched_successor,21,qasper,6,0.0,0.0,0.0,18.79883328607927
B3_facet_root_matched_successor,42,2wikimultihopqa,10,0.2663888888888889,0.325,0.6333333333333333,28.56129996944219
B3_facet_root_matched_successor,42,all,29,0.20838969459659112,0.3448275862068966,0.617816091954023,33.58723445602789
B3_facet_root_matched_successor,42,hotpotqa,6,0.3761904761904762,0.5416666666666666,0.8333333333333334,33.53893330010275
B3_facet_root_matched_successor,42,musique,7,0.13175277103848532,0.4642857142857143,0.9047619047619048,60.72851426766387
B3_facet_root_matched_successor,42,qasper,6,0.03333333333333333,0.041666666666666664,0.041666666666666664,10.347266642687222
B3_facet_root_matched_successor,87,2wikimultihopqa,10,0.2463888888888889,0.3,0.5666666666666667,38.81153000984341
B3_facet_root_matched_successor,87,all,29,0.20012583202238374,0.3275862068965517,0.5862068965517241,39.625951715199086
B3_facet_root_matched_successor,87,hotpotqa,6,0.3523809523809524,0.5,0.8333333333333334,29.580916666115325
B3_facet_root_matched_successor,87,musique,7,0.12149636078207506,0.39285714285714285,0.7619047619047619,44.31559996945517
B3_facet_root_matched_successor,87,qasper,6,0.0625,0.125,0.16666666666666666,45.557099976576865
B4_fixed_semantic,0,2wikimultihopqa,10,0.15194444444444444,0.175,0.325,
B4_fixed_semantic,0,all,29,0.11980954868885903,0.20689655172413793,0.3218390804597701,
B4_fixed_semantic,0,hotpotqa,6,0.1619047619047619,0.25,0.3888888888888889,
B4_fixed_semantic,0,musique,7,0.11194341372912801,0.35714285714285715,0.5,
B4_fixed_semantic,0,qasper,6,0.03333333333333333,0.041666666666666664,0.041666666666666664,
B4_learned_per_facet,1,2wikimultihopqa,10,0.24138888888888888,0.3,0.6833333333333333,
B4_learned_per_facet,1,all,29,0.17857560064456615,0.3275862068965517,0.6724137931034483,
B4_learned_per_facet,1,hotpotqa,6,0.1714285714285714,0.25,0.6666666666666666,
B4_learned_per_facet,1,musique,7,0.13231887160458589,0.4642857142857143,0.8333333333333333,
B4_learned_per_facet,1,qasper,6,0.13499999999999998,0.2916666666666667,0.47222222222222227,
B4_learned_per_facet,7,2wikimultihopqa,10,0.2663888888888889,0.325,0.6166666666666667,
B4_learned_per_facet,7,all,29,0.17909284202387651,0.3103448275862069,0.603448275862069,
B4_learned_per_facet,7,hotpotqa,6,0.1714285714285714,0.25,0.6666666666666666,
B4_learned_per_facet,7,musique,7,0.13231887160458589,0.4642857142857143,0.8333333333333333,
B4_learned_per_facet,7,qasper,6,0.09583333333333333,0.16666666666666666,0.25,
B4_learned_per_facet,21,2wikimultihopqa,10,0.26222222222222225,0.325,0.6333333333333333,
B4_learned_per_facet,21,all,29,0.23087295845916536,0.3448275862068966,0.5948275862068966,
B4_learned_per_facet,21,hotpotqa,6,0.2523809523809524,0.375,0.638888888888889,
B4_learned_per_facet,21,musique,7,0.1167344560201703,0.42857142857142855,0.619047619047619,
B4_learned_per_facet,21,qasper,6,0.2902777777777778,0.25,0.4583333333333333,
B4_learned_per_facet,42,2wikimultihopqa,10,0.26222222222222225,0.325,0.6333333333333333,
B4_learned_per_facet,42,all,29,0.20899282709627537,0.3103448275862069,0.5689655172413793,
B4_learned_per_facet,42,hotpotqa,6,0.22857142857142856,0.3333333333333333,0.638888888888889,
B4_learned_per_facet,42,musique,7,0.1167344560201703,0.42857142857142855,0.619047619047619,
B4_learned_per_facet,42,qasper,6,0.20833333333333334,0.125,0.3333333333333333,
B4_learned_per_facet,87,2wikimultihopqa,10,0.2663888888888889,0.325,0.6166666666666667,
B4_learned_per_facet,87,all,29,0.191432743501709,0.3448275862068966,0.6666666666666666,
B4_learned_per_facet,87,hotpotqa,6,0.19523809523809524,0.2916666666666667,0.6666666666666666,
B4_learned_per_facet,87,musique,7,0.1275569668426811,0.42857142857142855,0.8333333333333333,
B4_learned_per_facet,87,qasper,6,0.13722222222222222,0.3333333333333333,0.5555555555555556,
B4_oracle_per_facet,0,2wikimultihopqa,10,0.32472222222222225,0.4,0.6833333333333333,
B4_oracle_per_facet,0,all,29,0.28259330707606567,0.4827586206896552,0.7586206896551724,
B4_oracle_per_facet,0,hotpotqa,6,0.2523809523809524,0.375,0.7222222222222222,
B4_oracle_per_facet,0,musique,7,0.2121949479092336,0.75,0.9285714285714286,
B4_oracle_per_facet,0,qasper,6,0.3247222222222222,0.4166666666666667,0.7222222222222222,
B4_type_rule,0,2wikimultihopqa,10,0.23805555555555555,0.3,0.5666666666666667,
B4_type_rule,0,all,29,0.22409577013025286,0.3793103448275862,0.6580459770114943,
B4_type_rule,0,hotpotqa,6,0.21904761904761905,0.3333333333333333,0.5972222222222222,
B4_type_rule,0,musique,7,0.14008610437181865,0.5357142857142857,0.7857142857142857,
B4_type_rule,0,qasper,6,0.3038888888888889,0.375,0.7222222222222222,
B7_oracle_one_shot,0,2wikimultihopqa,10,0.3497222222222222,0.425,0.6833333333333333,19.750260026194155
B7_oracle_one_shot,0,all,29,0.272511205269826,0.45689655172413796,0.7040229885057472,25.570879329060173
B7_oracle_one_shot,0,hotpotqa,6,0.44166666666666665,0.625,0.8888888888888888,30.542866598504286
B7_oracle_one_shot,0,musique,7,0.16865753294324723,0.6071428571428571,1.0,39.78815718021776
B7_oracle_one_shot,0,qasper,6,0.09583333333333333,0.16666666666666666,0.20833333333333334,13.71310007137557
