model_id,dataset,example_id,method,units,target_facets,predicted_facets,facet_switches,normalized_switch_rate,minimum_contiguous_cover_ratio,non_contiguous_facets,has_non_contiguous_facet,ari,nmi,pairwise_f1,facet_count_abs_error,over_segmented,under_segmented,singleton_rate,decomposition_ms,graph_edges,graph_bytes
Qwen/Qwen3-0.6B,2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,global,13,2,1,1.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,fixed_window,13,2,3,1.0,0.14285714285714285,1.0,0.0,0.0,-0.02857142857142857,0.1892811448133548,0.35714285714285715,1.0,1.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,syntax,13,2,1,1.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,embedding_kmeans,13,2,3,1.0,0.14285714285714285,1.0,0.0,0.0,-0.15384615384615385,0.08273673753871671,0.5945945945945946,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,graph_cc,13,2,4,1.0,0.14285714285714285,1.0,0.0,0.0,-0.08108108108108109,0.1626679898077781,0.23076923076923073,2.0,1.0,0.0,0.25,2.3570999037474394,18,816
Qwen/Qwen3-0.6B,2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,graph_lp,13,2,5,1.0,0.14285714285714285,1.0,0.0,0.0,-0.08108108108108109,0.1626679898077781,0.23076923076923073,2.0,1.0,0.0,0.25,2.3570999037474394,18,816
Qwen/Qwen3-0.6B,2wikimultihopqa,1b38f1ce0bda11eba7f7acde48001122,llm,13,2,1,1.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,global,11,2,1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,fixed_window,11,2,3,1.0,0.2,1.0,0.0,0.0,0.32432432432432434,0.47870397138567994,0.6153846153846153,0.0,0.0,0.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,syntax,11,2,1,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,embedding_kmeans,11,2,2,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.5714285714285715,1.0,0.0,1.0,0.0,0.0,0,0
Qwen/Qwen3-0.6B,2wikimultihopqa,1c92cdf40bdc11eba7f7acde48001122,graph_cc,11,2,4,1.0,0.2,1.0,0.0,0.0,0.11764705882352938,0.4398695005110284,0.4,1.0,1.0,0.0,0.25,2.495500026270747,14,656
