seed,target_shared_tokens,actual_shared_tokens,fanout,host_split_session_ms,native_session_ms,one_time_native_encode_ms,amortized_speedup,host_split_physical_tokens,native_physical_tokens,physical_token_reduction,duplicate_kv_bytes_avoided,native_argmax_parity
37,512,512,16,1627.9474151087925,321.78312516771257,89.27154098637402,5.059144771063773,8454,774,0.9084457061745919,880803840,1
37,2048,2048,1,489.61033404339105,458.3772079786286,435.2262500906363,1.0681384796650244,2064,2064,0.0,0,1
37,2048,2048,2,861.5993759594858,466.6462088935077,420.3891670331359,1.846365318176429,4128,2080,0.49612403100775193,234881024,1
37,2048,2048,4,1766.9208750594407,510.49462403170764,415.6479579396546,3.461193892905118,8256,2112,0.7441860465116279,704643072,1
37,2048,2048,8,3467.2596270684153,592.0582523103803,406.7025420954451,5.856281224927072,16512,2176,0.8682170542635659,1644167168,1
37,2048,2048,16,6996.16191687528,812.8209582064301,427.9195419512689,8.607260733425235,33030,2310,0.9300635785649409,3523215360,1
37,8192,8192,1,2854.21508399304,2879.1239579441026,2814.9348329752684,0.991348453795352,8208,8208,0.0,0,1
37,8192,8192,2,5383.773626061156,2854.7273749718443,2731.0098339803517,1.8859151571747743,16416,8224,0.49902534113060426,939524096,1
37,8192,8192,4,11419.623001129366,2928.1477918848395,2660.873500048183,3.8999476162979434,32832,8256,0.7485380116959064,2818572288,1
37,8192,8192,8,22423.67241496686,3161.124915583059,2659.1941659571603,7.093573652982608,65664,8320,0.8732943469785575,6576668672,1
37,8192,8192,16,43765.180125134066,3699.507582350634,2665.112250018865,11.830001466661695,131334,8454,0.9356297683768102,14092861440,1
71,512,512,1,94.15875002741814,101.22916707769036,87.50262507237494,0.9301543492415986,528,528,0.0,0,1
71,512,512,2,191.89687503967434,112.67729091923684,85.08504193741828,1.7030661056380858,1056,544,0.48484848484848486,58720256,1
71,512,512,4,405.45108390506357,145.65812307409942,88.02854095119983,2.7835803136005115,2112,576,0.7272727272727273,176160768,1
71,512,512,8,823.5802089329809,208.4366250783205,94.93675001431257,3.9512259835502466,4224,640,0.8484848484848485,411041792,1
71,512,512,16,1597.7515388512984,319.35670983511955,90.95999994315207,5.003031061023269,8454,774,0.9084457061745919,880803840,1
71,2048,2048,1,434.7080420702696,442.54758197348565,419.2768329521641,0.982285430488047,2064,2064,0.0,0,1
71,2048,2048,2,852.2611680673435,460.3815001901239,415.30670900829136,1.8512063749637744,4128,2080,0.49612403100775193,234881024,1
71,2048,2048,4,1733.5296659730375,491.88670702278614,399.06279102433473,3.524245809498433,8256,2112,0.7441860465116279,704643072,1
71,2048,2048,8,3412.47395821847,596.0714179091156,412.29408304207027,5.72494143434802,16512,2176,0.8682170542635659,1644167168,1
71,2048,2048,16,6894.129957305267,787.6005002763122,412.15950006153435,8.753333644260783,33030,2310,0.9300635785649409,3523215360,1
71,8192,8192,1,2849.6512910351157,2695.921832928434,2630.0359170418233,1.0570229656620622,8208,8208,0.0,0,1
71,8192,8192,2,5293.471626006067,2899.776999023743,2767.1440000412986,1.825475416829708,16416,8224,0.49902534113060426,939524096,1
71,8192,8192,4,10823.202249943279,2823.3284159796312,2582.992249983363,3.8334903543936,32832,8256,0.7485380116959064,2818572288,1
71,8192,8192,8,21264.24441707786,3218.6122491257265,2728.304291027598,6.60664993829371,65664,8320,0.8732943469785575,6576668672,1
71,8192,8192,16,42858.78366359975,3571.5457479236647,2565.468291984871,12.000065710628489,131334,8454,0.9356297683768102,14092861440,1
101,512,512,1,93.3140410343185,99.86162499990314,86.28074999433011,0.9344334326064593,528,528,0.0,0,1
101,512,512,2,186.79816590156406,111.74583295360208,84.73433298058808,1.6716342879570678,1056,544,0.48484848484848486,58720256,1
101,512,512,4,391.3835830753669,141.50775026064366,85.44920803979039,2.765810228446682,2112,576,0.7272727272727273,176160768,1
101,512,512,8,810.3586249053478,205.50324802752584,92.21783396787941,3.943288647178975,4224,640,0.8484848484848485,411041792,1
101,512,512,16,1560.3551241802052,315.62795327045023,90.06941702682525,4.943653146092523,8454,774,0.9084457061745919,880803840,1
101,2048,2048,1,452.81845796853304,443.2492080377415,420.0809580506757,1.0215888709043712,2064,2064,0.0,0,1
101,2048,2048,2,851.3059589313343,462.75354200042784,417.42541699204594,1.8396530370167263,4128,2080,0.49612403100775193,234881024,1
101,2048,2048,4,1699.4003750151023,490.9809591481462,399.6265419991687,3.4612347858938732,8256,2112,0.7441860465116279,704643072,1
101,2048,2048,8,3387.2372910846025,592.520039062947,402.75858296081424,5.716662843068428,16512,2176,0.8682170542635659,1644167168,1
101,2048,2048,16,6853.56158297509,767.8065388463438,391.7546250158921,8.926156832778224,33030,2310,0.9300635785649409,3523215360,1
101,8192,8192,1,2762.085166061297,2656.08070907183,2595.8986670011654,1.039910103871245,8208,8208,0.0,0,1
101,8192,8192,2,5327.3684999439865,2817.6086670719087,2694.335374981165,1.8907410962361388,16416,8224,0.49902534113060426,939524096,1
101,8192,8192,4,10458.699999959208,2839.7529190406203,2595.6974170403555,3.6829612639301614,32832,8256,0.7485380116959064,2818572288,1
101,8192,8192,8,21583.390834159218,3043.4477898525074,2542.3074159771204,7.091756561792439,65664,8320,0.8732943469785575,6576668672,1
101,8192,8192,16,43029.82720686123,3702.149790013209,2683.6911250138655,11.622929823892322,131334,8454,0.9356297683768102,14092861440,1
