dataset,layer,aligned_tokens,pre_k_relative_error,pre_k_cosine,post_k_relative_error,post_k_cosine,v_relative_error,v_cosine
hotpotqa,25,68.5,0.370837964117527,0.9318077713251114,0.5311369895935059,0.8605045080184937,0.32610346376895905,0.9461143612861633
hotpotqa,26,68.5,0.36845844238996506,0.9316403269767761,0.5808511599898338,0.8313082903623581,0.35135550051927567,0.937471479177475
hotpotqa,27,68.5,0.19204740226268768,0.9808923155069351,0.6226900964975357,0.8049320578575134,0.4456179291009903,0.8953631967306137
qasper,0,214.75,1.5174033023868105e-05,1.0000479817390442,0.06366568431258202,0.9980209916830063,8.963399750427925e-06,0.9999999850988388
qasper,1,214.75,0.039358614943921566,0.9993119537830353,0.13905684649944305,0.9904980063438416,0.1601206175982952,0.9870903491973877
qasper,2,214.75,0.0935661718249321,0.9961995035409927,0.26236581802368164,0.9670970141887665,0.3233131095767021,0.946542888879776
qasper,3,214.75,0.14812470972537994,0.9893018454313278,0.21551664173603058,0.9773077368736267,0.2545323520898819,0.9666531085968018
qasper,4,214.75,0.15799099951982498,0.9889128804206848,0.24483992904424667,0.9722607135772705,0.27108635753393173,0.9620045274496078
qasper,5,214.75,0.12965895421802998,0.9918592125177383,0.16556048393249512,0.9866744428873062,0.270088579505682,0.9615221470594406
qasper,6,214.75,0.16936294361948967,0.9854290187358856,0.34593792259693146,0.9406253546476364,0.30021052062511444,0.9509826898574829
qasper,7,214.75,0.1508876532316208,0.9885724633932114,0.2227998450398445,0.9754209369421005,0.3272336944937706,0.9412032067775726
qasper,8,214.75,0.251075092703104,0.9673638790845871,0.3885672986507416,0.9253115803003311,0.5285645350813866,0.8430180698633194
qasper,9,214.75,0.21927908807992935,0.9752785712480545,0.3320019096136093,0.9456086754798889,0.40269381552934647,0.9117043018341064
qasper,10,214.75,0.17210564389824867,0.9860997647047043,0.26976365596055984,0.9656330347061157,0.4256572350859642,0.9017911702394485
qasper,11,214.75,0.259541891515255,0.9633803516626358,0.4614384174346924,0.8922981917858124,0.5366558656096458,0.845683142542839
qasper,12,214.75,0.2304001823067665,0.9730490148067474,0.29033001884818077,0.9581650644540787,0.7174283713102341,0.7146627902984619
qasper,13,214.75,0.33782579749822617,0.9388829618692398,0.4634004235267639,0.8905875384807587,0.7191724926233292,0.7141374051570892
qasper,14,214.75,0.3206081874668598,0.9448904097080231,0.40229304134845734,0.9165729433298111,0.7197925001382828,0.7141553461551666
qasper,15,214.75,0.18206315487623215,0.9824911803007126,0.638836994767189,0.7952773869037628,0.44032154977321625,0.8968525826931
qasper,16,214.75,0.29556654021143913,0.9524962902069092,0.42185113579034805,0.9093439429998398,0.4029550440609455,0.9133575111627579
qasper,17,214.75,0.23720718920230865,0.969561368227005,0.37340984493494034,0.929606094956398,0.4044383466243744,0.9121695756912231
qasper,18,214.75,0.28816644474864006,0.9546872824430466,0.437760591506958,0.9025090485811234,0.3440002389252186,0.9349399507045746
qasper,19,214.75,0.2671635188162327,0.9615821540355682,0.4201410636305809,0.9107476770877838,0.3162291683256626,0.9465027451515198
qasper,20,214.75,0.27239906787872314,0.9599805176258087,0.4725545048713684,0.8882333785295486,0.2827109210193157,0.956776574254036
qasper,21,214.75,0.2526971623301506,0.9658444225788116,0.34806956350803375,0.9383401423692703,0.28515516221523285,0.9562425166368484
qasper,22,214.75,0.2520057037472725,0.9661608040332794,0.4292225018143654,0.9077356457710266,0.27277740091085434,0.9600387662649155
qasper,23,214.75,0.2527639679610729,0.9653701186180115,0.3538263142108917,0.9360213726758957,0.2779623195528984,0.9583049267530441
qasper,24,214.75,0.2591814547777176,0.9634094536304474,0.39236705750226974,0.9216450899839401,0.265125572681427,0.9625241011381149
qasper,25,214.75,0.28514013811945915,0.9556197375059128,0.39189980924129486,0.9207067042589188,0.25755637884140015,0.9645597636699677
qasper,26,214.75,0.28727447986602783,0.9555014371871948,0.4298778772354126,0.9061740636825562,0.2648494243621826,0.9627396613359451
qasper,27,214.75,0.16895992681384087,0.9858666360378265,0.40807703882455826,0.91849584877491,0.35753730684518814,0.9308459013700485
