partition,dataset,example_id,seed,factorized_cost_savings,fixed_method_recall,oracle_method_recall,adaptive_method_quality_gain,combined_sources_reported_separately
validation,hotpotqa,5ab7f97a5542991d322237ef,71,,0.0,0.3333333333333333,0.3333333333333333,1
test,hotpotqa,5a8888e35542997e5c09a5f6,11,19.0,0.25,0.25,0.0,1
test,hotpotqa,5a8888e35542997e5c09a5f6,23,11.0,0.25,0.25,0.0,1
test,hotpotqa,5a8888e35542997e5c09a5f6,37,11.0,0.25,0.25,0.0,1
test,hotpotqa,5a8888e35542997e5c09a5f6,53,16.0,0.25,0.25,0.0,1
test,hotpotqa,5a8888e35542997e5c09a5f6,71,11.0,0.25,0.25,0.0,1
test,hotpotqa,5a8c8502554299585d9e36d0,11,30.171875,0.0,0.2,0.2,1
test,hotpotqa,5a8c8502554299585d9e36d0,23,9.0,0.0,0.2,0.2,1
test,hotpotqa,5a8c8502554299585d9e36d0,37,30.171875,0.0,0.2,0.2,1
test,hotpotqa,5a8c8502554299585d9e36d0,53,30.171875,0.0,0.2,0.2,1
test,hotpotqa,5a8c8502554299585d9e36d0,71,18.171875,0.0,0.2,0.2,1
validation,hotpotqa,5a84c4bb5542991dd0999dec,11,11.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5a84c4bb5542991dd0999dec,23,11.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5a84c4bb5542991dd0999dec,37,11.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5a84c4bb5542991dd0999dec,53,11.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5a84c4bb5542991dd0999dec,71,11.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5abbd4035542993f40c73bcb,11,19.0,0.14285714285714285,0.14285714285714285,0.0,1
validation,hotpotqa,5abbd4035542993f40c73bcb,23,19.0,0.14285714285714285,0.14285714285714285,0.0,1
validation,hotpotqa,5abbd4035542993f40c73bcb,37,11.0,0.14285714285714285,0.14285714285714285,0.0,1
validation,hotpotqa,5abbd4035542993f40c73bcb,53,0.0,0.14285714285714285,0.14285714285714285,0.0,1
validation,hotpotqa,5abbd4035542993f40c73bcb,71,0.0,0.14285714285714285,0.14285714285714285,0.0,1
validation,hotpotqa,5ae6143f5542996de7b71b2d,11,27.0,0.0,0.2,0.2,1
validation,hotpotqa,5ae6143f5542996de7b71b2d,23,27.0,0.0,0.2,0.2,1
validation,hotpotqa,5ae6143f5542996de7b71b2d,37,5.0,0.0,0.2,0.2,1
validation,hotpotqa,5ae6143f5542996de7b71b2d,53,27.0,0.0,0.2,0.2,1
validation,hotpotqa,5ae6143f5542996de7b71b2d,71,8.0,0.0,0.2,0.2,1
validation,hotpotqa,5a7e513a5542994959419996,11,7.0,0.0,0.5,0.5,1
validation,hotpotqa,5a7e513a5542994959419996,23,7.0,0.0,0.5,0.5,1
validation,hotpotqa,5a7e513a5542994959419996,37,7.0,0.0,0.5,0.5,1
validation,hotpotqa,5a7e513a5542994959419996,53,7.0,0.0,0.5,0.5,1
validation,hotpotqa,5a7e513a5542994959419996,71,17.0,0.0,0.5,0.5,1
test,hotpotqa,5a80d6be55429938b6142206,11,13.0,0.0,0.25,0.25,1
test,hotpotqa,5a80d6be55429938b6142206,23,8.0,0.0,0.25,0.25,1
test,hotpotqa,5a80d6be55429938b6142206,37,8.0,0.0,0.25,0.25,1
test,hotpotqa,5a80d6be55429938b6142206,53,8.0,0.0,0.25,0.25,1
test,hotpotqa,5a80d6be55429938b6142206,71,8.0,0.0,0.25,0.25,1
test,hotpotqa,5ab88c075542991b5579efbe,11,16.4375,0.0,0.25,0.25,1
test,hotpotqa,5ab88c075542991b5579efbe,23,28.4375,0.0,0.25,0.25,1
test,hotpotqa,5ab88c075542991b5579efbe,37,9.0,0.0,0.25,0.25,1
test,hotpotqa,5ab88c075542991b5579efbe,53,17.0,0.0,0.25,0.25,1
test,hotpotqa,5ab88c075542991b5579efbe,71,28.4375,0.0,0.25,0.25,1
validation,hotpotqa,5a714b645542994082a3e78b,11,19.0,0.0,0.2,0.2,1
validation,hotpotqa,5a714b645542994082a3e78b,23,19.0,0.0,0.2,0.2,1
validation,hotpotqa,5a714b645542994082a3e78b,37,17.0,0.0,0.2,0.2,1
validation,hotpotqa,5a714b645542994082a3e78b,53,17.0,0.0,0.2,0.2,1
validation,hotpotqa,5a714b645542994082a3e78b,71,17.0,0.0,0.2,0.2,1
validation,hotpotqa,5abce85755429959677d6b3e,11,17.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5abce85755429959677d6b3e,23,10.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5abce85755429959677d6b3e,37,10.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5abce85755429959677d6b3e,53,17.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,hotpotqa,5abce85755429959677d6b3e,71,10.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,11,0.0,0.3333333333333333,0.3333333333333333,0.0,1
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,23,0.0,0.3333333333333333,0.3333333333333333,0.0,1
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,37,0.0,0.3333333333333333,0.3333333333333333,0.0,1
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,53,0.0,0.3333333333333333,0.3333333333333333,0.0,1
validation,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,71,0.0,0.3333333333333333,0.3333333333333333,0.0,1
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,11,19.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,23,0.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,37,0.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,53,0.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,71,11.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,11,11.0,0.0,0.07692307692307693,0.07692307692307693,1
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,23,11.0,0.0,0.07692307692307693,0.07692307692307693,1
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,37,11.0,0.0,0.07692307692307693,0.07692307692307693,1
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,53,11.0,0.0,0.07692307692307693,0.07692307692307693,1
validation,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,71,0.0,0.0,0.07692307692307693,0.07692307692307693,1
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,11,37.859375,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,23,0.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,37,0.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,53,19.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,71,19.0,0.0,0.14285714285714285,0.14285714285714285,1
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,11,39.0,0.0,0.0,0.0,1
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,23,0.0,0.0,0.0,0.0,1
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,37,0.0,0.0,0.0,0.0,1
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,53,0.0,0.0,0.0,0.0,1
validation,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,71,19.0,0.0,0.0,0.0,1
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,11,35.0,0.0,0.0,0.0,1
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,23,19.0,0.0,0.0,0.0,1
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,37,4.0,0.0,0.0,0.0,1
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,53,9.0,0.0,0.0,0.0,1
validation,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,71,1.0,0.0,0.0,0.0,1
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,11,0.0,0.0,0.0,0.0,1
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,23,19.0,0.0,0.0,0.0,1
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,37,19.0,0.0,0.0,0.0,1
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,53,0.0,0.0,0.0,0.0,1
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,71,0.0,0.0,0.0,0.0,1
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,11,,0.013333333333333334,0.0273972602739726,0.014063926940639267,1
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,23,,0.013333333333333334,0.0273972602739726,0.014063926940639267,1
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,37,,0.013333333333333334,0.0273972602739726,0.014063926940639267,1
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,53,,0.013333333333333334,0.0273972602739726,0.014063926940639267,1
validation,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,71,,0.013333333333333334,0.0273972602739726,0.014063926940639267,1
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,11,39.0,0.0,0.0,0.0,1
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,23,0.0,0.0,0.0,0.0,1
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,37,0.0,0.0,0.0,0.0,1
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,53,0.0,0.0,0.0,0.0,1
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,71,0.0,0.0,0.0,0.0,1
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,11,,0.0,0.08333333333333333,0.08333333333333333,1
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,23,,0.0,0.08333333333333333,0.08333333333333333,1
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,37,,0.0,0.08333333333333333,0.08333333333333333,1
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,53,,0.0,0.08333333333333333,0.08333333333333333,1
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,71,,0.0,0.08333333333333333,0.08333333333333333,1
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,11,0.0,0.0,0.0,0.0,1
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,23,0.0,0.0,0.0,0.0,1
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,37,27.0,0.0,0.0,0.0,1
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,53,0.0,0.0,0.0,0.0,1
validation,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,71,0.0,0.0,0.0,0.0,1
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,11,0.0,0.0,0.3333333333333333,0.3333333333333333,1
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,23,0.0,0.0,0.3333333333333333,0.3333333333333333,1
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,37,0.0,0.0,0.3333333333333333,0.3333333333333333,1
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,53,18.671875,0.0,0.3333333333333333,0.3333333333333333,1
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,71,0.0,0.0,0.3333333333333333,0.3333333333333333,1
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,11,33.890625,0.0,0.16666666666666666,0.16666666666666666,1
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,23,0.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,37,0.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,53,0.0,0.0,0.16666666666666666,0.16666666666666666,1
validation,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,71,0.0,0.0,0.16666666666666666,0.16666666666666666,1
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,11,18.0,0.0,0.2,0.2,1
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,23,0.0,0.0,0.2,0.2,1
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,37,0.0,0.0,0.2,0.2,1
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,53,0.0,0.0,0.2,0.2,1
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,71,0.0,0.0,0.2,0.2,1
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,11,,0.0,0.0,0.0,1
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,23,0.0,0.0,0.0,0.0,1
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,37,39.0,0.0,0.0,0.0,1
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,53,0.0,0.0,0.0,0.0,1
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,71,19.0,0.0,0.0,0.0,1
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,11,0.0,0.0,0.2,0.2,1
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,23,0.0,0.0,0.2,0.2,1
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,37,19.0,0.0,0.2,0.2,1
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,53,0.0,0.0,0.2,0.2,1
validation,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,71,0.0,0.0,0.2,0.2,1
