policy,dataset,n,recall,precision,mrr,complete_recovery,root_comparisons,successor_comparisons,token_span_operations,materialized_kv_tokens,representation,validation_n,heldout_n,datasets,root_method_accuracy,coverage_note
S6_adaptive_both,qasper,16,0.009784735812133072,0.0625,0.1901106978497211,0.0,142.625,285.25,268614.9375,0.0,,,,,,
S6_adaptive_both,all,68,0.03223089265485825,0.07352941176470588,0.22516245712778282,0.0,78.17647058823529,156.35294117647058,131444.75,0.0,,,,,,
S7_oracle_both,2wikimultihopqa,18,0.17222222222222222,0.2777777777777778,0.5051146384479718,0.0,42.388888888888886,84.77777777777777,66614.72222222222,0.0,,,,,,
S7_oracle_both,hotpotqa,16,0.23601190476190476,0.5,0.825,0.0,50.125,100.25,80696.5,0.0,,,,,,
S7_oracle_both,musique,18,0.06367126181177489,0.3055555555555556,0.570014245014245,0.0,81.61111111111111,163.22222222222223,87319.83333333333,0.0,,,,,,
S7_oracle_both,qasper,16,0.10666883059862511,0.34375,0.5805288461538461,0.0,142.625,285.25,278867.8125,0.0,,,,,,
S7_oracle_both,all,68,0.14307315409382979,0.35294117647058826,0.6153056094232565,0.0,78.17647058823529,156.35294117647058,125350.75,0.0,,,,,,
,,,,,,,,,,,R0_observable,0,32,hotpotqa|qasper,0.3125,Four-fold identity-grouped OOF; cache covers HotpotQA/QASPER test identities only
,,,,,,,,,,,S2_embed_last,0,32,hotpotqa|qasper,0.4375,Four-fold identity-grouped OOF; cache covers HotpotQA/QASPER test identities only
,,,,,,,,,,,R0_plus_S2_embed_last,0,32,hotpotqa|qasper,0.3125,Four-fold identity-grouped OOF; cache covers HotpotQA/QASPER test identities only
