split,dataset,example_id,conditioned_root_method,oracle_successor_method,oracle_recall,oracle_precision,oracle_mrr,combined_root_method,combined_successor_method,combined_recall,combined_precision,combined_mrr,comparisons,latency_ms,mapping_semantics
test,musique,3hop2__106842_30645_84681,bm25,native_semantic,0.0,0.0,0.09090909090909091,semantic,native_semantic,0.0,0.0,0.25,188,156.32220008410513,annotated_dependency
test,musique,3hop2__11282_57233_56883,hybrid,native_semantic,0.0,0.0,0.07142857142857142,approx,native_semantic,0.0,0.0,0.3333333333333333,170,140.99380001425743,annotated_dependency
test,musique,4hop1__105401_17130_70784_61381,bm25,native_semantic,0.034482758620689655,0.5,1.0,bm25,native_semantic,0.034482758620689655,0.5,1.0,188,137.57620006799698,annotated_dependency
test,musique,4hop1__105688_17130_70784_61381,semantic,exact_new_address,0.07407407407407407,1.0,1.0,exact,exact_new_address,0.07407407407407407,1.0,1.0,188,136.73179992474616,annotated_dependency
test,musique,4hop1__105688_17130_70784_79935,hybrid,bm25_state,0.043478260869565216,0.5,1.0,bm25,native_semantic,0.043478260869565216,0.5,1.0,176,375.9295998606831,annotated_dependency
test,musique,4hop2__103790_14670_8987_8974,bm25,approximate_new_address,0.0,0.0,0.3333333333333333,bm25,approximate_new_address,0.0,0.0,0.3333333333333333,174,98.62269996665418,annotated_dependency
test,musique,4hop2__103790_39078_8987_8529,approx,native_semantic,0.3333333333333333,1.0,1.0,semantic,native_semantic,0.3333333333333333,1.0,1.0,168,144.81840003281832,annotated_dependency
test,musique,4hop2__105527_14670_8987_8529,semantic,exact_new_address,0.14285714285714285,0.5,0.5,semantic,exact_new_address,0.14285714285714285,0.5,0.5,144,100.38939979858696,annotated_dependency
test,qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,bm25,native_semantic,0.0,0.0,0.3333333333333333,hybrid,exact_new_address,0.14285714285714285,0.5,0.5,224,166.27010004594922,unordered_evidence_remainder
test,qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,exact,native_semantic,0.0,0.0,0.3333333333333333,hybrid,native_semantic,0.0,0.0,0.3333333333333333,378,271.6781001072377,unordered_evidence_remainder
test,qasper,1703.04001:4e1a67f8dc68b55a5ce18e6cd385ae9ab90d891f,exact,hybrid_state,0.16666666666666666,0.5,1.0,hybrid,hybrid_state,0.16666666666666666,0.5,1.0,136,111.07390001416206,unordered_evidence_remainder
test,qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,exact,exact_new_address,0.0,0.0,0.017543859649122806,bm25,native_semantic,0.3333333333333333,0.5,1.0,352,276.0433000512421,unordered_evidence_remainder
test,qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,exact,exact_new_address,0.14285714285714285,0.5,0.5,exact,exact_new_address,0.14285714285714285,0.5,0.5,188,128.737400053069,unordered_evidence_remainder
test,qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,bm25,exact_new_address,0.0,0.0,0.25,exact,exact_new_address,0.0,0.0,0.25,254,278.40939979068935,unordered_evidence_remainder
test,qasper,1910.14599:ee2c9bc24d70daa0c87e38e0558e09ab97feb4f2,exact,exact_new_address,0.0,0.0,0.043478260869565216,bm25,bm25_state,0.0,0.0,0.3333333333333333,412,311.2238999456167,unordered_evidence_remainder
test,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,exact,bm25_state,0.08333333333333333,0.5,0.5,exact,bm25_state,0.08333333333333333,0.5,0.5,296,316.27739989198744,unordered_evidence_remainder
test,qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,exact,bm25_state,0.0273972602739726,1.0,1.0,exact,bm25_state,0.0273972602739726,1.0,1.0,580,501.3178999070078,unordered_evidence_remainder
test,qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,exact,native_semantic,0.0,0.0,0.018867924528301886,bm25,bm25_state,0.0,0.0,0.038461538461538464,218,197.47260003350675,unordered_evidence_remainder
test,qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,bm25,exact_new_address,0.0,0.0,0.07692307692307693,approx,exact_new_address,0.07692307692307693,0.5,0.5,322,246.5916001237929,unordered_evidence_remainder
test,qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,exact,exact_new_address,0.0,0.0,0.14285714285714285,approx,exact_new_address,0.2,0.5,1.0,322,202.31879991479218,unordered_evidence_remainder
