split,seed,example_id,method,facets,units,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,predicted_clusters,iterations,converged,edges
test,101,test-s101-e016,graph_cc,5,20,0,1,1.0,1.0,1.0,1.0,0,5,3,1,46
test,101,test-s101-e016,graph_label_propagation,5,20,0,1,0.918681789000642,0.9583974999210492,0.9310344827586207,0.888888888888889,1,6,5,1,46
test,101,test-s101-e017,global,6,24,0,1,0.0,0.0,0.24203821656050956,0.0,5,1,1,1,0
test,101,test-s101-e017,fixed_window,6,24,0,1,0.6879240162822253,0.8362393911149706,0.7297297297297298,0.4000000000000001,0,6,1,1,0
test,101,test-s101-e017,clause_proxy,6,24,0,1,0.6879240162822253,0.8362393911149706,0.7297297297297298,0.4000000000000001,0,6,1,1,0
test,101,test-s101-e017,embedding_kmeans,6,24,0,1,0.43588640275387264,0.6855798345638033,0.5439999999999999,0.9090909090909091,3,3,4,1,0
test,101,test-s101-e017,graph_cc,6,24,0,1,1.0,1.0,1.0,1.0,0,6,3,1,56
test,101,test-s101-e017,graph_label_propagation,6,24,0,1,0.8284435604177026,0.932650590043265,0.8484848484848484,0.7692307692307693,2,8,6,1,56
test,101,test-s101-e018,global,1,5,1,0,0.0,0.0,1.0,0.0,0,1,1,1,0
test,101,test-s101-e018,fixed_window,1,5,1,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,101,test-s101-e018,clause_proxy,1,5,1,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,101,test-s101-e018,embedding_kmeans,1,5,1,0,0.0,0.0,0.7499999999999999,0.0,1,2,2,1,0
test,101,test-s101-e018,graph_cc,1,5,1,0,0.0,0.0,1.0,0.0,0,1,3,1,12
test,101,test-s101-e018,graph_label_propagation,1,5,1,0,0.0,0.0,1.0,0.0,0,1,2,1,12
test,101,test-s101-e019,global,2,7,1,0,0.0,0.0,0.6,0.0,1,1,1,1,0
test,101,test-s101-e019,fixed_window,2,7,1,0,0.4166666666666667,0.5294617736385714,0.6666666666666666,0.6666666666666666,0,2,1,1,0
test,101,test-s101-e019,clause_proxy,2,7,1,0,0.4166666666666667,0.5294617736385714,0.6666666666666666,0.6666666666666666,0,2,1,1,0
test,101,test-s101-e019,embedding_kmeans,2,7,1,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,0
