dataset,split,example_id,condition,memory,reducer,layer,look_behind,budget_chunks,selected_chunks,index_bytes_per_chunk,temporal_query_buffer_bytes,routing_dots,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,requested_chunks,entropy,normalized_entropy,top1_margin,effective_candidates,contributing_query_states,contributing_memory_modes,score_concentration
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_recency_b16,native_mean,recency,27,16,4,56 40 32 8,4096,131072,15360,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.073239326477051,0.9948452711105347,0.04161405563354492,58.74695587158203,16.0,1.0,0.11606858670711517
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_max_b1,native_mean,late_max,27,1,4,0 40 56 32,4096,8192,960,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,1.0,1.0,1.0
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_max_b2,native_mean,late_max,27,2,4,40 56 32 0,4096,16384,1920,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0722880363464355,0.9946129322052002,0.00033664703369140625,58.691097259521484,2.0,1.0,0.7714206576347351
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_max_b4,native_mean,late_max,27,4,4,56 40 32 8,4096,32768,3840,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.072680950164795,0.9947088956832886,0.03171110153198242,58.71416091918945,4.0,1.0,0.41338250041007996
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_max_b8,native_mean,late_max,27,8,4,56 40 32 8,4096,65536,7680,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.072839736938477,0.9947476387023926,0.04441213607788086,58.72348403930664,8.0,1.0,0.21545660495758057
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_max_b16,native_mean,late_max,27,16,4,56 40 32 8,4096,131072,15360,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.073239326477051,0.9948452711105347,0.04161357879638672,58.74695587158203,16.0,1.0,0.11606858670711517
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_top_mean_b1,native_mean,late_top_mean,27,1,4,0 40 56 32,4096,8192,960,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.071961402893066,0.994533121585846,0.021876811981201172,58.67192840576172,1.0,1.0,1.0
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_top_mean_b2,native_mean,late_top_mean,27,2,4,40 56 32 0,4096,16384,1920,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0722880363464355,0.9946129322052002,0.00033664703369140625,58.691097259521484,2.0,1.0,0.7714206576347351
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_top_mean_b4,native_mean,late_top_mean,27,4,4,56 40 32 8,4096,32768,3840,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.072680950164795,0.9947088956832886,0.03171110153198242,58.71416091918945,4.0,1.0,0.41338250041007996
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_top_mean_b8,native_mean,late_top_mean,27,8,4,56 40 32 8,4096,65536,7680,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.072839736938477,0.9947476387023926,0.04441213607788086,58.72348403930664,8.0,1.0,0.21545660495758057
hotpotqa,validation,5a8cefc155429941ae14df55,native_mean_l27_late_top_mean_b16,native_mean,late_top_mean,27,16,4,56 40 32 8,4096,131072,15360,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.073239326477051,0.9948452711105347,0.04161357879638672,58.74695587158203,16.0,1.0,0.11606858670711517
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_current_b1,rank16,current,27,1,4,51 18 19 50,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598787546157837,0.4298316240310669,0.975616455078125,5.811732769012451,1.0,1.0,0.7860859036445618
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_current_b2,rank16,current,27,2,4,51 18 19 50,2048,128,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598803043365479,0.42983198165893555,0.9756126403808594,5.811741828918457,2.0,1.0,0.7860761880874634
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_current_b4,rank16,current,27,4,4,51 18 19 50,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598803043365479,0.42983198165893555,0.9756126403808594,5.811741828918457,4.0,2.0,0.7860056757926941
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_current_b8,rank16,current,27,8,4,51 18 19 50,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598803043365479,0.42983198165893555,0.9756126403808594,5.811741828918457,8.0,2.0,0.7860021591186523
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_current_b16,rank16,current,27,16,4,51 18 19 50,2048,1024,491520,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598803043365479,0.42983198165893555,0.9756126403808594,5.811741828918457,16.0,2.0,0.783128023147583
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_mean_b1,rank16,mean,27,1,4,51 18 19 50,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598787546157837,0.4298316240310669,0.975616455078125,5.811732769012451,1.0,1.0,0.7860859036445618
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_mean_b2,rank16,mean,27,2,4,51 18 52 19,2048,128,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.515963077545166,0.6144971251487732,0.6687221527099609,12.378524780273438,2.0,1.0,0.7860761880874634
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_mean_b4,rank16,mean,27,4,4,51 18 52 19,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.958479881286621,0.7225771546363831,0.44615745544433594,19.268659591674805,4.0,2.0,0.7860056757926941
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_mean_b8,rank16,mean,27,8,4,51 52 18 19,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.3209927082061768,0.8111170530319214,0.2616558074951172,27.687822341918945,8.0,2.0,0.7860021591186523
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_mean_b16,rank16,mean,27,16,4,51 52 18 19,2048,1024,491520,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.253936767578125,0.7947393655776978,0.3625755310058594,25.892070770263672,16.0,2.0,0.783128023147583
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_recency_b1,rank16,recency,27,1,4,51 18 19 50,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598787546157837,0.4298316240310669,0.975616455078125,5.811732769012451,1.0,1.0,0.7860859036445618
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_recency_b2,rank16,recency,27,2,4,51 18 19 52,2048,128,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.3787639141082764,0.5809876918792725,0.7078742980957031,10.791555404663086,2.0,1.0,0.7860761880874634
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_recency_b4,rank16,recency,27,4,4,51 18 52 19,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.7389791011810303,0.6689664125442505,0.5183067321777344,15.471182823181152,4.0,2.0,0.7860056757926941
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_recency_b8,rank16,recency,27,8,4,51 18 52 19,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.977839946746826,0.7273056507110596,0.45212745666503906,19.645336151123047,8.0,2.0,0.7860021591186523
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_recency_b16,rank16,recency,27,16,4,51 18 52 19,2048,1024,491520,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.002835988998413,0.733410656452179,0.4474658966064453,20.142580032348633,16.0,2.0,0.783128023147583
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_max_b1,rank16,late_max,27,1,4,51 52 19 50,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.2710347175598145,0.3104366660118103,0.7691459655761719,3.5645389556884766,1.0,1.0,0.7860859036445618
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_max_b2,rank16,late_max,27,2,4,51 52 19 18,2048,128,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.8666396141052246,0.45590680837631226,0.30915069580078125,6.466529846191406,2.0,1.0,0.7860761880874634
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_max_b4,rank16,late_max,27,4,4,51 52 19 18,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.2820799350738525,0.5573737025260925,0.01251220703125,9.797036170959473,4.0,2.0,0.7860056757926941
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_max_b8,rank16,late_max,27,8,4,52 51 19 18,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.589359760284424,0.6324235200881958,0.0980682373046875,13.321240425109863,8.0,1.0,0.995747983455658
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_max_b16,rank16,late_max,27,16,4,52 51 19 18,2048,1024,491520,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.622127056121826,0.6404265761375427,0.07859039306640625,13.764971733093262,16.0,1.0,0.9904515743255615
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_top_mean_b1,rank16,late_top_mean,27,1,4,51 18 19 50,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.7598787546157837,0.4298316240310669,0.975616455078125,5.811732769012451,1.0,1.0,0.7860859036445618
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_top_mean_b2,rank16,late_top_mean,27,2,4,51 18 52 19,2048,128,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.362039804458618,0.5769030451774597,0.7242717742919922,10.612576484680176,2.0,1.0,0.7860761880874634
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_top_mean_b4,rank16,late_top_mean,27,4,4,51 18 52 19,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.7093474864959717,0.6617292165756226,0.5694828033447266,15.019472122192383,4.0,2.0,0.7860056757926941
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_top_mean_b8,rank16,late_top_mean,27,8,4,51 18 52 19,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.951570749282837,0.720889687538147,0.4710731506347656,19.135988235473633,8.0,2.0,0.7860021591186523
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l27_late_top_mean_b16,rank16,late_top_mean,27,16,4,51 18 52 19,2048,1024,491520,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.97932505607605,0.7276683449745178,0.46780967712402344,19.67453384399414,16.0,2.0,0.783128023147583
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_current_b1,rank8_centroid8,current,27,1,4,52 19 50 18,256,64,3840,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035891532897949,0.49724480509757996,0.23720550537109375,7.659077167510986,1.0,1.0,0.7664939165115356
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_current_b2,rank8_centroid8,current,27,2,4,52 19 50 18,256,128,7680,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035891532897949,0.49724480509757996,0.23720741271972656,7.659077167510986,2.0,1.0,0.7574203014373779
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_current_b4,rank8_centroid8,current,27,4,4,52 19 50 18,256,256,15360,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035890817642212,0.49724462628364563,0.23720550537109375,7.659071922302246,4.0,1.0,0.661691427230835
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_current_b8,rank8_centroid8,current,27,8,4,52 19 50 18,256,512,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035890817642212,0.49724462628364563,0.23720359802246094,7.659071922302246,8.0,1.0,0.6444463133811951
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_current_b16,rank8_centroid8,current,27,16,4,52 19 50 18,256,1024,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035890817642212,0.49724462628364563,0.23720550537109375,7.659071922302246,16.0,1.0,0.4496878683567047
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_mean_b1,rank8_centroid8,mean,27,1,4,52 19 50 18,256,64,3840,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035891532897949,0.49724480509757996,0.23720550537109375,7.659077167510986,1.0,1.0,0.7664939165115356
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_mean_b2,rank8_centroid8,mean,27,2,4,52 19 50 18,256,128,7680,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.627455234527588,0.6417279243469238,0.39737510681152344,13.838509559631348,2.0,1.0,0.7574203014373779
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_mean_b4,rank8_centroid8,mean,27,4,4,52 19 18 50,256,256,15360,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.001432418823242,0.7330678701400757,0.18603134155273438,20.114328384399414,4.0,1.0,0.661691427230835
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_mean_b8,rank8_centroid8,mean,27,8,4,52 19 51 18,256,512,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.216216802597046,0.7855266332626343,0.011716842651367188,24.933612823486328,8.0,1.0,0.6444463133811951
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_mean_b16,rank8_centroid8,mean,27,16,4,19 52 51 18,256,1024,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.116234302520752,0.7611069679260254,0.0151519775390625,22.561260223388672,16.0,1.0,0.6048316359519958
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_recency_b1,rank8_centroid8,recency,27,1,4,52 19 50 18,256,64,3840,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035891532897949,0.49724480509757996,0.23720550537109375,7.659077167510986,1.0,1.0,0.7664939165115356
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_recency_b2,rank8_centroid8,recency,27,2,4,52 19 50 18,256,128,7680,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.533979654312134,0.6188974976539612,0.3772468566894531,12.603564262390137,2.0,1.0,0.7574203014373779
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_recency_b4,rank8_centroid8,recency,27,4,4,52 19 18 50,256,256,15360,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.820545196533203,0.6888880729675293,0.2397899627685547,16.785999298095703,4.0,1.0,0.661691427230835
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_recency_b8,rank8_centroid8,recency,27,8,4,52 19 18 50,256,512,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.992170572280884,0.7308057546615601,0.1307525634765625,19.928892135620117,8.0,1.0,0.6444463133811951
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_recency_b16,rank8_centroid8,recency,27,16,4,52 19 18 50,256,1024,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.0027713775634766,0.7333948612213135,0.11279487609863281,20.141279220581055,16.0,1.0,0.4496878683567047
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_max_b1,rank8_centroid8,late_max,27,1,4,52 18 51 50,256,64,3840,0.8,1.0,1.0,1.0,0.0,1.0,4.0,0.8261396288871765,0.20177578926086426,2.399494171142578,2.284482717514038,1.0,1.0,0.7664939165115356
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_max_b2,rank8_centroid8,late_max,27,2,4,52 51 18 19,256,128,7680,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.1602989435195923,0.2833906412124634,1.5511722564697266,3.190886974334717,2.0,1.0,0.7574203014373779
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_max_b4,rank8_centroid8,late_max,27,4,4,52 51 18 19,256,256,15360,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.395911693572998,0.340936541557312,0.9271488189697266,4.038654804229736,4.0,1.0,0.661691427230835
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_max_b8,rank8_centroid8,late_max,27,8,4,52 51 18 19,256,512,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.5456753969192505,0.37751471996307373,0.5580635070800781,4.691138744354248,8.0,1.0,0.6444463133811951
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_max_b16,rank8_centroid8,late_max,27,16,4,52 51 18 19,256,1024,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,1.553196907043457,0.37935176491737366,0.4958686828613281,4.726556301116943,16.0,1.0,0.4496878683567047
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_top_mean_b1,rank8_centroid8,late_top_mean,27,1,4,52 19 50 18,256,64,3840,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.035891532897949,0.49724480509757996,0.23720550537109375,7.659077167510986,1.0,1.0,0.7664939165115356
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_top_mean_b2,rank8_centroid8,late_top_mean,27,2,4,52 19 50 18,256,128,7680,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.5571329593658447,0.6245524287223816,0.35738182067871094,12.898782730102539,2.0,1.0,0.7574203014373779
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_top_mean_b4,rank8_centroid8,late_top_mean,27,4,4,52 19 50 18,256,256,15360,0.8,1.0,1.0,1.0,0.0,1.0,4.0,2.8424246311187744,0.6942318677902222,0.2149181365966797,17.157316207885742,4.0,1.0,0.661691427230835
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_top_mean_b8,rank8_centroid8,late_top_mean,27,8,4,52 19 18 50,256,512,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.002960205078125,0.7334409952163696,0.1047821044921875,20.145082473754883,8.0,1.0,0.6444463133811951
hotpotqa,validation,5a8cefc155429941ae14df55,rank8_centroid8_l27_late_top_mean_b16,rank8_centroid8,late_top_mean,27,16,4,52 19 18 50,256,1024,61440,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.0113790035247803,0.7354971766471863,0.09526443481445312,20.31539535522461,16.0,1.0,0.4496878683567047
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l0_current_b1,rank16,current,0,1,4,51 18 19 50,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.7986183166503906,0.9277719855308533,0.40277862548828125,44.63946533203125,1.0,1.0,0.29838863015174866
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l0_current_b4,rank16,current,0,4,4,51 18 19 50,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.798617362976074,0.9277717471122742,0.40277767181396484,44.63942337036133,4.0,3.0,0.14909492433071136
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l0_current_b8,rank16,current,0,8,4,51 18 19 50,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.798617362976074,0.9277717471122742,0.40277767181396484,44.63942337036133,8.0,3.0,0.14993518590927124
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l0_late_max_b1,rank16,late_max,0,1,4,51 52 19 50,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.672808885574341,0.8970444202423096,0.27646541595458984,39.3623161315918,1.0,1.0,0.29838863015174866
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l0_late_max_b4,rank16,late_max,0,4,4,51 18 50 52,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.5211668014526367,0.8600074052810669,0.3049297332763672,33.82387161254883,4.0,3.0,0.14909492433071136
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l0_late_max_b8,rank16,late_max,0,8,4,51 18 52 50,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.514843702316284,0.8584631085395813,0.3470888137817383,33.61067581176758,8.0,3.0,0.14993518590927124
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l8_current_b1,rank16,current,8,1,4,51 52 19 18,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.7146553993225098,0.9072649478912354,0.185302734375,41.04444122314453,1.0,1.0,0.31134548783302307
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l8_current_b4,rank16,current,8,4,4,51 52 19 18,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.714655637741089,0.9072650074958801,0.185302734375,41.04444885253906,4.0,1.0,0.21093054115772247
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l8_current_b8,rank16,current,8,8,4,51 52 19 18,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.714655637741089,0.9072650074958801,0.185302734375,41.04444885253906,8.0,2.0,0.18481624126434326
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l8_late_max_b1,rank16,late_max,8,1,4,52 19 51 55,2048,64,30720,0.6,0.75,1.0,1.0,0.0,1.0,4.0,3.612961530685425,0.8824273347854614,0.3870735168457031,37.07569122314453,1.0,1.0,0.7555102705955505
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l8_late_max_b4,rank16,late_max,8,4,4,52 19 51 55,2048,256,122880,0.6,0.75,1.0,1.0,0.0,1.0,4.0,3.5998382568359375,0.8792220950126648,0.41495513916015625,36.592315673828125,4.0,1.0,0.6909476518630981
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l8_late_max_b8,rank16,late_max,8,8,4,52 19 51 50,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.595459461212158,0.87815260887146,0.4404621124267578,36.43243408203125,8.0,1.0,0.5971807837486267
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l18_current_b1,rank16,current,18,1,4,51 52 18 19,2048,64,30720,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.3177945613861084,0.8103359341621399,0.3973369598388672,27.599414825439453,1.0,1.0,0.46401187777519226
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l18_current_b4,rank16,current,18,4,4,51 52 18 19,2048,256,122880,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.317793846130371,0.8103357553482056,0.3973369598388672,27.599395751953125,4.0,1.0,0.2433822751045227
hotpotqa,validation,5a8cefc155429941ae14df55,rank16_l18_current_b8,rank16,current,18,8,4,51 52 18 19,2048,512,245760,0.8,1.0,1.0,1.0,0.0,1.0,4.0,3.317793846130371,0.8103357553482056,0.3973369598388672,27.599395751953125,8.0,2.0,0.15070058405399323
