dataset,split,condition,memory,reducer,layer,look_behind,examples,evidence_recall,evidence_precision,any_evidence,chain_completion,mrr,normalized_entropy,top1_margin,score_concentration
2wikimultihopqa,test,rank16_l27_late_top_mean_b4,rank16,late_top_mean,27,4,100,0.1829603174603175,0.2375,0.68,0.16,0.41,0.869290457367897,0.38834126472473146,0.443635409027338
2wikimultihopqa,test,rank16_l27_late_top_mean_b8,rank16,late_top_mean,27,8,100,0.18022222222222223,0.235,0.65,0.16,0.39333333333333337,0.8712742441892624,0.401702299118042,0.32920347109436987
2wikimultihopqa,test,rank16_l27_mean_b1,rank16,mean,27,1,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305011212825775,0.4767332172393799,0.5230445949733258
2wikimultihopqa,test,rank16_l27_mean_b16,rank16,mean,27,16,100,0.17513492063492062,0.23,0.61,0.18,0.38333333333333336,0.8826220631599426,0.4025695705413818,0.29081847667694094
2wikimultihopqa,test,rank16_l27_mean_b2,rank16,mean,27,2,100,0.1816111111111111,0.235,0.66,0.18,0.4025,0.8745096749067307,0.3702766704559326,0.47800195336341855
2wikimultihopqa,test,rank16_l27_mean_b4,rank16,mean,27,4,100,0.173984126984127,0.2275,0.65,0.16,0.39666666666666667,0.8699529975652694,0.4082060718536377,0.44655126228928566
2wikimultihopqa,test,rank16_l27_mean_b8,rank16,mean,27,8,100,0.18126190476190476,0.2375,0.65,0.18,0.39333333333333337,0.8724834877252579,0.43124534606933596,0.32138954058289526
2wikimultihopqa,test,rank16_l27_recency_b1,rank16,recency,27,1,100,0.1902777777777778,0.245,0.69,0.18,0.415,0.8305011212825775,0.4767332172393799,0.5230445949733258
2wikimultihopqa,test,rank16_l27_recency_b16,rank16,recency,27,16,100,0.17205555555555554,0.225,0.63,0.17,0.39416666666666667,0.8707692468166351,0.4082650375366211,0.2939095501601696
2wikimultihopqa,test,rank16_l27_recency_b2,rank16,recency,27,2,100,0.1836111111111111,0.2375,0.66,0.19,0.39583333333333337,0.8690598660707474,0.3795688819885254,0.47503788813948633
2wikimultihopqa,test,rank16_l27_recency_b4,rank16,recency,27,4,100,0.18107936507936506,0.2375,0.67,0.17,0.4116666666666666,0.867329929471016,0.3987918758392334,0.4465597976744175
2wikimultihopqa,test,rank16_l27_recency_b8,rank16,recency,27,8,100,0.17655555555555555,0.23,0.65,0.17,0.39916666666666667,0.8689946329593659,0.41004782676696777,0.3245756508409977
2wikimultihopqa,test,rank16_l8_current_b1,rank16,current,8,1,100,0.15284126984126986,0.2025,0.61,0.13,0.36833333333333335,0.8999450069665909,0.3728891658782959,0.39400589317083357
2wikimultihopqa,test,rank16_l8_current_b4,rank16,current,8,4,100,0.15284126984126986,0.2025,0.61,0.13,0.36833333333333335,0.8999450200796127,0.37288943290710447,0.4260107658803463
2wikimultihopqa,test,rank16_l8_current_b8,rank16,current,8,8,100,0.15284126984126986,0.2025,0.61,0.13,0.36833333333333335,0.8999450200796127,0.37288943290710447,0.2624025016278029
2wikimultihopqa,test,rank16_l8_late_max_b1,rank16,late_max,8,1,100,0.145984126984127,0.1925,0.61,0.13,0.35916666666666663,0.8765386474132538,0.39574332237243653,0.4711885476112366
2wikimultihopqa,test,rank16_l8_late_max_b4,rank16,late_max,8,4,100,0.1497222222222222,0.195,0.6,0.15,0.36833333333333335,0.8659380465745926,0.4346669292449951,0.5267044897377491
2wikimultihopqa,test,rank16_l8_late_max_b8,rank16,late_max,8,8,100,0.1602222222222222,0.2075,0.61,0.15,0.36833333333333335,0.8653270387649536,0.4371776008605957,0.3077721948176622
2wikimultihopqa,test,rank8_centroid8_l27_current_b1,rank8_centroid8,current,27,1,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686151266098,0.6092477178573609,0.6599541413784027
2wikimultihopqa,test,rank8_centroid8_l27_current_b16,rank8_centroid8,current,27,16,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686231732368,0.6092476511001587,0.20855832293629648
2wikimultihopqa,test,rank8_centroid8_l27_current_b2,rank8_centroid8,current,27,2,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686106562615,0.6092477655410766,0.5727769559621811
2wikimultihopqa,test,rank8_centroid8_l27_current_b4,rank8_centroid8,current,27,4,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686231732368,0.6092476511001587,0.4422371412813664
2wikimultihopqa,test,rank8_centroid8_l27_current_b8,rank8_centroid8,current,27,8,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686094641686,0.6092476844787598,0.26654321268200876
2wikimultihopqa,test,rank8_centroid8_l27_late_max_b1,rank8_centroid8,late_max,27,1,100,0.17292063492063492,0.23,0.68,0.17,0.4675,0.6911991751194,0.7382620429992676,0.6999841126799583
2wikimultihopqa,test,rank8_centroid8_l27_late_max_b16,rank8_centroid8,late_max,27,16,100,0.1721825396825397,0.23,0.63,0.22,0.455,0.7644862449169159,0.6356425476074219,0.21409710083156824
2wikimultihopqa,test,rank8_centroid8_l27_late_max_b2,rank8_centroid8,late_max,27,2,100,0.17165873015873015,0.2275,0.66,0.16,0.45416666666666666,0.7541419276595116,0.6336266422271728,0.5949256044626235
2wikimultihopqa,test,rank8_centroid8_l27_late_max_b4,rank8_centroid8,late_max,27,4,100,0.17632539682539683,0.2325,0.65,0.2,0.45083333333333336,0.7579688560962677,0.6602724742889404,0.46616630762815475
2wikimultihopqa,test,rank8_centroid8_l27_late_max_b8,rank8_centroid8,late_max,27,8,100,0.1771825396825397,0.235,0.64,0.23,0.45416666666666666,0.7628976720571518,0.6378876781463623,0.26980374187231065
2wikimultihopqa,test,rank8_centroid8_l27_late_top_mean_b1,rank8_centroid8,late_top_mean,27,1,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686151266098,0.6092477178573609,0.6599541413784027
2wikimultihopqa,test,rank8_centroid8_l27_late_top_mean_b16,rank8_centroid8,late_top_mean,27,16,100,0.1605,0.215,0.63,0.17,0.4025,0.833864609003067,0.48272000789642333,0.2011762349307537
2wikimultihopqa,test,rank8_centroid8_l27_late_top_mean_b2,rank8_centroid8,late_top_mean,27,2,100,0.17433333333333334,0.2325,0.67,0.15,0.44083333333333335,0.823739366531372,0.5289220857620239,0.5546194925904274
2wikimultihopqa,test,rank8_centroid8_l27_late_top_mean_b4,rank8_centroid8,late_top_mean,27,4,100,0.16457142857142856,0.22,0.62,0.17,0.4091666666666666,0.8281595748662949,0.5033283901214599,0.4404702749848366
2wikimultihopqa,test,rank8_centroid8_l27_late_top_mean_b8,rank8_centroid8,late_top_mean,27,8,100,0.16466666666666666,0.22,0.64,0.17,0.4041666666666666,0.8328638464212418,0.481843204498291,0.25402451403439047
2wikimultihopqa,test,rank8_centroid8_l27_mean_b1,rank8_centroid8,mean,27,1,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686151266098,0.6092477178573609,0.6599541413784027
2wikimultihopqa,test,rank8_centroid8_l27_mean_b16,rank8_centroid8,mean,27,16,100,0.17023809523809524,0.225,0.62,0.18,0.41583333333333333,0.8400735983252525,0.4806485605239868,0.20060514122247697
2wikimultihopqa,test,rank8_centroid8_l27_mean_b2,rank8_centroid8,mean,27,2,100,0.17433333333333334,0.2325,0.67,0.15,0.43833333333333335,0.830015175640583,0.5224141836166382,0.5488452100753785
2wikimultihopqa,test,rank8_centroid8_l27_mean_b4,rank8_centroid8,mean,27,4,100,0.16633333333333333,0.2225,0.63,0.17,0.4091666666666666,0.832918501496315,0.4916395854949951,0.4379863661527634
2wikimultihopqa,test,rank8_centroid8_l27_mean_b8,rank8_centroid8,mean,27,8,100,0.15514285714285714,0.205,0.61,0.15,0.42,0.840075461268425,0.4554861068725586,0.25078867211937905
2wikimultihopqa,test,rank8_centroid8_l27_recency_b1,rank8_centroid8,recency,27,1,100,0.17626190476190476,0.2325,0.68,0.15,0.44416666666666665,0.7787686151266098,0.6092477178573609,0.6599541413784027
2wikimultihopqa,test,rank8_centroid8_l27_recency_b16,rank8_centroid8,recency,27,16,100,0.16216666666666665,0.2175,0.62,0.17,0.4091666666666666,0.8328539794683456,0.49502251625061033,0.20339792385697364
2wikimultihopqa,test,rank8_centroid8_l27_recency_b2,rank8_centroid8,recency,27,2,100,0.17266666666666666,0.23,0.67,0.15,0.44416666666666665,0.8230660021305084,0.5374885368347168,0.5558304381370545
2wikimultihopqa,test,rank8_centroid8_l27_recency_b4,rank8_centroid8,recency,27,4,100,0.16857142857142857,0.225,0.62,0.18,0.4083333333333334,0.8273406478762627,0.5184033679962158,0.44196540370583537
2wikimultihopqa,test,rank8_centroid8_l27_recency_b8,rank8_centroid8,recency,27,8,100,0.16466666666666666,0.22,0.63,0.17,0.4108333333333334,0.8318721395730972,0.49298830032348634,0.2549653578549623
2wikimultihopqa,validation,native_mean_l27_current_b1,native_mean,current,27,1,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,1.0
2wikimultihopqa,validation,native_mean_l27_current_b16,native_mean,current,27,16,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,0.12065808251500129
2wikimultihopqa,validation,native_mean_l27_current_b2,native_mean,current,27,2,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,0.7326345622539521
2wikimultihopqa,validation,native_mean_l27_current_b4,native_mean,current,27,4,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,0.39182268381118773
2wikimultihopqa,validation,native_mean_l27_current_b8,native_mean,current,27,8,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,0.20506464838981628
2wikimultihopqa,validation,native_mean_l27_late_max_b1,native_mean,late_max,27,1,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,1.0
2wikimultihopqa,validation,native_mean_l27_late_max_b16,native_mean,late_max,27,16,20,0.12791666666666668,0.1625,0.45,0.15,0.2875,0.9922018826007843,0.1202688455581665,0.11467713341116906
2wikimultihopqa,validation,native_mean_l27_late_max_b2,native_mean,late_max,27,2,20,0.13041666666666668,0.1625,0.45,0.15,0.3,0.9913432747125626,0.12441706657409668,0.717121034860611
2wikimultihopqa,validation,native_mean_l27_late_max_b4,native_mean,late_max,27,4,20,0.13791666666666666,0.175,0.5,0.15,0.29583333333333334,0.9917862623929977,0.11743052005767822,0.38010345250368116
2wikimultihopqa,validation,native_mean_l27_late_max_b8,native_mean,late_max,27,8,20,0.12791666666666668,0.1625,0.45,0.15,0.2625,0.9921004116535187,0.12273528575897216,0.19218515008687972
2wikimultihopqa,validation,native_mean_l27_late_top_mean_b1,native_mean,late_top_mean,27,1,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,1.0
2wikimultihopqa,validation,native_mean_l27_late_top_mean_b16,native_mean,late_top_mean,27,16,20,0.12791666666666668,0.1625,0.45,0.15,0.2875,0.9922018826007843,0.1202688455581665,0.11467713341116906
2wikimultihopqa,validation,native_mean_l27_late_top_mean_b2,native_mean,late_top_mean,27,2,20,0.13041666666666668,0.1625,0.45,0.15,0.3,0.9913432747125626,0.12441706657409668,0.717121034860611
2wikimultihopqa,validation,native_mean_l27_late_top_mean_b4,native_mean,late_top_mean,27,4,20,0.13791666666666666,0.175,0.5,0.15,0.29583333333333334,0.9917862623929977,0.11743052005767822,0.38010345250368116
2wikimultihopqa,validation,native_mean_l27_late_top_mean_b8,native_mean,late_top_mean,27,8,20,0.12791666666666668,0.1625,0.45,0.15,0.2625,0.9921004116535187,0.12273528575897216,0.19218515008687972
2wikimultihopqa,validation,native_mean_l27_mean_b1,native_mean,mean,27,1,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,1.0
2wikimultihopqa,validation,native_mean_l27_mean_b16,native_mean,mean,27,16,20,0.14875,0.1875,0.55,0.15,0.2625,0.9926748186349869,0.11039495468139648,0.11489475183188916
2wikimultihopqa,validation,native_mean_l27_mean_b2,native_mean,mean,27,2,20,0.12791666666666668,0.1625,0.45,0.15,0.30416666666666664,0.9911796510219574,0.1288149118423462,0.7085633844137191
2wikimultihopqa,validation,native_mean_l27_mean_b4,native_mean,mean,27,4,20,0.12541666666666668,0.1625,0.5,0.1,0.27083333333333337,0.9917139798402786,0.11567597389221192,0.3808149233460426
2wikimultihopqa,validation,native_mean_l27_mean_b8,native_mean,mean,27,8,20,0.11791666666666667,0.15,0.45,0.15,0.2625,0.9923848569393158,0.1258998394012451,0.19091053903102875
2wikimultihopqa,validation,native_mean_l27_recency_b1,native_mean,recency,27,1,20,0.13625,0.175,0.55,0.1,0.26666666666666666,0.9918237090110779,0.13125407695770264,1.0
2wikimultihopqa,validation,native_mean_l27_recency_b16,native_mean,recency,27,16,20,0.12791666666666668,0.1625,0.45,0.15,0.2875,0.9922019004821777,0.12026891708374024,0.11467713341116906
2wikimultihopqa,validation,native_mean_l27_recency_b2,native_mean,recency,27,2,20,0.13041666666666668,0.1625,0.45,0.15,0.3,0.9913432836532593,0.12441706657409668,0.717121034860611
2wikimultihopqa,validation,native_mean_l27_recency_b4,native_mean,recency,27,4,20,0.13791666666666666,0.175,0.5,0.15,0.29583333333333334,0.9917862772941589,0.11743049621582032,0.38010345250368116
2wikimultihopqa,validation,native_mean_l27_recency_b8,native_mean,recency,27,8,20,0.12791666666666668,0.1625,0.45,0.15,0.2625,0.9921004116535187,0.12273538112640381,0.19218515008687972
2wikimultihopqa,validation,rank16_l0_current_b1,rank16,current,0,1,20,0.39,0.5,0.8,0.45,0.6583333333333333,0.958354040980339,0.2219409942626953,0.1804536622017622
2wikimultihopqa,validation,rank16_l0_current_b4,rank16,current,0,4,20,0.39,0.5,0.8,0.45,0.6583333333333333,0.958354052901268,0.22194101810455322,0.08931183964014053
2wikimultihopqa,validation,rank16_l0_current_b8,rank16,current,0,8,20,0.39,0.5,0.8,0.45,0.6583333333333333,0.958354052901268,0.22194101810455322,0.16598667465150357
2wikimultihopqa,validation,rank16_l0_late_max_b1,rank16,late_max,0,1,20,0.44000000000000006,0.5625,0.95,0.55,0.7333333333333333,0.926373028755188,0.28599863052368163,0.22660405412316323
2wikimultihopqa,validation,rank16_l0_late_max_b4,rank16,late_max,0,4,20,0.22916666666666666,0.3,0.65,0.25,0.5166666666666667,0.8691985785961152,0.26417293548583987,0.22284025195986032
2wikimultihopqa,validation,rank16_l0_late_max_b8,rank16,late_max,0,8,20,0.22916666666666666,0.3,0.65,0.25,0.5166666666666667,0.8748783081769943,0.29121899604797363,0.20405579395592213
2wikimultihopqa,validation,rank16_l18_current_b1,rank16,current,18,1,20,0.5033333333333333,0.65,0.95,0.7,0.8541666666666666,0.8717069536447525,0.40401463508605956,0.4194308653473854
2wikimultihopqa,validation,rank16_l18_current_b4,rank16,current,18,4,20,0.5033333333333333,0.65,0.95,0.7,0.8541666666666666,0.8717069506645203,0.40401501655578614,0.4488854601979256
2wikimultihopqa,validation,rank16_l18_current_b8,rank16,current,18,8,20,0.5033333333333333,0.65,0.95,0.7,0.8541666666666666,0.8717069506645203,0.40401501655578614,0.3980353869497776
2wikimultihopqa,validation,rank16_l18_late_max_b1,rank16,late_max,18,1,20,0.49749999999999994,0.65,0.95,0.6,0.7875,0.8441999077796936,0.42003955841064455,0.5219934731721878
2wikimultihopqa,validation,rank16_l18_late_max_b4,rank16,late_max,18,4,20,0.4791666666666667,0.625,0.95,0.6,0.7208333333333333,0.8938184589147568,0.28560357093811034,0.5744541540741921
2wikimultihopqa,validation,rank16_l18_late_max_b8,rank16,late_max,18,8,20,0.4666666666666667,0.6125,0.95,0.5,0.7458333333333333,0.8955693006515503,0.27409977912902833,0.4966492936015129
2wikimultihopqa,validation,rank16_l27_current_b1,rank16,current,27,1,20,0.7658333333333334,0.9625,1.0,0.9,0.975,0.6055622145533561,0.45577378273010255,0.604344429075718
2wikimultihopqa,validation,rank16_l27_current_b16,rank16,current,27,16,20,0.7658333333333334,0.9625,1.0,0.9,0.975,0.6055621787905693,0.4557745933532715,0.375120772048831
2wikimultihopqa,validation,rank16_l27_current_b2,rank16,current,27,2,20,0.7658333333333334,0.9625,1.0,0.9,0.975,0.6055621787905693,0.4557745933532715,0.5609170727431774
2wikimultihopqa,validation,rank16_l27_current_b4,rank16,current,27,4,20,0.7658333333333334,0.9625,1.0,0.9,0.975,0.6055621787905693,0.4557745933532715,0.4905254416167736
2wikimultihopqa,validation,rank16_l27_current_b8,rank16,current,27,8,20,0.7658333333333334,0.9625,1.0,0.9,0.975,0.6055621787905693,0.4557745933532715,0.41825620401650665
2wikimultihopqa,validation,rank16_l27_late_max_b1,rank16,late_max,27,1,20,0.7333333333333333,0.925,1.0,0.9,0.975,0.507681380212307,0.6746779918670655,0.6921845816075802
2wikimultihopqa,validation,rank16_l27_late_max_b16,rank16,late_max,27,16,20,0.6329166666666667,0.8,1.0,0.75,0.9416666666666667,0.7585302278399467,0.5000844955444336,0.481808671541512
2wikimultihopqa,validation,rank16_l27_late_max_b2,rank16,late_max,27,2,20,0.725,0.9125,1.0,0.9,0.95,0.6587987497448922,0.5655308723449707,0.6663300640881061
2wikimultihopqa,validation,rank16_l27_late_max_b4,rank16,late_max,27,4,20,0.6529166666666667,0.825,1.0,0.8,0.9416666666666667,0.7227105453610421,0.5496612548828125,0.6084241844713688
2wikimultihopqa,validation,rank16_l27_late_max_b8,rank16,late_max,27,8,20,0.6229166666666667,0.7875,1.0,0.75,0.9416666666666667,0.7544786900281906,0.5060366153717041,0.5477439055219293
2wikimultihopqa,validation,rank16_l27_late_top_mean_b1,rank16,late_top_mean,27,1,20,0.7658333333333334,0.9625,1.0,0.9,0.975,0.6055622145533561,0.45577378273010255,0.604344429075718
2wikimultihopqa,validation,rank16_l27_late_top_mean_b16,rank16,late_top_mean,27,16,20,0.635,0.8125,1.0,0.8,0.9666666666666666,0.8194425910711288,0.36904091835021974,0.40381077360361817
