dataset,split,tokens,identities,decisions,matched_immediate_recall,fixed_delay_recall,known_future_recall,fixed_delay_gain,fixed_delay_ci_low,fixed_delay_ci_high,known_future_gain,known_future_ci_low,known_future_ci_high,delay_recovery_fraction,deployable_delay,known_future_is_analysis_only
qasper,validation,4,8,53,0.630109126984127,0.639484126984127,0.639484126984127,0.009375000000000001,0.0,0.028125000000000004,0.009375000000000001,0.0,0.028125000000000004,1.0,4,True
qasper,validation,8,6,25,0.5699074074074074,0.5907407407407408,0.5907407407407408,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.0,0.0625,1.0,8,True
qasper,test,1,16,139,0.29038993992118994,0.2925801108613609,0.29518791971916974,0.002190170940170941,0.0,0.005555555555555557,0.004797979797979798,0.0,0.013005050505050504,0.4564777327935225,1,True
qasper,test,2,16,123,0.28955242673992676,0.292933836996337,0.2940556318681319,0.0033814102564102564,-0.00020833333333333337,0.008790064102564102,0.0045032051282051285,-0.00041666666666666675,0.012211538461538461,0.7508896797153024,2,True
qasper,test,4,16,91,0.2868246336996337,0.29325892857142855,0.2970707417582418,0.006434294871794876,-0.00041666666666666653,0.014663461538461552,0.010246108058608061,0.0006868131868131861,0.022121108058608067,0.6279745279857002,4,True
qasper,test,8,12,31,0.2582010582010582,0.27146825396825397,0.2756349206349206,0.01326719576719577,-0.0005555555555555553,0.03277777777777778,0.017433862433862437,-0.0005555555555555553,0.041666666666666664,0.7610015174506829,8,True
2wikimultihopqa,validation,1,20,303,0.5781072841309877,0.5910317781311396,0.5934690553147404,0.012924494000151884,0.0052792919799498576,0.02137453007518796,0.015361771183752603,0.005748015873015868,0.026366323004480895,0.8413413951785385,1,True
2wikimultihopqa,validation,2,20,283,0.5742267042684305,0.5973569632254557,0.5969263739639884,0.023130258957025262,0.009096817358366255,0.03900987322862323,0.02269966969555785,0.010355920760526027,0.03596571943529181,1.0189689659471863,2,True
2wikimultihopqa,validation,4,20,243,0.5670143092201916,0.6062301241786535,0.6027877487436311,0.03921581495846201,0.009126382876382866,0.07335966810966812,0.03577343952343953,0.010487910782028454,0.0626662281074046,1.0962271305437925,4,True
2wikimultihopqa,validation,8,20,163,0.5394178248222367,0.6143300653594771,0.6196109495080083,0.07491224053724052,0.0100923382173382,0.14392857142857143,0.08019312468577174,0.0237110356963298,0.1432322954822955,0.9341479189241746,8,True
2wikimultihopqa,test,1,100,1468,0.1687927726568385,0.17068059231553664,0.17065983349843275,0.0018878196586981433,0.00015405507886711081,0.003646777455921641,0.0018670608415942344,-0.001477845983033952,0.005194630339110658,1.011118447048669,1,True
2wikimultihopqa,test,2,100,1368,0.16875535803697017,0.17125636337745745,0.1712984460603241,0.002501005340487318,-0.0008406478795051325,0.005741343959065654,0.0025430880233539466,-0.002134140513646261,0.0073406684794925636,0.9834521328085499,2,True
2wikimultihopqa,test,4,100,1168,0.1685792302426498,0.17128008231741831,0.1718463823011313,0.002700852074768485,-0.002921467955357827,0.00811987175600621,0.0032671520584814863,-0.0033481941326129,0.00989624560295908,0.826668617322878,4,True
2wikimultihopqa,test,8,99,768,0.16608413371941508,0.17245286139225535,0.17068961621991927,0.00636872767284023,-0.004237506921489603,0.017217598218680474,0.004605482500504146,-0.006694837349599253,0.01596923498979776,1.3828578595495842,8,True
musique,validation,1,20,444,0.23095576509811533,0.23515076246819402,0.23688719610402278,0.004194997370078694,0.0015960315211128423,0.0073610762486813015,0.005931431005907435,0.0011594949962866919,0.01230858691877764,0.7072487846357258,1,True
musique,validation,2,20,424,0.23087920602847664,0.23996959104012325,0.24137583475795701,0.009090385011646617,0.002414779367637393,0.01778130805632555,0.010496628729480376,0.0022084116750262783,0.022286969566381345,0.8660290123547721,2,True
musique,validation,4,20,384,0.2284225027401338,0.24007743047623556,0.24698217874333875,0.01165492773610176,0.0014586610398350588,0.02430912372309983,0.01855967600320495,0.0035006540528490656,0.03814985640720934,0.627970430846376,4,True
musique,validation,8,20,304,0.22465142764035048,0.23644293165454355,0.2500497089278602,0.011791504014193094,-0.006064495611764515,0.030162232375467668,0.025398281287509705,0.005950604017830914,0.0504251839536408,0.4642638563103042,8,True
musique,test,1,100,2099,0.060286913135241385,0.060464206929904514,0.0604090953921019,0.00017729379466312816,-0.0003238219204515548,0.0006924011835917884,0.0001221822568605235,-0.000987437274718267,0.0012750794851568714,1.4510600738494865,1,True
musique,test,2,100,1999,0.060382724161510574,0.06042149349680628,0.060756966801238536,3.8769335295702594e-05,-0.0008337318628512857,0.0009989650895044222,0.00037424263972796244,-0.0010270521660312897,0.0018364769663957719,0.10359411563547137,2,True
musique,test,4,100,1799,0.05990342299255078,0.0603548451318356,0.060973670870390045,0.0004514221392848197,-0.0016242090754818763,0.002604569909631316,0.001070247877839268,-0.0015506031490650158,0.0040043289069026785,0.42179213678629246,4,True
musique,test,8,99,1399,0.06034321529793139,0.06228290000003152,0.0613551908354153,0.001939684702100131,-0.0021646598769496025,0.006209422601517663,0.0010119755374839192,-0.0028730419368281027,0.004948689080209593,1.9167308203148672,8,True
