dataset,split,condition,examples,decisions,evidence_recall,chain_completion,mean_delay,median_delay,router_calls_per_token,mean_churn
musique,test,fixed_delay_8,99,1399,0.059468506143802356,0.1043602573266619,8.0,8.0,1.0,0.28006399128629295
musique,test,immediate,100,2199,0.059097423954817464,0.11550704865848113,0.0,0.0,1.0,0.16256740076658224
musique,test,known_future_1,100,2099,0.05914698056021915,0.11624583134826108,0.0,0.0,1.0,0.12834229451666326
musique,test,known_future_2,100,1999,0.05945122475204299,0.11405702851425713,0.0,0.0,1.0,0.1652540555992282
musique,test,known_future_4,100,1799,0.059334901554207814,0.11061700944969427,0.0,0.0,1.0,0.2040075174038487
musique,test,known_future_8,99,1399,0.05888044361288643,0.1043602573266619,0.0,0.0,1.0,0.22542632492596754
musique,test,margin_threshold,100,2199,0.06026467094995181,0.11277853569804457,1.720782173715325,0.0,1.0,0.10335433855215576
musique,test,stride_1,100,2199,0.059097423954817464,0.11550704865848113,0.0,0.0,1.0,0.0
musique,test,stride_2,100,2199,0.05942186015717907,0.11641655297862664,0.0,0.0,0.535243292405639,0.0
musique,test,stride_4,100,2199,0.056845964457572166,0.10959527057753524,0.0,0.0,0.30241018644838563,0.0
musique,test,stride_8,100,2199,0.05623797247074825,0.10732150977717145,0.0,0.0,0.18644838562983174,0.0
musique,validation,entropy_threshold,20,464,0.24385413753758076,0.49353448275862066,2.293103448275862,0.0,1.0,0.20186781609195403
musique,validation,fixed_delay_1,20,444,0.22639817051581757,0.44594594594594594,1.0,1.0,1.0,0.25594165594165597
musique,validation,fixed_delay_2,20,424,0.22927733876679493,0.4481132075471698,2.0,2.0,1.0,0.3447214734950584
musique,validation,fixed_delay_4,20,384,0.22874993589607562,0.4375,4.0,4.0,1.0,0.3897817460317461
musique,validation,fixed_delay_8,20,304,0.22494550244646994,0.4276315789473684,8.0,8.0,1.0,0.39583333333333337
musique,validation,immediate,20,464,0.2235393135431168,0.4418103448275862,0.0,0.0,1.0,0.2449096880131363
musique,validation,known_future_1,20,444,0.2277762446880094,0.4594594594594595,0.0,0.0,1.0,0.1833118833118833
musique,validation,known_future_2,20,424,0.23039725258093735,0.45990566037735847,0.0,0.0,1.0,0.2387915543575921
musique,validation,known_future_4,20,384,0.23296967874173757,0.4635416666666667,0.0,0.0,1.0,0.309796626984127
musique,validation,known_future_8,20,304,0.23249456511840413,0.46381578947368424,0.0,0.0,1.0,0.3447681704260652
musique,validation,margin_threshold,20,464,0.22186640551245013,0.3900862068965517,2.081896551724138,0.0,1.0,0.17655993431855502
musique,validation,stride_1,20,464,0.2235393135431168,0.4418103448275862,0.0,0.0,1.0,0.0
musique,validation,stride_2,20,464,0.2220179844102258,0.43103448275862066,0.0,0.0,0.5301724137931034,0.0
musique,validation,stride_4,20,464,0.2109008181079682,0.3879310344827586,0.0,0.0,0.2974137931034483,0.0
musique,validation,stride_8,20,464,0.19357074284178746,0.35129310344827586,0.0,0.0,0.17672413793103448,0.0
qasper,test,entropy_threshold,16,155,0.275634526763559,0.8258064516129032,3.761290322580645,4.0,1.0,0.19096774193548388
qasper,test,fixed_delay_1,16,139,0.28050675942762276,0.8561151079136691,1.0,1.0,1.0,0.11894484412470026
qasper,test,fixed_delay_2,16,123,0.2788690848446946,0.8536585365853658,2.0,2.0,1.0,0.14200542005420055
qasper,test,fixed_delay_4,16,91,0.2743732640985388,0.8571428571428571,4.0,4.0,1.0,0.19487179487179487
qasper,test,fixed_delay_8,12,31,0.24980030721966204,0.9032258064516129,8.0,8.0,1.0,0.2623655913978495
qasper,test,immediate,16,155,0.27913966678482804,0.8451612903225807,0.0,0.0,1.0,0.10666666666666667
qasper,test,known_future_1,16,139,0.2842699027591114,0.8776978417266187,0.0,0.0,1.0,0.08824940047961631
qasper,test,known_future_2,16,123,0.2813873254117156,0.8699186991869918,0.0,0.0,1.0,0.11165311653116532
qasper,test,known_future_4,16,91,0.2803387272068591,0.8901098901098901,0.0,0.0,1.0,0.1641025641025641
qasper,test,known_future_8,12,31,0.25625192012288783,0.9354838709677419,0.0,0.0,1.0,0.21505376344086022
qasper,test,margin_threshold,16,155,0.28117960534089564,0.8580645161290322,0.9612903225806452,0.0,1.0,0.0756989247311828
qasper,test,stride_1,16,155,0.27913966678482804,0.8451612903225807,0.0,0.0,1.0,0.0
qasper,test,stride_2,16,155,0.2773946591043365,0.8387096774193549,0.0,0.0,0.5612903225806452,0.0
qasper,test,stride_4,16,155,0.26848812477844736,0.8,0.0,0.0,0.36129032258064514,0.0
qasper,test,stride_8,16,155,0.2623342786246012,0.7741935483870968,0.0,0.0,0.25161290322580643,0.0
qasper,validation,entropy_threshold,8,85,0.5867413632119515,1.0,1.611764705882353,0.0,1.0,0.1003921568627451
qasper,validation,fixed_delay_1,8,77,0.5747680890538034,1.0,1.0,1.0,1.0,0.10216450216450217
qasper,validation,fixed_delay_2,8,69,0.5672647803082586,1.0,2.0,2.0,1.0,0.1526570048309179
qasper,validation,fixed_delay_4,8,53,0.5548966756513927,1.0,4.0,4.0,1.0,0.20880503144654092
qasper,validation,fixed_delay_8,6,25,0.4835555555555555,1.0,8.0,8.0,1.0,0.272
qasper,validation,immediate,8,85,0.5779178338001868,1.0,0.0,0.0,1.0,0.09254901960784315
qasper,validation,known_future_1,8,77,0.5731447124304268,1.0,0.0,0.0,1.0,0.08484848484848485
qasper,validation,known_future_2,8,69,0.5672647803082586,1.0,0.0,0.0,1.0,0.11594202898550725
qasper,validation,known_future_4,8,53,0.5548966756513927,1.0,0.0,0.0,1.0,0.16352201257861637
qasper,validation,known_future_8,6,25,0.4835555555555555,1.0,0.0,0.0,1.0,0.22400000000000003
qasper,validation,margin_threshold,8,85,0.5749766573295985,1.0,1.8705882352941177,0.0,1.0,0.09725490196078432
qasper,validation,stride_1,8,85,0.5779178338001868,1.0,0.0,0.0,1.0,0.0
qasper,validation,stride_2,8,85,0.5749766573295985,1.0,0.0,0.0,0.5764705882352941,0.0
qasper,validation,stride_4,8,85,0.5749766573295985,1.0,0.0,0.0,0.3764705882352941,0.0
qasper,validation,stride_8,8,85,0.5632119514472456,1.0,0.0,0.0,0.25882352941176473,0.0
