catalog_size,policy,strategy,max_candidates,candidate_recall,candidate_recall_std,useful_precision_mean,unsafe_exposure_mean
8192,diversity_union,A7_diversity_union,4,0.6055555555555555,0.0058101390731532,0.1697916666666666,0.0847222222222222
8192,diversity_union,A7_diversity_union,6,0.6486111111111111,0.0038036288715636,0.1229166666666666,0.1
8192,diversity_union,A7_diversity_union,8,0.6527777777777778,0.0069444444444444,0.0953125,0.1083333333333333
8192,diversity_union,A7_diversity_union,10,0.6611111111111111,0.0058101390731532,0.0777777777777777,0.1083333333333333
8192,diversity_union,A7_diversity_union,12,0.6763888888888889,0.0038036288715636,0.0663194444444444,0.1138888888888888
8192,diversity_union,A7_diversity_union,16,0.6777777777777778,0.0038036288715636,0.0502604166666666,0.1138888888888888
8192,diversity_union,A7_diversity_union,20,0.6875,0.0085051727179971,0.0407638888888888,0.1180555555555555
8192,diversity_union,A7_diversity_union,24,0.6888888888888889,0.0076072577431272,0.0342013888888888,0.125
8192,diversity_union,A7_diversity_union,32,0.701388888888889,0.0109801307644735,0.0260416666666666,0.1388888888888889
8192,diversity_union,A7_diversity_union,48,0.7458333333333333,0.0126152098087394,0.0184606481481481,0.1625
8192,equal_fusion,A7_fused_score,1,0.3027777777777777,0.0159873117128074,0.3152777777777777,0.0611111111111111
8192,equal_fusion,A7_fused_score,2,0.35,0.0126152098087395,0.1833333333333333,0.0819444444444444
8192,equal_fusion,A7_fused_score,4,0.3833333333333333,0.0090544477850036,0.1017361111111111,0.0902777777777777
8192,equal_fusion,A7_fused_score,6,0.423611111111111,0.0162861658327202,0.0756944444444444,0.0958333333333333
8192,equal_fusion,A7_fused_score,8,0.4583333333333333,0.0235497568858516,0.0621527777777777,0.1
8192,equal_fusion,A7_fused_score,10,0.4847222222222222,0.0210635429001431,0.0530555555555555,0.1041666666666666
8192,equal_fusion,A7_fused_score,12,0.5069444444444444,0.0147313912747197,0.046412037037037,0.1097222222222222
8192,equal_fusion,A7_fused_score,16,0.5291666666666666,0.0172915272194287,0.0366319444444444,0.1194444444444444
8192,equal_fusion,A7_fused_score,20,0.5458333333333333,0.0144003064953664,0.0305555555555555,0.1347222222222222
8192,equal_fusion,A7_fused_score,24,0.5694444444444444,0.0098209275164798,0.0266782407407407,0.1486111111111111
8192,equal_fusion,A7_fused_score,32,0.5888888888888889,0.0150551967976936,0.0207465277777777,0.1583333333333333
8192,equal_fusion,A7_fused_score,48,0.6416666666666667,0.0144003064953664,0.0154224537037036,0.2
8192,raw_union,A7_raw_union,1,0.0277777777777777,0.0190181443578182,0.0277777777777777,0.0625
8192,raw_union,A7_raw_union,2,0.3041666666666667,0.0031056499687497,0.1763888888888888,0.0638888888888888
8192,raw_union,A7_raw_union,4,0.6180555555555556,0.0049104637582398,0.1694444444444444,0.0847222222222222
8192,raw_union,A7_raw_union,6,0.65,0.0062112999374994,0.123148148148148,0.0944444444444444
