protocol,baseline,feature_ablation,dataset,rows,evidence_recall,precision,mrr,complete_recovery,active_fraction,comparisons,graph_calls,facet_latency_ms,retrieval_latency_ms,callback_invoked,graph_refined,recall_delta_vs_one_shot,corrected_vs_one_shot,harmed_vs_one_shot
lodo_hotpotqa,B2_one_shot_graph,default,hotpotqa,80,0.2628869047619048,0.3,0.6658491161616162,0.0,0.08832048041809042,150.375,0.0,0.5071750056231394,119.55472876143176,0.0,0.0,0.0,0.0,0.0
lodo_hotpotqa,B3_callback_no_graph,compact_state,hotpotqa,80,0.21711309523809524,0.246875,0.6514488636363637,0.0,0.08832048041809042,150.375,0.0,0.5071750056231394,119.19482876837719,1.0,0.0,-0.04577380952380953,0.0875,0.1875
lodo_hotpotqa,B4_callback_graph,compact_state,hotpotqa,80,0.2156845238095238,0.246875,0.6503377525252525,0.0,0.08832048041809042,150.375,0.0,0.5071750056231394,118.13710001588333,1.0,0.0,-0.047202380952380954,0.0875,0.1875
lodo_hotpotqa,B5_conditional_graph,compact_state,hotpotqa,80,0.21711309523809524,0.246875,0.6514488636363637,0.0,0.08832048041809042,150.375,0.0,0.5071750056231394,118.86187251657248,1.0,0.0,-0.04577380952380953,0.0875,0.1875
lodo_hotpotqa,B5t_threshold_graph,default,hotpotqa,80,0.30235119047619047,0.353125,0.659782196969697,0.0,0.08832048041809042,150.375,0.125,5.0953625031979755,141.5985625324538,1.0,0.125,0.039464285714285716,0.3625,0.175
lodo_hotpotqa,B6_complete_action_oracle,default,hotpotqa,80,0.5875,0.671875,0.96875,0.125,0.08832048041809042,150.375,0.0,0.684887490933761,140.00706252409145,0.0,0.0,0.0,0.0,0.0
lodo_hotpotqa,B7_stagewise_oracle,default,hotpotqa,80,0.5875,0.671875,0.96875,0.125,0.08832048041809042,150.375,0.0,0.684887490933761,140.00706252409145,1.0,0.0,0.0,0.0,0.0
lodo_musique,B0_validation_fixed,default,musique,90,0.17729018666518667,0.5277777777777778,0.8518518518518519,0.0,0.05031837622497275,244.83333333333334,0.0,0.4554333346378472,261.02884447512525,0.0,0.0,0.0,0.0,0.0
lodo_musique,B0b_structural_graph_fixed,default,musique,90,0.17729018666518667,0.5277777777777778,0.8518518518518519,0.0,0.05031837622497275,244.83333333333334,1.3333333333333333,42.54742775164131,293.68838330265135,0.0,0.0,0.0,0.0,0.0
lodo_musique,B1_one_shot_no_graph,default,musique,90,0.1465282634032634,0.4527777777777778,0.8318518518518517,0.0,0.05031837622497275,244.83333333333334,0.0,0.4554333346378472,186.86601891596285,0.0,0.0,0.0,0.0,0.0
lodo_musique,B2_one_shot_graph,default,musique,90,0.14840855903355904,0.4638888888888889,0.8364814814814815,0.0,0.05031837622497275,244.83333333333334,0.13333333333333333,5.687379997430576,194.36664222739637,0.0,0.0,0.0,0.0,0.0
lodo_musique,B3_callback_no_graph,compact_state,musique,90,0.14782046657046657,0.4527777777777778,0.8194444444444444,0.0,0.05031837622497275,244.83333333333334,0.0,0.4554333346378472,187.22612448812774,1.0,0.0,0.0012922031672031665,0.1111111111111111,0.08888888888888889
lodo_musique,B4_callback_graph,compact_state,musique,90,0.1452194795944796,0.45,0.8207407407407407,0.0,0.05031837622497275,244.83333333333334,0.08888888888888889,3.9450377743277283,184.21967670373203,1.0,0.0,-0.003189079439079439,0.07777777777777778,0.1
lodo_musique,B5_conditional_graph,compact_state,musique,90,0.14528409090909092,0.4444444444444444,0.8194444444444444,0.0,0.05031837622497275,244.83333333333334,0.022222222222222223,1.055584446940985,183.65915893163117,1.0,0.022222222222222223,-0.0012441724941724946,0.08888888888888889,0.1
lodo_musique,B5t_threshold_graph,default,musique,90,0.1539293808043808,0.4777777777777778,0.8194444444444444,0.0,0.05031837622497275,244.83333333333334,0.15555555555555556,4.929219990865224,243.11820668323585,1.0,0.15555555555555556,0.0074011174011174,0.28888888888888886,0.2
lodo_musique,B6_complete_action_oracle,default,musique,90,0.2553169053169053,0.7916666666666666,0.9166666666666666,0.0,0.05031837622497275,244.83333333333334,0.05555555555555555,2.399244449204869,215.493966670086,0.0,0.0,0.0,0.0,0.0
lodo_musique,B7_stagewise_oracle,default,musique,90,0.2553169053169053,0.7916666666666666,0.9166666666666666,0.0,0.05031837622497275,244.83333333333334,0.05555555555555555,2.399244449204869,215.493966670086,1.0,0.05555555555555555,0.0,0.0,0.0
lodo_qasper,B0_validation_fixed,default,qasper,80,0.06875,0.09375,0.18424905888310325,0.0,0.032479887950833994,427.875,0.0,0.39468750765081495,269.8651874961797,0.0,0.0,0.0,0.0,0.0
lodo_qasper,B0b_structural_graph_fixed,default,qasper,80,0.0515625,0.078125,0.18766898374973098,0.0,0.032479887950833994,427.875,1.0,29.874031242798083,353.3421062893467,0.0,0.0,0.0,0.0,0.0
lodo_qasper,B1_one_shot_no_graph,default,qasper,80,0.02915521978021978,0.05625,0.19683882801123515,0.0,0.032479887950833994,427.875,0.0,0.411766255274415,273.1303437554743,0.0,0.0,0.0,0.0,0.0
lodo_qasper,B2_one_shot_graph,default,qasper,80,0.031078296703296704,0.0625,0.19996382801123513,0.0,0.032479887950833994,427.875,0.0,0.411766255274415,273.14589875750244,0.0,0.0,0.0,0.0,0.0
lodo_qasper,B3_callback_no_graph,compact_state,qasper,80,0.03491071428571428,0.0625,0.21431554369750963,0.0,0.032479887950833994,427.875,0.0,0.4268850025255233,262.93834625103045,1.0,0.0,0.0057554945054945055,0.0875,0.0625
lodo_qasper,B4_callback_graph,compact_state,qasper,80,0.03683379120879121,0.06875,0.21681707556025476,0.0,0.032479887950833994,427.875,0.0,0.4268850025255233,262.2370499972021,1.0,0.0,0.0057554945054945055,0.0875,0.0625
lodo_qasper,B5_conditional_graph,compact_state,qasper,80,0.03491071428571428,0.0625,0.21431554369750963,0.0,0.032479887950833994,427.875,0.0,0.4268850025255233,262.93834625103045,1.0,0.0,0.0057554945054945055,0.0875,0.0625
lodo_qasper,B5t_threshold_graph,default,qasper,80,0.04165178571428572,0.075,0.22264887703084296,0.0,0.032479887950833994,427.875,0.325,9.770168754039332,308.15837872214615,1.0,0.325,0.012496565934065933,0.1125,0.0375
