split,dataset,facet_mode,requested_facet_count,examples,construction_latency_ms,graph_construction_ms,graph_clustering_ms,graph_calls,graph_nodes,graph_edges,graph_density,graph_memory_bytes,pairwise_similarity_evaluations,tree_node_count,mean_facet_overlap
test,musique,syntactic_graph,4,18,42.54742775164131,7.980561129645341,13.713777750833994,1.3333333333333333,26.77777777777778,75.88888888888889,0.12353849973148587,2767.5555555555557,570.0,4.777777777777778,0.38399470899470894
test,qasper,global,1,16,0.39468750765081495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
test,qasper,graph,2,16,28.201400011312217,8.14814999466762,9.973774998798035,1.0,9.6875,26.5,0.33654799040828454,974.5,90.125,2.25,0.0
test,qasper,graph,4,16,28.201400011312217,8.14814999466762,9.973774998798035,1.0,9.6875,26.5,0.33654799040828454,974.5,90.125,2.25,0.0
test,qasper,multiscale,2,16,11.031118730898015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.625,0.21089877196076226
test,qasper,multiscale,4,16,11.031118730898015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.625,0.21089877196076226
test,qasper,syntactic,2,16,1.2310437741689384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1875,0.06628787878787878
test,qasper,syntactic,4,16,1.2310437741689384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1875,0.06628787878787878
test,qasper,syntactic_graph,2,16,29.874031242798083,7.337343733524904,10.623862472129986,1.0,9.6875,26.5,0.33654799040828454,974.5,90.125,3.25,0.8645833333333334
test,qasper,syntactic_graph,4,16,29.874031242798083,7.337343733524904,10.623862472129986,1.0,9.6875,26.5,0.33654799040828454,974.5,90.125,3.25,0.8645833333333334
validation,2wikimultihopqa,global,1,24,0.3815333475358784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,2wikimultihopqa,graph,2,24,28.350775023379054,6.290795815099652,9.33967916838204,1.0,17.25,48.333333333333336,0.18004116332870201,1767.3333333333333,295.25,2.9583333333333335,0.0
validation,2wikimultihopqa,graph,4,24,28.350775023379054,6.290795815099652,9.33967916838204,1.0,17.25,48.333333333333336,0.18004116332870201,1767.3333333333333,295.25,2.9583333333333335,0.0
validation,2wikimultihopqa,multiscale,2,24,16.05729165991458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.416666666666668,0.11552756461684412
validation,2wikimultihopqa,multiscale,4,24,16.05729165991458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.416666666666668,0.11552756461684412
validation,2wikimultihopqa,syntactic,2,24,1.9202041536724817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4166666666666665,0.19991833606900686
validation,2wikimultihopqa,syntactic,4,24,1.9202041536724817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4166666666666665,0.19991833606900686
validation,2wikimultihopqa,syntactic_graph,2,24,46.825524972518906,23.249170820539195,10.036529177644601,1.1666666666666667,17.25,48.166666666666664,0.17968041296795167,1762.6666666666667,272.0833333333333,4.291666666666667,0.4712301587301588
validation,2wikimultihopqa,syntactic_graph,4,24,46.825524972518906,23.249170820539195,10.036529177644601,1.1666666666666667,17.25,48.166666666666664,0.17968041296795167,1762.6666666666667,272.0833333333333,4.291666666666667,0.4712301587301588
validation,hotpotqa,global,1,8,0.43141248170286417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,hotpotqa,graph,2,8,81.33677500882186,50.84693749086,14.757412543985993,1.0,21.375,61.25,0.17866032200700394,2228.0,497.25,2.875,0.0
validation,hotpotqa,graph,4,8,81.33677500882186,50.84693749086,14.757412543985993,1.0,21.375,61.25,0.17866032200700394,2228.0,497.25,2.875,0.0
validation,hotpotqa,multiscale,2,8,18.4853125247173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.875,0.10419831605956097
validation,hotpotqa,multiscale,4,8,18.4853125247173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.875,0.10419831605956097
validation,hotpotqa,syntactic,2,8,4.662149993237108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.2210676578323637
validation,hotpotqa,syntactic,4,8,4.662149993237108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.2210676578323637
validation,hotpotqa,syntactic_graph,2,8,31.17740000016056,7.017924974206835,9.65612501022406,1.0,21.375,61.25,0.17866032200700394,2228.0,497.25,3.875,0.5416666666666666
validation,hotpotqa,syntactic_graph,4,8,31.17740000016056,7.017924974206835,9.65612501022406,1.0,21.375,61.25,0.17866032200700394,2228.0,497.25,3.875,0.5416666666666666
validation,musique,global,1,18,0.43312777092473376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,musique,graph,2,18,149.33627784355647,121.44787221526106,10.051738884713915,1.0,29.72222222222222,85.66666666666667,0.10997869363101537,3112.0,951.5555555555555,3.0,0.0
validation,musique,graph,4,18,149.33627784355647,121.44787221526106,10.051738884713915,1.0,29.72222222222222,85.66666666666667,0.10997869363101537,3112.0,951.5555555555555,3.0,0.0
validation,musique,multiscale,2,18,27.34162223835786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.94444444444444,0.071737039654653
validation,musique,multiscale,4,18,27.34162223835786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.94444444444444,0.071737039654653
validation,musique,syntactic,2,18,2.3046444403007627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277777777777778,0.10956242478573634
validation,musique,syntactic,4,18,2.3046444403007627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.277777777777778,0.10956242478573634
validation,musique,syntactic_graph,2,18,37.70768331984679,7.605611075026293,11.217761125105122,1.2777777777777777,29.72222222222222,84.33333333333333,0.10890506564620657,3074.6666666666665,729.3333333333334,4.5,0.42566137566137563
validation,musique,syntactic_graph,4,18,37.70768331984679,7.605611075026293,11.217761125105122,1.2777777777777777,29.72222222222222,84.33333333333333,0.10890506564620657,3074.6666666666665,729.3333333333334,4.5,0.42566137566137563
validation,qasper,global,1,8,0.4329750081524253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
validation,qasper,graph,2,8,24.030612548813224,6.003025046084076,8.968737529357895,1.0,10.625,28.75,0.316869789567158,1060.0,118.25,2.125,0.0
validation,qasper,graph,4,8,24.030612548813224,6.003025046084076,8.968737529357895,1.0,10.625,28.75,0.316869789567158,1060.0,118.25,2.125,0.0
validation,qasper,multiscale,2,8,10.718237463152036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.125,0.2017250209119458
validation,qasper,multiscale,4,8,10.718237463152036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.125,0.2017250209119458
validation,qasper,syntactic,2,8,1.0945249814540148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.05
validation,qasper,syntactic,4,8,1.0945249814540148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,0.05
validation,qasper,syntactic_graph,2,8,25.88688745163381,6.774924957426265,8.73028751811944,1.0,10.625,28.75,0.316869789567158,1060.0,118.25,3.125,0.9166666666666666
validation,qasper,syntactic_graph,4,8,25.88688745163381,6.774924957426265,8.73028751811944,1.0,10.625,28.75,0.316869789567158,1060.0,118.25,3.125,0.9166666666666666
