comparison,left_condition,left_selector_profile,mean_delta,metric,paired_examples,regime,right_condition,right_selector_profile,selector_profile,status
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,ttft_ms,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,total_latency_ms,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,tokens_per_second,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,active_detail_bytes,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,peak_memory_bytes,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,temporary_allocation_bytes,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,exact_match,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,token_f1,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,official_multihop_rag_score,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,physical_context_tokens,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,visible_prompt_tokens,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,selected_native_kv_tokens,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,ttft_ms,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,total_latency_ms,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,tokens_per_second,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,active_detail_bytes,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,peak_memory_bytes,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,temporary_allocation_bytes,0,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,exact_match,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,token_f1,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,official_multihop_rag_score,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,physical_context_tokens,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,visible_prompt_tokens,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,selected_native_kv_tokens,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,ttft_ms,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,total_latency_ms,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,tokens_per_second,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,active_detail_bytes,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,peak_memory_bytes,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,temporary_allocation_bytes,0,COLD,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,exact_match,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,token_f1,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,official_multihop_rag_score,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,physical_context_tokens,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,visible_prompt_tokens,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,selected_native_kv_tokens,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,ttft_ms,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,total_latency_ms,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,tokens_per_second,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
selected_bundle_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,,active_detail_bytes,0,WARM,PRA_SELECTED_CONTEXT_BUNDLE,bundle_exact_qualified,pra_generic,NO_QUALIFIED_ADAPTER
