seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
11,lora_o_r4,qasper,routed,4,-6.211706280708313,0.9687957763671875,13.5,2.5,-5.587890625,1.185546875,0.125,0.0,0.5,0.15751714998623356,0.9030824499932351,384.0,49152.0,0.008246289169873557,196608.0
11,lora_o_r8,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2635549499973422,0.8100855249795131,0.0,98304.0,0.016492578339747113,393216.0
11,lora_o_r8,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.16725182501249947,0.77237970000715,0.0,98304.0,0.016492578339747113,393216.0
11,lora_o_r8,hotpotqa,oracle,4,-5.172926068305969,2.8298908174037933,65.5,-821.25,-5.685546875,6.130859375,0.0,0.0,0.0,0.16846764998626895,0.733193525011302,449.0,98304.0,0.016492578339747113,393216.0
11,lora_o_r8,hotpotqa,routed,4,-6.124868869781494,1.8779480159282684,227.25,-659.5,-7.025390625,4.791015625,0.07142857142857144,0.0,0.0,0.16923882500850596,0.756146824976895,384.0,98304.0,0.016492578339747113,393216.0
11,lora_o_r8,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5068051499838475,1.0913365250016795,0.0,98304.0,0.016492578339747113,393216.0
11,lora_o_r8,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.1503358249901794,0.7973029999848222,0.0,98304.0,0.016492578339747113,393216.0
11,lora_o_r8,qasper,oracle,4,-5.589112877845764,1.5913891792297363,10.0,-1.0,-4.830078125,1.943359375,0.0625,0.0,0.25,0.16284107499814127,0.9325946250173729,960.0,98304.0,0.016492578339747113,393216.0
11,lora_o_r8,qasper,routed,4,-5.784606456756592,1.3958956003189087,16.0,5.0,-4.873046875,1.900390625,0.0625,0.0,0.25,0.1555316500016488,0.9943168750032783,384.0,98304.0,0.016492578339747113,393216.0
11,residual_32,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2600418499787338,0.7438589249941288,0.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15618539998831693,0.6842922000068938,0.0,393344.0,0.06599178807036833,1573376.0
