variant,dataset,condition,seeds,examples_per_seed,gold_mean_token_logprob_mean,gold_mean_token_logprob_std,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_std,gold_first_token_rank_mean,gold_first_token_rank_std,gold_first_token_rank_delta_vs_none_mean,gold_first_token_rank_delta_vs_none_std,gold_first_token_margin_mean,gold_first_token_margin_std,gold_first_token_margin_delta_vs_none_mean,gold_first_token_margin_delta_vs_none_std,f1_mean,f1_std,em_mean,em_std,answer_contained_mean,answer_contained_std,teacher_forced_seconds_mean,teacher_forced_seconds_std,generation_seconds_mean,generation_seconds_std,active_memory_tokens_mean,active_memory_tokens_std,trainable_parameter_count_mean,trainable_parameter_count_std,trainable_parameter_percent_mean,trainable_parameter_percent_std,trainable_memory_bytes_fp32_mean,trainable_memory_bytes_fp32_std
lora_o_r4,hotpotqa,oracle,5,4,-5.754991126060486,0.09984562640403545,2.2478257596492766,0.09984562640403545,129.9,21.70287999321749,-756.85,21.70287999321749,-7.0,0.2025796465185823,4.81640625,0.2025796465185823,0.0,0.0,0.0,0.0,0.0,0.0,0.1733584800036624,0.007345425666060467,0.8010408949892736,0.08615264455550442,449.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
lora_o_r4,hotpotqa,routed,5,4,-6.655793464183807,0.0903334334816599,1.3470234215259551,0.0903334334816599,343.6,38.0938315216519,-543.15,38.0938315216519,-8.222265625,0.17898725649688374,3.594140625,0.17898725649688374,0.05714285714285715,0.028571428571428577,0.0,0.0,0.0,0.0,0.16808299999393056,0.0012140000396788622,0.7960579299950041,0.05220808149612662,384.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
lora_o_r4,qasper,direct_text,5,4,-8.971986055374146,0.0,-1.791483998298645,0.0,21.5,0.0,10.5,0.0,-8.513671875,0.0,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102112849941477,0.005747238613548264,1.177268525006366,0.14549537219059064,0.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
lora_o_r4,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.15000650999718346,0.0017904340400125341,0.8456964500044706,0.08454018712551975,0.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
lora_o_r4,qasper,oracle,5,4,-6.005967545509338,0.05674969867233204,1.174534511566162,0.05674969867233204,8.45,0.18708286933869708,-2.55,0.18708286933869708,-5.44453125,0.06476133693585047,1.32890625,0.06476133693585047,0.125,0.0,0.0,0.0,0.5,0.0,0.15981049499532674,0.0020571020769179762,0.934806579988799,0.06118257682523342,960.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
lora_o_r4,qasper,routed,5,4,-6.159581446647644,0.05283992392853318,1.0209206104278565,0.05283992392853318,14.1,0.37416573867739417,3.1,0.37416573867739417,-5.55390625,0.057828333980303286,1.21953125,0.057828333980303286,0.125,0.0,0.0,0.0,0.5,0.0,0.15953631500306073,0.0025105439231376007,0.9807125299907057,0.18272762572336365,384.0,0.0,49152.0,0.0,0.008246289169873557,0.0,196608.0,0.0
lora_o_r8,hotpotqa,direct_text,5,4,-3.368145540356636,0.0,4.6346713453531265,0.0,318.5,0.0,-568.25,0.0,-7.578125,0.0,4.23828125,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.2678093050024472,0.0034265555039851648,0.8360771649953677,0.045069914768152995,0.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
lora_o_r8,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.16076266500458586,0.0033883888592351886,0.7754206849931506,0.04640614261030368,0.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
lora_o_r8,hotpotqa,oracle,5,4,-5.227403527498245,0.09234162337592913,2.7754133582115172,0.09234162337592913,75.4,12.120849805191053,-811.35,12.120849805191053,-5.9140625,0.25600693502569416,5.90234375,0.25600693502569416,0.0,0.0,0.0,0.0,0.0,0.0,0.18439134999061935,0.030875331676146076,0.7744758300017566,0.03684293352328716,449.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
lora_o_r8,hotpotqa,routed,5,4,-6.156430125236511,0.08752380037513466,1.8463867604732513,0.08752380037513466,254.05,32.80144813876363,-632.7,32.80144813876363,-7.18984375,0.24119757364295769,4.6265625,0.24119757364295769,0.07142857142857144,0.0,0.0,0.0,0.0,0.0,0.168200684999465,0.0014625346609459654,0.8160322299925611,0.041792679696574096,384.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
