all_evidence,alpha,any_evidence,candidate_overlap,candidate_proposals,dataset,depth,direct_mrr,duplicate_proposals,evidence_coverage,examples_x_seeds,fraction,frontier,gist_comparisons,hop1_recall,hop2_recall,materialized_kv_fraction,materialized_kv_tokens,method,path_score,relational_gap,routing_seconds,selected_fraction,selected_unique_chunks,unique_parents
0.025,0.25,0.925,0.2551392431972789,31.875,hotpotqa,4,0.4475161868360398,10.65,0.3416071428571429,80,0.2,direct,554.8125,0.55,0.6133333333333333,0.20775950938669924,329.625,iterative,product,1.0475319528615192,0.007200183755048784,0.2072174780270652,10.375,5.025
0.0375,0.25,0.975,0.4063356481481481,63.1875,hotpotqa,4,0.4475161868360398,30.3125,0.4498809523809523,80,0.3,direct,771.25,0.6875,0.6666666666666666,0.3093076906773587,490.3125,iterative,product,1.0475319528615192,0.00951539000016055,0.30861366046371486,15.4375,6.2875
0.0,1.0,0.4875,0.0,2.875,hotpotqa,1,0.4475161868360398,0.0,0.12226190476190477,80,0.05,direct,50.125,0.2375,0.30666666666666664,0.05734571276479179,91.0375,one_shot,direct,1.0475319528615192,0.0015832500015676488,0.05736640324168615,2.875,1.0
0.0125,1.0,0.7,0.0,5.3125,hotpotqa,1,0.4475161868360398,0.0,0.20711309523809524,80,0.1,direct,50.125,0.3625,0.44,0.10462684187874553,166.625,one_shot,direct,1.0475319528615192,0.0017271612501644994,0.10586188000599997,5.3125,1.0
0.0625,1.0,0.925,0.0,10.375,hotpotqa,1,0.4475161868360398,0.0,0.33779761904761907,80,0.2,direct,50.125,0.525,0.56,0.20487934677137848,325.6375,one_shot,direct,1.0475319528615192,0.0021111887494043914,0.2072174780270652,10.375,1.0
0.1,1.0,1.0,0.0,15.4375,hotpotqa,1,0.4475161868360398,0.0,0.4965773809523809,80,0.3,direct,50.125,0.75,0.64,0.3069005746314834,486.8375,one_shot,direct,1.0475319528615192,0.0025831312508671545,0.30861366046371486,15.4375,1.0
0.1375,0.25,0.775,0.36340972222222223,23.5,qasper,2,0.5480377363649422,8.5125,0.37725892857142856,80,0.05,direct,815.3125,0.775,,0.05450525499195321,245.9625,iterative,product,0.8730860769958878,0.0045378237497061494,0.05438395662869285,7.6875,2.425
0.1875,0.0,0.8625,0.4655455071386146,74.75,qasper,2,0.5480377363649422,36.1875,0.45171497252747256,80,0.1,direct,1395.9375,0.8625,,0.10384397894583516,469.65,iterative,product,0.8730860769958878,0.00820533375008381,0.10365710285596645,14.6875,3.1
0.2125,0.25,0.9125,0.5552337104846913,74.75,qasper,2,0.5480377363649422,41.7875,0.4724207875457876,80,0.1,direct,1395.9375,0.9125,,0.10384397894583516,469.65,iterative,direct,0.8730860769958878,0.007960653748887126,0.10365710285596645,14.6875,3.9625
0.1875,0.25,0.8875,0.5552337104846913,74.75,qasper,2,0.5480377363649422,41.7875,0.4447300824175824,80,0.1,direct,1395.9375,0.8875,,0.10384802120087451,469.6875,iterative,last,0.8730860769958878,0.008176665000792126,0.10365710285596645,14.6875,4.6375
