all_evidence,alpha,any_evidence,budget,candidate_chunks,candidate_overlap,candidate_proposals,chain_completion,chain_feasible,dataset,depth,direct_mrr,duplicate_proposals,evidence_coverage,exact_all_feasible,example_id,fraction,frontier,gist_comparisons,hop1_recall,hop2_recall,materialized_kv_fraction,materialized_kv_tokens,method,oracle_chain_completion,oracle_exact_all,path_score,relational_gap,routing_seconds,seed,selected_fraction,selected_unique_chunks,stop_reason,unique_parents
0.0,0.25,1.0,4,40,0.25,6,1.0,1.0,hotpotqa,2,1.0,1,0.5,1.0,5ab56db7554299494045efc6,0.1,direct,120,1.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,min,1.2364094518125057,0.002745000005234033,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.25,6,1.0,1.0,hotpotqa,2,1.0,1,0.5,1.0,5ab56db7554299494045efc6,0.1,direct,120,1.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,mean,1.2364094518125057,0.0032534999772906303,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.25,6,0.0,1.0,hotpotqa,2,1.0,1,0.25,1.0,5ab56db7554299494045efc6,0.1,direct,120,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,direct,1.2364094518125057,0.003028700011782348,11,0.1,4,unique_budget,3
0.0,1.0,0.0,3,48,0.0,3,0.0,1.0,hotpotqa,1,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.05,direct,48,0.0,0.0,0.06278613472858077,96,one_shot,1.0,1.0,direct,1.231507768233617,0.0015870999777689576,11,0.0625,3,unique_budget,1
0.0,0.25,0.0,3,48,0.0,6,0.0,1.0,hotpotqa,2,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.05,direct,144,0.0,0.0,0.06278613472858077,96,iterative,1.0,1.0,product,1.231507768233617,0.003972100035753101,11,0.0625,3,unique_budget,2
0.0,0.25,0.0,3,48,0.0,3,0.0,1.0,hotpotqa,3,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.05,direct,144,0.0,0.0,0.06278613472858077,96,iterative,1.0,1.0,product,1.231507768233617,0.0034279999672435224,11,0.0625,3,unique_budget,3
0.0,0.25,0.0,3,48,0.0,3,0.0,1.0,hotpotqa,4,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.05,direct,144,0.0,0.0,0.06278613472858077,96,iterative,1.0,1.0,product,1.231507768233617,0.002769899962004274,11,0.0625,3,unique_budget,3
0.0,1.0,0.0,5,48,0.0,5,0.0,1.0,hotpotqa,1,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.1,direct,48,0.0,0.0,0.1000654022236756,153,one_shot,1.0,1.0,direct,1.231507768233617,0.0023467999999411404,11,0.10416666666666667,5,unique_budget,1
0.0,0.25,0.0,5,48,0.1111111111111111,12,0.0,1.0,hotpotqa,2,0.14285714285714285,1,0.0,1.0,5ab2b863554299295394685a,0.1,direct,192,0.0,0.0,0.10464355788096795,160,iterative,1.0,1.0,product,1.231507768233617,0.004323899978771806,11,0.10416666666666667,5,unique_budget,2
0.0,0.25,0.0,5,48,0.0,10,0.0,1.0,hotpotqa,3,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.1,direct,240,0.0,0.0,0.10464355788096795,160,iterative,1.0,1.0,product,1.231507768233617,0.005613200017251074,11,0.10416666666666667,5,unique_budget,3
0.0,0.25,0.0,5,48,0.0,10,0.0,1.0,hotpotqa,4,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.1,direct,240,0.0,0.0,0.10464355788096795,160,iterative,1.0,1.0,product,1.231507768233617,0.004510600003413856,11,0.10416666666666667,5,unique_budget,3
0.0,1.0,1.0,10,48,0.0,10,0.0,1.0,hotpotqa,1,0.14285714285714285,0,0.3333333333333333,1.0,5ab2b863554299295394685a,0.2,direct,48,1.0,0.0,0.20470896010464357,313,one_shot,1.0,1.0,direct,1.231507768233617,0.002606900001410395,11,0.20833333333333334,10,unique_budget,1
