split,dataset,example_id,facet_mode,requested_facet_count,actual_facet_count,construction_latency_ms,graph_construction_ms,graph_clustering_ms,graph_calls,graph_nodes,graph_edges,graph_density,graph_memory_bytes,pairwise_similarity_evaluations,facet_count,tree_node_count,mean_facet_overlap
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,graph,4,3,23.585200076922774,4.455100046470761,10.320100001990795,1,10,26,0.28888888888888886,968,90,3,3,0.0
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,syntactic_graph,2,2,25.802099844440818,6.08769990503788,8.090200135484338,1,10,26,0.28888888888888886,968,90,4,4,0.3333333333333333
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,syntactic_graph,4,4,25.802099844440818,6.08769990503788,8.090200135484338,1,10,26,0.28888888888888886,968,90,4,4,0.3333333333333333
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,global,1,1,0.3659001085907221,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,syntactic,2,2,0.8327001705765724,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,syntactic,4,2,0.8327001705765724,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,multiscale,2,2,6.432200083509088,0.0,0.0,0,0,0,0.0,0,0,9,9,0.28809523809523807
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,multiscale,4,4,6.432200083509088,0.0,0.0,0,0,0,0.0,0,0,9,9,0.28809523809523807
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,graph,2,2,23.157500196248293,5.7742001954466105,9.886000072583556,1,6,14,0.4666666666666667,536,30,2,2,0.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,graph,4,2,23.157500196248293,5.7742001954466105,9.886000072583556,1,6,14,0.4666666666666667,536,30,2,2,0.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,syntactic_graph,2,2,23.185599828138947,7.702999981120229,7.358300033956766,1,6,14,0.4666666666666667,536,30,3,3,1.0
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,syntactic_graph,4,3,23.185599828138947,7.702999981120229,7.358300033956766,1,6,14,0.4666666666666667,536,30,3,3,1.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,global,1,1,0.39749988354742527,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,syntactic,2,2,0.9624999947845936,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,syntactic,4,2,0.9624999947845936,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,multiscale,2,2,11.50419982150197,0.0,0.0,0,0,0,0.0,0,0,19,19,0.17533127729206152
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,multiscale,4,4,11.50419982150197,0.0,0.0,0,0,0,0.0,0,0,19,19,0.17533127729206152
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,graph,2,2,25.42579988949001,7.496299920603633,8.975100005045533,1,11,32,0.2909090909090909,1160,110,2,2,0.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,graph,4,2,25.42579988949001,7.496299920603633,8.975100005045533,1,11,32,0.2909090909090909,1160,110,2,2,0.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,syntactic_graph,2,2,26.199599960818887,6.797899957746267,8.345500100404024,1,11,32,0.2909090909090909,1160,110,3,3,1.0
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,syntactic_graph,4,3,26.199599960818887,6.797899957746267,8.345500100404024,1,11,32,0.2909090909090909,1160,110,3,3,1.0
