dataset,evidence_recall,m,method,rank,seed,teacher_top4_overlap
qasper,0.2505528846153846,32,lowrank_all,8,37,0.28125
qasper,0.27495764652014654,32,lowrank_all,8,53,0.203125
qasper,0.24916895604395603,32,lowrank_all,8,71,0.15625
qasper,0.22757669413919418,32,lowrank_all,16,11,0.28125
qasper,0.19395833333333332,32,lowrank_all,16,23,0.03125
qasper,0.2775160256410257,32,lowrank_all,16,37,0.328125
qasper,0.26934638278388284,32,lowrank_all,16,53,0.265625
qasper,0.3026945970695971,32,lowrank_all,16,71,0.234375
qasper,0.24272321428571428,32,lowrank_all,32,11,0.171875
qasper,0.09467261904761905,32,lowrank_all,32,23,0.015625
qasper,0.21180288461538463,32,lowrank_all,32,37,0.15625
qasper,0.29086538461538464,32,lowrank_all,32,53,0.21875
qasper,0.24945169413919416,32,lowrank_all,32,71,0.234375
qasper,0.11273809523809523,4,lowrank_farthest,8,11,0.109375
qasper,0.03764880952380952,4,lowrank_farthest,8,23,0.0625
qasper,0.08776900183150182,4,lowrank_farthest,8,37,0.109375
qasper,0.0306547619047619,4,lowrank_farthest,8,53,0.046875
qasper,0.0307154304029304,4,lowrank_farthest,8,71,0.125
qasper,0.13833333333333334,8,lowrank_farthest,8,11,0.09375
qasper,0.18608630952380953,8,lowrank_farthest,8,23,0.15625
qasper,0.20669757326007326,8,lowrank_farthest,8,37,0.171875
qasper,0.0585279304029304,8,lowrank_farthest,8,53,0.09375
qasper,0.12797619047619047,8,lowrank_farthest,8,71,0.15625
qasper,0.12275412087912087,4,lowrank_farthest,16,11,0.09375
qasper,0.035477335164835165,4,lowrank_farthest,16,23,0.0
qasper,0.07900412087912088,4,lowrank_farthest,16,37,0.21875
qasper,0.019791666666666666,4,lowrank_farthest,16,53,0.0625
qasper,0.07875228937728938,4,lowrank_farthest,16,71,0.03125
qasper,0.12141483516483517,8,lowrank_farthest,16,11,0.140625
qasper,0.021741071428571426,8,lowrank_farthest,16,23,0.015625
qasper,0.17892971611721611,8,lowrank_farthest,16,37,0.265625
qasper,0.0681547619047619,8,lowrank_farthest,16,53,0.125
qasper,0.1223374542124542,8,lowrank_farthest,16,71,0.0625
qasper,0.02683150183150183,4,lowrank_farthest,32,11,0.015625
qasper,0.08095352564102563,4,lowrank_farthest,32,23,0.0
qasper,0.043944597069597066,4,lowrank_farthest,32,37,0.09375
qasper,0.0803434065934066,4,lowrank_farthest,32,53,0.015625
qasper,0.04766483516483516,4,lowrank_farthest,32,71,0.015625
qasper,0.1122767857142857,8,lowrank_farthest,32,11,0.078125
qasper,0.04290407509157509,8,lowrank_farthest,32,23,0.0
qasper,0.17247023809523812,8,lowrank_farthest,32,37,0.140625
qasper,0.10309638278388278,8,lowrank_farthest,32,53,0.109375
qasper,0.08758928571428572,8,lowrank_farthest,32,71,0.046875
qasper,0.10595238095238095,4,lowrank_kmeans,8,11,0.109375
qasper,0.03318452380952381,4,lowrank_kmeans,8,23,0.125
qasper,0.06942078754578754,4,lowrank_kmeans,8,37,0.15625
qasper,0.04328983516483516,4,lowrank_kmeans,8,53,0.015625
qasper,0.10355769230769231,4,lowrank_kmeans,8,71,0.203125
qasper,0.19138392857142858,8,lowrank_kmeans,8,11,0.140625
qasper,0.21502976190476192,8,lowrank_kmeans,8,23,0.171875
qasper,0.22529876373626376,8,lowrank_kmeans,8,37,0.296875
qasper,0.058632097069597065,8,lowrank_kmeans,8,53,0.109375
