backing_native_kv_bytes,cached_online_ms,compression_vs_full_native_32d,compression_vs_mean_native_d,compression_vs_native_m8,construction_ms,dataset,evidence_recall,index_bytes_per_chunk,low_rank_dots,m,materialized_kv_tokens,method,native_dots,peak_delta_gpu_bytes,rank,transfer_bytes
6506496.0,0.8415649976814166,512.0,16.0,128.0,695.2844350074884,hotpotqa,0.10059523809523811,256.0,3208.0,8,124.1375,lowrank_kmeans,0.0,87360.0,8,508467.2
6506496.0,0.8021257462678477,512.0,16.0,128.0,449.89851751888636,hotpotqa,0.09416666666666669,256.0,3208.0,4,117.75,lowrank_kmeans,0.0,139168.0,16,482304.0
6506496.0,0.9126060031121597,256.0,8.0,64.0,763.748545004637,hotpotqa,0.08479166666666668,512.0,6416.0,8,121.8625,lowrank_kmeans,0.0,168800.0,16,499148.8
6506496.0,0.8233077527256683,256.0,8.0,64.0,452.82706250145566,hotpotqa,0.09681547619047619,512.0,6416.0,4,120.175,lowrank_kmeans,0.0,272960.0,32,492236.8
6506496.0,0.8536717476090416,128.0,4.0,32.0,723.2680000190157,hotpotqa,0.10449404761904764,1024.0,12832.0,8,123.5,lowrank_kmeans,0.0,332960.0,32,505856.0
6506496.0,0.902906998526305,1024.0,32.0,256.0,721.0885762644466,hotpotqa,0.08544642857142859,128.0,1604.0,4,119.7625,lowrank_medoid,0.0,67296.0,8,490547.2
6506496.0,0.8785585011355579,512.0,16.0,128.0,1130.2586199948564,hotpotqa,0.0986309523809524,256.0,3208.0,8,124.325,lowrank_medoid,0.0,76864.0,8,509235.2
6506496.0,0.9018725017085671,512.0,16.0,128.0,714.1908487217734,hotpotqa,0.10011904761904764,256.0,3208.0,4,118.1375,lowrank_medoid,0.0,128096.0,16,483891.2
6506496.0,0.8964717510389164,256.0,8.0,64.0,1130.951011236175,hotpotqa,0.0935416666666667,512.0,6416.0,8,122.525,lowrank_medoid,0.0,146304.0,16,501862.4
6506496.0,0.850642251316458,256.0,8.0,64.0,649.5729849906638,hotpotqa,0.09889880952380953,512.0,6416.0,4,120.325,lowrank_medoid,0.0,250048.0,32,492851.2
6506496.0,0.8508727489970624,128.0,4.0,32.0,1066.046670000651,hotpotqa,0.12336309523809522,1024.0,12832.0,8,123.7125,lowrank_medoid,0.0,286528.0,32,506726.4
6506496.0,1.976127506350167,32.0,1.0,8.0,110.7697062252555,hotpotqa,0.1163690476190476,4096.0,0.0,1,128.0,native_farthest,802.0,624128.0,0,524288.0
6506496.0,2.7612262550974265,16.0,0.5,4.0,155.78389375878032,hotpotqa,0.14226190476190476,8192.0,0.0,2,128.0,native_farthest,1604.0,1246528.0,0,524288.0
6506496.0,3.4831737546483055,8.0,0.25,2.0,259.15854374761693,hotpotqa,0.12083333333333332,16384.0,0.0,4,128.0,native_farthest,3208.0,2532160.0,0,524288.0
6506496.0,4.853646247647703,4.0,0.125,1.0,442.02208747447,hotpotqa,0.09895833333333333,32768.0,0.0,8,128.0,native_farthest,6416.0,5025440.0,0,524288.0
6506496.0,0.9562412567902356,32.0,1.0,8.0,86.37418749276549,hotpotqa,0.12351190476190475,4096.0,0.0,1,126.0625,native_kmeans,802.0,668864.0,0,516352.0
6506496.0,1.2223675032146275,16.0,0.5,4.0,162.74261873331852,hotpotqa,0.13288690476190476,8192.0,0.0,2,128.0,native_kmeans,1604.0,1271552.0,0,524288.0
6506496.0,3.7375737563706934,8.0,0.25,2.0,383.6663124966435,hotpotqa,0.09583333333333333,16384.0,0.0,4,128.0,native_kmeans,3208.0,2549248.0,0,524288.0
6506496.0,1.5461487491847947,4.0,0.125,1.0,368.1107562588295,hotpotqa,0.12083333333333332,32768.0,0.0,8,128.0,native_kmeans,6416.0,5048576.0,0,524288.0
6506496.0,1.113693750812672,32.0,1.0,8.0,5.988156277453527,hotpotqa,0.12351190476190475,4096.0,0.0,1,126.0625,native_mean,802.0,7055872.0,0,516352.0
6506496.0,1.1214862490305677,32.0,1.0,8.0,178.60012501478195,hotpotqa,0.09136904761904761,4096.0,0.0,1,128.0,native_medoid,802.0,627072.0,0,524288.0
6506496.0,2.8868287423392758,16.0,0.5,4.0,351.5022937062895,hotpotqa,0.12976190476190474,8192.0,0.0,2,128.0,native_medoid,1604.0,1246528.0,0,524288.0
6506496.0,3.694683747016825,8.0,0.25,2.0,581.5380124840885,hotpotqa,0.09583333333333333,16384.0,0.0,4,128.0,native_medoid,3208.0,2532160.0,0,524288.0
6506496.0,5.196088753291406,4.0,0.125,1.0,1096.2077624426456,hotpotqa,0.13645833333333332,32768.0,0.0,8,128.0,native_medoid,6416.0,5025440.0,0,524288.0
18660608.0,0.8794845000375062,128.0,4.0,32.0,1.3305362372193485,qasper,0.24564743589743582,1024.0,36512.0,32,127.8125,lowrank_all,0.0,194528.0,8,523520.0
18660608.0,0.9633379970910028,64.0,2.0,16.0,1.2404337379848585,qasper,0.2542184065934065,2048.0,73024.0,32,127.7375,lowrank_all,0.0,340576.0,16,523212.8
18660608.0,0.9248657507123426,32.0,1.0,8.0,1.2297962472075596,qasper,0.2179031593406593,4096.0,146048.0,32,127.9625,lowrank_all,0.0,673120.0,32,524134.4
18660608.0,0.9122892515733838,1024.0,32.0,256.0,644.6879699942656,qasper,0.0599052197802198,128.0,4564.0,4,127.8875,lowrank_farthest,0.0,182016.0,8,523827.2
18660608.0,1.2772627524100244,512.0,16.0,128.0,1165.3495599864982,qasper,0.14352426739926735,256.0,9128.0,8,128.0,lowrank_farthest,0.0,205184.0,8,524288.0
18660608.0,0.8831152523634955,512.0,16.0,128.0,656.8982824974228,qasper,0.06715590659340662,256.0,9128.0,4,127.4375,lowrank_farthest,0.0,346240.0,16,521984.0
18660608.0,1.098037752090022,256.0,8.0,64.0,1166.7076999961864,qasper,0.10251556776556776,512.0,18256.0,8,127.375,lowrank_farthest,0.0,387648.0,16,521728.0
18660608.0,0.8973890024935827,256.0,8.0,64.0,618.3248874964193,qasper,0.05594757326007325,512.0,18256.0,4,127.8625,lowrank_farthest,0.0,715200.0,32,523724.8
18660608.0,0.9401495021302253,128.0,4.0,32.0,1086.74454249267,qasper,0.10366735347985345,1024.0,36512.0,8,127.8125,lowrank_farthest,0.0,793216.0,32,523520.0
18660608.0,0.9284804982598871,1024.0,32.0,256.0,1418.2504512456944,qasper,0.07108104395604396,128.0,4564.0,4,127.85,lowrank_kmeans,0.0,183072.0,8,523673.6
18660608.0,0.9580140002071857,512.0,16.0,128.0,2261.2030937394593,qasper,0.1828550824175824,256.0,9128.0,8,127.675,lowrank_kmeans,0.0,209120.0,8,522956.8
18660608.0,0.9687334985937923,512.0,16.0,128.0,1533.0640674917959,qasper,0.10125434981684982,256.0,9128.0,4,127.7,lowrank_kmeans,0.0,353152.0,16,523059.2
18660608.0,0.9861154959071428,256.0,8.0,64.0,2238.195954996627,qasper,0.17444162087912088,512.0,18256.0,8,127.5375,lowrank_kmeans,0.0,406560.0,16,522393.6
18660608.0,0.8909629983827472,256.0,8.0,64.0,1390.882055007387,qasper,0.09271016483516487,512.0,18256.0,4,127.8625,lowrank_kmeans,0.0,739936.0,32,523724.8
18660608.0,0.9684852475766093,128.0,4.0,32.0,2116.9927737413673,qasper,0.12600412087912088,1024.0,36512.0,8,127.85,lowrank_kmeans,0.0,847840.0,32,523673.6
18660608.0,0.9022904984885827,1024.0,32.0,256.0,2110.0879462464945,qasper,0.0757923534798535,128.0,4564.0,4,127.8875,lowrank_medoid,0.0,182016.0,8,523827.2
18660608.0,0.9490720013855025,512.0,16.0,128.0,3337.733418759308,qasper,0.17880746336996337,256.0,9128.0,8,127.9125,lowrank_medoid,0.0,205184.0,8,523929.6
18660608.0,0.9341564995702356,512.0,16.0,128.0,2076.798252496519,qasper,0.08117078754578756,256.0,9128.0,4,127.7375,lowrank_medoid,0.0,346240.0,16,523212.8
18660608.0,0.9470517496811226,256.0,8.0,64.0,3312.9401949961903,qasper,0.1757834249084249,512.0,18256.0,8,127.5,lowrank_medoid,0.0,387648.0,16,522240.0
18660608.0,0.868974247132428,256.0,8.0,64.0,1909.0545687329723,qasper,0.08635576923076924,512.0,18256.0,4,127.7875,lowrank_medoid,0.0,715200.0,32,523417.6
18660608.0,0.9563007496763021,128.0,4.0,32.0,3123.452883740538,qasper,0.09593841575091576,1024.0,36512.0,8,127.9625,lowrank_medoid,0.0,793216.0,32,524134.4
18660608.0,3.0102412536507472,32.0,1.0,8.0,307.9018812713912,qasper,0.11799221611721612,4096.0,0.0,1,128.0,native_farthest,2282.0,1916896.0,0,524288.0
18660608.0,5.266013744403608,16.0,0.5,4.0,438.19865623663645,qasper,0.13026900183150183,8192.0,0.0,2,128.0,native_farthest,4564.0,3808576.0,0,524288.0
18660608.0,6.905120008741505,8.0,0.25,2.0,717.2271750023356,qasper,0.030194597069597068,16384.0,0.0,4,128.0,native_farthest,9128.0,7298624.0,0,524288.0
18660608.0,6.342078748275526,4.0,0.125,1.0,1000.6749999738531,qasper,0.03319940476190476,32768.0,0.0,8,128.0,native_farthest,18256.0,14314752.0,0,524288.0
18660608.0,1.0977887373883277,32.0,1.0,8.0,255.72011871554423,qasper,0.09764880952380951,4096.0,0.0,1,128.0,native_kmeans,2282.0,1916896.0,0,524288.0
18660608.0,4.418622492812574,16.0,0.5,4.0,621.5564687299775,qasper,0.034032738095238095,8192.0,0.0,2,128.0,native_kmeans,4564.0,3808576.0,0,524288.0
18660608.0,4.908453757525422,8.0,0.25,2.0,957.6969812478637,qasper,0.03319940476190476,16384.0,0.0,4,128.0,native_kmeans,9128.0,7298624.0,0,524288.0
18660608.0,2.6155212515732273,4.0,0.125,1.0,1095.0624125543982,qasper,0.024270833333333332,32768.0,0.0,8,128.0,native_kmeans,18256.0,14314752.0,0,524288.0
18660608.0,1.1947925027925521,32.0,1.0,8.0,2.997031289851293,qasper,0.09764880952380951,4096.0,0.0,1,128.0,native_mean,2282.0,19394560.0,0,524288.0
18660608.0,2.8219174972036853,32.0,1.0,8.0,620.8069750136929,qasper,0.07669757326007326,4096.0,0.0,1,128.0,native_medoid,2282.0,1916896.0,0,524288.0
18660608.0,5.711505003273487,16.0,0.5,4.0,1022.2298312583007,qasper,0.0781856684981685,8192.0,0.0,2,128.0,native_medoid,4564.0,3808576.0,0,524288.0
18660608.0,7.672483750502579,8.0,0.25,2.0,1808.9597124926513,qasper,0.09967376373626374,16384.0,0.0,4,128.0,native_medoid,9128.0,7298624.0,0,524288.0
18660608.0,9.220801258925349,4.0,0.125,1.0,2887.024925003061,qasper,0.09486607142857142,32768.0,0.0,8,128.0,native_medoid,18256.0,14314752.0,0,524288.0
