baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,method,pairs,rank,ties,wins
Paper 2.6 hybrid,0.08343154761904761,-0.054367216117216115,qasper,6,8,0.01491163003663004,lowrank_medoid,16,32,1,9
QC exploratory,0.058869505494505495,-0.25690476190476186,qasper,6,8,-0.07582394688644689,lowrank_medoid,16,32,2,8
QC primary,0.0786195054945055,0.0023992673992674026,qasper,5,8,0.03853021978021978,lowrank_medoid,16,32,2,9
QK key-only m8,0.04973214285714286,-0.1715730311355311,qasper,6,8,-0.04299931318681319,lowrank_medoid,16,32,2,8
QK mean,0.08148008241758241,-0.12566964285714288,qasper,4,8,-0.0017103937728937765,lowrank_medoid,16,32,4,8
Paper 2.6 BM25,0.22702380952380952,-0.029300595238095233,qasper,2,1,0.07635416666666667,native_farthest,16,0,9,5
Paper 2.6 exact,0.11328869047619049,-0.18351190476190476,qasper,9,1,-0.05962797619047619,native_farthest,16,0,6,1
Paper 2.6 gist,0.22410828754578754,-0.024568452380952382,qasper,2,1,0.08004578754578755,native_farthest,16,0,8,6
Paper 2.6 hybrid,0.19879807692307694,-0.08425480769230768,qasper,5,1,0.03696543040293042,native_farthest,16,0,5,6
QC exploratory,0.03315178571428571,-0.18976488095238098,qasper,5,1,-0.05377014652014652,native_farthest,16,0,5,6
QC primary,0.2057669413919414,-0.038481456043956044,qasper,6,1,0.06058402014652014,native_farthest,16,0,3,7
QK key-only m8,0.09185210622710623,-0.15151098901098903,qasper,5,1,-0.020945512820512824,native_farthest,16,0,6,5
QK mean,0.07918383699633699,-0.036916208791208785,qasper,3,1,0.020343406593406596,native_farthest,16,0,8,5
Paper 2.6 BM25,0.23641369047619046,-0.027916666666666666,qasper,2,2,0.0886309523809524,native_farthest,16,0,8,6
Paper 2.6 exact,0.12023809523809524,-0.17562500000000003,qasper,8,2,-0.04735119047619046,native_farthest,16,0,6,2
Paper 2.6 gist,0.23343750000000002,0.0015201465201465213,qasper,1,2,0.09232257326007326,native_farthest,16,0,10,5
Paper 2.6 hybrid,0.20566964285714284,-0.0787190934065934,qasper,5,2,0.04924221611721613,native_farthest,16,0,4,7
QC exploratory,0.04326098901098901,-0.18116826923076923,qasper,5,2,-0.04149336080586081,native_farthest,16,0,5,6
QC primary,0.2119084249084249,-0.017766483516483515,qasper,7,2,0.07286080586080586,native_farthest,16,0,3,6
QK key-only m8,0.09845924908424906,-0.1422996794871795,qasper,5,2,-0.008668727106227118,native_farthest,16,0,6,5
QK mean,0.07992788461538461,-0.0008333333333333334,qasper,1,2,0.03262019230769231,native_farthest,16,0,12,3
Paper 2.6 BM25,0.04324404761904762,-0.07394345238095237,qasper,2,4,-0.01144345238095238,native_farthest,16,0,12,2
Paper 2.6 exact,-0.05641369047619048,-0.2484672619047619,qasper,9,4,-0.14742559523809523,native_farthest,16,0,6,1
Paper 2.6 gist,0.011282051282051283,-0.0309065934065934,qasper,2,4,-0.007751831501831501,native_farthest,16,0,12,2
Paper 2.6 hybrid,0.006877289377289377,-0.11623397435897435,qasper,5,4,-0.05083218864468865,native_farthest,16,0,8,3
QC exploratory,0.0009157509157509168,-0.3243974358974359,qasper,9,4,-0.14156776556776554,native_farthest,16,0,4,3
QC primary,0.004953754578754578,-0.05581845238095238,qasper,10,4,-0.027213598901098902,native_farthest,16,0,4,2
QK key-only m8,-0.010803571428571428,-0.23772321428571425,qasper,7,4,-0.10874313186813186,native_farthest,16,0,7,2
QK mean,0.008782051282051282,-0.20054945054945056,qasper,3,4,-0.06745421245421246,native_farthest,16,0,12,1
Paper 2.6 BM25,0.04742559523809524,-0.07311011904761905,qasper,3,8,-0.008438644688644689,native_farthest,16,0,10,3
Paper 2.6 exact,-0.05416666666666667,-0.2469047619047619,qasper,9,8,-0.14442078754578752,native_farthest,16,0,6,1
Paper 2.6 gist,0.01980654761904762,-0.030416666666666665,qasper,2,8,-0.004747023809523809,native_farthest,16,0,12,2
Paper 2.6 hybrid,0.009315476190476187,-0.11479166666666665,qasper,5,8,-0.047827380952380955,native_farthest,16,0,8,3
QC exploratory,0.000394917582417581,-0.32408424908424904,qasper,9,8,-0.13856295787545786,native_farthest,16,0,4,3
QC primary,0.008391941391941389,-0.05234065934065933,qasper,10,8,-0.024208791208791207,native_farthest,16,0,4,2
QK key-only m8,-0.010277014652014652,-0.23750915750915746,qasper,7,8,-0.10573832417582418,native_farthest,16,0,8,1
QK mean,0.014791666666666667,-0.20032738095238095,qasper,3,8,-0.06444940476190476,native_farthest,16,0,12,1
Paper 2.6 BM25,0.20947802197802198,-0.05448031135531135,qasper,3,1,0.05601076007326007,native_kmeans,16,0,9,4
Paper 2.6 exact,0.10745421245421245,-0.22878319597069596,qasper,10,1,-0.07997138278388277,native_kmeans,16,0,4,2
Paper 2.6 gist,0.18916666666666668,-0.011726190476190475,qasper,1,1,0.05970238095238095,native_kmeans,16,0,13,2
Paper 2.6 hybrid,0.17031249999999998,-0.09833333333333333,qasper,5,1,0.016622023809523805,native_kmeans,16,0,7,4
QC exploratory,0.0218507326007326,-0.2173763736263736,qasper,8,1,-0.07411355311355312,native_kmeans,16,0,5,3
QC primary,0.18147023809523807,-0.04799450549450549,qasper,10,1,0.04024061355311356,native_kmeans,16,0,3,3
QK key-only m8,0.05938072344322344,-0.16762820512820514,qasper,6,1,-0.04128891941391941,native_kmeans,16,0,6,4
QK mean,0.0,0.0,qasper,0,1,0.0,native_kmeans,16,0,16,0
Paper 2.6 BM25,0.04708218864468865,-0.07177197802197802,qasper,3,2,-0.007605311355311353,native_kmeans,16,0,10,3
Paper 2.6 exact,-0.04991300366300366,-0.24910714285714283,qasper,9,2,-0.14358745421245422,native_kmeans,16,0,6,1
Paper 2.6 gist,0.020625,-0.02958333333333333,qasper,2,2,-0.003913690476190475,native_kmeans,16,0,12,2
Paper 2.6 hybrid,0.012053571428571427,-0.11517857142857144,qasper,5,2,-0.046994047619047616,native_kmeans,16,0,8,3
QC exploratory,0.0027465659340659334,-0.3214056776556776,qasper,9,2,-0.13772962454212453,native_kmeans,16,0,4,3
QC primary,0.007695054945054943,-0.051483516483516484,qasper,10,2,-0.023375457875457875,native_kmeans,16,0,4,2
QK key-only m8,-0.007142857142857142,-0.2342948717948718,qasper,6,2,-0.10490499084249086,native_kmeans,16,0,8,2
QK mean,0.015625,-0.19754464285714285,qasper,2,2,-0.06361607142857142,native_kmeans,16,0,13,1
Paper 2.6 BM25,0.046875,-0.07093864468864469,qasper,3,4,-0.008438644688644689,native_kmeans,16,0,10,3
Paper 2.6 exact,-0.05456959706959706,-0.2515178571428571,qasper,9,4,-0.14442078754578752,native_kmeans,16,0,6,1
Paper 2.6 gist,0.01980654761904762,-0.030416666666666665,qasper,2,4,-0.004747023809523809,native_kmeans,16,0,12,2
Paper 2.6 hybrid,0.011488095238095236,-0.11562499999999999,qasper,5,4,-0.047827380952380955,native_kmeans,16,0,8,3
QC exploratory,0.004295787545787544,-0.32483974358974355,qasper,9,4,-0.13856295787545786,native_kmeans,16,0,4,3
QC primary,0.006696428571428568,-0.052084249084249086,qasper,10,4,-0.024208791208791207,native_kmeans,16,0,4,2
QK key-only m8,-0.00863095238095238,-0.23108974358974357,qasper,7,4,-0.10573832417582418,native_kmeans,16,0,8,1
QK mean,0.014791666666666667,-0.19892857142857143,qasper,3,4,-0.06444940476190476,native_kmeans,16,0,12,1
Paper 2.6 BM25,0.040729166666666664,-0.08181662087912088,qasper,4,8,-0.017367216117216117,native_kmeans,16,0,9,3
Paper 2.6 exact,-0.0677403846153846,-0.25689102564102567,qasper,9,8,-0.15334935897435897,native_kmeans,16,0,7,0
Paper 2.6 gist,0.01617559523809524,-0.04380952380952381,qasper,3,8,-0.013675595238095237,native_kmeans,16,0,11,2
Paper 2.6 hybrid,-0.0026785714285714295,-0.12020833333333332,qasper,5,8,-0.05675595238095238,native_kmeans,16,0,9,2
QC exploratory,-0.009854166666666664,-0.3252003205128205,qasper,9,8,-0.14749152930402928,native_kmeans,16,0,5,2
QC primary,-0.011655677655677654,-0.0554642857142857,qasper,10,8,-0.03313736263736264,native_kmeans,16,0,5,1
QK key-only m8,-0.020187728937728938,-0.23654761904761906,qasper,8,8,-0.11466689560439561,native_kmeans,16,0,8,0
QK mean,0.012291666666666666,-0.20785714285714282,qasper,4,8,-0.07337797619047619,native_kmeans,16,0,11,1
Paper 2.6 BM25,0.20869047619047618,-0.055803571428571425,qasper,3,1,0.05601076007326007,native_mean,16,0,9,4
Paper 2.6 exact,0.09946199633699632,-0.22671130952380952,qasper,10,1,-0.07997138278388277,native_mean,16,0,4,2
Paper 2.6 gist,0.18916666666666665,-0.010059523809523808,qasper,1,1,0.05970238095238095,native_mean,16,0,13,2
Paper 2.6 hybrid,0.17309523809523808,-0.09967261904761905,qasper,5,1,0.016622023809523805,native_mean,16,0,7,4
QC exploratory,0.02052930402930403,-0.2118818681318681,qasper,8,1,-0.07411355311355312,native_mean,16,0,5,3
QC primary,0.17949358974358975,-0.04765567765567766,qasper,10,1,0.04024061355311356,native_mean,16,0,3,3
QK key-only m8,0.060639880952380966,-0.16740499084249086,qasper,6,1,-0.04128891941391941,native_mean,16,0,6,4
QK mean,0.0,0.0,qasper,0,1,0.0,native_mean,16,0,16,0
Paper 2.6 BM25,0.10983630952380952,-0.042232142857142864,qasper,2,1,0.03505952380952381,native_medoid,16,0,9,5
Paper 2.6 exact,-0.027976190476190477,-0.17842261904761905,qasper,7,1,-0.10092261904761904,native_medoid,16,0,8,1
Paper 2.6 gist,0.08968978937728936,0.0006868131868131878,qasper,1,1,0.03875114468864469,native_medoid,16,0,10,5
Paper 2.6 hybrid,0.07925824175824175,-0.09328869047619046,qasper,5,1,-0.004329212454212448,native_medoid,16,0,5,6
QC exploratory,0.05021336996336996,-0.2856481227106227,qasper,6,1,-0.09506478937728938,native_medoid,16,0,4,6
QC primary,0.06667261904761905,-0.021782051282051285,qasper,7,1,0.019289377289377296,native_medoid,16,0,4,5
QK key-only m8,0.05970924908424908,-0.2089583333333333,qasper,6,1,-0.06224015567765568,native_medoid,16,0,6,4
QK mean,0.08052197802197801,-0.1697893772893773,qasper,2,1,-0.02095123626373626,native_medoid,16,0,10,4
Paper 2.6 BM25,0.10769345238095238,-0.03971726190476191,qasper,2,2,0.036547619047619044,native_medoid,16,0,8,6
Paper 2.6 exact,-0.03145833333333334,-0.17145833333333335,qasper,8,2,-0.0994345238095238,native_medoid,16,0,7,1
Paper 2.6 gist,0.09114583333333333,0.0011767399267399274,qasper,1,2,0.040239239926739924,native_medoid,16,0,10,5
Paper 2.6 hybrid,0.08013392857142856,-0.09038690476190477,qasper,5,2,-0.002841117216117229,native_medoid,16,0,4,7
QC exploratory,0.04849473443223443,-0.28888919413919417,qasper,5,2,-0.09357669413919413,native_medoid,16,0,4,7
QC primary,0.05830128205128205,-0.013083333333333336,qasper,6,2,0.020777472527472526,native_medoid,16,0,4,6
QK key-only m8,0.05007326007326007,-0.20352678571428573,qasper,5,2,-0.06075206043956044,native_medoid,16,0,7,4
QK mean,0.08470352564102564,-0.1717708333333333,qasper,2,2,-0.019463141025641027,native_medoid,16,0,10,4
Paper 2.6 BM25,0.2109375,-0.05133928571428571,qasper,2,4,0.05803571428571429,native_medoid,16,0,11,3
Paper 2.6 exact,0.10163690476190476,-0.22988095238095238,qasper,8,4,-0.07794642857142857,native_medoid,16,0,6,2
Paper 2.6 gist,0.1990041208791209,-0.021978021978021976,qasper,2,4,0.06172733516483517,native_medoid,16,0,11,3
Paper 2.6 hybrid,0.17958447802197802,-0.09775068681318681,qasper,5,4,0.018646978021978036,native_medoid,16,0,7,4
QC exploratory,0.020129349816849818,-0.2137992216117216,qasper,7,4,-0.07208859890109892,native_medoid,16,0,5,4
QC primary,0.18405128205128207,-0.0434569597069597,qasper,9,4,0.042265567765567766,native_medoid,16,0,3,4
QK key-only m8,0.030242673992673996,-0.1326121794871795,qasper,5,4,-0.039263965201465204,native_medoid,16,0,8,3
QK mean,0.19230769230769232,-0.18080357142857142,qasper,3,4,0.0020249542124542164,native_medoid,16,0,10,3
Paper 2.6 BM25,0.2109375,-0.058379120879120866,qasper,3,8,0.05322802197802198,native_medoid,16,0,10,3
Paper 2.6 exact,0.09767628205128207,-0.23476419413919417,qasper,9,8,-0.08275412087912086,native_medoid,16,0,5,2
Paper 2.6 gist,0.1953125,-0.02678571428571428,qasper,2,8,0.05691964285714286,native_medoid,16,0,12,2
Paper 2.6 hybrid,0.16696428571428573,-0.1013392857142857,qasper,5,8,0.013839285714285717,native_medoid,16,0,8,3
QC exploratory,0.015275869963369963,-0.21501831501831503,qasper,8,8,-0.07689629120879121,native_medoid,16,0,5,3
QC primary,0.18389789377289378,-0.04875686813186813,qasper,10,8,0.03745787545787547,native_medoid,16,0,3,3
QK key-only m8,0.05223786630036631,-0.17184294871794872,qasper,6,8,-0.044071657509157515,native_medoid,16,0,8,2
QK mean,0.021770833333333333,-0.027901785714285712,qasper,2,8,-0.002782738095238095,native_medoid,16,0,13,1
