baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,method,pairs,rank,ties,wins
QK key-only m8,0.012976190476190474,-0.0912202380952381,hotpotqa,8,8,-0.03913690476190476,lowrank_kmeans,16,16,4,4
QK mean,0.021547619047619045,-0.10479166666666667,hotpotqa,5,8,-0.0387202380952381,lowrank_kmeans,16,16,6,5
Paper 2.6 BM25,-0.17500000000000004,-0.4238690476190477,hotpotqa,15,4,-0.30095238095238097,lowrank_kmeans,16,32,0,1
Paper 2.6 exact,-0.10124999999999998,-0.28348214285714285,hotpotqa,12,4,-0.1900892857142857,lowrank_kmeans,16,32,1,3
Paper 2.6 gist,0.03687499999999999,-0.15080357142857145,hotpotqa,7,4,-0.05392857142857142,lowrank_kmeans,16,32,2,7
Paper 2.6 hybrid,-0.08678571428571426,-0.2950595238095239,hotpotqa,12,4,-0.18264880952380952,lowrank_kmeans,16,32,2,2
QC exploratory,0.00241071428571428,-0.10333333333333333,hotpotqa,8,4,-0.04613095238095238,lowrank_kmeans,16,32,4,4
QC primary,-0.037767857142857145,-0.10860119047619049,hotpotqa,12,4,-0.06985119047619048,lowrank_kmeans,16,32,4,0
QK key-only m8,0.019613095238095242,-0.07357142857142858,hotpotqa,7,4,-0.027113095238095224,lowrank_kmeans,16,32,4,5
QK mean,0.036875000000000005,-0.09687499999999998,hotpotqa,5,4,-0.026696428571428576,lowrank_kmeans,16,32,4,7
Paper 2.6 BM25,-0.16327380952380952,-0.4176488095238095,hotpotqa,15,8,-0.2932738095238096,lowrank_kmeans,16,32,0,1
Paper 2.6 exact,-0.10354166666666663,-0.2687797619047619,hotpotqa,12,8,-0.1824107142857143,lowrank_kmeans,16,32,2,2
Paper 2.6 gist,0.029791666666666668,-0.125625,hotpotqa,7,8,-0.04624999999999999,lowrank_kmeans,16,32,3,6
Paper 2.6 hybrid,-0.08160714285714285,-0.2723214285714286,hotpotqa,12,8,-0.1749702380952381,lowrank_kmeans,16,32,2,2
QC exploratory,0.010386904761904764,-0.09145833333333334,hotpotqa,7,8,-0.03845238095238095,lowrank_kmeans,16,32,4,5
QC primary,-0.024166666666666673,-0.09714285714285716,hotpotqa,12,8,-0.06217261904761905,lowrank_kmeans,16,32,1,3
QK key-only m8,0.027589285714285715,-0.060833333333333336,hotpotqa,8,8,-0.019434523809523808,lowrank_kmeans,16,32,4,4
QK mean,0.024553571428571428,-0.07130952380952381,hotpotqa,5,8,-0.01901785714285714,lowrank_kmeans,16,32,5,6
Paper 2.6 BM25,-0.1825595238095238,-0.43502976190476195,hotpotqa,15,4,-0.31232142857142864,lowrank_medoid,16,8,0,1
Paper 2.6 exact,-0.11479166666666665,-0.29437500000000005,hotpotqa,12,4,-0.20145833333333335,lowrank_medoid,16,8,2,2
Paper 2.6 gist,0.02991071428571429,-0.16029761904761908,hotpotqa,7,4,-0.06529761904761903,lowrank_medoid,16,8,3,6
Paper 2.6 hybrid,-0.10250000000000001,-0.29610119047619043,hotpotqa,12,4,-0.19401785714285713,lowrank_medoid,16,8,3,1
QC exploratory,0.010654761904761896,-0.13020833333333334,hotpotqa,9,4,-0.0575,lowrank_medoid,16,8,1,6
QC primary,-0.03267857142857143,-0.13767857142857146,hotpotqa,11,4,-0.08122023809523812,lowrank_medoid,16,8,2,3
QK key-only m8,0.022678571428571423,-0.10252976190476192,hotpotqa,8,4,-0.03848214285714285,lowrank_medoid,16,8,3,5
QK mean,0.029255952380952382,-0.11538690476190475,hotpotqa,5,4,-0.038065476190476184,lowrank_medoid,16,8,4,7
Paper 2.6 BM25,-0.1660416666666667,-0.42657738095238096,hotpotqa,15,8,-0.2991369047619048,lowrank_medoid,16,8,0,1
Paper 2.6 exact,-0.09749999999999999,-0.27717261904761903,hotpotqa,12,8,-0.1882738095238095,lowrank_medoid,16,8,1,3
Paper 2.6 gist,0.037678571428571436,-0.1465178571428571,hotpotqa,8,8,-0.052113095238095236,lowrank_medoid,16,8,2,6
Paper 2.6 hybrid,-0.08297619047619048,-0.28235119047619045,hotpotqa,12,8,-0.1808333333333333,lowrank_medoid,16,8,1,3
QC exploratory,0.013452380952380952,-0.10270833333333333,hotpotqa,9,8,-0.0443154761904762,lowrank_medoid,16,8,2,5
QC primary,-0.027410714285714288,-0.10812500000000001,hotpotqa,13,8,-0.0680357142857143,lowrank_medoid,16,8,0,3
QK key-only m8,0.03139880952380952,-0.08488095238095236,hotpotqa,7,8,-0.02529761904761904,lowrank_medoid,16,8,4,5
QK mean,0.039464285714285716,-0.09363095238095237,hotpotqa,6,8,-0.02488095238095237,lowrank_medoid,16,8,3,7
Paper 2.6 BM25,-0.14877976190476191,-0.42660714285714285,hotpotqa,15,4,-0.29764880952380957,lowrank_medoid,16,16,0,1
