boundary,listwise,loss,rank,response,seed,step,train_seconds
0.023816440254449844,0.4790358245372772,1.5042486190795898,8,1.0252127647399902,37,250,7.20698029990308
0.6942526698112488,3.093440055847168,3.514375686645508,8,0.42093563079833984,37,275,7.20698029990308
0.37011459469795227,3.2801547050476074,3.663369655609131,8,0.38321495056152344,37,300,7.20698029990308
0.838909924030304,5.234744071960449,5.3656721115112305,8,0.13092786073684692,53,1,6.382437700172886
0.801892101764679,3.406064510345459,3.58811616897583,8,0.18205171823501587,53,25,6.382437700172886
0.815706193447113,3.553825855255127,3.8020458221435547,8,0.24821987748146057,53,50,6.382437700172886
0.6554941534996033,3.7096893787384033,4.2518815994262695,8,0.5421920418739319,53,75,6.382437700172886
0.31132107973098755,2.2916746139526367,2.8274145126342773,8,0.5357398390769958,53,100,6.382437700172886
0.5469762682914734,2.971619129180908,3.6075515747070312,8,0.6359325647354126,53,125,6.382437700172886
0.33751365542411804,2.615651845932007,2.9977591037750244,8,0.38210728764533997,53,150,6.382437700172886
0.23874802887439728,2.4371633529663086,3.193389415740967,8,0.7562259435653687,53,175,6.382437700172886
0.1797957569360733,2.754117012023926,4.270076751708984,8,1.515959620475769,53,200,6.382437700172886
0.4399034380912781,2.7762677669525146,3.0805187225341797,8,0.3042510747909546,53,225,6.382437700172886
0.6112591624259949,3.1066927909851074,3.415529251098633,8,0.30883657932281494,53,250,6.382437700172886
0.21879614889621735,2.550360679626465,3.418041706085205,8,0.8676809072494507,53,275,6.382437700172886
0.6336474418640137,2.987070083618164,3.419809579849243,8,0.43273940682411194,53,300,6.382437700172886
0.7940494418144226,4.794748306274414,4.976041793823242,8,0.1812935620546341,71,1,6.79080650000833
0.8373556137084961,3.5008044242858887,3.6510167121887207,8,0.1502123922109604,71,25,6.79080650000833
0.9244093894958496,4.7144927978515625,4.795590877532959,8,0.08109824359416962,71,50,6.79080650000833
0.43195563554763794,2.5823090076446533,3.070451021194458,8,0.4881420135498047,71,75,6.79080650000833
0.39030691981315613,2.6031718254089355,3.338805675506592,8,0.735633909702301,71,100,6.79080650000833
0.5568923950195312,2.9146509170532227,3.2510437965393066,8,0.33639290928840637,71,125,6.79080650000833
0.1049698069691658,1.7104719877243042,3.2788400650024414,8,1.5683679580688477,71,150,6.79080650000833
0.32972297072410583,3.178539276123047,3.723827600479126,8,0.5452883243560791,71,175,6.79080650000833
0.36574655771255493,3.1797828674316406,3.895329475402832,8,0.7155464887619019,71,200,6.79080650000833
0.08185537159442902,1.6896450519561768,2.718332052230835,8,1.0286870002746582,71,225,6.79080650000833
0.11130775511264801,2.149888038635254,3.5760293006896973,8,1.4261411428451538,71,250,6.79080650000833
0.09843789786100388,2.409703254699707,3.9165523052215576,8,1.5068490505218506,71,275,6.79080650000833
