partition,dataset,fraction,facet_config,query_support_mode,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,query_support_tokens,query_facet_count,q_memory_comparisons,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time
test,qasper,0.2,w2_s1,tail32,30,6,5,0.9333333333333333,1.8,0.7786111111111111,0.6333333333333333,0.8666666666666667,0.9,1.0,0.03009267821907997,2.7284173091252644,0.8833333333333333,0.2961111111111111,0.2911111111111111,0.8333333333333334,2.7,28.166666666666668,28.166666666666668,461.5,924.3,0.22925185595882755,0.0022861233291526636
test,qasper,0.2,w2_s1,tail64,30,6,5,0.9333333333333333,1.8,0.7786111111111111,0.6333333333333333,0.8666666666666667,0.9,1.0,0.03009267821907997,2.7284173091252644,0.8833333333333333,0.2961111111111111,0.2911111111111111,0.8333333333333334,2.7,28.166666666666668,28.166666666666668,461.5,924.3,0.22925185595882755,0.0022382833277030537
validation,hotpotqa,0.2,w2_s1,full_prompt,45,9,5,0.15555555555555556,4.111111111111111,0.3577248677248677,0.13333333333333333,0.2222222222222222,0.5555555555555556,0.9777777777777777,-0.12814378647340668,1.8572246736950344,0.2740740740740741,0.42777777777777776,0.22074074074074074,0.0,1.2,39.666666666666664,39.666666666666664,271.1111111111111,417.6666666666667,0.2366301543754234,0.002400388892015649
validation,hotpotqa,0.2,w2_s1,latest_message,45,9,5,0.2222222222222222,3.888888888888889,0.3767724867724868,0.13333333333333333,0.3111111111111111,0.6,0.9777777777777777,-0.1289559620122115,1.8565082603030734,0.29629629629629634,0.46111111111111114,0.23333333333333334,0.0,1.1333333333333333,20.666666666666668,20.666666666666668,138.11111111111111,412.7111111111111,0.23446013862732162,0.0021952799999982947
validation,hotpotqa,0.2,w2_s1,question,45,9,5,0.2222222222222222,3.888888888888889,0.3767724867724868,0.13333333333333333,0.3111111111111111,0.6,0.9777777777777777,-0.1289559620122115,1.8565082603030734,0.29629629629629634,0.46111111111111114,0.23333333333333334,0.0,1.1333333333333333,20.666666666666668,20.666666666666668,138.11111111111111,412.7111111111111,0.23446013862732162,0.001831322220257587
validation,hotpotqa,0.2,w2_s1,tail16,45,9,5,0.15555555555555556,4.088888888888889,0.35264550264550265,0.1111111111111111,0.24444444444444444,0.6,0.9555555555555556,-0.12862391339408027,1.8566405852635701,0.3037037037037037,0.45,0.23333333333333334,0.0,1.1333333333333333,16.0,16.0,112.0,414.3333333333333,0.2376616555575462,0.0021686199936084448
validation,hotpotqa,0.2,w2_s1,tail32,45,9,5,0.15555555555555556,4.133333333333334,0.3535978835978836,0.13333333333333333,0.2222222222222222,0.5111111111111111,0.9777777777777777,-0.12900621009369692,1.8571390681796605,0.2740740740740741,0.42777777777777776,0.22074074074074074,0.0,1.2,31.666666666666668,31.666666666666668,218.66666666666666,412.8,0.23353627855427483,0.0023190288895016745
validation,hotpotqa,0.2,w2_s1,tail64,45,9,5,0.15555555555555556,4.111111111111111,0.3577248677248677,0.13333333333333333,0.2222222222222222,0.5555555555555556,0.9777777777777777,-0.12814378647340668,1.8572246736950344,0.2740740740740741,0.42777777777777776,0.22074074074074074,0.0,1.2,39.666666666666664,39.666666666666664,271.1111111111111,417.6666666666667,0.2366301543754234,0.002448875560528702
validation,qasper,0.2,w2_s1,full_prompt,50,10,5,0.8,4.52,0.6406593031151854,0.48,0.7,0.8,0.86,-0.013482566326856613,2.8777738428115844,0.732,0.24433333333333335,0.2313529411764706,0.66,3.46,29.0,29.0,556.9,1104.36,0.23172284735679033,0.002393065997166559
validation,qasper,0.2,w2_s1,latest_message,50,10,5,0.78,4.36,0.6946705969469127,0.58,0.72,0.82,0.84,-0.01126871794462204,2.87576274394989,0.74,0.24116666666666667,0.22988235294117648,0.68,3.48,10.0,10.0,190.2,1106.22,0.23156208427228628,0.0020934860047418626
validation,qasper,0.2,w2_s1,question,50,10,5,0.78,4.36,0.6946705969469127,0.58,0.72,0.82,0.84,-0.01126871794462204,2.87576274394989,0.74,0.24116666666666667,0.22988235294117648,0.68,3.48,10.0,10.0,190.2,1106.22,0.23156208427228628,0.0017664920026436448
validation,qasper,0.2,w2_s1,tail16,50,10,5,0.78,4.72,0.6647349121466769,0.52,0.74,0.8,0.84,-0.024429988972842695,2.876649537086487,0.726,0.2345,0.2248627450980392,0.66,3.54,16.0,16.0,308.8,1107.22,0.23187420846986861,0.0021631500020157547
validation,qasper,0.2,w2_s1,tail32,50,10,5,0.8,4.48,0.6539926364485189,0.5,0.72,0.8,0.86,-0.01329553261399269,2.8774803066253662,0.732,0.24433333333333335,0.2313529411764706,0.66,3.46,28.6,28.6,551.3,1104.36,0.23172284735679033,0.0022727140027564018
validation,qasper,0.2,w2_s1,tail64,50,10,5,0.8,4.52,0.6406593031151854,0.48,0.7,0.8,0.86,-0.013482566326856613,2.8777738428115844,0.732,0.24433333333333335,0.2313529411764706,0.66,3.46,29.0,29.0,556.9,1104.36,0.23172284735679033,0.002296062000095844
