control,partition,dataset,example_id,seed,fraction,budget,facet_config,facet_family,facet_reduction,include_global,query_support_mode,query_support_span,query_support_tokens,query_facet_count,oracle_root_parent,oracle_root_rank,oracle_root_present,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,winning_facet,winning_facet_kind,winning_facet_family,winning_facet_span,selected_parent_ids,stale_parent,stale_parent_selected,junk_target_tokens,junk_observed_tokens,q_memory_comparisons,final_parent_count,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,full_query_forward_count,independent_window_forward_count
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,53,0.2,1,w2_s1,window,max,True,full_prompt,"[0, 37]",37,37,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.09724310040473938,1.6060831546783447,0.5,1.0,0.5,0.0,0,32,local,window_2,"[31, 33]",[4],,,,,185,1,193,0.15858668857847166,0.0022417999571189284,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,71,0.2,1,w2_s1,window,max,True,question,"[10, 28]",18,18,2,5,0.0,0.2,0.0,0.0,0.0,1.0,-0.24079925566911697,1.6043846607208252,0.0,0.0,0.0,0.0,1,16,local,window_2,"[25, 27]",[0],,,,,90,1,256,0.21035332785538208,0.0021121000172570348,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,71,0.2,1,w2_s1,window,max,True,latest_message,"[10, 28]",18,18,2,5,0.0,0.2,0.0,0.0,0.0,1.0,-0.24079925566911697,1.6043846607208252,0.0,0.0,0.0,0.0,1,16,local,window_2,"[25, 27]",[0],,,,,90,1,256,0.21035332785538208,0.00214969995431602,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,71,0.2,1,w2_s1,window,max,True,tail16,"[21, 37]",16,16,2,5,0.0,0.2,0.0,0.0,0.0,1.0,-0.24079925566911697,1.6043846607208252,0.0,0.0,0.0,0.0,1,5,local,window_2,"[25, 27]",[0],,,,,80,1,256,0.21035332785538208,0.0023362000356428325,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,71,0.2,1,w2_s1,window,max,True,tail32,"[5, 37]",32,32,2,5,0.0,0.2,0.0,0.0,0.0,1.0,-0.24079925566911697,1.60434091091156,0.0,0.0,0.0,0.0,1,21,local,window_2,"[25, 27]",[0],,,,,160,1,256,0.21035332785538208,0.002075199969112873,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,71,0.2,1,w2_s1,window,max,True,tail64,"[0, 37]",37,37,2,5,0.0,0.2,0.0,0.0,0.0,1.0,-0.24079925566911697,1.604255199432373,0.0,0.0,0.0,0.0,1,26,local,window_2,"[25, 27]",[0],,,,,185,1,256,0.21035332785538208,0.002123699989169836,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,71,0.2,1,w2_s1,window,max,True,full_prompt,"[0, 37]",37,37,2,5,0.0,0.2,0.0,0.0,0.0,1.0,-0.24079925566911697,1.604255199432373,0.0,0.0,0.0,0.0,1,26,local,window_2,"[25, 27]",[0],,,,,185,1,256,0.21035332785538208,0.001959300017915666,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,11,0.2,1,w2_s1,window,max,True,question,"[10, 30]",20,20,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.04949849843978882,1.6082890033721924,0.5,1.0,0.5,0.0,0,3,local,window_2,"[12, 14]",[0],,,,,100,1,256,0.2014162077104642,0.0017754999571479857,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,11,0.2,1,w2_s1,window,max,True,latest_message,"[10, 30]",20,20,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.04949849843978882,1.6082890033721924,0.5,1.0,0.5,0.0,0,3,local,window_2,"[12, 14]",[0],,,,,100,1,256,0.2014162077104642,0.0018699000356718898,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,11,0.2,1,w2_s1,window,max,True,tail16,"[23, 39]",16,16,0,2,0.0,0.5,0.0,1.0,1.0,1.0,-0.0041193366050720215,1.6086103916168213,0.5,1.0,0.5,0.0,0,8,local,window_2,"[30, 32]",[3],,,,,80,1,256,0.2014162077104642,0.00212009996175766,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,11,0.2,1,w2_s1,window,max,True,tail32,"[7, 39]",32,32,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.02184605598449707,1.6085026264190674,0.5,1.0,0.5,0.0,0,2,local,window_2,"[8, 10]",[0],,,,,160,1,256,0.2014162077104642,0.0020050000166520476,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,11,0.2,1,w2_s1,window,max,True,tail64,"[0, 39]",39,39,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.030482839792966843,1.6078097820281982,0.5,1.0,0.5,0.0,0,5,local,window_2,"[4, 6]",[0],,,,,195,1,256,0.2014162077104642,0.002514899999368936,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,11,0.2,1,w2_s1,window,max,True,full_prompt,"[0, 39]",39,39,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.030482839792966843,1.6078097820281982,0.5,1.0,0.5,0.0,0,5,local,window_2,"[4, 6]",[0],,,,,195,1,256,0.2014162077104642,0.0023453999892808497,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,23,0.2,1,w2_s1,window,max,True,question,"[10, 30]",20,20,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.019221097230911255,1.6092817783355713,0.5,1.0,0.5,0.0,0,3,local,window_2,"[12, 14]",[0],,,,,100,1,256,0.2014162077104642,0.001850400003604591,1,0
