partition,dataset,fraction,facet_config,query_support_mode,junk_target_tokens,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,query_support_tokens,query_facet_count,q_memory_comparisons,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,stale_parent_selected
test,hotpotqa,0.2,w2_s1,tail64,0,35,7,5,0.3142857142857143,2.8285714285714287,0.5057142857142857,0.2571428571428571,0.4857142857142857,0.8571428571428571,1.0,-0.026758252988968577,1.7554435150963918,0.2380952380952381,0.37142857142857144,0.19047619047619047,0.0,1.0571428571428572,64.0,64.0,374.85714285714283,391.7142857142857,0.2679979407042428,0.00246837428172252,0.22857142857142856
test,hotpotqa,0.2,w2_s1,tail64,16,35,7,5,0.34285714285714286,2.914285714285714,0.4923809523809524,0.22857142857142856,0.5142857142857142,0.8,1.0,-0.0262047449659024,1.7553651196616036,0.2238095238095238,0.34285714285714286,0.18571428571428572,0.02857142857142857,1.0857142857142856,64.0,64.0,374.85714285714283,393.0285714285714,0.26906300206103834,0.00262737714386146,0.22857142857142856
test,hotpotqa,0.2,w2_s1,tail64,32,35,7,5,0.34285714285714286,2.942857142857143,0.4885714285714286,0.22857142857142856,0.5142857142857142,0.8,1.0,-0.028223615937999318,1.7554134505135672,0.2238095238095238,0.34285714285714286,0.18571428571428572,0.02857142857142857,1.0857142857142856,64.0,64.0,374.85714285714283,393.0285714285714,0.26906300206103834,0.0025766485653418514,0.2571428571428571
test,hotpotqa,0.2,w2_s1,tail64,64,35,7,5,0.2857142857142857,3.085714285714286,0.4719047619047619,0.22857142857142856,0.42857142857142855,0.7714285714285715,1.0,-0.03303222661571843,1.7554257324763707,0.19523809523809524,0.3142857142857143,0.15714285714285714,0.0,1.1428571428571428,64.0,64.0,374.85714285714283,392.8285714285714,0.26893219761368714,0.0025465057164962804,0.2857142857142857
test,qasper,0.2,w2_s1,full_prompt,0,30,6,5,0.9,2.066666666666667,0.7907122507122507,0.6666666666666666,0.8666666666666667,0.9,0.9333333333333333,0.02354215473557512,2.7285776774088544,0.85,0.27944444444444444,0.27444444444444444,0.8,2.7666666666666666,68.16666666666667,68.16666666666667,1114.8333333333333,920.3666666666667,0.22859912888724884,0.002707296662265435,0.3
test,qasper,0.2,w2_s1,full_prompt,16,30,6,5,0.9333333333333333,2.533333333333333,0.7250804424333837,0.5666666666666667,0.8,0.9,0.9333333333333333,0.023279321379959583,2.7286716143290204,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,81.66666666666667,81.66666666666667,1337.0,920.3666666666667,0.22859912888724884,0.0027333233369669567,0.23333333333333334
test,qasper,0.2,w2_s1,full_prompt,32,30,6,5,0.9333333333333333,2.1666666666666665,0.8037445887445888,0.7,0.8666666666666667,0.9,0.9333333333333333,0.028782890488704044,2.7290369431177774,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,98.0,98.0,1601.6666666666667,911.5,0.22679267768525152,0.002888863328068207,0.3333333333333333
test,qasper,0.2,w2_s1,full_prompt,64,30,6,5,0.9,2.066666666666667,0.7661111111111112,0.6333333333333333,0.8,0.9666666666666667,0.9666666666666667,0.029543750484784446,2.729106386502584,0.8333333333333334,0.27666666666666667,0.26999999999999996,0.7666666666666667,2.7333333333333334,129.83333333333334,129.83333333333334,2122.0,915.4,0.2275457531361,0.003314893327963849,0.3
test,qasper,0.2,w2_s1,latest_message,0,30,6,5,0.9666666666666667,1.6,0.8047619047619048,0.6666666666666666,0.8666666666666667,0.9666666666666667,1.0,0.0301472424219052,2.727178128560384,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,16.166666666666668,16.166666666666668,265.5,924.3,0.22925185595882755,0.0023084933306866634,0.26666666666666666
test,qasper,0.2,w2_s1,latest_message,16,30,6,5,0.9666666666666667,1.4666666666666666,0.8492063492063492,0.7333333333333333,0.9333333333333333,0.9666666666666667,1.0,0.033734305575489995,2.72693026860555,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,16.166666666666668,16.166666666666668,265.5,924.3,0.22925185595882755,0.002169746666913852,0.26666666666666666
